	TCGA.C8.A27B.01A.11R.A169.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.X4LF.0626.SM.4QASB	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7238.11A.01R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.33.4586.01A.01R.1443.07
ABHD1	2.63	33.54	15.45	58.71	94.01	35.5	0.0	0.14	10.55
ACAT1	450.94	301.33	1259.69	3515.68	3039.3	2777.33	0.0	0.56	612.11
ACTR1A	1529.73	1508.65	1709.26	2209.26	2645.74	2018.8	0.0	0.93	1044.52
ADRB2	39.22	273.37	120.1	780.44	1096.5	214.27	0.0	0.21	31.67
ADSSL1	46.18	1936.53	438.59	5147.73	3419.52	2520.38	0.0	0.59	173.85
ALDH2	890.44	4903.87	3395.89	5831.91	9740.98	4869.99	0.0	0.78	1233.75
ANK2	24.81	5.15	101.54	981.29	629.35	547.75	0.0	0.2	23.76
AQP7	0.0	2.01	37.85	579.04	289.02	551.56	0.0	0.13	1.04
AR	3.08	21.16	20.26	61.25	59.13	66.18	0.0	0.22	3.06
ARC	3.69	3768.09	9.06	37.85	291.04	50.27	0.0	0.04	3.89
ASB14	4.35	5.63	9.06	208.38	77.25	111.21	0.0	0.28	1.41
ATP1A4	0.66	0.0	2.27	7.63	10.96	3.53	0.0	0.0	1.39
ATP5G2	8658.09	16611.71	12244.81	21026.65	25005.23	17437.64	0.0	1.0	17437.64
ATP5S	128.79	316.37	400.71	463.65	616.37	493.56	0.0	0.34	183.82
BAG3	981.29	2835.7	2075.59	6121.9	6381.92	3467.27	1883.54	463.65	1709.26
C11orf89	0.0	6.94	23.25	262.2	275.28	138.1	0.0	0.57	1.01
C14orf159	202.66	890.44	738.29	2537.92	3665.02	1407.55	0.0	0.62	267.73
C1QTNF9	0.88	0.0	6.62	11.13	40.93	8.58	0.0	0.0	0.29
C21orf33	825.0	1781.89	2163.77	5183.54	4388.98	2417.67	0.0	0.52	981.29
C22orf39	493.56	132.44	447.82	808.0	1250.98	679.29	0.0	0.55	429.54
CAPN3	45.21	153.34	420.68	4512.4	3614.55	2434.5	0.0	0.79	37.05
CERS1	9.34	3.38	6.26	100.13	102.25	49.56	0.0	0.27	9.85
CNTFR	0.8	41.81	12.36	336.79	429.54	251.48	0.0	0.22	11.82
COQ9	718.08	1250.98	1540.37	2895.31	3018.3	1651.0	0.0	0.1	591.22
COX4I1	9215.48	17804.06	20310.37	29124.6	28723.62	18178.19	0.0	1.39	13215.02
COX5B	1950.0	7589.61	9540.5	12502.12	12853.63	6792.79	0.0	1.07	5006.93
CRHR2	2.32	9.56	12.09	31.22	79.45	31.9	0.0	0.06	0.0
CRY2	163.28	149.12	221.86	583.07	1183.45	836.53	0.0	0.41	121.79
CSRNP1	96.68	890.44	397.93	1397.83	1685.71	417.77	325.29	148.09	195.72
DCTN3	775.05	2148.82	2271.4	3124.78	2997.45	2627.46	0.0	0.85	2875.3
DMPK	99.43	346.29	1529.73	3928.15	6294.04	1991.0	0.0	1.04	175.07
DNASE1L1	547.75	547.75	656.11	1781.89	1594.73	941.27	0.0	0.47	387.02
DNASE1L3	5.41	1286.18	166.73	269.6	848.22	1167.14	0.0	0.0	69.03
DUSP28	75.11	115.16	149.12	358.54	299.25	162.14	0.0	0.24	94.67
DYNAP	0.0	1674.06	688.78	189.02	2555.58	1721.16	0.0	0.04	0.0
ECI2	271.48	40.36	764.36	2303.12	2895.31	1594.73	0.0	0.67	486.75
EGR1	620.67	19214.73	1923.14	7130.55	25708.25	2555.58	796.86	1477.58	1628.26
EIF3K	6471.02	5219.6	7589.61	13033.07	13492.72	9606.86	0.0	1.35	9151.82
ENDOG	150.17	260.38	497.0	1313.23	1167.14	599.49	0.0	0.16	231.32
FADS6	0.32	753.83	43.94	9.56	336.79	186.4	0.0	0.0	20.11
FAM166B	12.64	36.27	18.97	220.32	182.55	87.65	0.0	0.0	17.0
FAM178B	8.51	12.64	9.06	11.91	121.79	33.54	0.0	0.39	6.73
FAM179A	5.19	7.63	38.4	182.55	136.19	53.57	0.0	0.21	4.54
FAM57B	2.32	5.63	3.2	190.34	241.19	14.67	0.0	0.31	6.41
GOT1	599.49	1001.93	1467.37	7433.4	5366.37	3794.3	0.0	0.11	848.22
GRHPR	1191.69	1781.89	2520.38	2777.33	2895.31	2537.92	1769.57	98.73	2047.0
GSG1L	0.32	19.39	2.76	5.28	12.0	3.23	0.0	0.0	1.19
HOGA1	0.96	22.92	26.28	65.26	79.45	69.03	0.0	0.31	57.89
IER2	1096.5	8840.04	2240.11	2384.37	9808.75	2061.24	1745.2	1378.57	1806.78
IFI27L1	336.79	536.45	476.71	299.25	698.41	343.89	0.0	0.46	178.77
IVL	0.4	7.49798696E7	5517.27	18560.17	13123.73	16727.26	0.0	0.38	15.8
KLF10	1159.07	1135.2	457.25	2895.31	1757.34	1487.87	0.0	0.08	928.3
KRT6B	2224.63	9.677103146E8	32767.0	46019.85	21026.65	37639.55	0.0	0.52	9474.59
LRRC20	118.43	5112.16	305.55	1617.0	1572.76	1059.11	0.0	0.11	130.6
LRRC38	0.32	21.78	3.59	140.04	334.46	48.52	0.0	0.11	84.63
MACROD1	186.4	684.02	878.17	3716.2	3372.43	1870.53	0.0	0.62	214.27
MAP3K7CL	99.43	71.5	86.43	1467.37	518.15	896.64	0.0	0.0	31.0
MAPT	2.48	244.57	169.07	934.76	796.86	555.41	0.0	0.13	13.83
MIPEP	395.18	878.17	587.13	454.09	842.36	521.76	0.0	0.0	173.85
MPZ	289.02	9.2	80.57	92.05	612.11	454.09	0.0	0.6	4.13
