	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CR.7388.01A.11R.2016.07	TCGA.98.A53H.01A.12R.A262.07	TCGA.22.1000.01A.01R.A32Z.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.EM.A1CU.01A.11R.A13Y.07	TCGA.EM.A1CT.01A.11R.A13Y.07	TCGA.ET.A39R.01A.11R.A19O.07	TCGA.ET.A3BV.01A.11R.A19O.07	TCGA.DJ.A4V5.01A.11R.A250.07	TCGA.DJ.A3UU.01A.11R.A22L.07	GTEX.13N1W.0826.SM.5MR5J
ACOT7	1991.0	1397.83	2627.46	665.29	1030.12	325.29	486.75	309.83	460.44	802.41	559.28	450.94	63.45
AIM1	39785.74	22535.88	915.51	237.86	529.06	75.11	96.01	121.79	136.19	123.5	155.5	128.79	88.88
ANLN	624.99	148.09	307.69	387.02	466.88	13.62	57.08	18.84	66.18	104.42	36.53	19.82	13.42
ARNTL2	2384.37	1340.84	1104.13	150.17	603.67	16.88	41.81	26.28	61.68	119.26	67.59	21.47	3.76
C17orf53	90.14	36.27	88.26	51.35	86.43	13.62	32.13	19.39	25.54	36.01	29.06	21.47	2.78
C17orf99	59.97	118.43	20.11	6.31	28.65	0.0	1.28	0.0	0.0	9.63	2.25	0.0	1.1
C6orf141	486.75	4419.52	162.14	27.64	118.43	9.56	12.93	2.84	55.49	59.55	47.84	36.53	3.26
C9orf40	88.88	67.59	86.43	66.18	70.01	46.18	44.57	44.57	51.71	81.14	52.82	33.06	25.91
CARD17	1397.83	244.57	11.04	18.43	115.16	0.0	3.26	3.03	7.63	8.45	3.2	1.66	0.0
CDCA2	132.44	49.21	90.77	42.71	45.21	2.29	7.0	2.84	13.42	17.38	10.88	6.26	1.2
CENPW	476.71	291.04	409.15	379.04	915.51	65.26	115.16	35.25	128.79	173.85	115.16	69.52	2.81
CPPED1	848.22	1159.07	325.29	285.03	329.84	95.34	208.38	161.02	224.97	281.09	231.32	148.09	124.37
DCUN1D5	1233.75	1111.82	466.88	497.0	791.35	220.32	277.2	215.77	297.17	414.87	343.89	239.52	249.73
DIAPH3	80.57	23.59	96.68	43.63	42.11	2.58	12.93	6.11	12.0	22.43	10.71	6.16	3.38
E2F8	258.57	72.52	87.03	69.52	42.11	2.29	6.36	4.5	12.64	16.39	10.47	4.98	0.58
FAM64A	291.04	152.28	236.21	90.77	101.54	7.51	35.76	16.27	55.89	63.89	27.64	16.75	4.54
FSCN1	72715.74	5791.62	6121.9	3443.31	4450.27	164.42	651.58	289.02	1044.52	2682.69	1651.0	403.5	94.01
GNA15	19754.96	16269.83	1781.89	733.19	1561.89	31.0	66.18	47.84	121.79	381.68	353.59	64.8	29.48
GPSM2	1268.46	1639.59	389.72	285.03	665.29	28.24	48.18	25.17	60.82	110.43	51.71	38.4	62.56
GTF2E1	151.22	130.6	177.53	140.04	191.67	31.22	85.22	79.45	85.82	98.04	89.51	81.14	70.01
HN1	8363.13	4210.15	5441.3	4038.61	5711.87	808.0	1119.56	543.96	1508.65	2018.8	1896.65	808.0	175.07
IVL	7.49798696E7	4.247174256E7	3124.78	612.11	1806.78	90.14	31.67	14.56	80.01	551.56	470.14	12.74	0.0
KCNK6	1183.45	343.89	525.39	251.48	305.55	35.0	71.0	52.45	95.34	159.9	120.1	59.55	7.57
KCTD5	2032.85	684.02	1037.29	563.18	629.35	211.31	327.56	239.52	403.5	426.57	420.68	232.94	152.28
KIF23	287.01	59.13	283.05	289.02	183.82	5.54	44.25	17.77	62.56	98.73	47.17	22.1	11.38
