	GTEX.S4Q7.0926.SM.4AD5D	TCGA.GU.A42P.01A.11R.A23W.07	TCGA.E5.A4TZ.01A.11R.A31N.07	TCGA.W5.AA31.01A.11R.A41I.07	TCGA.2Y.A9GX.01A.11R.A38B.07	GTEX.Z9EW.0426.SM.5CVM9	GTEX.ZF2S.3026.SM.4WWCH	GTEX.X3Y1.2726.SM.4PQZH	GTEX.14753.1626.SM.5NQ9L
A2M	36610.26	1233.75	638.15	8078.22	19348.38	209994.66	58655.36	43236.64	11267.44
AADAC	48.52	11.55	11.91	587.13	5872.48	25708.25	30151.71	17681.08	9088.59
ABCB11	1.1	0.3	0.0	51.71	195.72	2240.11	6381.92	2664.15	120.94
ADAMTS13	37.85	147.06	16.15	96.01	202.66	397.93	603.67	607.87	511.0
ADH1B	15715.58	53.95	4.9	5791.62	18304.63	129266.49	992012.34	242898.5	256748.15
AKR1D1	0.0	0.88	1.66	248.0	2555.58	6294.04	19214.73	18178.19	16496.96
AL138847.1	0.4	0.29	0.84	40.93	144.01	500.46	995.0	356.05	40.93
ALAS1	2061.24	5183.54	1286.18	819.3	5517.27	37379.55	16269.83	10585.95	4123.49
ALDH2	7642.41	88.26	150.17	4903.87	16611.71	36610.26	130165.62	70238.75	121448.75
AMBP	7.51	5.59	0.3	24153.43	121448.75	527933.71	1943195.01	1085552.95	741454.2
AMDHD1	39.79	1.5	36.53	320.8	1088.92	11189.6	12853.63	7537.18	3395.89
ANG	808.0	884.29	26.47	1883.54	9808.75	76861.91	100719.65	52863.07	112532.89
ANGPTL3	0.41	1.48	0.29	848.22	4802.93	52863.07	57051.4	23986.58	10084.54
ANGPTL4	2047.0	928.3	54.33	507.46	1199.98	4704.07	1950.0	2287.2	6652.97
ANGPTL6	12.74	0.6	9.78	63.0	96.68	356.05	1407.55	665.29	438.59
ANKRD55	5.63	0.3	0.0	14.78	14.03	18.84	102.97	130.6	8.51
AOX1	656.11	3.0	1.75	1551.09	7081.29	104271.56	134755.94	198667.0	85876.94
APCS	2.27	0.0	0.0	7081.29	26800.01	161367.56	353168.2	89523.81	919186.72
APOB	9.27	0.3	0.57	3540.14	12676.65	269512.87	164758.26	118949.35	12943.04
APOF	1.11	0.88	0.28	629.35	1733.13	31215.04	107203.06	21919.61	13492.72
APOH	0.89	0.0	0.0	16727.26	86474.27	2247670.86	2442622.37	998912.34	414208.18
AQP9	120.94	2.12	17.77	503.95	2384.37	5292.48	205673.01	11992.79	16383.0
ARG1	18.16	2.94	46.5	1832.01	17681.08	408505.64	65990.84	47642.77	113315.62
ASGR2	22.59	7.63	5.63	3018.3	12329.98	35363.15	37379.55	51062.33	66449.85
