	TCGA.FJ.A3Z9.01A.11R.A26T.07	TCGA.FD.A3SJ.01A.12R.A22U.07	TCGA.BT.A20W.01A.21R.A14Y.07	TCGA.BT.A42C.01A.11R.A23N.07	TCGA.G2.AA3F.01A.12R.A42T.07	TCGA.GV.A3JV.01A.11R.A220.07	TCGA.ZF.AA4X.01A.11R.A38B.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CZ.4857.01A.01R.1305.07	TCGA.BP.5008.01A.01R.1334.07	TCGA.B8.5165.01A.01R.1420.07	TCGA.BP.4790.01A.01R.1305.07	GTEX.13QJC.0826.SM.5RQKC
ABI3	19.97	101.54	162.14	39.22	52.08	146.03	24.81	223.41	429.54	450.94	591.22	612.11	158.79
ADAMTSL2	21.32	40.93	163.28	44.89	77.25	99.43	32.59	20.71	161.02	220.32	343.89	214.27	164.42
ALX4	0.0	0.31	0.67	0.0	0.59	0.32	0.0	92.05	0.39	2.2	1.1	2.25	0.77
APLNR	29.7	123.5	368.65	66.18	84.63	118.43	22.59	1088.92	444.72	1594.73	2047.0	1427.22	47.84
ARHGEF15	31.45	88.88	231.32	39.22	82.87	63.89	49.56	351.14	343.89	612.11	967.76	703.28	130.6
BCL6B	13.62	94.67	178.77	55.89	46.18	101.54	21.16	336.79	366.09	981.29	954.43	872.1	136.19
C3orf36	4.86	10.39	26.47	7.63	2.68	15.91	2.61	3.56	36.79	94.01	166.73	90.77	21.63
CALCRL	14.35	108.14	314.17	67.59	52.82	131.51	24.63	599.49	928.3	1397.83	3982.99	1697.45	299.25
CD34	98.73	463.65	995.0	332.14	228.13	403.5	116.78	4388.98	1950.0	3847.29	4903.87	4239.45	1242.34
CD93	36.27	214.27	540.19	123.5	128.79	191.67	44.25	934.76	1378.57	2537.92	3168.41	2537.92	307.69
CDH5	43.94	193.01	483.38	120.94	113.56	193.01	46.84	1208.34	909.17	1651.0	2664.15	1832.01	748.61
CDH6	7.51	34.75	102.97	26.86	28.65	44.57	5.82	195.72	1685.71	1651.0	1662.49	1437.15	67.12
CERS2	2417.67	2351.53	6164.49	5255.91	3614.55	5555.65	3419.52	11035.54	8538.88	7230.1	7803.01	6935.54	3515.68
CHSY1	172.65	242.88	403.5	277.2	275.28	287.01	208.38	642.59	507.46	1096.5	718.08	775.05	236.21
COL23A1	0.35	4.94	17.51	4.28	3.56	5.77	0.89	36.01	1651.0	2609.3	2400.97	961.07	559.28
COX4I2	70.01	110.43	285.03	189.02	89.51	141.02	30.78	191.67	251.48	791.35	1572.76	450.94	105.89
CXorf36	22.1	95.34	214.27	50.63	46.84	64.34	18.03	1051.79	336.79	629.35	1208.34	718.08	320.8
CYYR1	25.91	99.43	223.41	64.8	38.12	74.06	25.17	1369.04	423.61	791.35	1233.75	1199.98	193.01
DISC1	2.29	8.92	24.63	8.25	4.17	13.42	1.48	103.69	84.63	100.83	121.79	98.73	68.55
DLL4	81.71	116.78	267.73	75.64	106.63	163.28	30.34	237.86	599.49	1135.2	1259.69	1159.07	231.32
ECSCR	120.1	438.59	825.0	265.87	217.27	429.54	106.63	7803.01	1540.37	3060.45	4736.79	2335.28	802.41
EDNRB	10.47	49.21	217.27	38.12	21.16	211.31	14.89	559.28	728.11	2485.67	6164.49	1977.24	264.03
EIF4ENIF1	220.32	277.2	764.36	260.38	346.29	325.29	251.48	743.43	387.02	368.65	389.72	547.75	591.22
ELOVL2	0.34	9.48	20.26	3.14	5.92	7.63	0.3	87.03	159.9	71.5	62.56	103.69	6.73
ELTD1	28.65	132.44	454.09	100.13	90.14	148.09	24.99	988.12	616.37	1259.69	2090.03	1733.13	371.22
ETS1	329.84	551.56	1015.93	253.23	607.87	878.17	591.22	2148.82	1806.78	4419.52	4736.79	3372.43	1674.06
EXOC3L1	34.02	40.07	94.67	50.98	36.27	59.97	36.79	48.52	181.28	242.88	293.07	246.28	85.22
EXOC3L2	48.87	70.01	226.54	73.54	75.11	121.79	22.59	38.12	329.84	656.11	974.5	1111.82	91.41
FCN3	18.56	24.63	111.99	52.82	18.16	78.89	16.88	30.78	178.77	543.96	490.14	854.13	114.36
FLI1	18.97	104.42	231.32	49.91	33.06	114.36	22.75	1806.78	500.46	759.08	902.89	1127.35	532.74
FLT4	23.42	51.35	150.17	26.28	41.81	58.3	12.83	536.45	353.59	555.41	836.53	518.15	332.14
FRMD1	0.0	0.0	0.67	0.0	0.3	0.33	0.0	25.17	0.43	13.93	25.91	10.0	0.45
GDPD4	0.0	0.0	2.66	0.29	0.0	0.0	0.3	43.02	4.43	1.5	3.38	7.28	29.48
GIMAP4	33.06	221.86	483.38	81.14	95.34	327.56	40.64	2895.31	1407.55	1417.35	3349.13	2209.26	842.36
