	TCGA.DK.A2I6.01A.12R.A18C.07	TCGA.DK.A2HX.01A.12R.A18C.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.CA.6719.01A.11R.1839.07	TCGA.RU.A8FL.01A.11R.A37K.07	TCGA.DM.A28H.01A.11R.A16W.07	TCGA.86.8280.01A.11R.2287.07	GTEX.X4EO.0926.SM.3P5Z2	TCGA.85.6175.01A.11R.1820.07	TCGA.77.8008.01A.21R.2187.07	TCGA.85.7710.11A.01R.2125.07	GTEX.13QJC.0826.SM.5RQKC
AMICA1	24.63	123.5	89.51	854.13	242.88	61.68	13.72	8.99	543.96	14663.09	624.99	220.32	2047.0	1697.45
ARHGAP25	52.45	62.56	173.85	981.29	536.45	87.65	35.5	23.59	387.02	1806.78	339.14	277.2	1331.57	616.37
BIN2	15.45	42.11	138.1	718.08	146.03	55.1	14.67	134.3	384.34	1397.83	283.05	224.97	1051.79	1143.1
BTK	8.78	37.59	114.36	890.44	132.44	54.72	9.7	21.78	287.01	947.83	267.73	163.28	1745.2	624.99
BTN2A2	53.19	73.03	208.38	808.0	255.0	212.78	155.5	92.7	511.0	995.0	353.59	332.14	1143.1	406.31
BTN3A1	44.89	135.24	435.55	1572.76	1304.15	500.46	237.86	105.15	1059.11	5954.47	967.76	764.36	1583.71	1242.34
BTN3A3	62.56	155.5	409.15	1030.12	703.28	253.23	111.21	40.07	884.29	2367.9	780.44	460.44	1015.93	947.83
CCR4	2.32	17.38	29.27	291.04	8.32	8.58	0.16	1.08	108.9	1059.11	67.59	35.0	132.44	212.78
CCR8	0.0	7.88	33.3	63.45	0.0	14.67	0.39	0.41	51.35	125.24	56.68	31.67	42.71	15.56
CD226	3.5	7.57	17.9	111.99	260.38	9.27	0.0	2.43	49.91	262.2	39.22	23.08	99.43	44.57
CD244	1.48	2.1	7.17	70.51	55.1	5.82	0.19	0.72	25.54	211.31	20.41	18.16	92.05	48.87
CD247	14.56	36.53	61.68	591.22	314.17	31.9	7.88	32.13	316.37	2061.24	204.07	113.56	941.27	1437.15
CD27	13.72	74.58	132.44	1350.18	45.21	56.68	2.27	12.64	579.04	748.61	417.77	368.65	1529.73	3124.78
CD300LF	12.74	24.11	45.21	202.66	20.86	50.27	2.1	8.0	187.71	693.58	183.82	118.43	753.83	43.63
CD37	81.14	320.8	409.15	5041.77	591.22	281.09	13.72	41.22	1870.53	26614.89	1304.15	902.89	8778.97	6840.04
CD3E	38.4	155.5	197.09	2178.83	638.15	111.99	8.0	15.22	902.89	9945.68	555.41	406.31	1923.14	7081.29
CD48	17.77	111.21	251.48	2591.27	884.29	123.5	6.31	15.45	961.07	6840.04	503.95	303.44	4328.55	2400.97
CD5	5.82	26.1	65.72	466.88	41.52	42.71	1.0	3.23	264.03	2664.15	122.64	71.5	441.64	409.15
CD80	3.79	4.86	30.12	62.12	8.65	16.03	1.75	4.39	41.81	92.05	122.64	68.07	122.64	11.64
CD84	4.13	28.24	132.44	409.15	59.13	52.08	1.77	8.45	191.67	1697.45	260.38	127.89	389.72	587.13
CD96	17.25	32.13	58.3	503.95	137.14	20.26	2.05	1.91	205.5	1583.71	144.01	132.44	334.46	860.08
CFLAR	890.44	633.73	890.44	2004.85	1225.22	1191.69	551.56	480.04	1883.54	4328.55	1832.01	1806.78	2915.45	4903.87
CIITA	61.25	81.14	104.42	1135.2	115.97	59.13	19.25	20.26	656.11	3060.45	384.34	267.73	1487.87	575.03
CLEC4F	1.17	2.07	1.97	50.63	44.25	1.25	1.06	0.33	12.93	53.19	7.17	1.46	13.62	5.19
CSF3R	19.39	102.97	214.27	231.32	32.59	163.28	26.86	34.02	305.55	878.17	656.11	447.82	2271.4	264.03
CXXC11	0.0	0.0	0.46	14.03	0.0	0.79	0.0	0.0	6.36	9.34	1.45	0.85	10.88	40.93
CYLD	116.78	190.34	438.59	981.29	902.89	246.28	94.67	112.77	620.67	1191.69	633.73	603.67	909.17	836.53
