	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO	GTEX.13OW8.0426.SM.5J2NR	GTEX.ZTTD.2726.SM.57WFA	TCGA.ET.A40R.01A.11R.A23N.07	TCGA.EM.A3FL.01A.11R.A21D.07	GTEX.N7MS.2326.SM.2HMLD	GTEX.13N1W.0826.SM.5MR5J	GTEX.13X6J.0826.SM.5LU32	GTEX.X4XY.0826.SM.4E3JM	GTEX.12WSC.0826.SM.5EQ5Q	GTEX.145MG.0826.SM.5Q5C2	GTEX.11O72.2326.SM.5BC7H
A4GALT	0.0	0.89	1991.0	2271.4	2240.11	2555.58	1697.45	2502.97	1844.76	915.51	825.0	1096.5	438.59	155.5	567.1	85.22	525.39	728.11	656.11	256.78	764.36
ABCB9	0.0	0.3	190.34	273.37	105.89	260.38	186.4	260.38	195.72	149.12	81.71	92.7	76.71	50.27	90.14	57.49	64.34	60.82	81.71	89.51	43.32
ABCD1	231.32	112.77	414.87	366.09	244.57	305.55	329.84	371.22	273.37	312.0	241.19	90.77	176.29	175.07	215.77	115.16	181.28	141.02	201.25	208.38	80.57
ABHD6	0.0	0.06	854.13	1066.48	503.95	1088.92	693.58	1167.14	490.14	470.14	166.73	368.65	140.04	211.31	579.04	102.97	332.14	172.65	307.69	312.0	116.78
AL354993.1	0.0	0.14	316.37	563.18	514.56	332.14	493.56	543.96	830.75	312.0	224.97	194.36	31.22	8.25	173.85	3.38	79.45	80.01	31.67	55.49	120.1
AMELX	0.0	0.0	64.8	47.5	27.05	22.43	31.45	40.07	61.68	43.02	3.72	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AP3S1	0.0	0.8	3018.3	5672.41	3955.48	5219.6	4388.98	5633.22	5147.73	3103.19	1583.71	1963.57	1167.14	1051.79	1561.89	1175.27	1350.18	1322.37	1369.04	1388.16	2335.28
APOBR	0.0	0.21	343.89	934.76	674.59	679.29	547.75	713.11	616.37	503.95	56.28	118.43	66.65	18.56	25.72	8.38	46.5	36.53	56.68	49.91	15.22
AQP2	0.0	0.0	6840.04	34158.52	11909.94	12076.21	12329.98	19082.0	14065.74	2935.74	100.13	1096.5	7.34	0.0	14.78	0.0	28.24	3.66	6.11	0.72	11.91
ARHGAP8	0.0	0.21	872.1	1674.06	1044.52	1388.16	848.22	1268.46	1277.29	703.28	353.59	583.07	497.0	476.71	231.32	1322.37	341.51	426.57	480.04	674.59	353.59
