	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.BH.A0B7.01A.12R.A115.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.AR.A2LQ.01A.22R.A18M.07	TCGA.BH.A1FC.11A.32R.A13Q.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.ZC5H.2726.SM.5KLZW
ADAD2	2.39	2.1	9.13	1.95	0.0	0.75	12.18	19.53	0.0	0.2	72.52	19.53	29.06
ADAMTSL4	91.41	85.22	21.94	181.28	157.68	153.34	316.37	764.36	0.0	0.77	2178.83	1286.18	3901.01
ADM5	23.25	7.22	2.34	35.0	28.04	12.45	107.38	144.01	0.0	0.35	316.37	68.07	96.68
ADRB2	39.5	26.67	14.45	136.19	127.89	10.24	134.3	426.57	0.0	0.21	842.36	429.54	728.11
AQP1	2287.2	638.15	728.11	4066.71	1250.98	1143.1	8022.41	8658.09	0.0	0.93	22380.2	3742.05	17437.64
ARG1	1.68	1.5	0.0	9.27	1.81	0.0	1.89	5.02	0.0	0.75	44.57	45.21	59.55
ARHGAP23	202.66	81.71	88.88	387.02	171.45	79.45	559.28	543.96	0.0	0.65	2163.77	1359.57	1467.37
ARHGDIG	1.08	5.32	0.0	41.22	0.0	12.0	44.57	53.19	0.0	0.26	248.0	98.73	30.34
BMP2	10.96	2.01	3.38	40.64	21.94	6.11	40.64	76.17	0.0	0.21	426.57	236.21	91.41
C1QTNF1	438.59	90.14	74.06	447.82	457.25	201.25	1519.15	1427.22	0.0	0.67	2664.15	529.06	2133.97
C9orf135	2.41	0.92	0.84	7.34	2.25	0.0	1.57	0.0	0.0	0.0	29.7	0.0	14.56
CACNA2D1	33.3	55.49	12.83	75.64	102.25	124.37	181.28	343.89	0.0	0.56	1127.35	1277.29	1487.87
CHST3	138.1	44.57	15.8	119.26	107.38	31.9	376.41	237.86	0.0	0.74	872.1	246.28	135.24
CKB	1457.23	1081.39	236.21	4736.79	878.17	1322.37	1674.06	1407.55	0.0	0.96	17804.06	7589.61	2835.7
CLCN4	29.27	2.58	4.13	30.56	13.32	9.2	80.57	37.32	0.0	0.17	173.85	743.43	595.34
CREB5	38.95	33.3	13.12	108.14	14.24	19.68	130.6	181.28	0.0	0.53	603.67	61.68	138.1
CRYBG3	189.02	88.26	69.52	251.48	137.14	38.12	395.18	567.1	0.0	0.59	1250.98	260.38	599.49
CYP19A1	6.62	22.92	2.81	33.54	1.25	0.35	11.55	41.22	0.0	0.07	191.67	6.62	6.89
CYSTM1	1044.52	567.1	728.11	1259.69	785.88	791.35	878.17	2004.85	0.0	0.64	4419.52	2209.26	2875.3
DMPK	329.84	251.48	281.09	249.73	237.86	551.56	547.75	409.15	0.0	1.04	2224.63	3639.7	5517.27
DNASE1L1	1008.9	450.94	830.75	567.1	400.71	1088.92	638.15	703.28	0.0	0.47	1674.06	2400.97	2061.24
DUSP22	420.68	182.55	389.72	497.0	642.59	346.29	995.0	1135.2	0.0	0.93	2935.74	1259.69	1781.89
EFNB1	267.73	79.45	90.77	297.17	185.11	187.71	406.31	521.76	0.0	0.97	1561.89	1331.57	753.83
ELFN2	9.93	0.67	0.0	0.74	3.53	1.3	1.68	0.37	0.0	0.04	15.91	9.56	32.82
FAM43A	132.44	31.22	40.07	108.14	81.71	59.13	220.32	305.55	0.0	0.52	921.88	248.0	854.13
FGF22	0.54	0.48	1.79	3.35	0.0	2.63	4.78	5.23	0.0	0.17	24.28	5.82	2.68
FGF7	110.43	53.19	132.44	587.13	275.28	92.05	688.78	1175.27	0.0	0.41	3742.05	148.09	947.83
FNDC4	147.06	28.24	37.59	127.89	77.25	84.04	511.0	435.55	0.0	0.53	1487.87	395.18	543.96
GPC1	1369.04	316.37	260.38	1051.79	381.68	1059.11	909.17	457.25	0.0	1.16	4210.15	2400.97	2271.4
GPR133	36.01	6.46	9.06	50.27	28.86	9.63	75.64	241.19	0.0	0.72	813.63	616.37	108.9
GYS1	902.89	579.04	543.96	647.07	514.56	808.0	848.22	543.96	0.0	0.39	2090.03	2417.67	2664.15
IPO13	503.95	642.59	348.71	521.76	460.44	460.44	373.81	361.04	0.0	0.29	1407.55	1044.52	909.17
JAG1	397.93	253.23	395.18	575.03	379.04	299.25	928.3	775.05	0.0	1.0	2627.46	1183.45	1457.23
KCNK4	0.75	0.0	0.92	2.53	0.0	0.97	4.21	1.43	0.0	0.0	12.55	1.39	1.43
KCTD11	183.82	115.97	131.51	159.9	202.66	155.5	217.27	291.04	0.0	0.46	995.0	426.57	532.74
KIF1C	848.22	915.51	392.44	1216.75	1066.48	444.72	1605.83	1721.16	713.11	55.49	5183.54	12943.04	11267.44
