	TCGA.DS.A3LQ.01A.21R.A21T.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.IG.A3I8.01A.11R.A24K.31	TCGA.VR.A8ET.01A.11R.A406.31	TCGA.L5.A88Z.01A.11R.A36D.31	TCGA.IC.A6RF.11A.21R.A336.31	TCGA.UF.A71D.01A.12R.A34R.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.34.8456.01A.21R.2326.07	GTEX.12WSL.2126.SM.5GCNG	TCGA.N9.A4PZ.01A.22R.A28V.07
ABCB7	423.61	384.34	327.56	323.03	318.57	387.02	195.72	161.02	189.02	194.36	0.0	0.61	457.25	363.56	217.27
ABCC6	50.27	55.49	8.51	5.63	10.63	5.59	1.64	3.23	2.81	4.5	0.0	0.26	24.81	50.98	51.35
ACSS1	629.35	860.08	656.11	37.85	159.9	291.04	307.69	51.35	42.41	72.52	0.0	0.75	1191.69	567.1	426.57
ADNP2	289.02	201.25	229.72	217.27	256.78	237.86	157.68	186.4	190.34	246.28	0.0	0.34	339.14	149.12	215.77
AL354718.1	32.36	47.17	17.9	0.0	21.94	13.12	0.0	0.0	7.34	2.71	0.0	0.0	28.24	0.0	19.25
AL591479.1	183.82	73.54	127.0	35.0	78.89	115.97	53.95	35.0	8.99	47.84	0.0	0.01	271.48	277.2	47.5
ALKBH6	909.17	785.88	743.43	764.36	819.3	624.99	420.68	358.54	186.4	221.86	0.0	0.73	642.59	209.84	825.0
ANAPC5	2739.08	2720.15	1806.78	1199.98	1909.85	1628.26	1745.2	1651.0	1350.18	1388.16	0.0	0.56	1844.76	1936.53	3124.78
BHLHB9	128.79	51.35	53.19	26.67	40.07	16.63	22.59	4.94	17.25	8.19	0.0	0.16	202.66	40.93	124.37
C18orf54	64.8	58.71	90.14	27.84	31.0	34.51	20.26	7.34	24.63	12.45	0.0	0.27	74.58	15.91	123.5
C9orf72	297.17	198.47	197.09	186.4	228.13	170.25	92.7	127.0	49.56	109.66	0.0	0.61	258.57	124.37	229.72
CBWD1	1794.29	981.29	941.27	460.44	693.58	769.69	473.41	466.88	376.41	511.0	0.0	0.62	785.88	698.41	1322.37
CCM2L	81.14	157.68	15.34	16.51	61.68	36.01	9.85	9.41	4.39	13.62	0.0	0.04	63.45	37.59	220.32
CDC7	356.05	152.28	167.9	15.34	77.79	128.79	70.51	20.86	66.65	20.41	0.0	0.42	134.3	92.05	95.34
CHRNE	41.22	22.75	38.67	10.31	32.36	9.06	2.84	15.45	3.79	25.54	0.0	0.19	40.07	16.51	22.26
CLPSL2	3.5	34.51	3.86	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16	3.76	9.56	13.22
CXCR4	629.35	4543.8	612.11	81.14	135.24	209.84	258.57	297.17	108.14	532.74	0.0	0.52	909.17	624.99	698.41
DDT	3280.18	2148.82	2255.7	1594.73	2209.26	2133.97	2682.69	1104.13	1216.75	2701.35	0.0	0.8	3540.14	2047.0	4181.07
DPY19L1	988.12	348.71	371.22	169.07	299.25	130.6	144.01	46.5	62.12	81.14	0.0	0.71	327.56	139.07	271.48
DSN1	830.75	483.38	599.49	142.01	221.86	152.28	287.01	130.6	172.65	98.04	0.0	0.09	551.56	161.02	503.95
EIF2B1	1199.98	1561.89	860.08	775.05	961.07	866.07	647.07	507.46	624.99	555.41	0.0	0.36	941.27	728.11	1397.83
ELP6	728.11	974.5	412.0	295.11	353.59	432.53	309.83	281.09	255.0	316.37	0.0	0.0	503.95	429.54	764.36
EMD	4575.41	5112.16	3303.0	2468.49	3039.3	2720.15	1662.49	1617.0	1388.16	1977.24	0.0	0.8	4066.71	1991.0	2875.3
EPS8	1594.73	503.95	521.76	211.31	603.67	327.56	55.1	27.84	14.14	88.88	0.0	0.78	1233.75	587.13	361.04
F8	191.67	163.28	142.01	105.89	61.25	29.27	34.75	8.65	22.75	19.97	0.0	0.0	180.02	106.63	111.99
FASTKD5	438.59	450.94	406.31	314.17	356.05	281.09	249.73	241.19	260.38	223.41	0.0	0.06	236.21	438.59	334.46
FHL1	2400.97	4802.93	934.76	52.45	1628.26	5791.62	62.12	40.64	620.67	132.44	0.0	0.56	1832.01	684.02	1909.85
FRMD4A	624.99	346.29	728.11	279.14	264.03	253.23	105.15	316.37	183.82	264.03	0.0	0.68	172.65	269.6	381.68
FUNDC2	4607.24	4010.71	2451.44	1540.37	2224.63	1540.37	941.27	1008.9	1183.45	1191.69	0.0	1.01	2384.37	1936.53	3794.3
GAREML	341.51	169.07	198.47	29.48	116.78	59.97	19.68	10.96	11.55	43.94	0.0	0.48	318.57	47.84	208.38
GLYATL2	147.06	6.62	249.73	2.94	12.0	2.39	16.63	1.55	0.0	2.84	0.0	0.0	1583.71	9.41	96.68
GPAA1	2777.33	2591.27	2255.7	1119.56	1721.16	1832.01	995.0	1397.83	1870.53	1487.87	2645.74	591.22	2240.11	1896.65	2645.74
GPR137C	30.56	40.93	10.0	5.11	5.82	1.93	5.63	0.58	2.51	2.58	0.0	0.25	17.51	12.83	86.43
GPRASP2	218.79	159.9	69.03	59.97	68.55	58.71	24.46	5.54	36.79	26.67	0.0	0.28	403.5	106.63	237.86
GSTT2B	493.56	57.89	220.32	0.0	190.34	89.51	82.87	3.5	3.03	11.82	0.0	0.53	221.86	3.38	8.65
GSX2	3.17	17.38	1.41	0.0	0.52	0.0	0.0	0.0	0.0	0.0	0.0	0.02	70.01	0.0	1.5
HAUS1	928.3	743.43	819.3	318.57	518.15	466.88	246.28	236.21	234.57	318.57	0.0	0.31	698.41	409.15	842.36
HAUS4	2004.85	878.17	1044.52	607.87	947.83	575.03	620.67	228.13	325.29	400.71	0.0	0.72	1199.98	1628.26	525.39
IFT57	1051.79	1191.69	1159.07	368.65	595.34	480.04	511.0	368.65	842.36	409.15	0.0	0.52	651.58	532.74	1331.57
IGBP1	2061.24	1477.58	1030.12	1457.23	1286.18	1233.75	669.92	674.59	921.88	995.0	0.0	0.41	1991.0	1721.16	1059.11
ING4	902.89	1175.27	909.17	665.29	642.59	417.77	409.15	332.14	332.14	441.64	0.0	0.33	878.17	842.36	1407.55
KCNAB1	36.27	22.1	27.44	19.39	18.43	11.91	0.0	3.99	1.81	3.72	0.0	0.0	25.54	46.84	50.27
LENG1	314.17	341.51	258.57	206.94	177.53	122.64	84.63	105.89	159.9	106.63	0.0	0.04	234.57	132.44	214.27
LIMD2	656.11	2224.63	624.99	145.02	262.2	72.01	224.97	199.85	105.89	187.71	0.0	0.62	743.43	157.68	1508.65
LUZP2	13.93	28.24	7.75	3.32	3.29	1.5	0.0	0.0	1.0	0.39	0.0	0.0	40.36	6.06	23.25
MAP3K10	400.71	612.11	371.22	420.68	309.83	215.77	176.29	287.01	183.82	220.32	0.0	0.8	368.65	255.0	665.29
MAPRE1	3515.68	3955.48	3081.75	1896.65	1870.53	1167.14	2104.58	1594.73	2075.59	1709.26	0.0	0.62	1639.59	1250.98	1832.01
MDP1	743.43	518.15	647.07	212.78	341.51	285.03	231.32	143.01	144.01	209.84	0.0	0.3	967.76	334.46	336.79
MED29	872.1	743.43	723.08	454.09	503.95	454.09	283.05	791.35	591.22	612.11	0.0	0.57	921.88	500.46	1350.18
MLH1	470.14	486.75	348.71	256.78	258.57	348.71	248.0	151.22	195.72	251.48	0.0	0.37	366.09	379.04	297.17
MOAP1	409.15	660.68	406.31	218.79	358.54	316.37	231.32	371.22	144.01	183.82	0.0	0.41	490.14	283.05	329.84
MORF4L2	9409.14	5255.91	7280.4	6294.04	4869.99	4869.99	4639.29	4066.71	4239.45	4328.55	6887.62	277.2	6381.92	3303.0	7642.41
MYEOV2	5954.47	5366.37	3018.3	4512.4	4210.15	4210.15	2287.2	3639.7	4836.35	4038.61	0.0	0.71	2777.33	3564.78	9215.48
NAGA	651.58	412.0	571.05	336.79	299.25	281.09	198.47	221.86	166.73	376.41	0.0	0.44	759.08	353.59	371.22
NDOR1	356.05	353.59	253.23	108.14	279.14	223.41	154.42	158.79	157.68	108.14	0.0	0.72	193.01	194.36	403.5
NGDN	2468.49	1359.57	1477.58	1295.13	1340.84	848.22	813.63	435.55	647.07	389.72	0.0	0.91	1183.45	708.18	1059.11
NLGN3	23.76	103.69	17.13	5.19	15.0	7.75	2.51	2.05	3.0	2.68	0.0	0.27	24.63	2.66	150.17
NMUR2	5.19	6.41	2.86	2.46	1.69	0.49	0.58	0.0	0.0	0.0	0.0	0.03	15.91	0.0	25.17
NONO	13776.25	10512.82	8078.22	5147.73	5517.27	4736.79	4066.71	1883.54	3443.31	3190.46	8247.98	3280.18	10959.3	4769.75	6561.36
NRSN2	1896.65	1594.73	1350.18	113.56	1059.11	497.0	95.34	63.0	287.01	228.13	0.0	0.73	961.07	387.02	1594.73
NRXN2	141.02	647.07	98.04	3.5	44.89	8.19	12.09	5.19	7.82	10.71	0.0	0.23	44.57	3.38	583.07
OSM	111.21	71.5	60.82	18.43	36.79	12.74	14.14	39.79	51.71	14.45	0.0	0.17	18.84	38.67	34.02
PATZ1	454.09	684.02	438.59	53.57	237.86	206.94	265.87	50.63	37.05	61.25	0.0	0.28	743.43	665.29	915.51
PDXP	532.74	525.39	242.88	7.88	32.82	58.3	58.3	33.78	34.51	73.54	0.0	0.42	265.87	44.25	466.88
PGBD1	166.73	109.66	105.89	29.7	74.06	28.86	25.54	11.55	25.35	15.34	0.0	0.39	69.52	24.99	127.89
PGRMC1	5076.84	2537.92	2075.59	1572.76	1378.57	1268.46	1135.2	896.64	909.17	1143.1	0.0	0.74	2555.58	1781.89	3280.18
PI3	450134.56	1977.24	284880.02	2864793.06	3454390.1	5272295.22	204252.32	1903204.61	292889.12	517068.97	0.0	0.8	10733.74	2326934.84	1950.0
POP5	2682.69	1529.73	1023.0	620.67	896.64	819.3	878.17	381.68	341.51	525.39	0.0	0.04	947.83	665.29	1709.26
PRIM1	507.46	262.2	277.2	102.25	140.04	88.88	154.42	69.52	103.69	85.82	0.0	0.16	334.46	89.51	158.79
PRPS1	1268.46	1369.04	884.29	444.72	269.6	293.07	403.5	228.13	480.04	417.77	0.0	0.45	836.53	271.48	603.67
PRR18	5.15	43.02	1.64	0.0	3.79	0.0	1.28	0.0	0.0	0.0	0.0	0.0	0.18	1.11	36.27
RAB15	363.56	353.59	170.25	42.11	297.17	151.22	106.63	18.56	23.42	38.95	0.0	0.68	409.15	532.74	358.54
RABL5	796.86	890.44	764.36	221.86	583.07	242.88	214.27	98.73	283.05	198.47	0.0	0.06	660.68	500.46	1639.59
RASD1	647.07	132.44	651.58	44.89	674.59	65.72	78.89	90.77	58.71	353.59	0.0	0.53	595.34	507.46	915.51
RBBP9	376.41	208.38	320.8	215.77	170.25	164.42	100.13	149.12	147.06	166.73	264.03	93.35	255.0	301.33	277.2
RBM41	281.09	176.29	229.72	267.73	144.01	130.6	145.02	155.5	138.1	129.69	0.0	0.36	258.57	155.5	177.53
RBPMS2	148.09	525.39	120.94	25.72	65.26	312.0	4.17	12.09	1.53	17.0	0.0	0.64	38.4	13.03	285.03
RIBC1	68.55	63.45	49.56	18.84	26.86	23.93	10.08	4.74	2.51	8.85	0.0	0.0	78.34	68.55	139.07
RPA1	1832.01	1059.11	1819.35	733.19	1519.15	1233.75	1259.69	575.03	1259.69	1477.58	0.0	0.66	1378.57	1044.52	2004.85
RPRD1A	808.0	1331.57	954.43	665.29	703.28	684.02	348.71	447.82	599.49	567.1	0.0	0.62	890.44	587.13	1044.52
RRAGB	432.53	327.56	423.61	273.37	353.59	186.4	143.01	96.01	108.9	87.03	0.0	0.61	334.46	127.0	2976.74
SOX12	878.17	1259.69	684.02	220.32	555.41	348.71	316.37	62.56	127.0	199.85	166.73	412.0	616.37	103.69	1594.73
SRSF12	37.85	118.43	36.53	20.86	31.22	6.78	1.5	3.89	0.55	5.59	0.0	0.41	76.71	11.3	146.03
STXBP6	423.61	262.2	256.78	70.01	15.56	82.87	3.26	1.89	0.87	12.09	0.0	0.52	1073.91	2.25	82.87
TCEAL3	1963.57	1437.15	1159.07	111.21	540.19	988.12	226.54	102.25	185.11	285.03	0.0	0.74	1167.14	217.27	1417.35
TERF1	521.76	595.34	713.11	463.65	450.94	231.32	295.11	186.4	435.55	218.79	497.0	239.52	703.28	224.97	825.0
TMSB15B	273.37	258.57	269.6	124.37	102.25	128.79	18.84	2.27	4.13	40.07	0.0	0.47	253.23	15.56	400.71
TMX3	457.25	555.41	633.73	273.37	353.59	312.0	173.85	248.0	187.71	208.38	0.0	0.75	536.45	483.38	450.94
TPGS2	4066.71	2119.22	2104.58	1709.26	1757.34	1733.13	612.11	1119.56	995.0	2271.4	1936.53	107.38	3794.3	1781.89	2148.82
TRIM32	343.89	256.78	273.37	90.77	167.9	114.36	127.89	36.79	139.07	51.71	0.0	0.12	231.32	152.28	197.09
TSPAN6	1769.57	318.57	974.5	291.04	256.78	1628.26	500.46	417.77	281.09	356.05	0.0	0.37	1397.83	1250.98	1066.48
UQCR10	4575.41	2075.59	1883.54	2119.22	2777.33	2133.97	2682.69	2758.13	2178.83	3081.75	0.0	0.56	3467.27	3103.19	6207.38
USP11	1340.84	2758.13	2816.11	320.8	1167.14	595.34	289.02	129.69	229.72	325.29	0.0	0.75	2119.22	575.03	5831.91
USP40	684.02	575.03	595.34	536.45	532.74	412.0	204.07	299.25	441.64	157.68	0.0	0.67	633.73	466.88	525.39
USP51	36.01	29.27	27.05	3.76	7.69	3.92	1.39	4.17	2.43	4.9	0.0	0.0	35.0	4.54	38.12
