	TCGA.XF.AAN8.01A.11R.A42T.07	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.A3.3320.01A.02R.1325.07	TCGA.EU.5906.01A.11R.1672.07	TCGA.CZ.5468.01A.01R.1503.07	TCGA.B4.5834.01A.11R.1672.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.CJ.5689.01A.11R.1541.07	TCGA.B8.5545.01A.01R.1672.07	TCGA.CJ.4868.01A.01R.1305.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
A1CF	0.0	0.39	507.46	575.03	105.89	217.27	483.38	80.01	153.34	59.97	0.0	0.0
ACAA2	1685.71	1331.57	11827.67	9409.14	954.43	6887.62	12329.98	4328.55	3982.99	2163.77	0.0	0.58
ACADM	356.05	866.07	3589.58	2319.15	435.55	1769.57	2591.27	1447.15	1639.59	941.27	0.0	0.17
ACADSB	53.95	146.03	674.59	607.87	70.51	389.72	684.02	297.17	529.06	169.07	0.0	0.33
ACBD4	206.94	119.26	961.07	616.37	153.34	559.28	723.08	323.03	348.71	241.19	0.0	0.48
ACVR2B	18.7	19.53	72.01	55.49	21.94	50.27	69.03	23.25	72.52	40.07	0.0	0.25
AFG3L2	599.49	842.36	1467.37	1359.57	743.43	1167.14	2104.58	1143.1	1051.79	890.44	447.82	126.12
AGAP1	121.79	75.11	346.29	348.71	113.56	297.17	473.41	289.02	307.69	177.53	0.0	0.53
AKAP6	4.66	13.22	98.73	92.7	4.54	59.55	141.02	44.25	67.12	39.22	0.0	0.15
AL163636.6	211.31	27.84	1359.57	1340.84	226.54	1350.18	1883.54	551.56	738.29	775.05	0.0	0.03
ALDH5A1	61.68	447.82	293.07	318.57	82.87	111.21	351.14	220.32	232.94	111.99	0.0	0.0
ALG10B	18.97	18.56	111.99	103.69	22.75	60.39	114.36	45.21	63.0	33.78	0.0	0.22
AMOT	36.79	12.93	587.13	503.95	79.45	327.56	521.76	177.53	503.95	156.59	0.0	0.21
AOC1	9.34	607.87	6652.97	7382.04	346.29	3928.15	8538.88	1950.0	4388.98	1427.22	0.0	0.15
APC	37.85	112.77	283.05	231.32	100.13	211.31	366.09	156.59	204.07	117.6	0.0	0.24
APOOL	21.01	75.11	234.57	183.82	58.3	145.02	277.2	101.54	141.02	76.17	0.0	0.09
ARHGAP32	44.89	1295.13	395.18	262.2	49.21	170.25	423.61	101.54	155.5	92.7	47.17	189.02
ARPP21	0.0	0.0	217.27	65.26	0.72	38.4	102.97	12.0	0.0	10.0	0.0	0.0
ASH1L	72.01	152.28	441.64	406.31	100.13	341.51	587.13	201.25	373.81	173.85	0.0	0.67
ASXL3	2.71	1.06	52.08	36.27	0.37	21.47	71.5	15.45	19.68	11.47	0.0	0.25
BBS1	241.19	69.52	1183.45	1119.56	361.04	896.64	1286.18	591.22	638.15	486.75	0.0	0.57
BHMT	1.25	1.53	5791.62	6294.04	348.71	5329.3	6792.79	1529.73	7032.37	1104.13	0.0	0.0
CDKL5	1.2	61.68	141.02	87.03	59.55	52.82	154.42	60.82	89.51	43.94	0.0	0.04
CNNM3	138.1	146.03	642.59	603.67	142.01	486.75	591.22	397.93	470.14	371.22	154.42	110.43
COBL	30.34	8078.22	406.31	297.17	38.67	199.85	476.71	117.6	234.57	85.22	156.59	61.68
COG8	187.71	211.31	334.46	371.22	187.71	348.71	460.44	260.38	366.09	301.33	145.02	79.45
COX11	358.54	217.27	1096.5	941.27	567.1	1037.29	1191.69	836.53	921.88	629.35	0.0	0.4
CPNE8	212.78	9.93	595.34	521.76	149.12	470.14	514.56	334.46	334.46	295.11	0.0	0.75
DISP1	72.52	16.15	148.09	242.88	121.79	141.02	285.03	201.25	182.55	142.01	0.0	0.34
DNAL1	153.34	53.57	307.69	336.79	153.34	229.72	275.28	178.77	264.03	217.27	0.0	0.11
DZIP3	60.82	17.13	540.19	514.56	53.95	297.17	470.14	142.01	193.01	89.51	0.0	0.08
ENAM	0.0	0.0	76.71	127.89	0.71	57.89	267.73	40.07	67.12	15.45	0.0	0.0
EPHX2	264.03	1104.13	2555.58	2384.37	521.76	1427.22	2384.37	703.28	780.44	412.0	0.0	0.19
ERO1LB	65.26	2.2	271.48	246.28	148.09	218.79	341.51	202.66	178.77	170.25	0.0	0.71
ESPN	9.13	3467.27	915.51	620.67	98.73	450.94	854.13	107.38	194.36	108.9	0.0	0.0
FAM196B	0.39	0.13	111.99	113.56	1.36	17.0	127.0	13.22	18.29	5.45	0.0	0.15
FAM73A	31.45	78.34	567.1	511.0	116.78	334.46	624.99	205.5	283.05	199.85	0.0	0.21
FANCC	38.12	100.83	267.73	275.28	102.97	140.04	320.8	111.21	155.5	87.03	0.0	0.52
FARP1	466.88	226.54	2976.74	2664.15	525.39	1806.78	2915.45	2271.4	1757.34	1073.91	218.79	93.35
FBXL5	1111.82	1540.37	6699.25	5006.93	1936.53	3982.99	5366.37	3103.19	3928.15	2609.3	0.0	0.72
FBXO3	211.31	2875.3	1066.48	1037.29	447.82	878.17	988.12	651.58	819.3	507.46	0.0	0.56
FGD4	100.13	126.12	336.79	320.8	58.71	208.38	275.28	194.36	221.86	141.02	96.01	157.68
FREM2	0.0	0.83	181.28	197.09	0.37	66.18	244.57	55.1	57.49	21.32	0.0	0.0
FRMD3	28.24	8.32	669.92	651.58	49.21	559.28	688.78	476.71	429.54	205.5	0.0	0.04
GAREM	57.08	327.56	703.28	718.08	25.54	332.14	884.29	161.02	417.77	100.83	0.0	0.14
GLYATL1	1.93	8.51	3168.41	3928.15	134.3	954.43	3190.46	848.22	493.56	166.73	0.0	0.16
GMFB	299.25	236.21	723.08	872.1	265.87	543.96	764.36	497.0	688.78	483.38	0.0	0.45
GNE	167.9	759.08	547.75	587.13	209.84	460.44	642.59	314.17	444.72	329.84	115.16	72.52
GOLGB1	555.41	633.73	954.43	748.61	256.78	651.58	995.0	392.44	674.59	579.04	0.0	0.82
HDHD2	269.6	277.2	1030.12	974.5	368.65	647.07	1191.69	665.29	629.35	514.56	0.0	0.29
HERC3	136.19	825.0	1191.69	1135.2	303.44	599.49	1322.37	435.55	684.02	665.29	0.0	0.66
HLF	25.72	27.05	603.67	232.94	33.78	172.65	669.92	104.42	144.01	94.01	0.0	0.13
HUNK	26.1	21.94	156.59	63.89	9.41	44.89	99.43	17.64	69.52	20.71	0.0	0.0
IFNAR1	616.37	638.15	1151.06	1477.58	890.44	1457.23	1594.73	780.44	1268.46	928.3	0.0	0.42
IMPA2	525.39	8963.45	7485.11	7433.4	1651.0	5831.91	11909.94	2609.3	4210.15	1909.85	0.0	0.89
IMPACT	189.02	339.14	441.64	521.76	325.29	551.56	791.35	358.54	638.15	400.71	271.48	120.1
INADL	34.51	1119.56	1015.93	896.64	155.5	536.45	941.27	221.86	351.14	281.09	269.6	320.8
INVS	94.01	98.04	264.03	297.17	169.07	181.28	318.57	129.69	204.07	120.94	0.0	0.41
KBTBD6	36.79	102.25	84.04	108.9	44.57	126.12	186.4	123.5	150.17	90.77	0.0	0.0
KBTBD7	14.45	50.98	95.34	111.99	36.01	138.1	182.55	115.16	135.24	83.45	0.0	0.0
KCTD16	5.73	0.0	70.51	38.95	0.32	41.52	45.53	22.1	80.57	11.21	0.0	0.0
KIF13B	91.41	624.99	316.37	417.77	161.02	285.03	460.44	191.67	242.88	158.79	0.0	0.53
KIF16B	89.51	293.07	223.41	223.41	116.78	172.65	258.57	185.11	197.09	173.85	0.0	0.32
KL	22.59	2.36	1259.69	860.08	127.0	660.68	1051.79	480.04	511.0	211.31	0.0	0.07
KMT2A	70.51	122.64	536.45	406.31	119.26	353.59	559.28	187.71	371.22	223.41	0.0	0.25
KRT6B	0.0	9.677103146E8	0.0	5.23	0.0	0.0	0.0	0.0	35.5	3.03	0.0	0.52
KSR1	255.0	339.14	3515.68	2255.7	258.57	1073.91	3901.01	599.49	713.11	954.43	0.0	0.96
LGALS2	346.29	27.64	6983.79	3874.05	738.29	3443.31	6887.62	1819.35	3395.89	1685.71	0.0	0.0
