	GTEX.P4QT.0626.SM.3NMCP	GTEX.UJMC.0926.SM.4IHLK	TCGA.BP.4988.01A.01R.1334.07	TCGA.A3.3351.01A.02R.1325.07	TCGA.B0.4714.01A.01R.1277.07	TCGA.B2.4101.01A.02R.1277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.50.5931.11A.01R.1858.07	TCGA.50.6595.11A.01R.1858.07	GTEX.13G51.0426.SM.5K7Z5	GTEX.11OF3.1126.SM.5986C	GTEX.OHPM.0526.SM.2YUMJ
A4GNT	476.71	638.15	19.11	72.52	15.0	36.01	0.0	0.02	4.39	4.39	3.56	0.0	0.0
AC020922.1	14.14	22.26	69.52	23.93	38.12	12.93	0.0	0.54	3.17	9.93	9.13	3.08	3.2
AC027763.2	199.85	208.38	373.81	318.57	368.65	223.41	0.0	0.52	91.41	151.22	85.82	28.45	63.89
AC079602.1	1.138002091E7	1019901.63	47.5	140.04	271.48	69.52	0.0	0.0	0.33	1.3	0.0	0.0	0.0
AC131971.1	15.34	13.72	9.63	3.82	3.41	2.94	0.0	0.21	1.1	0.66	1.73	3.06	1.91
AC132192.1	102.25	47.84	46.84	89.51	81.14	40.64	0.0	0.38	18.29	20.86	5.23	5.68	30.12
AC135178.1	18.97	54.72	234.57	97.36	110.43	73.54	0.0	0.4	22.26	45.21	22.92	19.39	5.23
AC139426.2	13.62	10.88	27.44	16.03	26.47	13.72	0.0	0.21	3.38	11.82	3.32	1.77	2.53
ADAMTS10	205.5	450.94	1857.6	780.44	1388.16	921.88	0.0	0.96	155.5	379.04	229.72	181.28	64.34
AL357673.1	43.63	69.03	126.12	88.88	117.6	51.71	0.0	0.09	17.77	60.39	23.25	14.89	26.67
AMDHD2	368.65	802.41	1088.92	733.19	872.1	665.29	0.0	0.14	341.51	426.57	161.02	115.97	226.54
AMY2B	466.88	660.68	1313.23	1242.34	854.13	518.15	0.0	1.17	142.01	285.03	138.1	56.68	31.0
ANKAR	51.35	75.64	134.3	199.85	148.09	78.89	0.0	0.12	44.25	57.08	64.34	11.73	34.51
ANKRD32	31.22	54.33	190.34	134.3	115.97	100.13	0.0	0.35	40.64	73.03	39.79	13.62	20.71
AP000769.1	7.0	5.63	57.49	50.63	55.89	45.21	0.0	0.19	6.78	4.1	27.64	19.11	1.45
AP006621.5	100.83	170.25	460.44	189.02	460.44	251.48	0.0	0.42	122.64	134.3	77.79	16.39	38.95
ARHGAP33	151.22	466.88	647.07	426.57	587.13	289.02	0.0	0.96	59.55	114.36	40.07	21.01	11.38
ARHGEF33	17.0	23.59	45.85	25.91	25.72	19.53	0.0	0.35	5.59	6.06	13.12	4.98	23.42
