	TCGA.C4.A0F0.01A.12R.A10U.07	GTEX.RWS6.1826.SM.47JXX	GTEX.13U4I.2426.SM.5LU34	GTEX.13O61.1226.SM.5KM21	GTEX.WH7G.1026.SM.4LVML	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.MT.A67F.01A.11R.A30B.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HF.7132.01A.11R.2055.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.6527.01A.11R.1802.13	TCGA.FP.7735.01A.11R.2055.13	TCGA.BR.8296.01A.11R.2343.13	TCGA.BR.8687.01A.11R.2402.13	TCGA.CG.5722.11A.02R.1602.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
ACSS1	343.89	785.88	713.11	1529.73	967.76	51.35	148.09	0.0	0.75	1023.0	1447.15	1819.35	1794.29	1923.14	2287.2	981.29	1709.26	1151.06	669.92
ATRN	285.03	163.28	197.09	228.13	226.54	181.28	136.19	0.0	0.53	587.13	638.15	1037.29	307.69	808.0	934.76	536.45	764.36	493.56	206.94
B3GALT6	144.01	172.65	140.04	178.77	140.04	59.97	116.78	0.0	0.0	277.2	518.15	325.29	460.44	341.51	412.0	307.69	269.6	228.13	202.66
C12orf61	3.92	4.66	5.96	7.22	3.2	5.23	2.81	0.0	0.0	8.99	12.55	20.11	7.11	8.78	33.54	7.88	11.91	5.5	6.21
C16orf71	0.33	15.91	4.17	12.18	6.26	2.63	0.38	0.0	0.0	21.63	19.82	46.84	25.72	27.25	38.12	11.21	23.08	4.78	16.88
C1orf65	0.0	0.0	0.0	0.77	0.0	0.0	0.0	0.0	0.0	0.35	0.39	2.27	2.63	2.12	2.61	0.82	0.0	0.0	0.0
C2CD4D	0.64	2.73	5.06	3.53	1.95	4.7	2.58	0.0	0.17	40.07	46.18	113.56	103.69	34.02	60.39	29.48	45.21	19.53	27.25
CABP4	0.0	5.5	23.25	21.47	16.27	13.03	15.22	0.0	0.49	25.17	72.01	75.11	63.89	27.05	82.87	62.12	50.27	23.25	35.5
DACT2	0.0	0.0	13.12	2.36	3.92	0.79	1.1	0.0	0.0	8.78	135.24	237.86	125.24	10.31	206.94	8.99	8.65	18.56	13.22
DIO1	0.0	1.38	2.71	1.91	0.0	4.21	0.0	0.0	0.05	2.32	11.47	29.91	373.81	34.26	16.03	5.06	2.84	1.38	5.36
FAM222A	9.48	70.51	23.42	56.68	14.45	95.34	6.78	0.0	0.36	170.25	206.94	202.66	358.54	65.26	414.87	186.4	269.6	217.27	117.6
FGFR4	6.46	151.22	269.6	25.72	25.91	16.51	19.25	0.0	0.61	260.38	656.11	1457.23	3515.68	954.43	967.76	343.89	450.94	279.14	275.28
FOXP4	150.17	543.96	480.04	1233.75	1111.82	237.86	212.78	0.0	0.68	1498.22	1733.13	4607.24	3325.99	2816.11	3419.52	2032.85	2875.3	2193.99	1059.11
GATA5	2.76	0.77	3.44	27.44	9.41	0.0	0.0	0.0	0.24	37.05	371.22	848.22	87.65	819.3	17437.64	161.02	587.13	651.58	429.54
GP2	0.0	47.5	140.04	127.89	50.98	0.0	0.0	0.0	0.0	6840.04	229.72	10014.87	2400.97	842.36	5076.84	1617.0	2193.99	403.5	100.83
GPRC5B	81.14	193.01	148.09	599.49	397.93	21.63	75.64	66.18	90.77	728.11	1870.53	2875.3	2451.44	2591.27	2609.3	2520.38	2485.67	1407.55	1051.79
GSC	0.0	1.64	1.87	0.84	4.43	3.5	2.81	0.0	0.14	8.19	47.5	115.16	37.05	7.4	117.6	9.41	23.42	12.64	17.38
HUNK	5.19	8.78	16.75	8.65	2.73	3.14	4.94	0.0	0.0	23.93	74.06	116.78	37.32	67.59	108.9	41.81	10.0	27.25	10.24
IGFALS	0.0	41.22	7.94	88.26	84.63	0.0	0.0	0.0	0.0	116.78	63.89	1794.29	638.15	100.13	2915.45	100.13	518.15	432.53	283.05
KCNJ11	0.0	7.4	5.87	71.0	18.29	1.85	3.23	0.0	0.03	52.82	102.97	135.24	39.22	84.04	154.42	114.36	182.55	102.97	88.26
