	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.BP.4983.01A.01R.1334.07	TCGA.B0.5092.01A.01R.1420.07	TCGA.A3.3346.01A.01R.1766.07	TCGA.CZ.4858.01A.01R.1305.07	GTEX.11GSP.0626.SM.5986T	GTEX.ZPU1.0826.SM.57WG2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.13OW6.2626.SM.5IFF2	GTEX.14753.1626.SM.5NQ9L
AC084121.16	1.77	0.34	1.08	0.35	1.14	0.0	0.0	0.0	0.0	0.0	0.0
AC109829.1	17.38	3.72	4.7	3.5	8.06	3.14	0.89	1.33	0.0	1.07	1.04
AC117395.1	71.5	13.52	9.06	20.86	34.02	2.86	1.66	0.62	7.51	4.74	0.3
ADA	371.22	327.56	341.51	988.12	3235.01	98.73	67.12	138.1	64.8	60.39	48.87
ANP32A	1936.53	4512.4	3325.99	3874.05	4869.99	1685.71	2468.49	2104.58	2018.8	1529.73	1572.76
AP4M1	567.1	587.13	503.95	551.56	819.3	152.28	187.71	116.78	122.64	119.26	87.03
APOA1	4.94	8.45	1.83	0.73	119.26	2.009035788E7	57448.23	4.21783688E7	1.491230465E7	1.307221145E7	881742.8
ARHGAP11B	575.03	157.68	85.82	94.67	119.26	15.68	10.79	7.82	9.48	8.0	0.57
ARL6IP6	1268.46	915.51	197.09	518.15	1199.98	107.38	96.01	121.79	137.14	141.02	45.21
ASCL2	83.45	40.64	43.32	21.63	36.27	51.35	7.51	21.47	20.41	25.17	1.03
ATR	848.22	363.56	753.83	366.09	599.49	309.83	262.2	206.94	234.57	327.56	108.9
B3GNT9	152.28	113.56	480.04	67.12	791.35	54.33	19.25	45.85	38.95	60.39	5.11
BLM	199.85	126.12	81.71	63.0	110.43	5.96	11.82	11.73	7.06	3.17	16.63
BRSK1	343.89	100.83	80.57	77.79	206.94	51.71	8.99	16.39	2.86	15.91	5.96
C3orf67	94.01	237.86	34.02	119.26	242.88	19.97	49.56	47.84	28.65	7.69	74.58
C5orf34	81.71	42.41	29.91	37.59	53.19	10.0	4.94	5.11	8.78	7.51	0.04
CBX3	5147.73	5076.84	2895.31	3515.68	5041.77	1304.15	2032.85	854.13	928.3	1437.15	1008.9
CCDC18	151.22	98.73	84.63	55.89	108.9	63.45	28.86	38.67	25.35	37.59	5.28
CCDC34	185.11	211.31	185.11	242.88	307.69	30.34	13.22	52.82	66.65	103.69	44.89
CCDC41	348.71	137.14	161.02	164.42	149.12	121.79	44.57	37.05	69.52	62.12	20.86
CDC45	1674.06	265.87	107.38	191.67	214.27	15.8	6.21	14.89	10.16	36.53	2.97
CDCA4	954.43	287.01	150.17	153.34	236.21	18.56	45.21	23.76	30.78	43.32	7.69
CDKN3	1388.16	295.11	195.72	323.03	713.11	19.25	20.41	13.72	14.45	15.34	8.99
CENPO	295.11	366.09	178.77	175.07	406.31	23.59	41.81	49.21	36.53	23.08	13.03
CFL1	36106.23	19082.0	24153.43	17078.76	30785.28	6745.86	11345.82	9344.14	8022.41	6164.49	9808.75
CHRNA5	206.94	31.9	17.9	52.82	113.56	2.46	10.96	2.2	0.0	1.79	6.41
CHST11	151.22	624.99	285.03	457.25	529.06	55.1	51.71	69.03	36.53	45.85	45.85
CLIC3	231.32	297.17	289.02	66.65	191.67	120.94	13.62	23.42	33.78	30.56	8.65
CPNE1	8022.41	3039.3	3982.99	3794.3	6164.49	2875.3	656.11	1721.16	2104.58	2468.49	785.88
CPT1C	327.56	366.09	137.14	283.05	547.75	29.7	12.64	25.35	14.56	59.55	5.19
