	TCGA.A7.A3J0.01A.11R.A213.07	TCGA.D8.A1XC.01A.11R.A14D.07	TCGA.BH.A18S.01A.11R.A12D.07	TCGA.D8.A1XV.01A.11R.A14M.07	TCGA.E2.A1IK.01A.11R.A144.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.AO.A12B.01A.11R.A10J.07	TCGA.DD.A3A4.01A.11R.A22L.07	TCGA.BC.A69I.01A.11R.A311.07	GTEX.12696.0826.SM.5EGGE	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.HC.7745.11A.01R.2118.07	TCGA.HC.7211.11A.01R.2118.07	TCGA.HC.7737.11A.02R.2118.07	TCGA.HC.8258.11A.01R.2263.07	TCGA.HC.7738.11A.01R.2118.07	TCGA.HC.7747.11A.01R.2118.07	TCGA.HC.7740.11A.01R.2118.07	GTEX.Y8E4.2126.SM.5RQHO
AARD	353.59	11.38	175.07	135.24	417.77	1051.79	334.46	0.0	2.66	0.0	0.0	0.0	0.42	0.43	3.0	1.81	0.93	1.35	0.91	20.71
AGTR1	1023.0	80.01	612.11	18.84	1745.2	1551.09	1896.65	1001.93	301.33	1191.69	0.0	0.45	47.84	10.31	28.24	10.55	53.95	33.78	13.62	208.38
AKAP5	28.65	53.19	91.41	42.11	60.82	24.63	41.81	1.41	3.79	5.73	0.0	0.05	15.22	3.89	3.35	3.06	10.16	5.32	11.55	15.45
APTX	708.18	819.3	836.53	878.17	813.63	830.75	633.73	575.03	490.14	409.15	0.0	0.88	493.56	480.04	463.65	476.71	432.53	460.44	540.19	583.07
B3GALT5	146.03	301.33	27.44	33.78	37.05	183.82	197.09	0.0	0.0	0.01	0.0	0.05	1.19	0.0	1.17	0.37	0.39	0.8	1.25	2.18
B4GALNT4	688.78	555.41	197.09	187.71	511.0	612.11	559.28	0.0	1.06	5.36	0.0	0.83	95.34	275.28	167.9	85.22	138.1	102.25	59.55	74.06
BNIPL	503.95	1023.0	1508.65	738.29	125.24	1059.11	1477.58	1.91	3.66	1.51	0.0	0.19	183.82	358.54	169.07	271.48	521.76	476.71	438.59	476.71
C16orf59	127.89	61.25	54.33	67.12	70.01	81.14	115.16	25.54	17.38	33.54	0.0	0.0	30.56	27.25	35.25	21.16	18.97	24.11	34.51	15.91
C1orf173	363.56	33.78	14.24	21.47	11.73	246.28	34.75	0.0	0.85	0.72	0.0	0.0	3.44	3.92	5.02	3.14	2.34	2.25	10.08	1.2
C20orf112	417.77	521.76	291.04	332.14	336.79	567.1	559.28	62.12	59.55	67.12	166.73	339.14	343.89	348.71	262.2	215.77	293.07	318.57	400.71	273.37
C4orf50	4.58	4.35	1.45	0.75	0.96	0.36	6.21	0.0	0.0	0.0	0.0	0.0	1.01	0.0	0.47	0.0	1.1	0.0	0.0	2.39
CDCA2	90.77	30.34	13.83	46.18	49.21	40.64	50.27	16.15	2.56	0.0	0.0	0.08	4.31	2.76	6.26	2.84	3.38	0.75	10.0	11.3
CELSR2	2417.67	2739.08	713.11	902.89	1104.13	1651.0	3212.66	20.41	43.02	10.47	0.0	0.57	490.14	432.53	1081.39	624.99	376.41	450.94	629.35	392.44
CPNE9	14.89	22.43	1.23	3.86	6.52	5.32	22.75	0.58	0.55	0.43	0.0	0.0	0.0	5.19	2.1	10.0	2.27	5.28	1.17	0.13
CRKL	679.29	860.08	647.07	780.44	551.56	947.83	693.58	473.41	406.31	262.2	698.41	3716.2	616.37	470.14	579.04	470.14	563.18	470.14	551.56	420.68
CTD-3193O13.9	417.77	303.44	110.43	134.3	197.09	155.5	172.65	2.66	3.76	0.67	0.0	0.31	51.35	145.02	86.43	78.89	62.12	105.89	102.25	82.29
CYTIP	525.39	1721.16	642.59	612.11	1437.15	961.07	2451.44	8.38	36.01	22.26	0.0	0.41	31.22	20.71	64.8	59.97	44.89	26.47	20.86	40.07
DCLK1	3103.19	780.44	301.33	457.25	1487.87	153.34	2319.15	1.93	2.2	0.72	0.0	0.25	68.07	9.78	40.64	10.96	63.0	38.12	31.67	22.26
DDR1	6840.04	5112.16	4066.71	4095.0	4639.29	4802.93	5791.62	7.22	32.36	24.11	0.0	0.42	2739.08	2367.9	4066.71	2956.17	2451.44	2777.33	3060.45	3280.18
DISP2	748.61	460.44	3.76	830.75	1909.85	500.46	1628.26	52.82	11.04	6.84	0.0	0.0	293.07	341.51	384.34	224.97	334.46	473.41	363.56	232.94
DNAI1	147.06	119.26	27.64	77.79	25.17	40.36	111.99	0.0	1.62	0.0	0.0	0.0	6.11	14.24	8.45	7.4	3.92	4.31	25.35	3.44
DPF1	27.25	70.51	3.29	10.0	17.38	77.79	41.81	0.0	0.0	0.0	0.0	0.41	7.0	5.11	3.44	1.58	3.26	2.61	4.7	3.23
DUSP13	5.41	57.49	11.21	19.82	24.81	34.51	51.35	0.0	2.18	0.0	0.0	0.54	2.58	2.63	5.96	1.11	1.16	1.11	8.25	5.77
DYDC1	33.54	13.93	2.34	1.89	1.93	2.41	11.3	0.0	0.0	0.0	0.0	0.0	1.97	1.5	2.43	0.0	0.0	1.01	0.0	0.0
DYDC2	217.27	124.37	44.57	6.01	30.12	29.48	214.27	0.0	5.11	16.27	0.0	0.0	5.5	9.27	46.5	16.75	3.59	4.21	7.63	2.97
EIF4E1B	0.37	289.02	12.18	70.51	6.31	299.25	392.44	0.0	0.0	0.0	0.0	0.04	0.0	0.0	33.54	1.87	0.46	0.0	0.0	0.0
EML2	2384.37	1572.76	1498.22	1216.75	1883.54	1617.0	2701.35	281.09	187.71	198.47	0.0	0.87	1304.15	1508.65	1561.89	1551.09	1378.57	1159.07	1295.13	1651.0
EMP2	1628.26	2720.15	2178.83	1350.18	1277.29	2163.77	3303.0	819.3	2163.77	2255.7	1233.75	1295.13	647.07	486.75	1617.0	473.41	579.04	457.25	872.1	432.53
FAM134B	728.11	466.88	575.03	470.14	1304.15	633.73	1437.15	497.0	151.22	86.43	69.52	103.69	136.19	71.5	193.01	214.27	197.09	108.9	147.06	277.2
FFAR2	24.81	63.45	16.27	21.32	156.59	111.99	231.32	0.0	9.7	12.45	0.0	0.35	11.91	0.0	4.17	1.16	1.62	1.97	1.16	30.34
FHL2	2367.9	7749.1	2720.15	7130.55	8191.0	5555.65	13872.08	78.34	197.09	74.06	0.0	0.88	2104.58	1477.58	1417.35	1519.15	1350.18	1313.23	1259.69	1242.34
GPR82	5.32	9.48	5.19	6.31	12.27	17.0	13.52	0.27	0.58	2.03	0.0	0.0	1.66	2.12	6.21	4.82	5.87	1.73	1.73	4.98
GRM4	314.17	785.88	389.72	361.04	381.68	397.93	703.28	0.0	0.0	2.34	0.0	0.0	0.0	0.0	2.01	0.0	0.65	0.0	8.92	0.77
HES2	54.33	36.79	4.13	6.78	27.05	21.78	29.91	0.0	3.63	1.66	0.0	0.13	1.14	2.81	27.44	0.79	0.39	2.86	3.29	11.3
HOXB2	3060.45	3589.58	1001.93	1088.92	1388.16	629.35	1794.29	16.39	46.5	12.64	0.0	0.99	633.73	947.83	688.78	866.07	559.28	796.86	842.36	414.87
IRS2	1119.56	1183.45	262.2	785.88	571.05	713.11	1295.13	536.45	595.34	312.0	0.0	0.38	279.14	656.11	267.73	228.13	423.61	149.12	307.69	163.28
KLHDC7B	642.59	144.01	27.25	64.8	37.05	83.45	206.94	14.45	25.91	4.66	0.0	0.23	18.84	9.2	34.02	19.25	8.06	5.15	22.59	15.56
KLHL35	80.01	205.5	6.46	94.67	220.32	90.77	277.2	0.57	1.35	0.58	0.0	0.09	8.99	37.05	32.13	29.06	13.62	13.93	13.62	28.04
LASP1	7081.29	5006.93	2720.15	3395.89	3874.05	3325.99	5954.47	1427.22	866.07	1159.07	1991.0	521.76	1199.98	1407.55	1313.23	1378.57	1208.34	1143.1	1417.35	1487.87
