	TCGA.AR.A1AO.01A.11R.A12P.07	TCGA.BH.A0DT.11A.12R.A12D.07	TCGA.BH.A18N.11A.43R.A12D.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.WYBS.0926.SM.3NM94	GTEX.ZF2S.2026.SM.5E461	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.GH.A9DA.01A.21R.A37O.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC079210.1	4.28	3.38	4.98	9.13	12.74	21.47	1.1	6.73	0.0	0.21
AC131971.1	1.51	6.36	2.2	5.28	10.16	15.22	3.47	2.61	0.0	0.21
AGAP8	75.64	197.09	85.82	234.57	204.07	307.69	37.32	60.82	0.0	0.64
AGBL3	28.45	29.7	38.12	67.59	55.1	99.43	10.96	13.72	0.0	0.29
AGL	165.57	303.44	297.17	483.38	575.03	866.07	62.56	66.65	0.0	0.2
AGTR2	0.0	1.0	0.68	4.7	0.0	13.42	0.0	0.0	0.0	0.0
AL359878.1	0.75	1.43	2.56	1.89	1.39	2.73	0.33	0.0	0.0	0.06
ALDH1A1	1378.57	1001.93	2645.74	3467.27	2090.03	4388.98	366.09	14.56	0.0	0.78
ALS2CR11	2.84	7.51	9.78	34.02	15.34	36.53	0.0	0.48	0.0	0.23
ANKMY2	366.09	476.71	460.44	872.1	624.99	967.76	177.53	150.17	0.0	0.4
AP000295.9	7.82	2.73	15.0	26.86	14.78	54.72	7.46	2.07	0.0	0.0
APLP2	8191.0	10733.74	10808.41	8718.32	15180.22	23820.89	4210.15	6121.9	5517.27	363.56
ARSD	738.29	1529.73	1199.98	1457.23	1508.65	2956.17	444.72	305.55	299.25	194.36
BFSP1	49.91	41.22	52.08	66.18	66.65	156.59	29.48	2.73	0.0	0.0
BICC1	316.37	212.78	320.8	651.58	348.71	713.11	1.43	80.01	36.53	141.02
BSN	3.66	11.3	5.32	10.24	5.87	32.13	0.01	1.03	0.0	0.13
C17orf104	3.79	3.96	8.38	10.0	9.06	18.56	2.53	1.87	0.0	0.32
C1QTNF3	441.64	211.31	202.66	559.28	1175.27	1081.39	39.5	16.51	0.0	0.47
C8orf86	0.37	1.01	2.07	1.77	11.21	10.16	0.0	0.0	0.0	0.0
CCDC108	0.75	6.46	5.23	8.13	1.87	32.36	2.86	1.83	0.0	0.0
CCDC155	1.81	3.47	0.0	3.79	3.29	9.34	28.04	0.0	0.0	0.0
CCDC168	0.38	0.37	0.37	0.73	0.13	1.39	0.0	0.0	0.0	0.0
CCDC83	0.73	3.35	2.76	2.34	1.68	20.86	0.0	0.0	0.0	0.02
CCNG1	1745.2	2148.82	2573.36	3639.7	3690.52	4543.8	2004.85	1175.27	0.0	0.68
CHN2	96.68	52.08	106.63	256.78	120.1	366.09	4.9	12.45	0.0	0.47
CHRM5	2.23	4.58	2.53	1.93	2.81	6.78	1.95	0.41	0.0	0.0
CLEC18B	5.11	11.82	8.0	10.24	1.36	35.76	118.43	5.06	0.0	0.59
COL14A1	1259.69	3257.52	1540.37	7230.1	7642.41	12244.81	72.01	14.78	0.0	0.33
CPED1	105.89	173.85	575.03	285.03	320.8	551.56	2.97	8.85	0.0	0.17
CRH	0.0	0.34	0.69	0.0	0.99	1.01	0.0	0.0	0.0	0.0
DCDC2B	1.97	1.51	3.79	10.88	3.41	11.3	2.61	1.81	0.0	0.0
DEPTOR	251.48	1119.56	743.43	1143.1	1225.22	1477.58	12.09	5.28	0.0	0.16
DHX40	616.37	941.27	764.36	1295.13	1259.69	1594.73	363.56	273.37	0.0	0.48
DKK4	0.62	37.32	8.0	67.59	24.28	80.57	23492.92	1.35	0.0	0.0
DNAJC28	36.53	40.36	47.17	69.03	55.49	85.82	32.59	5.82	0.0	0.0
DNALI1	130.6	743.43	698.41	1977.24	1088.92	3564.78	0.0	19.82	0.0	0.39
ECM2	381.68	638.15	1617.0	2485.67	1388.16	2573.36	40.07	9.85	0.0	0.0
FAM102B	224.97	379.04	336.79	540.19	713.11	703.28	18.16	27.05	0.0	0.35
FAM106A	6.89	7.06	6.84	26.86	25.91	32.59	2.48	1.06	0.0	0.22
FAM186B	7.22	15.34	12.09	22.59	15.91	20.71	4.13	1.04	0.0	0.09
FCRL2	15.45	3.63	4.06	12.09	2.34	18.97	0.0	0.35	0.0	0.46
FTO	1225.22	3168.41	2468.49	2701.35	5366.37	9215.48	209.84	221.86	295.11	624.99
GALP	0.0	0.68	0.0	0.0	0.0	2.58	0.0	0.0	0.0	0.0
GDPD1	70.51	73.03	87.03	182.55	95.34	229.72	41.52	7.22	0.0	0.06
GLCCI1	201.25	171.45	281.09	759.08	332.14	769.69	56.68	29.91	0.0	0.32
GLI2	27.25	52.08	40.93	78.89	38.4	142.01	0.0	3.82	0.0	0.6
GLT8D2	642.59	764.36	536.45	1639.59	1407.55	2591.27	31.67	110.43	0.0	0.28
GOLGA8O	6.01	54.72	38.67	127.89	92.7	105.15	10.55	3.63	0.0	0.34
GSTT2B	10.16	24.63	49.56	59.55	69.52	483.38	24.28	4.94	0.0	0.53
HEPH	297.17	518.15	361.04	490.14	638.15	1242.34	7.06	18.16	70.51	114.36
HIGD1C	0.0	0.0	0.0	0.0	1.48	1.45	0.0	0.0	0.0	0.0
HSDL1	358.54	503.95	460.44	624.99	559.28	1015.93	256.78	117.6	0.0	0.43
IGSF10	108.14	183.82	420.68	1561.89	1340.84	1529.73	0.91	0.91	0.0	0.49
IL27RA	432.53	323.03	262.2	733.19	144.01	656.11	53.57	145.02	0.0	0.52
IL5	2.58	1.06	1.45	1.93	2.16	3.47	0.51	0.0	0.0	0.0
INSRR	3.92	2.61	6.89	10.63	3.99	10.31	0.0	0.71	0.0	0.12
ITPR2	241.19	420.68	457.25	1151.06	1457.23	2555.58	595.34	128.79	0.0	0.41
KIAA0087	0.36	4.9	6.06	3.86	1.16	10.0	1.57	0.0	0.0	0.0
KIAA2018	187.71	265.87	255.0	307.69	273.37	409.15	181.28	87.03	0.0	0.45
KLHL7	567.1	567.1	567.1	1183.45	954.43	1088.92	221.86	376.41	0.0	0.6
KLK1	33.78	125.24	16.75	55.1	26.67	217.27	5517.27	23.59	0.0	0.25
KYNU	2555.58	825.0	309.83	301.33	642.59	1159.07	660.68	780.44	0.0	0.51
LCA5	59.13	198.47	163.28	387.02	234.57	521.76	5.82	12.36	0.0	0.14
LOH12CR2	20.11	41.52	45.85	65.26	45.85	155.5	1.38	3.26	0.0	0.0
LRP12	205.5	201.25	169.07	291.04	329.84	486.75	48.18	32.82	0.0	0.54
LRRC17	239.52	444.72	156.59	1001.93	1051.79	2609.3	6.89	8.99	0.0	0.11
LRRC69	28.04	29.06	33.3	8.85	75.11	54.72	3.29	2.81	0.0	0.51
LUM	29531.18	10014.87	13492.72	53601.03	42641.37	59474.18	1159.07	2224.63	0.0	0.58
LY6G6F	0.0	0.72	0.0	0.88	1.87	1.45	0.0	0.0	0.0	0.0
MAGEE2	1.43	3.44	4.21	11.04	2.92	8.85	0.67	0.0	0.0	0.0
MAML3	87.03	154.42	129.69	309.83	193.01	392.44	221.86	5.15	0.0	0.35
METTL21B	189.02	332.14	295.11	343.89	341.51	412.0	77.25	108.9	0.0	0.36
METTL24	21.47	24.63	22.75	35.0	51.71	68.55	0.0	1.43	0.0	0.29
MIA2	1.39	0.65	1.36	6.36	1.51	45.53	0.0	0.0	0.0	0.0
MICU1	780.44	1044.52	947.83	1073.91	1322.37	1529.73	397.93	381.68	0.0	0.68
MOGAT2	76.71	144.01	74.58	118.43	376.41	429.54	0.89	0.0	0.0	0.05
MRFAP1L1	1233.75	1721.16	1561.89	2555.58	1806.78	3467.27	1605.83	346.29	0.0	0.35
NAIP	348.71	336.79	397.93	629.35	651.58	796.86	68.55	81.14	164.42	307.69
NAP1L3	54.33	71.0	82.87	221.86	130.6	275.28	2.53	1.73	0.0	0.13
NCAM2	90.14	151.22	75.11	94.67	559.28	543.96	57.08	0.39	0.0	0.41
NFAT5	127.89	332.14	351.14	642.59	480.04	896.64	249.73	57.49	0.0	0.48
NOXRED1	7.17	18.29	17.25	24.81	16.03	23.93	18.97	1.93	0.0	0.21
NR2F1	241.19	271.48	660.68	5041.77	389.72	3060.45	87.65	11.38	0.0	0.83
NSUN7	39.5	129.69	131.51	246.28	153.34	197.09	113.56	3.26	0.0	0.32
OLFML1	287.01	182.55	379.04	708.18	540.19	1037.29	76.17	11.04	0.0	0.15
OR11L1	0.0	0.0	0.0	0.83	0.83	0.85	0.0	0.0	0.0	0.0
OR1K1	0.0	2.23	0.75	0.0	0.0	1.57	0.0	0.0	0.0	0.0
OR56B1	0.8	1.53	1.17	0.78	0.78	2.12	0.0	0.0	0.0	0.06
PBLD	90.14	161.02	173.85	171.45	301.33	575.03	34.26	34.51	0.0	0.32
PEX12	120.1	201.25	172.65	376.41	127.0	400.71	107.38	27.25	0.0	0.0
PON3	100.83	796.86	406.31	819.3	379.04	1208.34	0.0	9.06	0.0	0.35
PPP1R9A	39.79	140.04	131.51	368.65	316.37	289.02	0.0	0.4	31.0	35.0
PRKAA2	20.71	78.34	74.58	208.38	285.03	246.28	15.0	3.41	0.0	0.36
PROX2	5.63	7.94	8.06	10.79	9.63	16.39	1.45	4.46	0.0	0.19
PRPF4	607.87	486.75	438.59	775.05	684.02	884.29	400.71	476.71	0.0	0.4
PTGR2	195.72	376.41	297.17	540.19	679.29	674.59	327.56	64.8	0.0	0.28
RAD21L1	0.0	1.03	1.06	0.0	3.89	7.22	0.0	0.0	0.0	0.04
