	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A893.01A.11R.A36D.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.JY.A93F.01A.21R.A37I.31	TCGA.JY.A6FG.01A.11R.A336.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.YFC4.1226.SM.5LU9R	GTEX.ZYT6.1126.SM.5GZYR	TCGA.38.4625.01A.01R.1206.07	GTEX.S7SE.0926.SM.2XCD6	GTEX.111FC.1126.SM.5GZWU	GTEX.X3Y1.0626.SM.3P5YS	TCGA.85.7710.11A.01R.2125.07	GTEX.ZT9W.2126.SM.51MSF	TCGA.BR.A44T.01A.32R.A24K.31	TCGA.BJ.A28X.11A.11R.A22L.07	TCGA.EL.A3ZP.11A.11R.A23N.07
ABHD14A	162.14	303.44	195.72	214.27	151.22	271.48	102.25	96.68	187.71	157.68	204.07	305.55	0.0	1167.14	1143.1	753.83	518.15	146.03	633.73	902.89	1143.1
AC008964.1	65.72	77.25	27.44	28.04	157.68	114.36	591.22	56.68	74.06	64.34	41.22	87.03	0.0	1059.11	223.41	872.1	543.96	29.7	575.03	409.15	194.36
ACAP1	182.55	309.83	111.21	197.09	262.2	293.07	237.86	147.06	129.69	293.07	129.69	836.53	0.0	1819.35	493.56	1583.71	2796.65	19.68	2004.85	2193.99	878.17
APBB1IP	131.51	202.66	35.5	27.44	27.44	100.13	88.26	59.97	122.64	119.26	16.63	117.6	0.0	571.05	221.86	1044.52	934.76	32.82	836.53	500.46	246.28
ARHGAP4	450.94	656.11	147.06	480.04	187.71	563.18	387.02	256.78	432.53	366.09	112.77	599.49	0.0	2573.36	2240.11	2271.4	2224.63	61.68	2224.63	2271.4	1059.11
ARHGAP9	191.67	493.56	84.63	40.07	98.73	403.5	242.88	189.02	201.25	320.8	65.26	555.41	0.0	1781.89	902.89	1159.07	2739.08	61.25	2796.65	2287.2	769.69
ARHGDIB	2720.15	3349.13	2240.11	723.08	808.0	2468.49	2609.3	1639.59	3794.3	1950.0	587.13	2047.0	0.0	16611.71	16727.26	17437.64	14065.74	1498.22	11267.44	10084.54	5403.7
BBIP1	246.28	500.46	279.14	285.03	202.66	301.33	334.46	251.48	271.48	234.57	299.25	500.46	0.0	603.67	470.14	836.53	607.87	172.65	1008.9	713.11	785.88
BEND4	0.77	1.68	0.0	0.0	0.0	0.0	0.12	0.0	0.0	1.2	0.0	4.46	0.0	6.78	12.36	0.62	37.59	0.24	18.7	13.83	4.82
BTN2A2	153.34	514.56	88.88	63.89	105.15	190.34	185.11	169.07	124.37	111.99	77.79	199.85	291.04	1183.45	921.88	660.68	1143.1	23.08	486.75	651.58	444.72
C10orf128	248.0	297.17	62.12	38.12	69.03	303.44	218.79	141.02	177.53	185.11	43.32	303.44	0.0	1662.49	791.35	1417.35	988.12	114.36	460.44	842.36	346.29
C16orf54	11.13	24.63	2.2	6.94	1.01	14.24	21.78	4.35	8.25	20.26	0.84	45.21	29.06	791.35	173.85	1199.98	318.57	5.19	332.14	157.68	80.57
C16orf86	68.55	107.38	17.51	50.63	44.57	120.1	85.82	53.57	60.82	70.01	18.43	81.14	0.0	170.25	130.6	175.07	122.64	19.82	94.67	149.12	167.9
C17orf80	156.59	187.71	159.9	129.69	115.97	106.63	161.02	100.13	130.6	105.89	105.89	186.4	0.0	236.21	248.0	281.09	301.33	136.19	264.03	305.55	403.5
CALCB	0.6	1.89	0.27	0.0	0.3	1.01	0.83	0.0	0.79	0.0	0.0	1.79	0.0	1.51	2.03	1.93	1.17	0.0	13.83	18.03	14.45
CARD11	66.65	77.79	7.17	5.77	5.54	29.06	26.67	14.45	20.86	33.3	2.39	98.04	0.0	1008.9	281.09	836.53	674.59	4.82	493.56	329.84	147.06
CCL5	176.29	256.78	44.89	105.89	187.71	825.0	248.0	88.26	136.19	117.6	42.71	1030.12	819.3	14765.09	4704.07	7032.37	1437.15	87.03	2855.44	1883.54	848.22
CCR5	24.81	33.06	4.24	5.92	4.28	25.35	27.84	10.96	19.97	14.24	3.35	56.68	0.0	1023.0	57.89	708.18	164.42	4.13	149.12	201.25	80.01
CD180	13.93	54.72	2.81	0.6	0.55	13.93	5.92	7.4	5.15	27.64	3.69	19.82	0.0	58.71	27.44	125.24	759.08	2.12	503.95	246.28	65.72
CD2	94.67	133.36	10.0	21.47	31.45	108.14	156.59	58.71	62.56	77.79	13.22	316.37	0.0	4972.34	373.81	8901.53	1044.52	37.85	1225.22	902.89	426.57
CD247	38.67	120.94	8.78	21.16	15.45	85.22	45.21	42.71	68.55	71.0	18.43	109.66	0.0	743.43	1242.34	860.08	941.27	22.43	312.0	693.58	323.03
CD27	65.26	147.06	9.34	11.38	13.42	79.45	47.84	47.5	25.17	82.29	9.41	131.51	0.0	5831.91	334.46	3190.46	1529.73	13.83	1059.11	1119.56	551.56
CD37	361.04	954.43	136.19	77.79	144.01	414.87	212.78	186.4	206.94	872.1	61.68	656.11	0.0	17197.56	3955.48	10883.59	8778.97	59.97	11267.44	3768.09	1963.57
CD3D	81.71	228.13	8.51	17.77	45.53	198.47	127.89	55.49	99.43	135.24	10.71	267.73	0.0	2720.15	723.08	4639.29	1561.89	189.02	1639.59	1159.07	563.18
CD3E	134.3	329.84	24.81	42.41	55.89	241.19	221.86	104.42	111.99	183.82	19.53	301.33	0.0	6840.04	1127.35	14663.09	1923.14	71.5	2555.58	1963.57	780.44
CD40LG	6.67	14.89	0.27	0.89	0.0	1.53	17.38	7.11	6.89	7.94	2.12	31.45	0.0	389.72	123.5	1950.0	164.42	7.06	162.14	176.29	73.54
CD48	90.14	201.25	18.43	15.68	26.86	120.1	90.14	51.35	70.51	189.02	33.06	325.29	0.0	7230.1	2627.46	3820.7	4328.55	23.76	3235.01	1745.2	743.43
CD5	20.71	63.45	2.25	3.44	3.14	21.16	19.68	10.79	14.78	24.99	3.89	68.55	0.0	819.3	172.65	1331.57	441.64	8.71	325.29	361.04	159.9
CD52	607.87	1844.76	123.5	106.63	198.47	981.29	612.11	406.31	503.95	1295.13	165.57	1674.06	0.0	40062.48	27938.14	13586.57	34635.37	249.73	25530.66	7331.05	3212.66
CD6	34.75	145.02	3.53	8.99	6.73	55.89	88.88	27.05	52.45	50.98	7.17	204.07	89.51	961.07	265.87	1721.16	595.34	12.83	669.92	579.04	265.87
CD8B	21.01	49.56	3.56	7.63	20.11	37.59	23.42	14.67	10.79	24.63	7.69	129.69	0.0	1066.48	71.5	1030.12	269.6	16.75	255.0	368.65	147.06
CD96	26.86	95.34	13.62	17.25	48.52	34.75	70.01	14.24	25.91	42.11	3.47	156.59	0.0	819.3	307.69	713.11	334.46	28.04	363.56	397.93	217.27
CEACAM21	30.34	35.25	6.46	10.16	13.42	36.01	16.27	5.45	13.83	30.34	1.16	25.17	0.0	318.57	358.54	450.94	441.64	0.35	182.55	249.73	91.41
CLEC2D	109.66	361.04	50.27	76.17	126.12	152.28	194.36	103.69	108.14	158.79	41.22	275.28	0.0	878.17	363.56	974.5	1183.45	15.34	1191.69	1015.93	555.41
COA5	521.76	493.56	555.41	743.43	486.75	450.94	563.18	595.34	579.04	529.06	438.59	854.13	0.0	1059.11	616.37	1135.2	1059.11	358.54	1088.92	1104.13	1030.12
CORO1A	599.49	1883.54	149.12	228.13	205.5	802.41	629.35	346.29	559.28	1001.93	232.94	961.07	1051.79	5711.87	1135.2	7537.18	9088.59	201.25	5954.47	5479.15	3060.45
CSTB	1432396.03	167058.21	236256.4	338781.54	338781.54	701458.36	783730.52	2805836.45	389157.95	5931640.6	89523.81	95286.54	0.0	3235.01	2271.4	2400.97	3303.0	288856.81	1277.29	1397.83	1427.22
CTB-133G6.1	10.0	96.01	0.0	0.59	1.69	9.2	2.14	0.0	2.01	35.76	0.0	4.78	0.0	90.77	18.16	249.73	208.38	0.0	381.68	100.13	37.32
CXorf24	37.32	63.89	49.56	50.27	33.3	57.89	46.18	44.89	47.84	18.97	35.0	74.06	0.0	140.04	86.43	47.84	61.25	16.15	81.14	93.35	88.88
CYTH4	106.63	189.02	59.55	29.48	40.93	171.45	96.01	59.97	131.51	117.6	15.34	92.05	0.0	470.14	236.21	842.36	1008.9	20.26	603.67	669.92	295.11
DDX26B	176.29	234.57	41.52	135.24	114.36	166.73	248.0	198.47	146.03	161.02	105.89	389.72	101.54	435.55	181.28	435.55	381.68	30.34	457.25	351.14	173.85
DMGDH	14.35	14.35	3.06	0.4	11.73	4.98	13.52	14.78	2.92	2.92	13.52	39.5	0.0	68.07	77.25	62.12	23.08	3.59	39.22	77.25	118.43
DOCK2	62.56	114.36	17.38	13.03	22.43	57.89	56.28	32.13	38.4	94.67	22.1	149.12	0.0	2434.5	551.56	1233.75	1250.98	22.75	819.3	688.78	341.51
EVI2A	50.98	88.88	27.64	23.93	17.38	42.71	46.5	33.3	40.36	55.89	18.97	48.18	0.0	2720.15	1769.57	836.53	1111.82	31.0	480.04	486.75	327.56
FGF1	40.36	33.3	21.78	73.54	29.48	110.43	29.91	58.3	34.75	28.45	20.71	85.82	0.0	185.11	99.43	38.4	39.22	6.52	109.66	157.68	111.21
FMNL3	187.71	320.8	111.99	126.12	189.02	181.28	242.88	88.88	239.52	166.73	47.84	209.84	195.72	665.29	563.18	490.14	848.22	26.86	872.1	842.36	688.78
