	TCGA.AC.A3OD.01A.11R.A21T.07	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.E2.A1LE.01A.12R.A19W.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	TCGA.A7.A0DC.01A.11R.A00Z.07.2	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.B6.A0IK.01A.12R.A056.07	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
AIF1L	371.22	665.29	1313.23	329.84	100.13	61.68	2090.03	2133.97	1467.37	0.0	0.32	195.72
AIFM1	351.14	1896.65	890.44	679.29	387.02	624.99	3515.68	2520.38	599.49	0.0	0.07	1216.75
APRT	1143.1	4607.24	5517.27	2367.9	718.08	1051.79	7695.57	5872.48	6652.97	0.0	0.61	4239.45
ARF3	1397.83	3081.75	2133.97	3467.27	1427.22	1388.16	5329.3	4639.29	1977.24	2367.9	102.25	1639.59
ASB6	223.41	327.56	371.22	316.37	212.78	246.28	435.55	463.65	281.09	0.0	0.36	251.48
ATP5F1	2400.97	5995.9	4736.79	6792.79	3443.31	2935.74	12415.75	7589.61	9474.59	0.0	0.59	9808.75
ATP5H	5403.7	8778.97	9945.68	7130.55	5672.41	2720.15	17558.94	11584.24	10014.87	8778.97	224.97	14163.58
BCAP29	769.69	2956.17	1286.18	1295.13	633.73	629.35	3124.78	1295.13	1447.15	0.0	0.61	974.5
BCCIP	928.3	1477.58	1427.22	1832.01	1088.92	842.36	2451.44	1407.55	2537.92	0.0	0.35	1457.23
BRIX1	665.29	599.49	860.08	684.02	543.96	599.49	1950.0	1127.35	1225.22	0.0	0.52	796.86
C1GALT1C1	753.83	802.41	389.72	669.92	802.41	1044.52	1977.24	1397.83	1340.84	0.0	0.28	144.01
CDC26	620.67	866.07	961.07	974.5	529.06	392.44	1651.0	1250.98	1088.92	0.0	0.67	974.5
CENPH	169.07	142.01	493.56	209.84	108.9	173.85	540.19	473.41	251.48	0.0	0.25	283.05
CENPW	194.36	275.28	947.83	277.2	43.94	118.43	1594.73	1199.98	555.41	0.0	0.53	521.76
CHMP1A	665.29	1529.73	2351.53	1216.75	603.67	665.29	4543.8	1806.78	1594.73	0.0	0.89	1477.58
CKS2	1159.07	934.76	2148.82	1191.69	392.44	748.61	4704.07	6121.9	1369.04	0.0	0.08	2367.9
COMMD9	547.75	819.3	1277.29	981.29	406.31	629.35	1662.49	718.08	1467.37	0.0	0.12	656.11
CYBA	2133.97	2209.26	5954.47	1477.58	1250.98	1322.37	11112.3	7230.1	2032.85	0.0	0.96	759.08
DDX23	1242.34	1437.15	1304.15	1685.71	1378.57	1304.15	1950.0	2075.59	1167.14	0.0	0.83	1350.18
DIAPH1	836.53	1806.78	1208.34	981.29	679.29	466.88	3372.43	3982.99	854.13	1183.45	791.35	2701.35
