	TCGA.XF.AAN4.01A.11R.A42T.07	TCGA.BL.A13J.11A.13R.A10U.07	TCGA.BT.A20Q.11A.11R.A14Y.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.LN.A4A5.01A.21R.A260.31	GTEX.14E6E.0726.SM.5S2R3	GTEX.XXEK.0326.SM.4BRVV	TCGA.IQ.A61J.01A.11R.A30B.07	TCGA.KU.A6H8.01A.21R.A34R.07	GTEX.131XF.2826.SM.5EGKH	TCGA.FP.7735.11A.01R.2055.13	GTEX.146FR.2026.SM.5NQAI	GTEX.YEC3.1426.101806.SM.5PNXX
AL591684.1	5.23	0.0	0.0	6561.36	559.28	59.13	7.94	41.81	31.67	12.18	0.0	0.0	0.0	0.0
AL603965.1	38.95	0.0	0.0	181548.07	405683.88	217.27	72.52	142.01	144.01	135.24	65.72	0.84	7.88	0.0
ALDH3B2	2.73	0.0	4.06	22692.63	35609.13	1268.46	2319.15	4152.18	3146.52	1051.79	559.28	0.57	0.0	24.28
ALOX12B	0.77	0.0	0.0	23492.92	8363.13	145.02	299.25	507.46	327.56	18.7	48.87	0.58	0.0	0.0
ALOXE3	4.86	1.31	0.0	7382.04	2271.4	171.45	244.57	228.13	161.02	8.25	7.4	0.0	0.0	1.28
ANXA8L1	314.17	0.0	0.0	573724.06	2343119.96	1540.37	93.35	1313.23	753.83	1104.13	1529.73	0.33	5.32	0.0
ANXA8L2	808.0	0.0	0.0	6014443.23	3913423.01	6607.01	2895.31	1781.89	3716.2	2032.85	2271.4	0.0	169.07	49.21
ARAP2	73.54	16.39	14.03	954.43	866.07	356.05	303.44	412.0	323.03	125.24	106.63	20.71	58.71	34.02
BBOX1	4.5	1.75	10.08	5594.3	12853.63	293.07	271.48	136.19	638.15	420.68	251.48	4.17	74.58	7.88
BNC1	78.89	1.75	0.0	2201414.44	1108362.75	327.56	532.74	571.05	878.17	255.0	154.42	0.0	27.25	5.11
C12orf56	15.68	0.0	0.0	8022.41	5594.3	260.38	41.52	85.82	123.5	82.87	21.32	0.66	3.14	0.79
C1orf147	1.13	0.44	0.89	18.84	10.63	15.22	8.38	13.03	1.62	2.61	0.87	0.0	0.0	0.19
CALML5	19.68	0.0	0.0	1336472.68	1327240.99	961.07	738.29	470.14	1427.22	2417.67	57.89	1.36	8.65	13.12
CARD14	12.83	1.33	1.36	6935.54	2645.74	718.08	334.46	503.95	356.05	195.72	26.1	3.92	10.31	4.5
CGB7	12.36	0.0	1.79	255.0	514.56	251.48	37.59	24.99	57.89	28.04	8.92	2.03	4.74	0.69
CLCA2	6.89	2.25	7.63	3.801327429E7	3.15251512E7	5479.15	3847.29	4736.79	7230.1	1572.76	309.83	0.0	7.63	77.25
CLDN7	435.55	20.11	9.85	40341.14	19214.73	11909.94	4903.87	5954.47	995.0	3018.3	624.99	31.67	463.65	343.89
CLEC18B	7.82	6.46	0.0	118.43	291.04	99.43	127.89	57.49	20.41	7.46	2.27	1.19	6.57	3.66
COL7A1	1015.93	41.52	147.06	5479.15	16496.96	7695.57	1081.39	1487.87	7130.55	1605.83	896.64	48.87	50.98	536.45
CPA4	40.64	0.0	4.82	52135.28	3639.7	358.54	223.41	318.57	543.96	152.28	32.82	1.95	0.0	0.27
CPNE7	24.46	0.0	0.0	231.32	151.22	180.02	57.49	178.77	13.42	8.58	7.0	4.21	3.41	3.66
CTSV	102.97	1.33	3.11	18689.27	3303.0	583.07	490.14	928.3	4543.8	264.03	83.45	2.78	8.58	3.86
DDR1	728.11	343.89	412.0	11504.21	10014.87	4328.55	3257.52	3257.52	3443.31	2240.11	1066.48	454.09	759.08	616.37
DLX4	0.78	1.31	0.0	68.55	87.65	78.34	9.93	19.97	154.42	32.82	25.17	3.32	4.24	0.6
DNMT3B	26.28	8.25	6.21	260.38	64.8	149.12	29.27	28.24	72.52	31.0	11.13	10.47	5.96	5.32
DSG3	0.41	0.0	0.0	4.7062411207E8	1.846220966E8	2287.2	8538.88	11267.44	10959.3	3212.66	902.89	0.09	6.41	769.69
DSP	312.0	34.51	5.41	96616.71	81244.48	2720.15	15824.9	16727.26	18819.27	6607.01	2997.45	35.0	144.01	113.56
DUSP9	8.71	0.0	0.0	866.07	38.12	127.0	41.81	27.64	23.59	3.23	14.67	0.39	0.0	0.0
EPGN	7.46	2.18	0.0	15715.58	22535.88	157.68	1001.93	1487.87	417.77	435.55	62.56	0.8	9.13	70.01
FAT2	6.89	0.48	0.48	402881.61	171754.88	2835.7	1051.79	890.44	1977.24	723.08	412.0	0.91	1.11	7.51
FGF11	54.72	10.47	5.32	4972.34	981.29	2701.35	454.09	808.0	341.51	186.4	164.42	8.51	57.89	7.88
FRRS1	25.17	85.82	30.34	660.68	289.02	366.09	303.44	368.65	242.88	91.41	112.77	10.55	36.79	10.88
GINS3	100.13	35.0	38.67	540.19	466.88	366.09	242.88	149.12	267.73	199.85	173.85	40.93	74.58	53.95
GPR111	0.0	0.0	0.0	96.68	153.34	100.83	4.7	15.11	39.5	2.73	10.88	0.36	2.86	2.86
GPR115	39.79	1.77	0.0	4298.64	9540.5	890.44	303.44	287.01	633.73	167.9	88.26	0.66	0.66	3.11
GPR87	221.86	0.0	0.0	654483.73	1514068.5	2609.3	909.17	1199.98	1721.16	638.15	444.72	0.0	0.0	2.16
GSDMC	78.89	0.0	1.36	40904.3	68318.04	3146.52	1216.75	1023.0	1242.34	476.71	95.34	0.0	2.46	1.66
HEPHL1	4.86	0.0	0.0	13123.73	19348.38	38.4	52.08	318.57	884.29	7.28	16.63	0.28	0.0	3.06
HES2	195.72	0.0	0.0	40062.48	43537.38	1991.0	420.68	612.11	3467.27	409.15	133.36	0.14	0.0	10.16
IGFL1	9.27	0.0	0.0	7456151.83	492579.5	6983.79	1322.37	1250.98	8305.36	728.11	215.77	0.0	5.54	4.06
IL20RB	61.68	23.93	15.91	746611.43	2201414.44	2758.13	1651.0	3564.78	2835.7	1313.23	307.69	14.45	71.5	47.17
IL22RA2	0.0	0.0	0.0	1127.35	115.16	18.29	9.13	7.22	54.33	4.74	0.0	0.0	0.0	0.0
IRX4	1.13	0.0	0.0	292889.12	360589.03	463.65	224.97	293.07	351.14	133.36	143.01	0.0	0.0	1.23
ITGA2	202.66	17.0	16.39	21468.49	5292.48	1350.18	332.14	307.69	320.8	153.34	108.14	25.72	51.35	31.0
JAG1	753.83	373.81	251.48	2400.97	2664.15	1977.24	1216.75	1498.22	2032.85	1295.13	1183.45	214.27	738.29	395.18
KIAA1217	172.65	137.14	81.71	2163.77	2627.46	1088.92	1066.48	921.88	647.07	860.08	1617.0	141.02	187.71	120.94
KLC3	170.25	0.0	0.0	11345.82	7180.15	500.46	379.04	848.22	860.08	260.38	145.02	0.0	1.62	0.0
KREMEN2	4.54	0.0	0.0	5329.3	429.54	358.54	28.45	82.87	21.01	64.8	2.78	0.44	2.63	1.97
KRT6A	18431.96	0.51	1.43	2.01760973986E9	2.41604469791E9	48643.87	386469.83	360589.03	527933.71	57051.4	27745.15	0.0	3.96	4937.99
KRT74	0.39	0.0	0.0	246.28	6.94	10.31	4.82	4.31	11.82	1.43	2.1	0.0	0.0	0.0
KRT80	22.75	0.47	1.36	25179.16	7081.29	866.07	866.07	1350.18	1242.34	165.57	332.14	1.58	4.03	17.64
LGALS7	3.79	0.0	14.45	5441.3	641014.63	1936.53	5791.62	493.56	15715.58	4358.66	1081.39	7.51	17.9	32.13
