	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.UPIC.1126.SM.4IHLO	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.DD.A3A8.11A.11R.A22L.07	TCGA.FV.A23B.11A.11R.A16W.07	TCGA.EP.A26S.11A.12R.A16W.07	GTEX.RTLS.1326.SM.46MUN	GTEX.11DXY.0526.SM.5EGGQ	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.BR.8590.01A.11R.2402.13	TCGA.BR.8678.01A.11R.2402.13	TCGA.IP.7968.01A.11R.2203.13	TCGA.CD.8530.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13
AC115618.1	4.78	4.5	6.41	5.73	0.0	3.23	3.38	2.78	2.68	12.09	6.52	18.97	8.85	9.78	10.24
ARHGAP11B	199.85	82.87	18.7	25.35	5.87	20.86	7.28	6.52	7.34	819.3	161.02	297.17	229.72	146.03	172.65
ARHGEF39	35.5	12.45	11.82	85.22	5.5	13.83	3.35	8.71	16.03	603.67	189.02	728.11	624.99	260.38	466.88
ATP2A2	4210.15	2367.9	1651.0	1870.53	1135.2	1135.2	1066.48	902.89	1073.91	3955.48	3419.52	3690.52	3982.99	3212.66	2875.3
B4GALT5	1457.23	334.46	665.29	476.71	120.1	403.5	256.78	336.79	262.2	1359.57	915.51	2303.12	1857.6	595.34	1286.18
BRAP	241.19	361.04	189.02	186.4	113.56	182.55	136.19	155.5	123.5	318.57	318.57	379.04	267.73	262.2	303.44
BRIP1	71.0	15.11	4.06	34.02	5.77	15.91	10.0	10.96	9.7	85.22	36.01	215.77	103.69	30.78	84.04
C11orf84	171.45	122.64	141.02	220.32	37.85	85.22	33.3	21.78	36.53	791.35	414.87	1757.34	583.07	429.54	575.03
CCNB2	500.46	197.09	26.47	42.41	4.35	16.39	4.43	5.63	0.0	1498.22	361.04	1127.35	412.0	281.09	563.18
CDC25A	159.9	30.12	12.18	14.67	7.4	8.06	1.83	2.53	6.57	236.21	115.97	457.25	126.12	82.29	275.28
CDC45	244.57	38.4	16.27	50.63	20.86	39.79	2.48	3.44	2.39	529.06	102.25	348.71	287.01	87.03	303.44
CDC6	265.87	44.25	12.93	49.56	12.83	15.22	4.86	5.59	5.63	251.48	281.09	480.04	2451.44	134.3	373.81
CDC7	141.02	42.11	26.47	45.53	6.01	23.25	2.29	5.68	4.9	150.17	144.01	353.59	236.21	113.56	273.37
CDK4	1977.24	3303.0	1832.01	2047.0	1167.14	1617.0	1340.84	1059.11	1322.37	6207.38	2047.0	6250.56	3060.45	2935.74	4736.79
CENPE	82.29	21.01	5.06	11.55	0.0	3.17	0.6	0.75	0.38	181.28	84.04	155.5	147.06	77.79	146.03
CENPF	435.55	176.29	16.51	63.45	6.52	17.25	1.6	13.03	6.57	1477.58	329.84	1457.23	723.08	262.2	507.46
CENPL	92.7	89.51	58.3	57.89	11.38	29.27	10.71	8.51	12.93	279.14	143.01	279.14	165.57	183.82	187.71
CLSPN	130.6	10.63	8.19	13.83	1.06	6.52	0.0	0.67	0.0	197.09	79.45	332.14	353.59	100.13	339.14
CSNK2A1	2047.0	909.17	1127.35	624.99	312.0	497.0	368.65	332.14	267.73	3955.48	1605.83	3039.3	1806.78	1540.37	2075.59
CYP4F31P	0.0	0.0	0.28	0.0	0.0	0.0	0.0	0.0	0.0	56.68	12.09	38.12	15.22	1.28	16.75
DEPDC1B	170.25	54.33	59.97	98.73	1.48	10.0	4.21	2.84	0.11	358.54	159.9	258.57	114.36	108.9	412.0
DHX15	1437.15	1378.57	1662.49	1135.2	406.31	819.3	476.71	457.25	521.76	2104.58	1950.0	2701.35	2193.99	1561.89	2351.53
DHX33	115.16	133.36	204.07	149.12	60.82	106.63	85.22	47.84	118.43	231.32	265.87	387.02	264.03	224.97	457.25
DNA2	60.39	15.45	27.25	36.01	4.31	42.41	5.68	14.03	21.32	237.86	169.07	397.93	241.19	171.45	211.31
