	TCGA.GD.A3OS.01A.12R.A220.07	TCGA.A2.A25A.01A.12R.A16F.07	TCGA.A7.A426.01A.22R.A24H.07	TCGA.OL.A6VQ.01A.12R.A41B.07	TCGA.AR.A24M.01A.11R.A169.07	TCGA.A7.A13G.01A.11R.A13Q.07.1	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.N8.A4PQ.01A.11R.A28V.07	TCGA.NA.A5I1.01A.21R.A28V.07
A4GALT	435.55	323.03	525.39	624.99	209.84	65.26	251.48	0.0	0.89	412.0	988.12
ABCB6	928.3	381.68	426.57	262.2	172.65	289.02	343.89	0.0	0.92	1208.34	981.29
ACD	483.38	366.09	567.1	368.65	277.2	115.97	314.17	0.0	0.61	796.86	848.22
ADAMTS13	307.69	38.4	136.19	42.11	14.24	32.36	89.51	0.0	0.59	202.66	187.71
ADAMTSL2	131.51	62.12	120.1	121.79	75.11	29.48	26.67	0.0	0.72	239.52	148.09
ADRA2C	366.09	94.67	124.37	55.89	5.96	7.11	26.1	0.0	0.48	212.78	224.97
AIP	2119.22	1427.22	1909.85	974.5	825.0	733.19	595.34	0.0	0.72	2537.92	1950.0
ALDH16A1	1397.83	309.83	785.88	551.56	178.77	387.02	521.76	299.25	878.17	974.5	866.07
ANKLE1	45.21	4.62	17.38	2.76	1.2	0.82	5.19	0.0	0.67	63.0	63.45
AUP1	4903.87	2319.15	3124.78	1857.6	1583.71	2133.97	1844.76	0.0	1.11	4704.07	3639.7
AURKAIP1	2976.74	1757.34	4095.0	2935.74	1159.07	1286.18	3235.01	0.0	0.75	3212.66	4972.34
AZI1	429.54	108.9	684.02	281.09	85.82	94.67	175.07	0.0	0.66	551.56	748.61
B3GAT3	1745.2	540.19	1605.83	884.29	334.46	297.17	406.31	0.0	0.93	1143.1	1508.65
BAD	1936.53	1561.89	3060.45	1923.14	928.3	988.12	2417.67	0.0	0.73	2895.31	5441.3
BAP1	1457.23	1191.69	1340.84	1191.69	808.0	708.18	1233.75	0.0	1.06	1674.06	2075.59
BCL2L12	2133.97	457.25	718.08	493.56	218.79	70.01	500.46	0.0	0.66	1583.71	1832.01
C11orf83	368.65	181.28	490.14	258.57	114.36	218.79	802.41	218.79	170.25	563.18	389.72
C12orf10	1378.57	1073.91	1594.73	921.88	1059.11	1175.27	579.04	0.0	0.64	1487.87	1870.53
C15orf27	63.89	10.47	21.32	15.34	7.63	16.39	11.82	0.0	0.19	40.93	52.08
C17orf74	1.62	0.0	0.35	0.0	0.0	0.0	1.17	0.0	0.05	3.32	2.39
C19orf60	656.11	500.46	2119.22	825.0	325.29	486.75	555.41	0.0	0.73	1769.57	1733.13
C19orf68	105.89	27.84	97.36	68.55	17.13	7.69	55.1	0.0	0.3	80.57	88.88
C1orf228	93.35	55.89	186.4	70.01	26.86	32.36	19.97	0.0	0.46	112.77	397.93
C21orf119	295.11	183.82	289.02	116.78	58.71	162.14	158.79	0.0	0.26	414.87	346.29
C6orf226	387.02	291.04	536.45	273.37	134.3	56.68	145.02	0.0	0.45	293.07	693.58
C7orf50	2240.11	1250.98	3060.45	2018.8	555.41	435.55	1001.93	0.0	0.52	4123.49	7911.95
CARD9	90.14	55.1	108.14	52.08	33.78	32.59	37.85	0.0	0.34	62.12	94.01
CCDC124	2796.65	1081.39	2555.58	1572.76	679.29	176.29	3395.89	0.0	1.0	4358.66	3901.01
CCM2	1250.98	848.22	1183.45	764.36	417.77	389.72	718.08	0.0	0.95	1508.65	1721.16
CDC37	5147.73	3039.3	5479.15	3419.52	1769.57	1583.71	2701.35	0.0	0.61	2573.36	4671.57
CENPT	1529.73	358.54	981.29	417.77	242.88	124.37	503.95	0.0	1.17	1183.45	1233.75
CHD3	1662.49	1044.52	2119.22	1407.55	915.51	1378.57	674.59	351.14	1199.98	3303.0	2935.74
CLIC3	181.28	50.63	232.94	139.07	70.01	9.06	37639.55	0.0	0.34	114.36	417.77
COA5	1286.18	961.07	921.88	624.99	785.88	660.68	334.46	0.0	0.56	995.0	1081.39
COL7A1	2090.03	169.07	607.87	536.45	162.14	75.64	5479.15	0.0	1.62	271.48	1277.29
COLQ	47.84	56.68	85.82	57.49	13.03	16.63	2.58	0.0	0.39	121.79	100.13
CPSF1	5517.27	1407.55	3820.7	2075.59	587.13	397.93	954.43	0.0	0.93	8078.22	9474.59
CTC-360G5.1	29.91	3.17	39.22	6.16	0.0	2.23	22.26	0.0	0.34	127.89	49.56
CTC-479C5.12	46.5	14.45	31.22	33.54	8.19	18.16	12.18	0.0	0.39	74.58	87.03
DCAF15	708.18	500.46	921.88	470.14	341.51	94.01	1059.11	0.0	0.75	1674.06	884.29
DGUOK	3419.52	1806.78	2018.8	1427.22	1199.98	808.0	1051.79	0.0	1.01	3212.66	3060.45
DHX30	884.29	785.88	1151.06	1001.93	660.68	836.53	273.37	848.22	314.17	1427.22	1697.45
DNPH1	2739.08	591.22	1794.29	1159.07	232.94	329.84	1175.27	0.0	0.27	1331.57	1225.22
DTYMK	988.12	620.67	995.0	579.04	406.31	441.64	748.61	0.0	0.21	1397.83	1175.27
EDC4	1628.26	607.87	915.51	723.08	684.02	406.31	400.71	563.18	208.38	1467.37	1540.37
ENKD1	743.43	255.0	656.11	295.11	214.27	111.21	164.42	0.0	0.65	555.41	909.17
EPN1	5711.87	1135.2	2209.26	1561.89	688.78	248.0	5441.3	1044.52	802.41	4607.24	4543.8
FADS3	728.11	361.04	733.19	426.57	218.79	143.01	7.69	0.0	0.87	896.64	713.11
FAM127B	4802.93	1745.2	2104.58	1651.0	1059.11	51.71	1651.0	0.0	0.92	1870.53	2777.33
FAM127C	928.3	314.17	287.01	253.23	197.09	20.56	447.82	0.0	0.69	320.8	638.15
FAM203A	872.1	441.64	753.83	376.41	314.17	120.1	248.0	713.11	98.04	1457.23	1059.11
FAM50B	332.14	180.02	336.79	201.25	187.71	162.14	23.76	0.0	0.32	249.73	223.41
FAM65A	1457.23	796.86	830.75	759.08	624.99	236.21	90.14	0.0	0.91	579.04	1378.57
FBXL12	536.45	441.64	525.39	470.14	224.97	120.94	303.44	0.0	0.72	366.09	684.02
FBXO2	444.72	221.86	303.44	171.45	72.01	76.71	2104.58	0.0	0.45	503.95	493.56
FTSJ1	2591.27	825.0	775.05	780.44	703.28	587.13	764.36	0.0	0.77	1295.13	1059.11
FXYD7	131.51	14.03	44.57	24.63	1.23	0.83	12.64	0.0	0.3	137.14	241.19
GADD45GIP1	2090.03	1225.22	2720.15	1572.76	738.29	450.94	2119.22	0.0	0.74	4802.93	2090.03
GAL3ST1	96.68	17.51	33.54	4.82	2.18	0.74	2.53	0.0	0.28	98.73	432.53
GGN	58.71	13.32	21.01	12.55	7.51	4.86	10.88	0.0	0.23	31.67	60.39
GLI4	1175.27	214.27	884.29	329.84	111.99	102.25	529.06	0.0	0.82	878.17	728.11
GLYCTK	85.82	71.5	211.31	61.68	29.27	108.14	103.69	0.0	0.55	152.28	264.03
GNL1	1909.85	1304.15	1508.65	1407.55	796.86	503.95	1135.2	1225.22	1111.82	1662.49	2104.58
GPAA1	5517.27	1781.89	3820.7	1977.24	1250.98	775.05	988.12	2645.74	591.22	4972.34	4419.52
GPR35	47.17	26.1	63.45	29.91	11.82	14.14	2.58	0.0	0.71	63.45	102.25
GRN	15285.81	4671.57	5219.6	6381.92	4607.24	2090.03	47313.67	0.0	0.29	8191.0	14867.79
H2AFX	1594.73	796.86	1127.35	638.15	368.65	77.25	2664.15	432.53	638.15	1709.26	1551.09
HPCAL1	1277.29	638.15	629.35	620.67	341.51	135.24	384.34	0.0	0.67	493.56	848.22
HRAS	1295.13	1051.79	2417.67	1369.04	674.59	514.56	5791.62	0.0	1.13	1583.71	2739.08
HSPBP1	3235.01	599.49	1051.79	819.3	339.14	190.34	607.87	830.75	1378.57	2104.58	2335.28
IFRD2	1417.35	1030.12	1388.16	1143.1	435.55	1059.11	679.29	0.0	0.35	2018.8	2193.99
IRF2BP1	808.0	316.37	808.0	521.76	281.09	307.69	287.01	0.0	0.21	612.11	713.11
IRGC	2.32	0.39	2.01	0.0	0.0	0.71	0.3	0.0	0.03	1.22	2.58
KLHDC3	2956.17	2018.8	2133.97	1437.15	1322.37	1199.98	890.44	1369.04	255.0	2956.17	3742.05
KRT16	1191.69	265.87	246.28	417.77	74.58	17.0	2.5045913555E8	0.0	0.69	53.95	825.0
LAG3	50.27	42.41	80.57	18.56	6.62	2.94	17.77	0.0	0.39	229.72	169.07
LAGE3	1896.65	909.17	934.76	825.0	403.5	301.33	738.29	0.0	0.28	902.89	1268.46
LAMB2	14163.58	5831.91	12076.21	7032.37	4419.52	6250.56	275.28	0.0	1.13	6294.04	7280.4
LRFN4	432.53	239.52	363.56	218.79	40.36	57.49	47.17	0.0	0.78	651.58	536.45
LRP3	684.02	551.56	981.29	684.02	303.44	156.59	20.86	0.0	0.83	1427.22	1359.57
LRPAP1	5329.3	2209.26	3372.43	2997.45	1697.45	2032.85	813.63	2163.77	397.93	3982.99	6164.49
LSM10	1388.16	830.75	1233.75	934.76	587.13	136.19	368.65	0.0	0.54	1059.11	1127.35
MACROD1	915.51	381.68	988.12	764.36	269.6	503.95	684.02	0.0	0.62	909.17	1508.65
MALSU1	1208.34	947.83	1015.93	802.41	607.87	387.02	753.83	0.0	0.64	1551.09	1359.57
MAP7D1	2400.97	1378.57	1819.35	1857.6	1096.5	297.17	3081.75	1697.45	1242.34	2163.77	2075.59
MED25	1909.85	802.41	1388.16	1088.92	723.08	144.01	909.17	0.0	0.71	1781.89	2609.3
MPLKIP	137.14	84.04	88.26	74.06	72.52	103.69	114.36	107.38	49.56	105.15	145.02
MRPL2	1594.73	981.29	1437.15	947.83	543.96	255.0	559.28	0.0	0.79	1709.26	2835.7
MRPL23	1950.0	1437.15	2485.67	1963.57	1167.14	1467.37	3742.05	0.0	0.64	3146.52	4704.07
MRPL53	3168.41	1277.29	2224.63	1963.57	995.0	1159.07	1923.14	0.0	0.6	2319.15	1225.22
MRPS24	3540.14	2090.03	2701.35	1721.16	1605.83	1540.37	3874.05	0.0	0.92	3325.99	3235.01
MSH5-SAPCD1	74.58	26.47	81.14	8.92	8.58	17.51	81.14	0.0	0.43	102.97	136.19
MST1	1199.98	169.07	974.5	289.02	47.17	110.43	466.88	0.0	1.0	1015.93	1135.2
MT-CO3	163620.18	241220.67	226632.25	152662.96	136637.07	20170.07	307450.64	0.0	1.57	249727.34	301123.38
MTCH1	4210.15	2682.69	3280.18	2777.33	2163.77	1844.76	2271.4	0.0	0.66	3768.09	4388.98
