	TCGA.BH.A0B1.01A.12R.A056.07	TCGA.E9.A1RD.01A.11R.A157.07	TCGA.BH.A0HF.01A.11R.A056.07	TCGA.BH.A0HK.01A.11R.A056.07	TCGA.E2.A2P5.01A.11R.A19W.07	TCGA.AN.A0XP.01A.11R.A109.07	TCGA.EW.A1P6.01A.11R.A144.07	TCGA.AO.A0JE.01A.11R.A056.07	TCGA.AN.A0FK.01A.11R.A034.07	GTEX.12KS4.0726.SM.5FQSX	TCGA.34.2608.01A.02R.0851.07	TCGA.18.3412.01A.01R.0980.07	TCGA.58.8392.01A.11R.2326.07
AADACL2	5.68	0.0	37.32	29.27	0.0	0.0	0.0	6.31	0.0	0.47	38.4	271.48	39.22
ABCA13	10.55	0.0	29.91	22.26	0.0	0.0	0.0	3.59	0.3	12.09	138.1	193.01	674.59
AC074091.13	0.36	0.0	2.41	0.0	0.0	0.0	0.0	0.36	0.0	0.32	3.53	6.21	7.75
ADH7	153.34	0.0	921.88	460.44	0.0	0.0	0.0	102.25	0.0	6.16	1963.57	4123.49	1909.85
AKR1B1	785.88	651.58	2047.0	1096.5	638.15	525.39	679.29	902.89	450.94	981.29	3349.13	7433.4	2997.45
AKR1B10	1135.2	23.93	6699.25	3419.52	2.18	26.47	8.85	866.07	81.71	14.67	12764.83	39510.91	7803.01
AKR1C1	3103.19	6.84	19348.38	10084.54	43.63	15.34	24.99	2319.15	18.84	125.24	31432.17	104271.56	29531.18
AKR1C3	1447.15	96.01	7130.55	3589.58	186.4	249.73	127.0	1369.04	149.12	785.88	7642.41	36864.92	11267.44
ALDH1A1	738.29	253.23	1896.65	1191.69	248.0	177.53	251.48	361.04	93.35	532.74	3103.19	8538.88	6337.83
ALDH3A1	961.07	1.35	6294.04	3190.46	2.58	1.04	0.0	728.11	0.0	228.13	2720.15	31870.96	6745.86
ALOX12	11.47	4.35	64.8	17.0	1.07	1.77	0.78	14.67	1.41	3.44	37.59	414.87	283.05
ALPP	1.03	0.0	1.35	1.13	0.0	0.0	0.0	0.34	0.0	16.88	6.78	1.13	4.28
ANXA8L1	53.57	4.43	387.02	211.31	35.5	2.58	24.46	68.55	0.0	144.01	267.73	1733.13	518.15
AQP9	11.3	2.43	264.03	16.39	1.41	8.45	3.5	45.53	0.77	647.07	108.9	116.78	26.67
BTBD16	1.5	0.36	10.88	6.62	1.35	0.69	0.37	2.18	1.36	0.48	5.06	19.25	13.62
C10orf99	20.11	0.0	221.86	96.68	0.0	0.0	0.0	30.78	0.0	0.0	299.25	872.1	785.88
C12orf54	29.91	2.25	224.97	74.06	1.58	3.26	2.63	31.45	3.5	41.81	167.9	1037.29	114.36
C17orf99	16.51	0.31	40.93	2.34	0.31	0.0	4.58	1.03	0.0	20.11	20.41	69.52	76.71
C1orf110	24.81	0.27	262.2	109.66	0.0	0.28	1.83	29.48	0.0	4.06	36.53	1313.23	693.58
C1orf177	3.86	1.91	12.55	3.89	0.62	0.97	1.64	7.22	0.32	2.23	6.94	50.98	22.1
C7orf76	0.0	0.0	0.71	1.17	0.0	0.0	0.0	0.35	0.0	0.0	0.42	3.76	4.17
CAPN14	3.89	0.68	27.05	10.79	0.36	0.69	0.37	6.89	1.33	0.0	75.11	111.21	48.87
CAPNS2	34.51	0.0	260.38	105.89	0.0	0.0	1.01	29.27	0.0	0.0	397.93	1359.57	146.03
CBR1	1127.35	132.44	3060.45	1896.65	1119.56	256.78	1369.04	866.07	248.0	1950.0	9151.82	16843.62	4575.41
CD300LB	7.51	7.11	87.65	5.73	2.78	3.17	2.58	16.63	2.81	106.63	28.65	8.0	5.96
CDH16	1.43	0.0	17.38	7.11	0.0	0.0	0.0	4.86	0.0	2.2	0.0	72.52	4.46
CERS3	30.56	0.34	77.25	47.17	0.96	2.58	1.33	21.32	0.34	14.45	332.14	616.37	688.78
CLC	0.0	0.0	14.24	5.82	0.0	0.0	0.0	0.0	0.0	74.06	55.89	74.06	2.73
CRNN	3.29	0.0	32.59	10.08	0.0	0.0	0.0	3.66	0.0	5.92	1.93	37.05	15.45
CSTA	2417.67	69.03	3257.52	1540.37	69.03	69.52	98.04	480.04	256.78	5441.3	4328.55	17927.91	7230.1
CTSE	12.74	0.31	82.87	32.82	0.0	0.0	1.89	9.06	0.0	14971.21	1529.73	108.14	353.59
CYP2C18	3.32	0.0	38.12	20.41	0.0	0.0	0.0	9.41	0.0	21.32	17.38	202.66	177.53
CYP2S1	73.54	36.01	403.5	172.65	14.24	10.24	32.36	100.13	27.05	271.48	836.53	1757.34	1268.46
CYP2W1	2.84	0.0	23.93	5.11	0.66	0.0	0.0	0.37	1.62	0.0	26.86	42.11	81.14
CYP4F11	178.77	0.71	1059.11	503.95	6.73	15.56	96.01	218.79	180.02	10.79	470.14	5441.3	2502.97
CYP4F3	77.79	4.39	525.39	260.38	0.0	0.37	2.94	56.68	0.36	17.13	529.06	3639.7	1008.9
DDX3Y	3.72	0.0	24.99	11.82	0.0	0.0	0.0	4.39	0.0	423.61	392.44	73.03	57.49
DEFA1	0.0	0.0	759.08	0.0	0.0	0.0	0.0	0.0	0.0	2720.15	26.86	20.56	0.0
DERA	921.88	532.74	1242.34	698.41	591.22	463.65	460.44	669.92	884.29	620.67	1259.69	2609.3	1208.34
DGKB	3.17	2.56	10.96	2.36	0.32	0.99	0.34	1.39	0.33	1.95	5.73	24.46	6.16
DGKG	20.41	6.36	70.01	36.53	3.99	18.56	6.52	19.25	3.06	32.59	107.38	493.56	181.28
DHRS9	25.17	10.71	295.11	49.56	7.51	11.3	16.51	35.5	4.46	40.93	323.03	420.68	204.07
DMRT1	2.68	0.0	14.24	6.94	0.0	0.0	0.0	1.66	0.0	20.56	5.68	55.49	7.22
DUOXA2	10.47	0.0	37.05	23.25	0.0	1.01	0.69	6.01	0.0	5.45	10.0	289.02	57.49
DUSP11	473.41	486.75	728.11	684.02	323.03	435.55	529.06	543.96	307.69	599.49	854.13	1151.06	836.53
EIF1AY	4.5	0.0	32.13	18.56	0.0	0.0	0.0	9.85	0.0	660.68	532.74	92.7	65.72
EPHX3	28.45	5.96	253.23	105.89	5.92	7.63	4.86	30.12	5.06	76.71	103.69	1277.29	277.2
