	TCGA.LN.A9FO.01A.11R.A38D.31	GTEX.ZTTD.1226.SM.51MS2	GTEX.11DYG.1926.SM.5H12I	GTEX.139UW.1126.SM.5IJEJ	GTEX.147F4.0926.SM.5Q5EO	TCGA.VN.A88P.01A.11R.A352.07	TCGA.G9.6351.01A.21R.1965.07	TCGA.HC.8260.01A.11R.2263.07	TCGA.YL.A8SB.01A.31R.A37L.07	TCGA.EJ.5515.01A.01R.1580.07	TCGA.CH.5789.01A.11R.1580.07	TCGA.HC.7747.01A.11R.2118.07	TCGA.V1.A8MF.01A.11R.A36G.07	TCGA.EJ.A8FP.01A.21R.A36G.07	TCGA.2A.A8VL.01A.21R.A37L.07	TCGA.EJ.7115.11A.01R.2118.07	TCGA.EJ.7125.11A.01R.1965.07	TCGA.G9.6351.11A.01R.1965.07	TCGA.EJ.7782.11A.01R.2118.07	TCGA.G9.6384.11A.01R.1858.07	TCGA.EJ.7317.11A.01R.2118.07	TCGA.EJ.7321.11A.01R.2263.07	TCGA.HC.8259.11A.01R.2263.07	GTEX.ZT9W.1626.SM.4YCDQ	GTEX.11P82.1126.SM.5BC5K	GTEX.144GM.0826.SM.5O98R	GTEX.11WQK.2726.SM.5EQMU	GTEX.13FXS.2826.SM.5LZYC	GTEX.14ABY.0726.SM.5Q5DF	GTEX.XMK1.1026.SM.4B65H	GTEX.ZUA1.2826.SM.59HLE	GTEX.WOFM.0326.SM.4OOSL	GTEX.SNMC.0926.SM.4DM5U	GTEX.132NY.2826.SM.5P9G2	GTEX.SJXC.2026.SM.4DM6N	GTEX.14E6E.1126.SM.5S2R4	GTEX.Y9LG.1826.SM.4VBQC	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13	GTEX.T8EM.1226.SM.4DM5J	GTEX.ZVZP.1726.SM.5GZWY	GTEX.12WSH.0226.SM.5GCOG	GTEX.14A5H.0726.SM.5Q5DW	GTEX.1212Z.0426.SM.5FQT6	GTEX.13112.0326.SM.5P9IW
AC007557.1	0.0	45.85	43.32	5.96	3.06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.06	9.85	3.86	0.0	3.89	0.0	0.0	0.0	1.23	4.43	1.93	0.0	0.0	5.15	6.41	9.34	12.74	35.76	24.63
AC114783.1	76.17	5.54	20.11	0.0	4.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.64	3.38	1.6	0.0	1.01	0.0	0.0	0.0	0.0	3.32	1.08	7.28	11.55	3.44	8.25	3.03	1.07	7.82	12.09
ACSBG2	55.1	47.5	48.52	8.58	16.63	0.0	0.0	9.56	4.1	0.0	0.0	1.97	2.2	2.51	1.06	1.99	2.89	0.0	3.66	9.2	5.54	1.48	5.15	0.78	0.68	0.0	3.23	37.85	12.09	0.49	6.52	0.88	1.53	2.48	2.68	21.32	3.08	11.91	26.67	15.34	14.03	27.05	11.47	39.22	45.21
ACTL7A	10.31	17.9	23.08	9.13	3.0	0.0	0.0	0.0	0.0	1.99	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.93	0.0	0.0	0.0	0.0	0.07	0.0	0.0	0.38	6.89	1.95	0.06	2.41	0.25	0.52	0.07	0.89	5.23	1.13	8.0	0.61	8.06	3.89	8.38	3.2	18.56	18.56
ACTL7B	10.31	14.67	5.06	3.2	2.73	0.0	0.0	0.56	0.0	0.0	0.0	0.0	0.0	0.0	0.57	0.0	0.0	0.0	0.0	0.66	0.0	0.0	0.0	0.0	0.0	0.0	0.46	5.23	1.75	0.38	1.07	0.16	0.15	0.59	0.15	4.54	0.69	8.65	5.32	8.92	2.07	4.35	2.73	12.0	10.08
ACTL9	47.17	10.08	10.63	2.27	6.11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	5.73	1.27	0.13	1.5	0.33	0.85	0.0	0.0	3.0	0.65	1.46	2.71	8.71	4.28	4.06	2.27	9.85	13.32
ACTRT2	25.72	10.96	14.24	2.12	2.66	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.08	0.0	0.0	0.0	0.2	5.28	1.03	0.28	1.13	0.0	0.56	0.3	0.0	4.17	0.45	8.38	0.0	16.15	4.7	6.11	1.25	11.55	11.13
ADAD1	23.25	12.93	11.13	1.41	2.97	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.67	4.35	1.11	0.0	1.95	0.72	0.0	0.0	0.61	2.53	0.35	1.39	5.5	18.43	8.65	4.28	3.06	8.78	12.36
ADIG	4.86	5.82	12.83	2.32	2.29	0.0	3.06	0.0	1.71	0.0	0.0	0.0	0.0	0.0	0.91	0.0	0.0	0.0	3.72	0.0	1.53	0.0	0.0	3.38	0.0	0.0	0.0	36.79	3.79	0.0	10.71	0.0	0.0	5.5	0.0	28.45	7.22	4.06	0.0	3.06	9.63	22.75	18.29	146.03	163.28
AKAP4	7.88	15.91	25.91	7.51	3.96	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.58	8.13	3.59	0.06	2.2	0.16	0.31	0.55	0.0	5.02	2.58	8.38	5.54	35.5	19.11	6.41	6.31	19.82	19.39
