	TCGA.G2.A3IE.01A.11R.A20F.07	TCGA.UY.A9PE.01A.11R.A38B.07	TCGA.XF.A8HH.01A.11R.A38B.07	TCGA.K4.A6MB.01A.11R.A31N.07	TCGA.XF.AAMY.01A.11R.A42T.07	TCGA.FD.A43N.01A.11R.A23W.07	TCGA.ZF.A9RM.01A.11R.A38B.07	TCGA.DK.AA6P.01A.11R.A39I.07	TCGA.XF.AAMZ.01A.11R.A42T.07	TCGA.FD.A3NA.01A.11R.A21D.07	TCGA.4Z.AA7M.01A.11R.A39I.07	TCGA.44.7672.01A.11R.2066.07	TCGA.22.4596.01A.01R.1201.07
ABHD12B	5.82	2.68	0.0	5.54	25.17	2.48	3.03	3.86	3.66	35.25	12.18	28.86	28.45
ADAM19	25.35	98.04	161.02	149.12	251.48	119.26	43.94	40.93	120.1	206.94	37.85	583.07	674.59
ADAMTS2	26.86	119.26	269.6	226.54	312.0	379.04	6.52	29.06	51.71	289.02	75.64	575.03	397.93
AIF1	228.13	325.29	629.35	356.05	842.36	417.77	23.42	118.43	486.75	830.75	327.56	2573.36	4836.35
ALOX5AP	80.01	38.12	185.11	73.54	423.61	169.07	16.88	135.24	149.12	450.94	153.34	3039.3	5517.27
ARPC1B	4268.94	3515.68	3665.02	4543.8	7695.57	5403.7	2855.44	4210.15	5041.77	9215.48	6471.02	10512.82	15824.9
ATG3	603.67	665.29	878.17	836.53	981.29	693.58	836.53	708.18	981.29	1001.93	854.13	872.1	1378.57
ATPAF2	329.84	267.73	406.31	353.59	441.64	638.15	183.82	289.02	647.07	476.71	503.95	607.87	392.44
BIRC3	52.45	22.75	76.17	35.76	206.94	69.03	86.43	36.53	110.43	162.14	37.59	624.99	1030.12
C19orf59	1.06	0.69	4.7	4.66	40.36	22.1	1.41	2.94	4.31	27.25	15.56	217.27	123.5
C3AR1	24.28	30.12	140.04	67.12	153.34	40.93	2.58	19.97	50.98	114.36	37.05	529.06	1037.29
CCDC170	3.08	1.01	9.93	9.48	12.0	2.12	0.29	1.95	9.13	11.91	1.85	67.59	109.66
CCL4L2	7.63	20.11	55.1	24.28	120.94	83.45	0.0	8.78	26.86	84.04	24.81	111.21	215.77
CCNH	267.73	392.44	638.15	575.03	483.38	503.95	211.31	450.94	954.43	780.44	693.58	802.41	703.28
CD163	106.63	202.66	463.65	143.01	848.22	336.79	25.54	92.05	289.02	743.43	167.9	2255.7	2468.49
CD300C	4.86	3.41	12.55	7.75	21.47	13.72	0.31	2.63	13.42	21.78	10.16	123.5	120.1
CD300LF	18.29	13.42	37.85	12.36	48.18	15.11	1.41	6.84	14.35	43.02	11.38	275.28	332.14
CD33	12.55	21.32	48.87	19.82	52.45	18.43	2.27	14.35	22.43	41.81	17.9	206.94	307.69
CD37	119.26	138.1	249.73	145.02	314.17	211.31	15.68	50.63	595.34	186.4	193.01	2193.99	2287.2
CD53	145.02	121.79	381.68	189.02	432.53	271.48	18.84	87.03	438.59	450.94	109.66	2720.15	3665.02
CD86	52.82	31.67	80.01	68.07	114.36	57.49	24.81	21.78	51.71	132.44	30.12	429.54	633.73
CEACAM21	2.78	6.06	20.26	12.0	31.9	13.03	1.41	9.06	6.11	18.16	5.23	110.43	129.69
CEACAM4	3.47	3.38	11.82	3.44	13.12	9.2	0.0	0.67	8.85	10.16	6.46	92.7	177.53
CELF2	14.24	18.16	47.84	26.67	51.71	19.11	2.27	18.84	28.86	35.25	7.75	332.14	341.51
CLEC5A	4.9	12.45	23.93	14.89	37.85	10.63	2.81	1.99	3.72	43.63	25.72	190.34	275.28
COCH	19.82	52.08	3.32	73.54	273.37	140.04	36.27	74.58	107.38	387.02	199.85	444.72	63.89
CPA3	22.92	38.4	102.97	129.69	236.21	87.65	2.56	57.49	90.14	180.02	20.11	281.09	1259.69
CREB5	0.72	4.06	17.51	14.14	37.59	40.07	1.41	5.87	16.75	25.72	12.27	71.5	109.66
CTGF	38.67	791.35	2271.4	1909.85	2682.69	1583.71	70.51	116.78	988.12	1896.65	733.19	974.5	2739.08
CXCL16	555.41	406.31	651.58	878.17	1709.26	813.63	193.01	441.64	507.46	1250.98	318.57	2335.28	1639.59
CYBB	17.38	35.5	139.07	75.11	223.41	66.65	16.15	19.97	100.13	177.53	42.71	1073.91	1651.0
DOCK2	17.64	39.22	63.89	36.53	82.87	45.85	5.87	11.47	92.05	70.51	20.41	525.39	483.38
ENC1	206.94	441.64	848.22	332.14	909.17	1457.23	363.56	205.5	152.28	397.93	642.59	909.17	567.1
EVI2A	28.65	36.01	96.68	40.36	105.89	82.87	3.66	18.84	82.87	77.25	38.12	447.82	878.17
EVI2B	28.65	40.93	98.04	43.32	92.05	78.89	3.96	22.43	112.77	78.34	29.27	884.29	1073.91
FAM204A	587.13	503.95	718.08	780.44	848.22	764.36	547.75	547.75	941.27	961.07	723.08	941.27	988.12
FAM26E	3.11	9.06	25.17	11.38	24.28	12.93	0.85	2.61	5.19	16.27	7.34	25.91	41.81
FCGR2A	105.15	173.85	525.39	293.07	629.35	301.33	15.22	45.21	165.57	947.83	256.78	1870.53	3060.45
FOLR2	134.3	75.11	246.28	256.78	379.04	127.0	7.06	79.45	277.2	406.31	62.56	928.3	1697.45
FPR1	4.24	15.22	61.68	25.17	237.86	93.35	0.88	5.28	118.43	130.6	31.22	332.14	974.5
G0S2	40.64	143.01	195.72	48.87	476.71	547.75	24.63	39.5	94.67	743.43	323.03	974.5	2148.82
GLIPR2	47.17	106.63	221.86	166.73	228.13	182.55	11.3	40.64	189.02	197.09	116.78	808.0	866.07
GLRX3	1286.18	872.1	1447.15	1639.59	1697.45	2485.67	1143.1	941.27	2178.83	1639.59	1277.29	1508.65	1447.15
GPR84	7.94	14.78	22.43	11.13	34.75	22.43	1.69	1.33	8.58	41.81	18.7	204.07	450.94
GPR97	6.21	2.05	6.84	7.11	20.11	16.88	2.25	2.29	18.29	11.13	2.81	48.87	103.69
HAVCR2	28.04	27.44	97.36	44.25	98.04	43.63	4.5	44.25	44.57	137.14	92.05	476.71	642.59
HCK	35.25	47.84	121.79	65.26	217.27	105.15	3.14	25.17	89.51	185.11	54.72	981.29	1388.16
