	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.145MF.0726.SM.5Q5BT	TCGA.FE.A238.01A.11R.A16R.07	TCGA.EM.A3OA.01A.11R.A220.07	TCGA.DJ.A1QD.01A.11R.A14Y.07	GTEX.WRHU.0926.SM.4E3IG	GTEX.14E6C.2626.SM.5RQJP	GTEX.RWSA.0826.SM.2XCBF	GTEX.13OVI.0826.SM.5KLZ8
ABCB4	0.0	0.03	20.56	7.46	14.14	2.16	24.99	43.32	61.25	5.11
ABCC8	0.0	0.67	5.73	15.68	665.29	70.51	890.44	854.13	860.08	21.16
ACHE	0.0	0.59	77.25	13.32	104.42	9.13	185.11	165.57	105.89	40.07
ACKR3	0.0	0.83	88.26	403.5	429.54	293.07	1583.71	1583.71	1628.26	884.29
ADIPOR2	0.0	0.34	543.96	563.18	651.58	490.14	921.88	1119.56	1313.23	1023.0
AKR1C2	0.0	1.19	6140819.49	16.88	16.75	9.93	150.17	332.14	447.82	74.06
AMPD1	0.0	0.0	41.81	1.41	1.31	1.16	25.54	2.34	5.92	3.56
ANGPTL5	0.0	0.0	16.88	0.55	0.53	1.36	16.51	9.27	14.14	3.59
AQP4	0.0	0.07	7382.04	23.76	260.38	88.26	13.03	480.04	457.25	80.01
ARFIP2	0.0	0.95	3491.39	1583.71	1583.71	1151.06	1617.0	1757.34	1936.53	1685.71
ARHGAP8	0.0	0.21	332.14	536.45	480.04	460.44	1066.48	1322.37	1250.98	830.75
ARMS2	0.0	0.01	1.71	0.83	0.0	0.87	1.25	5.82	8.38	0.0
BEX1	0.0	0.29	20.41	40.36	267.73	71.0	1259.69	395.18	1508.65	429.54
BLK	0.0	0.39	61.25	6.62	0.77	4.06	58.71	9.93	14.35	6.26
BST1	0.0	0.44	264.03	52.08	18.56	43.63	231.32	59.97	147.06	58.71
C11orf35	0.0	0.52	78.89	53.95	150.17	32.82	379.04	244.57	205.5	237.86
C12orf23	738.29	457.25	536.45	555.41	551.56	642.59	796.86	947.83	1104.13	759.08
C14orf39	0.0	0.0	15.11	0.0	0.0	0.99	5.32	9.41	9.78	3.06
C8orf31	0.0	0.58	0.97	80.57	53.19	60.82	483.38	151.22	540.19	113.56
CBWD3	0.0	0.44	205.5	77.79	127.0	100.83	214.27	242.88	346.29	215.77
CBWD5	0.0	0.78	1340.84	547.75	612.11	567.1	1167.14	1662.49	1594.73	1151.06
CCDC116	0.0	0.45	0.0	3.53	2.2	2.97	12.18	9.78	13.22	4.9
CCDC130	0.0	1.19	454.09	830.75	988.12	525.39	1685.71	1561.89	1662.49	1508.65
CCDC19	0.0	0.05	1674.06	7.34	2.76	8.51	50.63	74.58	82.29	42.41
CDHR1	0.0	0.41	3.0	1.04	1.68	2.94	15.22	6.84	9.78	5.02
CENPT	0.0	1.17	403.5	423.61	493.56	314.17	1313.23	902.89	1037.29	928.3
