	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.49.4494.01A.01R.1206.07	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.G9.7525.01A.31R.2263.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.J4.A83I.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.V1.A8MG.01A.11R.A36G.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.D7.A6EZ.01A.11R.A31P.31	GTEX.ZV6S.0926.SM.57WGB
AC008267.1	0.0	0.0	0.35	0.79	0.82	0.0	2.51	2.12	2.03	2.71	0.83	0.0	0.45	0.0	0.0
AC008443.1	0.0	0.0	0.0	10.08	49.21	0.0	72.01	84.63	28.04	81.71	6.62	10.0	0.0	0.0	0.0
AC010336.1	0.0	0.0	0.58	2.81	7.57	1.04	3.96	8.19	6.57	5.77	2.94	2.71	0.66	4.7	1.11
AC024580.1	0.0	0.47	7.82	47.17	55.1	2.39	78.34	100.83	20.26	33.06	14.35	13.42	7.51	28.24	2.81
AC068987.1	0.0	0.21	0.0	26.86	47.84	5.28	57.49	19.25	16.75	23.76	25.17	30.34	3.56	0.0	2.56
AC115618.1	0.0	0.21	4.5	2.81	8.32	3.56	11.13	8.25	4.35	4.39	6.57	4.94	2.71	2.27	4.24
AC116407.2	0.0	0.33	4.46	0.0	10.47	0.0	19.39	9.85	3.59	13.42	3.17	4.24	0.0	8.99	4.43
AC132192.1	0.0	0.38	6.01	45.53	141.02	10.79	103.69	153.34	57.89	45.53	21.32	73.03	15.22	53.95	6.31
ACAD11	0.0	0.89	40.36	441.64	379.04	67.12	454.09	295.11	309.83	591.22	186.4	173.85	108.14	158.79	232.94
AGAP10	0.0	0.58	21.01	87.65	150.17	25.91	146.03	125.24	69.03	96.01	49.56	55.89	6.73	90.77	14.45
AGAP6	0.0	1.19	32.36	255.0	320.8	87.03	336.79	389.72	208.38	334.46	173.85	131.51	53.19	229.72	36.79
