	TCGA.E9.A245.01A.22R.A16F.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.D8.A1XG.01A.11R.A14D.07	TCGA.E2.A1LH.11A.22R.A14D.07	GTEX.YFC4.1426.SM.5IFJG	GTEX.13FTY.2226.SM.5J1ND	TCGA.DD.A3A8.11A.11R.A22L.07	GTEX.RM2N.1926.SM.48FCU	GTEX.145MF.0826.SM.5QGQA	TCGA.38.4625.01A.01R.1206.07
ABCA13	1.64	17.64	1.51	1.0	5.92	75.11	18.43	3.66	5.63	2.16	0.0
AC005841.1	0.0	22.75	8.0	11.47	17.9	21.47	37.05	0.0	0.17	3.06	0.0
AC020922.1	10.16	27.25	9.06	11.82	13.93	57.89	80.57	1.91	0.0	0.82	0.0
AC024580.1	24.11	80.57	21.78	52.08	24.99	66.18	80.57	0.0	7.06	11.55	0.0
AC135178.1	33.54	90.14	35.76	23.76	69.52	157.68	114.36	7.11	1.73	8.06	0.0
ACSBG2	3.82	11.55	0.0	2.84	6.89	27.84	14.03	0.0	0.0	1.39	0.0
ADM5	19.53	23.59	22.43	4.98	30.12	54.33	88.88	3.35	1.97	7.51	0.0
AGAP5	58.3	258.57	55.49	125.24	111.21	206.94	279.14	6.67	21.16	37.32	0.0
AKAP8L	1127.35	1721.16	896.64	785.88	1175.27	2133.97	1896.65	309.83	403.5	703.28	0.0
AP4S1	109.66	150.17	103.69	85.82	135.24	277.2	157.68	29.27	80.01	51.35	0.0
APCDD1	178.77	493.56	195.72	131.51	1540.37	483.38	723.08	38.4	22.59	44.57	0.0
ARHGEF17	397.93	633.73	454.09	460.44	575.03	872.1	624.99	57.08	30.12	36.27	0.0
ARHGEF37	242.88	1059.11	171.45	101.54	967.76	896.64	1259.69	14.56	6.11	90.77	0.0
ARSG	743.43	896.64	134.3	878.17	441.64	1583.71	1769.57	62.12	41.81	68.55	0.0
ASB14	9.34	13.22	3.38	9.85	9.63	14.56	18.97	0.0	0.97	2.29	0.0
ATP6AP1L	86.43	346.29	57.08	142.01	127.0	265.87	381.68	8.65	12.83	63.0	65.26
BEX1	6121.9	4972.34	4.13	1583.71	206.94	122.64	7382.04	33.06	11.21	21.01	0.0
BMP7	21.63	144.01	43.32	21.78	93.35	476.71	221.86	2.46	9.27	0.0	0.0
CASQ1	4.31	180.02	5.77	15.68	68.07	172.65	212.78	0.0	0.0	2.23	0.0
CBY1	1286.18	1733.13	748.61	796.86	1340.84	1870.53	1605.83	551.56	232.94	612.11	0.0
CENPC	152.28	277.2	148.09	134.3	297.17	400.71	518.15	16.88	72.52	75.64	0.0
CLK4	209.84	384.34	275.28	253.23	486.75	791.35	764.36	40.64	152.28	218.79	0.0
CNTROB	656.11	878.17	423.61	748.61	791.35	1457.23	1322.37	271.48	173.85	175.07	0.0
CPB1	1578364.61	906531.99	1715263.94	565825.41	543.96	5366.37	2.291835145E7	31.0	20.86	0.26	0.0
CPSF7	941.27	1225.22	759.08	1167.14	1304.15	2319.15	1806.78	346.29	466.88	607.87	0.0
CTNND1	1870.53	4512.4	2701.35	3589.58	3491.39	4903.87	5041.77	1044.52	1407.55	954.43	1674.06
CTNND2	138.1	273.37	66.18	186.4	161.02	1674.06	921.88	14.67	3.69	141.02	0.0
CYP2R1	320.8	376.41	242.88	412.0	371.22	536.45	579.04	81.14	130.6	198.47	0.0
DALRD3	1369.04	1806.78	629.35	941.27	1096.5	2018.8	2032.85	392.44	258.57	403.5	0.0
DDX11	346.29	463.65	191.67	251.48	279.14	368.65	738.29	116.78	170.25	78.89	0.0
DGCR8	343.89	470.14	264.03	406.31	470.14	423.61	460.44	166.73	204.07	158.79	0.0
DVL2	341.51	521.76	221.86	497.0	599.49	947.83	743.43	110.43	63.45	136.19	0.0
EBF3	14.03	38.67	32.13	6.89	58.3	76.17	83.45	1.5	0.0	3.53	0.0
ELAC2	1059.11	890.44	703.28	1001.93	941.27	842.36	1498.22	791.35	878.17	607.87	0.0
EPG5	180.02	423.61	157.68	253.23	264.03	511.0	414.87	75.64	52.82	92.7	339.14
ERMP1	536.45	1295.13	470.14	1096.5	521.76	954.43	1096.5	99.43	95.34	118.43	503.95
FAM156A	209.84	271.48	239.52	191.67	246.28	764.36	423.61	37.85	57.89	72.52	0.0
FAN1	241.19	381.68	186.4	297.17	329.84	571.05	555.41	103.69	94.01	154.42	0.0
FLCN	392.44	595.34	285.03	551.56	389.72	1096.5	660.68	353.59	190.34	236.21	264.03
GABBR1	249.73	733.19	289.02	353.59	483.38	2591.27	1088.92	10.24	32.82	14.78	0.0
GABRG3	4.5	7.94	0.35	4.24	8.71	12.27	12.0	0.0	0.0	7.0	0.0
GCSAM	23.25	85.82	22.1	29.7	82.29	134.3	162.14	4.13	7.82	14.45	0.0
GEMIN4	258.57	339.14	189.02	400.71	507.46	454.09	483.38	141.02	111.99	101.54	0.0
GOLGA1	299.25	334.46	336.79	291.04	309.83	392.44	551.56	96.01	208.38	167.9	0.0
