	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.CV.7255.11A.01R.2016.07	TCGA.VN.A88P.01A.11R.A352.07	TCGA.KK.A8IG.01A.11R.A36G.07	TCGA.EJ.A46I.01A.12R.A26U.07	TCGA.J4.A83L.01A.11R.A352.07	TCGA.EJ.A65G.01A.21R.A29R.07	TCGA.M7.A724.01A.12R.A32O.07	TCGA.HC.7740.01A.11R.2118.07	TCGA.2A.A8VO.01A.11R.A37L.07	TCGA.J4.A83J.11A.11R.A36G.07	TCGA.HC.8262.11A.01R.2263.07	TCGA.CH.5768.11A.01R.1580.07	TCGA.G9.6356.11A.01R.1789.07	GTEX.13FXS.2826.SM.5LZYC
ACE2	205.5	90.77	64.8	3.56	5.45	3.29	1.97	1.62	10.96	14.35	2.73	16.88	33.78	7.17	36.53	26.47
ACOT11	1457.23	543.96	314.17	17.0	31.9	86.43	34.02	12.45	3.03	122.64	13.72	123.5	234.57	170.25	124.37	66.18
AJUBA	748.61	603.67	441.64	27.84	83.45	336.79	63.0	50.98	26.1	256.78	35.25	361.04	318.57	457.25	312.0	417.77
ANXA8L1	573724.06	2343119.96	813.63	0.0	7.51	52.08	3.06	1.46	0.45	99.43	5.82	140.04	432.53	163.28	244.57	98.73
ANXA8L2	6014443.23	3913423.01	2997.45	0.0	15.34	108.14	13.03	1.58	0.0	186.4	0.0	273.37	967.76	221.86	693.58	161.02
ARHGEF28	307.69	543.96	376.41	22.43	32.82	139.07	58.71	37.59	2.34	180.02	99.43	248.0	303.44	239.52	275.28	81.14
B3GNT8	23169.48	10585.95	384.34	11.21	26.67	88.88	17.13	21.16	1.75	102.25	12.45	147.06	242.88	131.51	231.32	116.78
BARX2	479109.86	311742.51	4450.27	253.23	181.28	314.17	175.07	49.21	43.94	583.07	36.27	457.25	624.99	497.0	753.83	228.13
BNC1	2201414.44	1108362.75	283.05	0.29	0.66	7.46	0.3	0.0	0.0	4.24	0.31	7.82	36.27	9.41	25.35	17.25
C10orf105	4.43	5.45	3.26	2.16	0.4	1.48	1.46	0.0	0.0	2.78	0.0	4.54	3.23	3.35	5.15	0.45
C10orf55	30.34	72.01	25.72	1.04	2.56	8.13	1.39	0.36	0.31	4.24	1.08	21.94	18.43	8.65	13.22	11.73
C15orf41	409.15	356.05	159.9	87.65	93.35	108.14	72.52	70.51	5.06	167.9	65.72	126.12	476.71	154.42	412.0	125.24
C16orf74	2240.11	5006.93	511.0	19.82	29.7	161.02	53.19	19.68	87.65	177.53	31.9	327.56	473.41	400.71	426.57	363.56
C19orf33	267651.2	623486.02	16960.78	624.99	214.27	764.36	90.14	40.07	110.43	842.36	193.01	1757.34	5366.37	1397.83	5255.91	1769.57
C19orf57	429.54	532.74	139.07	19.39	28.45	109.66	18.97	8.25	43.32	43.63	27.05	88.88	148.09	43.02	121.79	58.71
C1orf106	8078.22	4937.99	1923.14	2.46	30.34	242.88	29.06	10.96	4.35	384.34	10.71	595.34	1685.71	314.17	854.13	291.04
C1orf177	836.53	497.0	40.36	2.1	1.07	1.39	2.86	0.0	0.0	4.43	0.68	2.16	2.78	2.89	6.78	4.46
CAPN1	15499.21	13033.07	8718.32	2335.28	1242.34	3395.89	1950.0	1794.29	1498.22	3564.78	1709.26	3589.58	4607.24	3614.55	3901.01	3349.13
CAPNS2	1514068.5	1890058.21	1628.26	0.0	15.34	55.49	9.93	8.65	0.56	351.14	0.0	170.25	633.73	167.9	379.04	132.44
CCL28	182.55	371.22	575.03	43.94	34.51	152.28	84.63	45.85	0.0	176.29	36.53	171.45	105.15	109.66	171.45	100.83
CELSR2	4038.61	1991.0	830.75	56.68	111.99	279.14	85.82	57.08	35.25	307.69	53.57	356.05	470.14	309.83	343.89	231.32
CHP2	329.84	35856.82	56.28	0.0	8.51	56.28	1.33	0.66	0.0	140.04	0.0	204.07	470.14	105.89	389.72	49.56
