	TCGA.GU.A762.01A.11R.A33J.07	TCGA.AO.A12H.01A.11R.A115.07	TCGA.A8.A091.01A.11R.A00Z.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.A2.A0ER.01A.21R.A034.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.E9.A5UO.01A.11R.A28M.07	TCGA.BH.A0AZ.11A.22R.A12P.07	GTEX.ZF2S.2026.SM.5E461	GTEX.13FTY.2226.SM.5J1ND	TCGA.38.4625.01A.01R.1206.07
ABCB7	220.32	305.55	435.55	353.59	392.44	273.37	283.05	497.0	543.96	457.25	0.0
ABCC1	206.94	146.03	555.41	281.09	283.05	86.43	195.72	384.34	387.02	318.57	0.0
AC012313.1	0.0	0.0	32.36	0.0	1.04	0.0	0.0	2.81	2.2	5.11	0.0
AC027307.3	3.63	5.06	16.39	6.52	2.73	4.31	4.21	16.27	12.45	7.34	0.0
AC114494.1	7.0	11.73	121.79	13.42	17.13	8.06	8.19	36.27	25.35	31.45	0.0
ACACB	30.34	96.68	780.44	389.72	409.15	30.12	127.0	432.53	299.25	314.17	0.0
ACOX2	35.76	356.05	1529.73	323.03	540.19	248.0	13.12	395.18	1286.18	1225.22	0.0
AJAP1	1.53	8.0	121.79	5.19	1.77	0.35	2.34	22.1	5.5	19.25	0.0
AL445665.1	1.81	0.0	19.68	0.0	0.72	0.0	2.39	50.27	14.56	7.69	0.0
ALOX12B	0.32	3.76	45.85	1.95	0.69	0.64	0.0	4.17	2.61	14.03	0.0
ANKRD17	291.04	656.11	1175.27	587.13	693.58	454.09	409.15	1023.0	1088.92	665.29	0.0
AP1AR	122.64	414.87	1015.93	323.03	483.38	244.57	348.71	559.28	813.63	698.41	0.0
ARHGAP17	656.11	688.78	1561.89	909.17	796.86	454.09	575.03	915.51	1037.29	961.07	1135.2
ARHGEF6	104.42	507.46	1044.52	171.45	915.51	127.0	104.42	688.78	1709.26	1104.13	123.5
ATG2B	52.08	136.19	384.34	187.71	301.33	113.56	166.73	368.65	423.61	327.56	0.0
BCORL1	59.55	202.66	417.77	172.65	279.14	157.68	177.53	260.38	381.68	229.72	0.0
BRWD1	206.94	457.25	813.63	444.72	571.05	279.14	353.59	698.41	860.08	764.36	277.2
BTBD7	136.19	281.09	480.04	256.78	273.37	143.01	124.37	384.34	579.04	414.87	155.5
C11orf42	0.6	1.06	27.05	0.0	4.9	0.65	0.0	2.86	5.02	3.35	0.0
C16orf45	43.63	334.46	3124.78	157.68	429.54	46.5	46.18	599.49	1151.06	435.55	0.0
C6orf25	0.0	9.2	69.52	6.11	8.51	6.46	4.43	13.22	32.59	33.78	0.0
C7orf55-LUC7L2	389.72	1295.13	2163.77	934.76	1417.35	713.11	995.0	1832.01	1757.34	1721.16	1044.52
C8orf4	67.12	703.28	10512.82	171.45	1561.89	1437.15	813.63	3928.15	1963.57	9740.98	0.0
C9orf50	0.31	2.14	13.12	0.82	1.77	0.34	0.0	3.96	5.63	4.24	0.0
CAPN12	46.5	4.31	173.85	23.59	45.21	2.23	2.34	70.51	47.5	94.67	0.0
CARF	13.42	75.11	198.47	72.01	120.1	57.89	49.91	267.73	269.6	170.25	0.0
CBX7	57.49	579.04	1242.34	267.73	483.38	450.94	412.0	988.12	1143.1	1015.93	0.0
CCP110	59.97	156.59	743.43	356.05	305.55	102.25	163.28	432.53	403.5	567.1	193.01
CDK19	72.52	176.29	599.49	182.55	229.72	88.88	82.29	358.54	473.41	346.29	0.0
CDSN	0.0	20.41	156.59	16.51	41.81	8.51	0.87	11.21	3.92	38.12	0.0
CEP68	105.15	182.55	406.31	215.77	406.31	194.36	148.09	551.56	579.04	463.65	116.78
CIDEA	31.0	0.0	51.71	7.4	27.44	0.0	0.3	7.28	38.67	18.97	0.0
CLDN12	153.34	423.61	1242.34	567.1	753.83	483.38	713.11	819.3	915.51	1175.27	0.0
CLDND2	54.72	7.57	63.45	5.36	8.92	6.57	0.0	22.26	36.79	26.1	0.0
CLUAP1	267.73	599.49	954.43	460.44	540.19	511.0	334.46	575.03	1008.9	842.36	429.54
CNOT6L	138.1	202.66	595.34	256.78	389.72	140.04	164.42	642.59	389.72	435.55	115.97
CPB1	0.33	1155430.26	906531.99	1715263.94	1055868.42	1026995.62	489177.0	567.1	33224.42	2.291835145E7	0.0
CSF3R	211.31	323.03	1857.6	223.41	236.21	161.02	67.12	244.57	341.51	624.99	0.0
CSNK1E	1340.84	2193.99	4181.07	1340.84	2400.97	2255.7	1508.65	2796.65	2032.85	3639.7	1457.23
CST9	0.0	71.5	3794.3	825.0	242.88	223.41	17.25	20.56	356.05	1561.89	0.0
CTIF	162.14	229.72	1143.1	285.03	283.05	256.78	417.77	547.75	507.46	414.87	0.0
