	TCGA.A7.A6VY.01A.12R.A33J.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.DQ.7588.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.39.5030.01A.01R.1443.07	TCGA.85.7710.01A.11R.2125.07	TCGA.SJ.A6ZI.01A.12R.A34R.07	TCGA.4E.A92E.01A.11R.A37O.07
AC104809.3	1.46	1322.37	15180.22	0.0	0.0	0.15	4.94	1.97	38.4	136.19
ADRA2C	9.41	3540.14	5633.22	6.73	0.0	0.48	18.7	3.56	211.31	236.21
AKAP14	9.78	1183.45	9876.98	0.0	0.0	0.0	9.34	0.0	38.12	33.78
AMER3	0.0	0.0	1.55	0.0	0.0	0.0	0.0	0.0	0.77	0.25
ANKRD66	0.0	6037.61	107203.06	0.0	0.0	0.0	2.58	0.0	29.48	11.3
ASCL2	75.11	173.85	334.46	124.37	0.0	0.13	36.01	82.29	316.37	181.28
BBIP1	221.86	620.67	896.64	204.07	0.0	0.66	389.72	301.33	624.99	470.14
C10orf107	10.96	567.1	1540.37	0.43	0.0	0.0	7.22	0.48	32.82	63.89
C10orf32	164.42	1030.12	1745.2	74.06	329.84	1044.52	158.79	228.13	406.31	525.39
C18orf32	842.36	1857.6	2384.37	379.04	0.0	0.79	1286.18	1304.15	2119.22	1508.65
C19orf45	24.99	71.5	69.52	5.19	0.0	0.29	8.38	13.12	84.63	31.67
C1orf158	0.0	16611.71	85283.74	0.0	0.0	0.0	0.01	0.0	23.59	15.11
C1orf194	1.99	419990.32	3134925.09	0.0	0.0	0.0	20.56	0.0	221.86	182.55
C21orf59	1457.23	1457.23	1991.0	713.11	0.0	0.46	748.61	1167.14	1991.0	1369.04
C22orf15	5.23	309.83	780.44	0.0	0.0	0.0	1.97	4.74	59.55	22.26
C3orf35	5.77	28.04	81.71	2.66	0.0	0.49	4.98	3.5	21.78	8.45
C6ORF165	25.91	1870.53	5219.6	0.0	0.0	0.0	12.74	0.0	108.14	79.45
C6orf163	10.39	44.25	68.07	7.22	0.0	0.27	27.44	4.98	52.45	24.11
CCDC104	536.45	2004.85	2816.11	457.25	0.0	0.78	688.78	423.61	2335.28	1233.75
CCDC157	45.53	417.77	1066.48	26.67	0.0	0.03	123.5	46.5	202.66	161.02
CCDC33	0.32	3794.3	12502.12	0.0	0.0	0.0	3.82	0.78	21.47	28.04
CCDC65	19.82	713.11	5954.47	7.11	0.0	0.0	12.0	10.31	84.04	108.9
CCDC78	85.22	5006.93	31650.8	7.06	0.0	0.01	34.26	49.91	287.01	156.59
CDC42SE2	387.02	1685.71	1685.71	323.03	392.44	1322.37	738.29	395.18	1135.2	842.36
CDHR4	1.38	10733.74	42346.82	0.27	0.0	0.0	4.13	2.56	79.45	46.18
CDK20	172.65	518.15	808.0	38.67	0.0	0.31	143.01	105.15	444.72	336.79
CHDC2	0.95	438.59	3303.0	0.0	0.0	0.0	0.96	0.99	14.67	5.68
CHST5	11.3	30.12	27.64	0.0	0.0	0.1	7.57	0.45	18.7	7.88
CLIC5	13.62	947.83	3589.58	0.0	0.0	0.1	62.56	22.1	239.52	265.87
CNGA4	2.01	128.79	1529.73	0.0	0.0	0.0	1.2	2.18	6.31	18.43
CTC-534A2.2	31.22	31.67	35.76	22.59	0.0	0.16	25.35	49.56	63.45	49.21
CTD-2535L24.2	0.0	1.45	3.99	0.0	0.0	0.0	0.0	0.0	1.93	2.97
CXorf22	2.18	384.34	3768.09	0.0	0.0	0.0	0.93	1.22	16.63	6.73
CXorf30	4.1	1119.56	15499.21	0.0	0.0	0.0	3.38	8.58	40.07	7.51
DCDC1	2.94	95.34	336.79	0.47	0.0	0.0	4.62	2.86	47.5	21.01
DEPTOR	318.57	595.34	1313.23	7.75	0.0	0.16	127.89	17.38	1397.83	703.28
DNAH9	0.99	4512.4	95949.32	0.99	0.0	0.0	15.0	1.79	77.79	173.85
DNAJC22	41.81	1540.37	3349.13	1.38	49.91	112.77	18.84	5.36	316.37	289.02
DNM2	2255.7	2645.74	2739.08	1662.49	2451.44	651.58	2047.0	2032.85	3124.78	1950.0
DYNLRB2	3.38	1733.13	20737.16	0.0	0.0	0.0	13.03	0.0	156.59	133.36
EFCAB13	13.32	190.34	38.67	27.44	0.0	0.68	28.45	26.1	105.89	37.59
EFHB	19.11	128.79	414.87	1.04	0.0	0.0	1.33	0.19	28.24	20.56
