	TCGA.L5.A88T.01A.11R.A354.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.IC.A6RE.11A.12R.A336.31	GTEX.YFC4.1226.SM.5LU9R	GTEX.13FLV.1126.SM.5J2NO	GTEX.TSE9.1226.SM.4DXTM	GTEX.X4XY.1726.SM.46MVO	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.N6.A4VD.01A.11R.A28V.07
ABCB10	204.07	178.77	154.42	229.72	82.29	244.57	108.14	0.0	0.48	178.77
ALG6	191.67	221.86	251.48	429.54	135.24	275.28	164.42	0.0	0.0	295.11
AQP9	9.78	2.68	2.71	19.53	2.97	25.72	0.36	0.0	0.39	38.4
ARL5A	595.34	802.41	743.43	988.12	521.76	669.92	547.75	0.0	0.45	406.31
ASB13	493.56	361.04	358.54	339.14	191.67	366.09	409.15	0.0	0.0	497.0
BAAT	1.77	2.29	0.0	2.73	0.13	2.94	0.0	0.0	0.0	0.69
BCL2A1	19.39	22.59	50.27	70.51	13.93	116.78	3.99	0.0	0.4	169.07
BLOC1S4	281.09	231.32	232.94	447.82	116.78	336.79	305.55	0.0	0.17	412.0
C11orf1	525.39	483.38	583.07	909.17	688.78	1191.69	348.71	0.0	0.26	1304.15
C12orf68	21.47	27.44	31.45	38.67	9.85	36.27	2.56	0.0	0.13	82.87
C18orf56	27.05	40.93	15.68	53.19	17.38	69.52	0.0	0.0	0.0	79.45
C3orf58	224.97	269.6	241.19	595.34	53.57	323.03	105.15	0.0	0.45	253.23
C8A	0.23	0.0	0.0	0.96	0.0	1.79	1.08	0.0	0.03	0.61
CARD16	435.55	629.35	241.19	612.11	218.79	441.64	118.43	0.0	0.2	291.04
CASS4	20.56	5.5	11.21	3.11	1.87	5.96	0.0	0.0	0.25	6.78
CHCHD7	591.22	507.46	497.0	967.76	426.57	1096.5	202.66	0.0	0.65	660.68
CLEC4D	1.57	1.23	0.34	4.7	0.0	5.06	0.0	0.0	0.19	0.93
CLEC4E	49.21	10.79	4.62	20.71	0.0	35.76	3.69	0.0	0.23	58.71
CNIH1	1151.06	1001.93	1277.29	1639.59	791.35	1651.0	748.61	0.0	0.52	1286.18
COX7C	10585.95	10883.59	15824.9	18819.27	10084.54	17078.76	4937.99	0.0	1.23	30572.63
CRLS1	599.49	514.56	591.22	1008.9	591.22	1498.22	559.28	0.0	0.56	1167.14
CSF3R	120.94	71.5	56.68	218.79	38.67	638.15	23.59	0.0	0.96	229.72
CSTB	1432396.03	2805836.45	5931640.6	89523.81	54727.32	45701.96	82951.62	0.0	0.74	4802.93
CSTF2T	137.14	129.69	139.07	166.73	69.03	198.47	88.88	0.0	0.13	297.17
