	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CV.7183.01A.11R.2016.07	TCGA.CN.5365.01A.01R.1436.07	TCGA.CV.A465.01A.11R.A266.07	TCGA.CV.A45O.01A.21R.A24H.07	TCGA.CV.A463.01A.11R.A266.07	TCGA.MT.A51W.01A.21R.A266.07	TCGA.CV.5977.01A.11R.1686.07	TCGA.CV.A45P.01A.11R.A24H.07	TCGA.CQ.6220.01A.11R.1915.07	TCGA.CR.6491.01A.11R.1873.07	TCGA.CV.7446.01A.11R.2232.07	TCGA.CV.7411.01A.11R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.85.7697.01A.11R.2125.07	TCGA.21.5782.01A.01R.1635.07	TCGA.85.8350.01A.11R.2296.07	TCGA.56.8083.01A.11R.2247.07	TCGA.66.2790.01A.01R.0980.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.VQ.A922.01A.11R.A414.31	TCGA.BR.8296.01A.11R.2343.13
AC006486.9	0.0	0.0	0.0	8.45	0.0	0.0	4.24	0.0	0.0	5.87	0.0	57.89	0.0	0.0	0.0	0.0	5.73	11.04	3.53	23.25	5.23	0.0	0.0
AC008948.1	3.86	0.77	3.17	1.08	0.75	0.0	3.23	0.0	0.0	0.0	0.0	79.45	2.43	0.0	10.24	53.95	13.32	15.68	22.59	14.35	1.71	10.47	3.14
AC091801.1	21.01	0.0	1.5	0.0	0.0	0.0	1.91	0.0	0.0	0.0	0.0	299.25	0.0	0.0	20.11	10.0	1.91	167.9	0.0	6.36	8.32	10.63	26.28
ACADL	4.24	0.0	1.17	1.17	0.0	3.38	1.19	0.0	3.08	0.0	0.78	176.29	4.86	0.0	15.34	34.02	46.18	76.17	47.84	34.51	18.97	56.68	51.71
ACVR1C	0.47	12.36	27.25	7.69	18.43	5.73	16.51	8.71	11.04	7.75	31.45	332.14	18.56	0.0	20.71	35.0	35.0	16.88	40.93	65.72	29.48	4.21	7.94
AL590867.1	0.0	0.0	0.0	0.0	3.38	0.0	0.0	0.0	1.04	0.99	2.07	8.85	0.68	0.0	1.97	6.11	0.69	0.0	0.66	1.93	7.06	3.11	8.99
AMOT	12.93	7.0	2.41	10.0	1.07	3.89	8.45	0.8	7.22	2.43	3.89	133.36	7.4	0.0	47.84	68.07	66.65	215.77	108.14	476.71	119.26	171.45	205.5
ARL13B	52.82	51.71	43.63	119.26	23.42	68.07	72.01	109.66	70.51	126.12	94.01	1015.93	84.63	176.29	181.28	193.01	141.02	275.28	248.0	231.32	186.4	518.15	102.97
ARL6	59.13	38.95	63.0	105.89	27.25	18.29	47.17	104.42	49.56	81.14	39.5	389.72	33.06	0.0	143.01	105.15	74.58	94.01	353.59	167.9	111.21	126.12	106.63
ASTN1	0.0	0.58	0.48	19.82	0.0	0.0	0.0	0.0	0.0	0.49	0.0	10.31	0.0	0.0	11.04	31.9	17.64	60.82	45.53	37.85	6.57	62.56	7.46
B3GALNT1	28.65	40.36	14.24	63.45	58.3	23.42	36.01	65.72	26.1	46.18	60.82	743.43	52.45	0.0	173.85	169.07	141.02	915.51	764.36	358.54	183.82	209.84	303.44
BARHL2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.35	0.0	0.0	0.35	3.72	4.94	8.13	2.63	0.0	2.05	12.93	3.11
BEND4	0.0	0.0	0.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	34.51	0.0	0.0	2.07	6.94	1.33	56.68	33.06	12.83	4.46	28.04	19.25
BTBD17	0.46	0.0	0.0	9.93	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.58	0.0	0.0	0.38	0.73	1.01	18.56	9.63	10.39	5.63	11.82	2.39
BZRAP1	74.58	7.22	10.79	52.82	31.45	14.35	35.0	35.5	32.82	18.43	5.54	293.07	14.03	0.0	127.0	180.02	400.71	532.74	503.95	332.14	127.0	255.0	182.55
C10orf112	0.0	0.0	0.41	1.87	0.0	0.0	0.0	0.37	0.43	0.41	0.45	28.24	0.0	0.0	4.35	8.78	22.75	94.01	35.5	73.03	5.06	5.63	1.38
C16orf46	19.39	10.79	19.39	17.9	8.45	6.89	13.52	18.84	7.34	18.16	26.1	111.99	8.51	0.0	21.47	24.46	50.27	84.04	70.51	108.9	32.36	105.15	33.06
CACNA1I	1.16	0.0	0.46	1.2	0.55	0.84	0.47	0.41	0.48	0.46	0.51	43.94	1.07	0.0	5.96	10.96	23.42	80.57	28.65	19.53	10.88	53.57	16.15
CCDC67	0.0	0.0	0.0	0.84	0.0	3.44	0.0	0.0	1.28	0.84	0.0	24.99	0.58	0.0	6.41	27.05	7.06	9.7	22.1	22.59	8.13	10.0	5.32
CDH7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.38	0.0	0.0	0.3	11.13	0.6	3.66	9.85	12.09	5.06	2.46	8.25
CETN1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.95	0.0	7.28	0.0	0.0	0.0	9.7	3.26	0.0	34.26	0.0	6.31	1.55	4.17
CHDC2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.32	0.0	0.0	4.06	1.87	1.79	0.16	7.22	4.24	1.6	1.69	2.32
CLDN11	26.28	11.3	2.97	39.22	17.25	9.2	5.45	4.31	6.89	4.17	3.72	339.14	9.93	16.88	28.24	49.91	3794.3	2796.65	769.69	77.79	63.45	75.11	81.14
CLDN16	39.79	3.82	4.21	7.51	7.4	8.58	6.21	12.55	8.38	20.56	23.42	447.82	6.41	0.0	98.04	47.5	87.03	25.17	82.87	2.23	8.99	2.1	28.65
CNTNAP5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.39	0.0	0.0	2.1	1.31	2.41	0.62	0.0	10.47	7.34	0.3	3.03
CPEB1	1.13	1.68	1.38	7.57	6.94	2.58	1.0	0.53	2.32	1.39	1.97	30.34	7.34	0.0	7.88	24.46	59.97	84.04	128.79	28.24	13.62	34.26	31.45
CT45A1	0.0	0.0	9.56	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1119.56	0.0	0.0	13.42	7.46	417.77	1051.79	954.43	205.5	8.92	607.87	11.64
CXXC4	1.89	0.73	1.04	8.0	1.23	1.89	1.07	4.54	1.55	1.48	1.14	55.89	2.39	0.0	11.47	38.67	17.51	37.59	33.54	102.97	15.11	24.63	6.31
CXorf22	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33	0.0	13.42	0.0	0.0	5.87	1.81	0.16	0.0	6.36	3.44	1.58	1.69	0.78
CXorf30	0.0	0.0	0.35	0.0	1.27	1.03	1.06	0.0	0.73	0.0	0.77	21.78	0.91	0.0	13.83	3.79	1.87	0.47	32.36	8.0	9.13	2.73	0.51
DACH1	36.01	7.46	1.22	1.6	1.03	1.6	2.41	1.08	3.29	3.11	1.36	52.82	3.99	0.0	13.03	11.91	92.05	397.93	58.71	193.01	8.38	40.93	16.63
DCDC1	2.16	0.0	0.92	0.0	3.47	0.0	0.0	1.48	0.0	1.69	0.0	22.43	4.66	0.0	6.78	19.53	5.77	11.13	21.63	30.78	17.25	5.54	9.78
DPPA5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	109.66	0.0	0.0	0.0	4.78	7.4	84.63	0.0	0.0	0.0	173.85	7.51
ECEL1	1.81	2.07	7.4	10.39	10.0	1.31	1.33	6.78	9.13	9.41	7.4	551.56	3.69	0.0	20.26	12.55	417.77	3325.99	1806.78	679.29	26.86	253.23	19.25
EDN3	132900.7	0.77	0.66	3.23	0.0	0.0	0.0	0.0	0.0	0.66	0.0	54.72	0.0	0.0	6.94	4.54	39.5	3060.45	55.89	156.59	3.72	52.82	1.27
EIF5A2	8.32	70.51	525.39	212.78	55.49	103.69	98.73	343.89	67.59	34.75	152.28	1427.22	138.1	265.87	289.02	191.67	713.11	656.11	518.15	239.52	395.18	295.11	77.25
EPHA10	121.79	3.11	6.01	5.63	7.82	2.53	2.61	0.51	4.78	0.57	1.5	130.6	3.79	0.0	3.89	11.47	31.45	31.0	26.86	54.33	11.13	36.01	88.88
EPHA7	5.32	0.0	1.5	0.65	0.0	1.07	0.0	0.0	0.68	0.0	0.0	2502.97	0.0	0.0	32.13	20.86	18.7	49.91	92.05	71.5	28.04	7.51	21.01
FAM110B	0.45	10.16	12.0	54.33	9.63	3.32	5.96	4.39	12.27	16.15	13.32	133.36	18.16	12.74	38.67	44.89	100.83	256.78	229.72	92.05	35.25	152.28	57.49
FAM163A	1.5	0.0	0.69	0.0	0.0	0.36	0.0	0.0	0.0	0.36	0.39	84.04	0.0	0.0	1.55	6.57	3.29	115.97	46.84	30.34	5.54	20.41	17.77
FAM171B	0.08	30.56	20.86	22.75	5.87	12.93	8.25	9.85	8.99	6.52	10.79	242.88	52.08	37.05	34.75	13.52	45.85	269.6	158.79	100.83	24.99	99.43	40.36
FAM227B	78.89	22.43	31.22	27.05	7.94	42.41	49.91	21.78	28.45	37.05	38.12	486.75	19.82	0.0	97.36	115.97	74.06	126.12	111.99	127.0	54.72	49.21	55.1
FGFBP3	23.93	2.68	2.18	9.85	2.66	2.2	1.83	2.27	4.82	6.89	2.41	98.04	3.82	0.0	30.34	30.78	43.32	49.56	28.04	36.79	67.59	40.64	42.41
FOXI2	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	47.84	0.0	0.0	1.75	2.76	6.26	37.59	3.63	0.78	3.5	4.62	6.11
FRAS1	73.54	6.06	4.54	18.97	16.03	17.0	17.64	1.75	5.63	4.24	21.94	961.07	24.28	0.0	130.6	197.09	212.78	1037.29	131.51	638.15	183.82	1059.11	27.84
FRRS1L	0.0	0.0	0.0	6.73	0.0	0.36	0.0	0.0	0.0	0.0	0.0	17.51	0.0	0.0	2.58	5.73	6.06	19.97	49.56	7.17	2.34	0.44	4.03
GDPD1	41.52	18.16	17.38	28.04	23.08	12.93	15.11	17.13	14.89	12.93	8.38	138.1	10.31	0.0	31.9	22.1	57.08	47.17	40.36	79.45	71.5	289.02	76.17
GHSR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1286.18	0.0	0.0	0.0	7.69	2.18	0.0	0.69	6.94	3.76	0.49	5.23
GLS2	199.85	14.14	13.72	13.32	6.52	74.58	31.67	4.35	14.14	10.79	19.39	429.54	13.42	0.0	91.41	122.64	277.2	167.9	224.97	229.72	82.87	361.04	61.68
GNAT1	8.45	0.39	0.3	0.0	0.0	0.3	2.34	0.0	1.04	0.65	0.0	15.22	0.0	0.0	0.0	7.0	6.67	71.5	26.28	1.45	6.06	14.89	3.89
GPR133	2.32	3.17	10.0	4.17	12.18	10.0	2.25	1.58	4.86	2.61	4.21	89.51	17.51	0.0	52.08	76.71	269.6	275.28	180.02	525.39	100.83	327.56	121.79
GPR142	0.82	0.0	0.0	2.41	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.22	0.0	0.0	2.71	3.79	16.15	54.33	38.95	6.06	2.84	34.51	3.99
HEY1	41.52	32.59	59.55	98.73	19.39	18.03	29.06	27.44	57.08	32.36	47.5	1447.15	58.3	0.0	351.14	486.75	473.41	1037.29	1733.13	221.86	112.77	223.41	85.82
HNF4G	3.99	0.46	5.15	0.0	0.0	1.41	0.74	0.93	0.39	0.38	2.71	148.09	0.0	0.0	22.59	8.92	9.41	21.01	50.98	181.28	149.12	285.03	149.12
HS3ST4	84.63	0.36	0.27	1.87	0.0	2.2	0.0	0.0	1.66	0.27	0.67	38.95	2.89	0.0	0.39	29.48	95.34	120.1	4.46	104.42	19.82	6.36	7.17
JAKMIP2	0.11	1.95	4.46	10.79	2.39	8.78	1.99	4.86	2.07	3.44	1.75	620.67	3.47	0.0	38.4	23.25	125.24	15.45	59.97	15.45	7.0	100.13	12.27
KBTBD11	68.07	6.73	4.35	16.75	1.11	4.35	12.36	4.13	4.62	1.71	10.55	102.25	4.17	0.0	12.93	17.9	21.32	98.04	56.68	82.87	51.71	181.28	43.02
KCNH5	0.0	1.73	0.0	0.0	0.44	0.36	0.0	0.0	2.61	0.0	0.0	22.59	0.0	0.0	0.67	10.79	12.09	32.82	2.46	27.05	5.59	1.25	3.89
KCNH6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	0.0	0.0	0.0	5.82	0.65	0.29	7.57	38.4	5.06	77.79	9.34
KCNJ16	0.0	0.0	0.0	12.64	0.0	0.0	0.0	0.0	0.69	0.0	0.0	109.66	0.0	0.0	8.25	73.03	21.01	0.26	9.85	55.1	17.25	56.28	76.17
KCNMB2	14.24	2.05	0.97	5.28	2.03	2.32	0.31	3.14	0.0	2.66	1.46	24.99	1.73	0.0	7.69	35.5	18.43	8.0	33.06	13.22	21.32	8.0	10.71
KDM6B	387.02	208.38	239.52	159.9	339.14	221.86	236.21	470.14	332.14	223.41	595.34	2032.85	486.75	149.12	332.14	316.37	395.18	332.14	447.82	813.63	211.31	878.17	466.88
