	GTEX.1399R.2226.SM.5P9JB	GTEX.Q734.1126.SM.48TZY	GTEX.14E6E.1526.SM.5RQIG	GTEX.R53T.1326.SM.48FCQ	GTEX.13S86.1626.SM.5Q5C5	GTEX.111CU.1426.SM.5GZYP	GTEX.UJHI.1126.SM.4IHLN	GTEX.139YR.2126.SM.5KM11	GTEX.QMRM.1226.SM.447C6	GTEX.ZT9W.1826.SM.51MQX	GTEX.139D8.1426.SM.5IJEX	GTEX.12KS4.1326.SM.5LUB3	TCGA.BR.8365.01A.21R.2343.13	TCGA.BR.7704.11A.01R.2055.13	GTEX.Q2AI.0826.SM.48TZO
ABHD8	112.77	144.01	59.97	123.5	312.0	60.39	97.36	102.25	127.0	72.52	493.56	493.56	318.57	497.0	267.73
AC019171.1	3.89	10.47	5.68	3.29	12.74	0.69	1.79	0.0	4.24	0.0	33.06	4.74	37.32	48.18	19.39
AC021860.1	0.13	4.9	0.39	5.77	13.22	0.0	0.09	3.17	2.41	0.69	34.75	2.12	37.05	45.85	9.56
AC037459.4	0.0	13.22	0.0	0.87	59.97	0.0	0.0	2.01	56.68	0.0	112.77	24.28	253.23	536.45	102.25
ADCK3	612.11	941.27	733.19	780.44	1685.71	607.87	1096.5	961.07	780.44	813.63	1159.07	1104.13	1340.84	1950.0	2018.8
AGBL5	182.55	307.69	209.84	264.03	318.57	194.36	236.21	258.57	356.05	194.36	567.1	163.28	651.58	497.0	403.5
ALKBH5	896.64	1081.39	813.63	934.76	1529.73	738.29	890.44	961.07	1096.5	748.61	2148.82	1037.29	1674.06	1437.15	1183.45
ATF4	5633.22	7081.29	5329.3	4903.87	12415.75	6207.38	5995.9	4972.34	9279.58	5672.41	19892.37	11424.74	8134.41	13399.51	10659.59
BEND7	81.71	122.64	111.99	137.14	547.75	87.03	119.26	187.71	123.5	150.17	525.39	178.77	356.05	540.19	301.33
BIN1	780.44	902.89	460.44	961.07	1457.23	563.18	718.08	941.27	947.83	397.93	1369.04	791.35	1216.75	1745.2	1051.79
BOK	197.09	476.71	118.43	260.38	483.38	131.51	199.85	226.54	403.5	126.12	1883.54	3467.27	1030.12	1151.06	633.73
BRD3	129.69	194.36	120.1	224.97	312.0	121.79	140.04	231.32	236.21	130.6	473.41	99.43	500.46	500.46	237.86
C15orf59	29.27	54.72	11.13	43.32	159.9	10.47	26.47	45.21	76.17	15.45	575.03	9.7	163.28	293.07	55.1
C17orf51	11.55	41.22	5.5	29.7	52.82	12.36	16.39	24.46	42.11	12.45	163.28	27.64	152.28	251.48	57.08
C19orf68	45.21	89.51	19.53	44.89	103.69	31.45	49.91	59.97	46.84	36.01	94.67	10.16	136.19	176.29	74.58
C2orf70	16.03	34.26	6.21	7.82	37.85	20.11	24.11	3.2	26.1	14.45	17.9	0.97	82.87	69.03	38.67
C5orf49	2.39	1.06	0.51	0.0	4.46	0.75	2.39	0.0	1.01	0.0	2.46	267.73	12.18	12.74	8.25
CAND2	9.85	37.59	5.92	23.59	52.45	7.46	17.38	23.25	43.32	6.67	163.28	47.17	234.57	289.02	62.56
CARKD	547.75	842.36	620.67	633.73	785.88	521.76	660.68	693.58	708.18	540.19	1233.75	915.51	947.83	1037.29	1081.39
CCK	0.68	18.43	0.0	0.0	33.78	0.93	1.3	1.83	11.73	0.3	121.79	0.0	26.28	339.14	15.56
CTC-786C10.1	0.0	8.92	1.71	7.17	23.42	0.99	2.73	10.63	12.64	0.0	26.47	3.38	59.13	68.55	11.64
CTSF	194.36	563.18	139.07	248.0	723.08	117.6	231.32	460.44	490.14	158.79	2520.38	1605.83	1313.23	2434.5	1259.69
DBN1	165.57	518.15	88.26	363.56	1135.2	132.44	198.47	314.17	647.07	108.14	2956.17	403.5	1233.75	2303.12	733.19
DEXI	583.07	748.61	346.29	607.87	947.83	403.5	575.03	591.22	748.61	392.44	1806.78	961.07	1233.75	1167.14	981.29
EVA1B	181.28	371.22	183.82	177.53	387.02	120.94	265.87	239.52	395.18	145.02	1388.16	223.41	1051.79	819.3	624.99
FABP1	2011721.67	925580.18	1070607.81	851707.37	919186.72	789181.81	1034138.94	1019901.63	687022.54	1273174.62	23.93	5420519.65	38.12	2075.59	1393227.06
FAM181A	0.0	0.55	0.0	0.88	2.32	0.0	0.95	0.0	0.34	0.0	3.66	2.03	2.78	2.25	1.69
FAM189B	341.51	447.82	190.34	368.65	599.49	226.54	275.28	295.11	403.5	157.68	1066.48	173.85	848.22	796.86	591.22
FAM53C	149.12	256.78	137.14	251.48	412.0	180.02	182.55	229.72	255.0	164.42	633.73	173.85	688.78	1175.27	379.04
FOXK2	303.44	353.59	244.57	444.72	579.04	320.8	309.83	417.77	395.18	289.02	503.95	228.13	1073.91	836.53	551.56
GID4	45.85	118.43	47.5	88.26	164.42	41.22	57.08	104.42	115.97	49.56	242.88	101.54	256.78	212.78	120.94
GNAZ	10.47	61.25	11.47	31.45	112.77	9.48	12.27	22.59	101.54	4.9	665.29	20.26	438.59	493.56	178.77
GP1BB	17.9	32.36	16.88	17.0	36.79	6.21	6.67	27.64	14.24	10.08	116.78	20.56	79.45	66.18	26.86
GPER1	60.82	226.54	153.34	72.01	275.28	38.95	189.02	130.6	114.36	26.1	583.07	136.19	493.56	591.22	607.87
HOMER3	138.1	332.14	71.5	248.0	616.37	75.64	237.86	220.32	325.29	104.42	1159.07	507.46	555.41	457.25	371.22
IGDCC3	0.0	2.03	0.0	1.95	5.15	0.13	0.15	0.54	1.6	1.31	4.98	0.0	6.67	8.65	3.53
KAL1	0.08	8.99	0.19	8.45	31.45	1.17	0.15	7.34	5.45	1.03	22.26	3.56	86.43	35.5	17.13
KAT8	791.35	825.0	532.74	902.89	1208.34	780.44	842.36	890.44	909.17	802.41	1417.35	612.11	1322.37	1322.37	1250.98
KIAA1549	9.2	24.99	4.31	31.9	42.41	12.36	12.64	16.88	16.15	7.28	68.07	8.78	81.14	53.95	53.57
KY	0.51	6.73	0.91	2.43	10.08	0.84	0.54	2.01	5.28	1.93	10.16	0.0	107.38	119.26	13.03
LDB1	329.84	764.36	299.25	603.67	743.43	381.68	579.04	620.67	624.99	392.44	1225.22	208.38	1832.01	1870.53	934.76
LRFN1	16.88	19.53	0.95	17.9	37.59	1.85	10.47	14.56	17.0	4.78	47.5	11.47	46.18	45.53	31.9
LYRM4	417.77	536.45	111.99	441.64	633.73	320.8	231.32	334.46	500.46	237.86	540.19	536.45	647.07	536.45	796.86
MBOAT4	5.32	7.69	1.51	4.13	9.2	2.51	4.1	3.96	5.19	6.06	15.11	72.01	6.94	47.84	9.85
NCK2	679.29	819.3	486.75	878.17	1697.45	728.11	884.29	1059.11	1044.52	780.44	1143.1	417.77	1617.0	2004.85	954.43
NKAPL	2.1	8.25	2.92	4.7	17.64	1.87	0.88	2.66	9.63	4.13	40.07	30.34	39.79	31.9	26.1
NKX3-1	2.97	9.2	0.91	11.38	51.35	5.11	5.32	5.41	16.75	4.98	32.82	54.72	34.02	44.25	26.1
NPTXR	6.31	52.82	4.86	21.94	67.59	5.59	10.16	22.1	53.19	4.06	253.23	8.99	327.56	339.14	102.97
NT5C3B	271.48	571.05	291.04	532.74	819.3	303.44	450.94	555.41	669.92	255.0	1909.85	1208.34	1628.26	1331.57	842.36
PDE4A	92.7	166.73	69.52	234.57	361.04	49.91	128.79	220.32	208.38	115.97	454.09	130.6	441.64	334.46	348.71
PIP5KL1	3.29	13.42	19.53	10.88	43.94	5.02	14.24	4.7	5.11	8.25	53.57	17.38	35.76	37.32	27.05
PLEKHA3	102.97	253.23	81.14	246.28	361.04	151.22	145.02	277.2	195.72	97.36	368.65	157.68	500.46	551.56	368.65
PRX	11.21	43.94	12.93	23.08	47.84	16.39	27.44	22.59	47.5	33.3	108.14	15.56	83.45	111.21	69.03
RAI1	116.78	241.19	48.52	209.84	291.04	111.99	149.12	187.71	220.32	105.15	555.41	72.52	669.92	341.51	426.57
RANBP3	708.18	995.0	638.15	947.83	1159.07	688.78	808.0	974.5	1088.92	669.92	1286.18	728.11	2555.58	1857.6	1295.13
RANBP3L	0.39	1.68	0.74	1.6	14.78	0.0	0.01	6.73	4.86	0.54	74.06	31.9	34.51	46.5	12.27
RBM20	3.08	15.45	13.12	3.63	17.77	2.03	10.39	6.67	20.56	2.34	62.12	0.84	18.43	33.3	36.79
RERE	423.61	967.76	563.18	748.61	1639.59	551.56	708.18	1127.35	1023.0	896.64	1605.83	264.03	2875.3	1819.35	1183.45
RGS9BP	0.2	0.77	0.0	1.97	2.66	0.0	0.0	0.77	1.25	0.0	11.64	0.0	24.28	14.45	2.66
RNASEH2C	748.61	830.75	483.38	785.88	1023.0	389.72	718.08	693.58	967.76	543.96	1844.76	2434.5	1350.18	1135.2	1437.15
RNF212	20.26	41.81	18.56	22.1	56.28	10.79	33.3	31.67	37.59	20.41	279.14	20.71	48.18	140.04	52.08
RP4-734P14.4	2.68	13.32	4.66	5.15	18.56	2.58	3.99	3.47	5.92	2.29	31.67	8.92	38.4	48.52	27.44
RUSC2	41.52	128.79	33.78	81.71	156.59	34.51	48.18	86.43	119.26	41.81	684.02	389.72	780.44	915.51	190.34
SDCCAG8	271.48	406.31	279.14	320.8	376.41	228.13	255.0	316.37	336.79	269.6	1001.93	796.86	693.58	703.28	483.38
SETD1A	105.15	147.06	69.03	178.77	260.38	121.79	124.37	144.01	190.34	112.77	336.79	96.68	642.59	392.44	255.0
SIAH2	457.25	624.99	325.29	529.06	718.08	293.07	384.34	486.75	466.88	289.02	638.15	1794.29	764.36	769.69	748.61
SLC25A4	583.07	808.0	620.67	532.74	1191.69	656.11	647.07	543.96	1322.37	579.04	3303.0	748.61	1561.89	2627.46	1909.85
SOGA1	35.5	86.43	18.97	71.0	115.16	26.47	42.71	55.49	85.82	27.05	438.59	39.22	547.75	363.56	102.25
SPATA4	0.0	0.77	0.0	0.0	3.96	0.0	0.0	0.0	0.74	0.0	4.62	0.0	13.62	14.14	1.95
ST7	215.77	226.54	157.68	269.6	381.68	202.66	201.25	246.28	223.41	156.59	518.15	603.67	2004.85	490.14	579.04
STX8	1304.15	1233.75	928.3	1268.46	1583.71	890.44	902.89	1081.39	1127.35	1159.07	1540.37	1322.37	1551.09	1733.13	1923.14
SUMO2	4066.71	4419.52	2520.38	3901.01	4769.75	3639.7	3349.13	3928.15	4450.27	2997.45	4239.45	5183.54	3665.02	5441.3	4903.87
SYNGR1	62.56	228.13	32.13	176.29	244.57	27.05	86.43	148.09	226.54	32.13	2193.99	669.92	669.92	842.36	318.57
