	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	GTEX.ZQUD.0426.SM.57WFR	GTEX.S341.0526.SM.4AD5U	GTEX.ZYT6.1126.SM.5GZYR	TCGA.CZ.4854.01A.01R.1305.07	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4174.01A.02R.1289.07	TCGA.CZ.5985.01A.11R.1672.07	TCGA.MP.A4SV.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.05.4434.01A.01R.1206.07	TCGA.IN.AB1X.01A.11R.A39E.31
ABLIM1	11992.79	7589.61	5872.48	4607.24	6164.49	647.07	429.54	633.73	1216.75	463.65	0.0	0.64	518.15	1883.54
ADCK1	77.79	218.79	118.43	217.27	149.12	72.52	105.15	49.56	64.8	111.99	0.0	0.19	133.36	92.7
AKR1B15	51062.33	30361.44	99.43	373.81	45.21	3.17	0.0	1.73	0.0	22.59	0.0	0.39	132.44	29.06
ALDH3A1	127486.83	110216.97	21768.19	34396.12	19482.97	25.17	22.59	8.06	8.92	35.0	0.0	0.19	507.46	934.76
ALOX12	13399.51	165904.25	1991.0	392.44	1427.22	9.63	1.35	8.06	9.34	9.56	0.0	0.66	93.35	44.25
APOD	1233.75	12160.22	5112.16	2255.7	1208.34	115.16	45.85	63.89	90.77	307.69	0.0	0.87	759.08	486.75
AQP3	8866908.99	3223059.86	14361.31	24153.43	18560.17	2875.3	1709.26	3018.3	3639.7	6250.56	514.56	665.29	5329.3	2956.17
ARHGAP27	6294.04	2701.35	2720.15	2720.15	4671.57	703.28	283.05	244.57	503.95	780.44	0.0	1.03	775.05	954.43
ARHGAP40	5219.6	5076.84	384.34	780.44	1268.46	1.68	7.69	0.0	0.4	152.28	0.0	0.27	215.77	80.01
BCL11B	1477.58	2255.7	81.71	88.88	130.6	36.79	8.06	16.51	33.3	34.75	0.0	0.32	41.81	65.72
CASZ1	1066.48	1183.45	638.15	698.41	728.11	28.04	27.05	31.45	52.45	244.57	0.0	0.58	165.57	567.1
CCDC64B	8901.53	8363.13	2997.45	4419.52	4869.99	118.43	305.55	878.17	139.07	368.65	0.0	0.48	395.18	483.38
CD1E	31.0	361.04	79.45	82.87	35.76	12.45	4.13	17.64	79.45	19.97	0.0	0.0	88.88	8.65
COL7A1	5479.15	16496.96	2004.85	1721.16	4358.66	32.36	10.79	4.13	22.1	463.65	0.0	1.62	1709.26	718.08
CRCT1	1877002.62	437825.58	22225.61	21172.91	36864.92	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.31	435.55
CSTB	443937.41	169390.27	103551.29	80683.28	95286.54	2351.53	3039.3	1447.15	1896.65	3349.13	0.0	0.74	4671.57	6079.61
CYP4X1	89.51	954.43	454.09	463.65	260.38	33.78	9.41	34.02	63.45	63.89	0.0	0.39	130.6	221.86
DENND2C	51417.5	23169.48	603.67	836.53	1037.29	37.32	6.57	11.82	11.73	17.25	23.76	66.18	24.81	114.36
DGKA	33922.56	22850.48	5329.3	6121.9	7485.11	361.04	109.66	201.25	336.79	1008.9	0.0	0.99	1651.0	1233.75
DLG2	134.3	185.11	191.67	94.67	158.79	18.16	17.13	46.84	7.75	21.01	0.0	0.27	24.81	28.04
DLX3	2119.22	2047.0	48.87	84.04	153.34	1.95	0.64	2.73	0.35	49.21	0.0	0.1	66.65	25.72
