	TCGA.AO.A0JC.01A.11R.A056.07	GTEX.W5X1.2326.SM.3GIL6	TCGA.EU.5907.01A.11R.1672.07	TCGA.BP.4983.01A.01R.1334.07	TCGA.B0.4694.01A.01R.1277.07	TCGA.B4.5834.01A.11R.1672.07	TCGA.B0.4703.01A.01R.1277.07	TCGA.B0.5095.01A.01R.1420.07	TCGA.GK.A6C7.01A.11R.A33J.07	TCGA.CZ.5453.01A.01R.1503.07	TCGA.CZ.4858.01A.01R.1305.07	TCGA.CW.6097.01A.11R.1672.07	TCGA.P4.AAVM.01A.11R.A42S.07	TCGA.UZ.A9Q1.01A.11R.A42S.07	GTEX.12WSD.0826.SM.5GCNE	GTEX.13QJC.0826.SM.5RQKC
ABCD2	88.88	23.42	2.58	38.12	25.35	6.21	11.47	10.0	8.0	2.16	21.01	28.04	0.0	1.14	35.0	15.68
ADAM28	1331.57	148.09	104.42	457.25	426.57	150.17	289.02	303.44	125.24	75.64	248.0	363.56	45.53	128.79	320.8	521.76
ALOX15	52.82	12.09	0.0	7.4	4.66	0.69	1.06	1.45	0.97	0.37	2.29	4.35	0.0	0.0	1378.57	13.42
AMICA1	1594.73	242.88	120.94	567.1	733.19	229.72	532.74	314.17	262.2	123.5	314.17	854.13	76.71	68.07	2502.97	1697.45
ANGPTL6	47.84	0.64	2.92	22.43	14.89	3.82	10.88	12.27	3.56	6.52	12.83	16.88	5.45	5.73	16.75	12.09
ARHGAP9	4607.24	170.25	83.45	1233.75	497.0	127.89	444.72	483.38	249.73	78.89	493.56	579.04	60.39	60.39	1427.22	3614.55
BCL11B	379.04	44.89	8.06	106.63	40.36	15.56	32.59	33.06	17.38	5.06	71.0	75.11	1.46	4.58	112.77	260.38
BIN2	1806.78	146.03	85.22	525.39	346.29	148.09	307.69	253.23	164.42	82.87	255.0	555.41	60.82	41.81	995.0	1143.1
BTK	2004.85	132.44	75.64	387.02	318.57	98.73	162.14	158.79	84.04	55.1	169.07	327.56	31.9	27.84	896.64	624.99
C16orf54	718.08	46.18	13.03	141.02	78.89	22.92	58.71	49.56	46.84	12.36	87.03	119.26	1.83	9.93	316.37	301.33
CCR3	3.14	0.0	0.0	10.71	3.56	0.0	4.24	1.45	2.27	1.1	4.17	9.7	0.0	0.39	22.59	9.2
CD2	4736.79	476.71	117.6	1628.26	1447.15	195.72	708.18	392.44	231.32	23.93	981.29	890.44	25.54	52.45	3742.05	3039.3
CD247	1628.26	314.17	32.36	651.58	414.87	139.07	297.17	202.66	223.41	84.04	305.55	435.55	7.11	26.1	1051.79	1437.15
CD27	3901.01	45.21	32.36	1199.98	1111.82	71.0	417.77	303.44	120.94	11.73	708.18	743.43	42.71	46.18	417.77	3124.78
CD37	20170.07	591.22	500.46	1883.54	2468.49	633.73	1030.12	974.5	669.92	373.81	947.83	2701.35	316.37	281.09	5441.3	6840.04
CD3D	5995.9	314.17	112.77	1498.22	1551.09	206.94	698.41	339.14	202.66	12.64	1096.5	1008.9	17.13	54.72	5872.48	2400.97
CD3E	8778.97	638.15	98.73	2178.83	1844.76	341.51	866.07	503.95	299.25	32.13	1457.23	1697.45	23.93	92.05	6250.56	7081.29
CD3G	1008.9	318.57	30.12	651.58	466.88	62.56	142.01	127.0	72.52	5.06	285.03	435.55	2.56	12.18	860.08	476.71
CD48	9344.14	884.29	211.31	1313.23	2502.97	497.0	802.41	417.77	466.88	232.94	1286.18	1745.2	164.42	94.01	2271.4	2400.97
CD5	1073.91	41.52	26.28	332.14	312.0	58.3	107.38	61.68	65.72	5.87	186.4	387.02	3.32	23.76	1081.39	409.15
CD52	50011.46	1457.23	414.87	4066.71	9025.81	1674.06	2701.35	1697.45	1427.22	629.35	3280.18	6471.02	743.43	343.89	25530.66	10154.69
CD6	1143.1	117.6	31.67	381.68	258.57	61.68	143.01	108.9	103.69	15.34	242.88	295.11	8.13	24.63	1175.27	830.75
CD84	642.59	59.13	111.99	616.37	379.04	53.19	143.01	109.66	63.89	47.84	170.25	486.75	36.01	18.84	743.43	587.13
CD96	1119.56	137.14	32.59	412.0	312.0	55.1	194.36	134.3	73.03	13.93	320.8	406.31	7.0	19.68	915.51	860.08
CELF2	842.36	656.11	51.71	356.05	397.93	100.83	275.28	212.78	78.89	57.49	176.29	551.56	17.9	53.19	825.0	1977.24
CLECL1	429.54	23.25	8.13	117.6	67.59	16.03	81.14	22.92	36.79	9.48	57.49	126.12	6.94	6.89	142.01	182.55
CORO1A	15499.21	366.09	384.34	3395.89	2720.15	660.68	1936.53	1304.15	1096.5	493.56	2133.97	2875.3	151.22	325.29	4836.35	5292.48
CRTAM	281.09	7.75	20.41	157.68	190.34	11.82	68.07	27.05	12.27	6.57	90.77	70.01	3.32	4.62	214.27	105.15
CTD-2370N5.3	147.06	35.25	17.25	40.64	70.51	5.54	40.36	35.25	13.03	0.0	29.91	67.59	0.0	0.0	89.51	93.35
