	TCGA.BH.A0HL.01A.11R.A10U.07	TCGA.AR.A24N.01A.11R.A169.07	GTEX.13FTY.2226.SM.5J1ND	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ACAN	195.72	15.68	0.89	0.0	0.06
ACHE	336.79	2.56	55.89	0.0	0.59
ADAM29	8.25	0.0	182.55	0.0	0.01
ADRA1D	78.34	1.46	2.94	0.0	0.37
ADSSL1	733.19	149.12	392.44	0.0	0.59
AJAP1	47.84	2.66	19.25	0.0	0.15
AL139099.1	15.45	2.66	5.32	0.0	0.01
ANKRD30BL	1.51	0.0	2.84	0.0	0.0
ARHGAP44	265.87	17.13	176.29	0.0	0.32
ATP1A2	148.09	13.03	74.58	0.0	0.29
B3GNT4	29.27	7.11	16.15	0.0	0.38
BAP1	1331.57	808.0	1304.15	0.0	1.06
BCR	1096.5	603.67	624.99	0.0	0.74
BRSK1	511.0	20.26	77.79	0.0	0.69
BRSK2	759.08	2.03	0.42	0.0	0.58
C11orf30	1639.59	251.48	473.41	0.0	0.04
C11orf42	6.89	0.34	3.35	0.0	0.05
C19orf45	72.52	6.67	61.25	0.0	0.29
C22orf23	81.71	59.55	108.14	0.0	0.2
C22orf29	551.56	202.66	269.6	0.0	0.34
C2CD4C	142.01	1.55	2.07	0.0	0.41
C2orf81	341.51	90.14	142.01	0.0	0.0
C9orf50	8.51	2.01	4.24	0.0	0.01
CAMK1	595.34	165.57	295.11	0.0	0.72
CARNS1	60.39	19.11	19.25	0.0	0.23
CCDC85C	791.35	121.79	169.07	0.0	0.32
CELF4	287.01	2.78	40.93	0.0	0.28
CERS1	764.36	3.92	80.57	0.0	0.27
CGREF1	988.12	532.74	20.56	0.0	0.51
CMTM4	813.63	629.35	1127.35	0.0	0.45
CPB1	375901.76	6.62	2.291835145E7	0.0	0.15
CRY2	1119.56	389.72	1304.15	0.0	0.41
CTC-479C5.12	81.71	7.51	26.67	0.0	0.39
CTXN1	1417.35	267.73	220.32	0.0	0.03
CUZD1	29.06	3.79	23.42	0.0	0.3
DDN	13.52	2.03	0.0	0.0	0.32
DEAF1	1135.2	406.31	583.07	0.0	0.72
DMKN	5954.47	414.87	4671.57	2502.97	802.41
DNM1	591.22	99.43	158.79	0.0	0.58
EBF4	2400.97	429.54	1313.23	0.0	0.75
EFNA2	72.01	0.36	0.0	0.0	0.0
EFNB3	830.75	23.42	316.37	0.0	0.0
EMID1	915.51	39.5	148.09	0.0	0.57
ENDOG	432.53	175.07	101.54	0.0	0.16
FAM161A	120.94	62.56	88.26	0.0	0.09
FAM171A2	316.37	16.63	21.94	0.0	0.16
FAM188A	651.58	281.09	444.72	0.0	0.6
FAM219A	423.61	178.77	269.6	0.0	0.75
FAM24B	130.6	46.5	190.34	0.0	0.68
FBXL15	293.07	90.14	117.6	0.0	0.57
GAB2	1870.53	102.97	273.37	0.0	0.6
GCGR	32.59	9.13	0.85	0.0	0.31
GDF1	57.49	0.4	10.96	0.0	0.17
GDPD5	934.76	35.0	169.07	0.0	0.6
GLS2	490.14	78.89	137.14	0.0	0.33
GP1BB	353.59	38.12	92.05	0.0	0.51
HARS	2351.53	796.86	1295.13	0.0	0.8
HIC2	52.08	6.06	17.0	0.0	0.48
HIRA	420.68	244.57	221.86	0.0	0.62
HRH3	223.41	0.0	0.54	0.0	0.0
IBSP	698.41	4.74	0.0	0.0	0.16
IL27RA	358.54	267.73	293.07	0.0	0.52
ILVBL	1781.89	579.04	1023.0	0.0	0.56
JAG2	842.36	211.31	896.64	0.0	0.71
KIAA0895L	679.29	137.14	309.83	0.0	1.23
KIAA1586	178.77	101.54	101.54	0.0	0.35
LDOC1L	733.19	316.37	229.72	202.66	122.64
LRRC16B	191.67	1.16	35.76	0.0	0.4
MADD	1457.23	423.61	1104.13	0.0	0.8
MAPK11	361.04	47.84	81.14	0.0	0.87
MAST1	299.25	2.46	6.94	0.0	0.39
MRPS2	967.76	738.29	909.17	0.0	0.49
NDRG4	466.88	24.99	154.42	0.0	0.65
NEU3	473.41	82.29	180.02	0.0	0.39
NLGN3	59.97	16.39	56.68	0.0	0.27
NPM3	1350.18	232.94	387.02	0.0	0.43
NPTXR	688.78	139.07	217.27	0.0	0.39
NRCAM	1437.15	22.26	30.12	0.0	0.82
NSMF	1388.16	363.56	389.72	0.0	1.14
NT5DC2	1733.13	212.78	295.11	0.0	0.6
NYAP1	67.12	0.44	11.13	0.0	0.32
OBSCN	423.61	57.08	532.74	0.0	0.89
ODC1	1066.48	412.0	483.38	0.0	0.59
PDZD4	703.28	9.27	190.34	0.0	0.44
PER3	718.08	74.58	688.78	0.0	0.21
PHF21B	444.72	1.5	148.09	0.0	0.33
PLCG1	1991.0	473.41	1540.37	0.0	0.85
PMFBP1	35.0	0.85	31.67	0.0	0.48
PPIP5K1	665.29	236.21	660.68	0.0	0.58
PPP5C	1417.35	679.29	854.13	0.0	0.77
PRDM12	8.0	0.66	1.28	0.0	0.09
PRKRIR	1781.89	595.34	381.68	0.0	0.56
PSKH1	607.87	218.79	303.44	0.0	0.0
RP11-111M22.2	190.34	18.7	111.99	0.0	0.14
RP11-830F9.6	49.56	9.2	1.95	0.0	0.21
RPH3AL	854.13	115.97	155.5	0.0	0.36
RPL7A	48307.85	36864.92	42054.3	0.0	1.75
RPS3	146444.06	33224.42	54727.32	0.0	1.75
SEPT3	928.3	54.33	198.47	0.0	0.2
SEPT5	3443.31	536.45	698.41	0.0	0.91
SERGEF	1909.85	665.29	1073.91	0.0	0.56
SHC2	1295.13	105.15	1208.34	0.0	1.04
SHD	4.7	1.0	0.0	0.0	0.0
SLC35E4	92.7	63.89	23.59	0.0	0.45
SMOX	320.8	63.0	133.36	0.0	0.73
SPTBN4	703.28	69.52	113.56	0.0	0.37
TEF	802.41	139.07	323.03	0.0	0.0
TEX261	1151.06	825.0	1073.91	0.0	0.4
TMEM231	371.22	209.84	387.02	0.0	0.0
TUB	293.07	22.92	91.41	0.0	0.46
UCP3	43.63	10.31	50.27	0.0	0.37
VSTM2B	0.31	0.0	0.59	0.0	0.0
WDR54	947.83	346.29	599.49	0.0	0.23
WSCD1	80.57	5.36	25.17	0.0	0.19
XYLT1	387.02	60.82	38.12	0.0	0.62
ZBTB46	291.04	60.39	54.72	0.0	0.46
ZDHHC8	728.11	172.65	616.37	0.0	1.08
ZFPM1	150.17	28.45	157.68	0.0	0.41
ZNF358	1242.34	532.74	723.08	0.0	0.67
ZNF778	171.45	30.12	138.1	0.0	0.24
