	GTEX.YJ8O.1426.SM.5PNV9	GTEX.ZYT6.2826.SM.5GICX	GTEX.12KS4.2326.SM.5EGJB	GTEX.ZVT3.2826.SM.5GU6A	GTEX.12ZZY.2726.SM.5EQ45	GTEX.11TTK.2426.SM.5PNYO	GTEX.11PRG.2026.SM.5GU5F	GTEX.12WSD.2626.SM.5EGJE	GTEX.12ZZZ.2426.SM.5GCNN	GTEX.13X6K.2726.SM.5O9DG	GTEX.Y9LG.1326.SM.4VBQB	GTEX.14A5I.2426.SM.5Q5CP	GTEX.13N2G.2226.SM.5IJCU	TCGA.CN.6998.01A.23R.2016.07	TCGA.CV.7432.01A.11R.2132.07	GTEX.WZTO.0626.SM.4PQYY	GTEX.11NV4.1326.SM.5HL6V	GTEX.ZYT6.0626.SM.5E45V	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.13SLX.1226.SM.5S2Q6	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07
ABCC8	88.26	26.67	170.25	74.58	165.57	43.94	135.24	92.7	93.35	63.45	73.03	78.89	20.56	2.03	0.0	22.75	2.07	1.25	11.73	0.0	0.0	6.73	15.8	0.04	16.51	0.21	4.17	0.0
ACTL6B	14.67	5.87	14.24	17.13	18.7	5.77	10.31	21.01	17.38	16.27	4.58	13.22	6.52	0.0	0.0	0.0	4.24	1.3	0.93	3.66	0.0	4.78	0.29	2.43	0.0	0.0	1.0	0.0
ADCYAP1R1	108.14	100.13	90.14	75.11	92.7	64.8	120.1	122.64	143.01	47.84	29.48	120.1	110.43	1.14	1.03	1.87	3.08	3.69	3.76	10.16	4.98	7.11	8.06	3.79	5.96	10.96	4.46	0.0
AMER2	4.9	3.59	4.28	3.32	5.11	3.79	5.19	4.06	6.11	3.47	1.75	4.31	5.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AMER3	1.6	4.7	4.31	4.9	6.62	1.5	1.73	10.08	14.45	2.86	2.78	4.94	0.44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ANKS1B	137.14	68.07	124.37	106.63	163.28	66.65	106.63	82.87	84.04	56.28	52.82	64.34	88.26	0.0	0.0	34.02	35.76	6.52	24.11	15.8	10.24	71.0	13.72	28.86	58.71	32.82	37.32	0.0
APC2	23.59	25.35	26.28	23.08	39.5	12.83	23.25	35.76	47.17	26.28	9.2	26.86	13.93	0.53	1.87	3.76	0.93	1.01	0.88	0.33	1.91	1.38	1.28	0.89	1.16	0.35	0.69	0.0
APOA2	1.23	0.0	0.0	19.11	0.0	0.0	1.89	0.0	33.06	5.82	0.3	11.13	0.0	0.0	0.0	8330662.65	8564869.49	1.631844115E7	2.941400607E7	1.099237559E7	2.821580058E7	5611673.89	2.079884286E7	8330662.65	5308966.95	2.138357795E7	5890667.76	0.0
ASTN1	17.9	10.0	21.63	15.0	23.25	10.16	22.92	20.86	21.01	14.14	4.39	15.34	4.58	0.0	0.0	1.06	1.66	0.47	1.0	1.51	3.53	3.53	0.82	0.43	6.52	3.47	2.39	0.0
ATCAY	29.06	21.32	40.36	26.28	54.72	16.27	38.4	28.04	36.27	26.67	11.55	31.22	10.16	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.65	0.05	0.09	0.39	0.09	0.41	0.0
ATP6V1G2	175.07	113.56	169.07	118.43	209.84	132.44	182.55	163.28	217.27	152.28	33.78	187.71	90.77	3.5	1.64	30.56	16.75	28.04	3.32	6.16	22.26	21.32	17.0	4.39	22.26	14.45	12.45	0.0
BAI3	163.28	79.45	126.12	83.45	150.17	110.43	127.0	96.68	122.64	94.67	29.91	89.51	63.45	0.0	0.0	3.06	9.7	15.45	2.46	6.94	4.54	21.47	3.69	10.96	19.68	12.0	13.83	0.0
BEX1	447.82	356.05	466.88	343.89	825.0	318.57	476.71	457.25	616.37	299.25	127.0	353.59	111.99	0.0	0.95	75.64	94.67	115.16	21.01	4.21	38.95	283.05	4.1	51.35	12.45	122.64	0.0	0.0
BRINP2	2.18	10.79	3.23	5.15	10.79	0.49	4.17	1.91	5.63	4.86	4.43	9.56	3.03	0.51	0.45	0.0	2.36	1.57	1.03	2.97	1.87	3.47	3.0	1.46	3.14	1.85	0.61	0.0
C10orf112	127.0	85.22	25.91	76.71	82.29	25.17	25.54	38.67	76.17	32.13	7.0	104.42	10.47	0.0	0.0	0.0	2.61	0.66	0.0	9.34	0.0	9.34	2.73	4.86	1.38	8.06	1.06	0.0
C2orf80	10.79	6.52	6.36	5.41	6.89	3.35	8.78	3.96	7.82	5.15	2.66	8.58	2.2	0.0	0.0	1.99	0.0	0.0	0.0	0.0	2.43	0.0	0.0	0.0	3.5	1.87	0.0	0.0
CELF3	96.01	56.28	151.22	82.29	244.57	20.41	176.29	171.45	153.34	32.36	13.22	115.97	29.48	0.84	0.0	0.0	0.91	1.46	0.0	0.0	0.0	2.84	1.64	0.0	0.88	1.07	0.0	0.0
CKB	124863.17	62431.08	82378.63	74760.09	100719.65	103551.29	96616.71	101420.22	68793.23	93325.55	63742.91	93974.69	63302.6	11992.79	2875.3	1477.58	161.02	483.38	221.86	6516.03	7280.4	1015.93	293.07	483.38	212.78	9945.68	129.69	0.0
CMTM5	260.38	217.27	189.02	220.32	281.09	232.94	269.6	199.85	232.94	185.11	45.85	127.89	97.36	0.0	0.0	5.92	5.23	2.27	3.11	2.97	0.0	11.3	2.63	5.73	5.73	3.06	4.31	0.0
COL9A1	967.76	206.94	13.62	107.38	358.54	108.9	98.73	84.04	73.54	150.17	32.36	44.89	73.54	0.93	0.0	10.71	2.41	0.02	0.4	0.0	0.39	0.83	0.0	0.85	2.34	3.26	0.0	0.0
CTNNA2	158.79	62.12	140.04	88.88	224.97	52.08	143.01	100.83	191.67	86.43	13.32	96.01	37.05	0.0	0.0	1.27	0.0	0.16	0.0	0.0	2.61	2.63	7.4	14.45	1.17	0.06	0.0	0.0
DCX	2.56	1.71	1.81	1.77	4.06	1.95	13.12	3.11	2.84	3.99	0.37	0.96	1.95	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ELAVL3	17.13	9.78	18.56	16.88	28.86	13.52	33.06	15.8	21.63	10.71	5.87	13.62	7.34	0.0	0.0	0.0	0.8	0.12	0.0	0.0	1.08	0.75	2.29	0.0	0.09	0.08	0.11	0.0
FAM107A	102.97	229.72	316.37	180.02	189.02	420.68	244.57	507.46	1322.37	595.34	346.29	780.44	567.1	1.93	4.66	44.89	29.27	53.19	19.11	28.24	44.25	114.36	98.73	103.69	57.08	108.9	85.82	119.26
FRMD1	23.76	73.54	43.02	24.99	38.67	17.9	22.26	41.22	43.32	38.12	6.78	11.55	21.78	0.41	0.0	0.82	0.0	2.48	0.0	3.63	6.46	7.63	5.87	2.27	13.62	6.94	1.35	0.0
FUT9	2.71	1.75	4.94	4.7	2.76	2.1	8.58	8.06	1.03	2.18	3.0	1.81	7.11	0.0	0.0	0.0	0.87	0.0	0.0	0.0	0.0	0.0	0.67	0.0	0.0	0.0	0.0	0.0
GALNT16	283.05	178.77	297.17	287.01	339.14	291.04	389.72	327.56	441.64	191.67	74.58	239.52	172.65	2.89	0.0	26.67	56.68	44.25	19.82	32.82	20.11	112.77	83.45	48.87	162.14	35.25	78.34	0.0
GDAP1L1	14.03	9.63	26.1	9.13	29.91	7.0	19.25	10.63	21.16	17.51	7.28	21.78	7.51	0.0	0.0	0.0	0.49	0.55	0.0	3.66	0.0	1.75	1.13	1.79	2.51	0.75	0.19	0.0
GPM6A	647.07	579.04	414.87	363.56	490.14	830.75	379.04	325.29	249.73	343.89	647.07	220.32	389.72	1.69	15.22	21.78	65.26	197.09	68.07	21.94	84.63	132.44	159.9	103.69	212.78	303.44	106.63	0.0
GPR17	69.52	44.57	156.59	54.72	23.93	25.72	92.05	108.14	30.56	32.13	101.54	55.1	258.57	0.0	0.71	43.02	29.48	5.73	4.28	3.5	37.85	14.78	7.22	15.45	13.03	23.25	14.14	0.0
GRIA4	84.04	27.64	39.22	69.52	68.07	34.26	42.41	42.11	79.45	32.59	17.0	54.33	28.24	0.0	0.0	1.16	0.0	0.0	0.0	0.52	0.27	0.0	1.1	0.56	0.28	0.54	0.01	0.0
