	TCGA.GI.A2C8.11A.22R.A16F.07	TCGA.A6.2686.11A.01R.A32Z.07	TCGA.AA.3516.11A.01R.A32Z.07	GTEX.WFON.1326.SM.4LVMN	TCGA.CV.5971.01A.11R.1686.07	TCGA.CN.6017.01A.11R.1686.07	TCGA.KU.A6H8.01A.21R.A34R.07	TCGA.WA.A7GZ.11A.11R.A34R.07	TCGA.CV.7406.11A.01R.2081.07	TCGA.H7.A6C4.11A.21R.A466.07	TCGA.CV.7091.11A.01R.2016.07	TCGA.CV.7097.11A.01R.2016.07	TCGA.CV.7245.11A.01R.2016.07	TCGA.CV.7250.11A.01R.2016.07	TCGA.CV.6939.11A.01R.1915.07	TCGA.KL.8336.01A.11R.2315.07	TCGA.CZ.4853.01A.01R.1426.07	TCGA.A3.3385.01A.02R.1420.07	TCGA.BP.4325.01A.02R.1289.07	TCGA.A4.7585.01A.11R.2139.07	TCGA.AH.6547.01A.11R.1830.07	GTEX.13111.2326.SM.5LZUQ	GTEX.13NYC.2626.SM.5K7VN	GTEX.131XF.2826.SM.5EGKH	GTEX.11EQ9.2026.SM.5P9JI	GTEX.ZC5H.2726.SM.5KLZW	GTEX.13CF2.2426.SM.5LZYL	TCGA.VQ.A8E3.01A.11R.A39E.31	TCGA.BR.8295.01A.11R.2343.13	TCGA.BR.8372.01A.11R.2343.13	TCGA.HU.8243.01A.11R.2343.13	TCGA.BR.8369.01A.11R.2343.13	TCGA.CD.A48A.01A.12R.A36D.31	TCGA.BR.8368.01A.11R.2343.13	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8362.01A.11R.2343.13	TCGA.BR.8366.01A.11R.2343.13	TCGA.BR.8284.01A.11R.2343.13	TCGA.F1.6874.01A.11R.1884.13	TCGA.BR.8363.01A.11R.2343.13	TCGA.D7.8573.01A.11R.2343.13	TCGA.BR.8296.01A.11R.2343.13	TCGA.D7.8572.01A.11R.2343.13	TCGA.D7.6817.01A.11R.1884.13	TCGA.HJ.7597.01A.21R.2203.13	TCGA.EL.A3GP.01A.11R.A206.07
AC004899.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	1.1	0.49	0.89	0.0	0.38	0.0	2.63	0.58	0.31	0.57	0.83	0.3	0.0	2.05	0.3	0.29	1.06	0.0
AC006455.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.11	1.95	0.53	2.32	0.36	1.79	0.0	6.73	0.61	0.0	0.32	2.41	0.89	0.31	6.78	0.62	1.68	3.5	0.0
AC009365.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.32	1.66	0.27	4.28	0.36	2.1	1.3	5.5	0.6	1.48	2.66	1.38	1.16	0.58	9.85	0.61	1.66	2.07	0.0
AC012493.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.78	8.13	2.34	0.0	0.0	7.4	0.0	3.44	2.2	5.28	0.0	2.63	2.46	2.58	7.0	0.0	0.0	7.17	0.0
AC013269.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.32	3.53	0.99	6.41	2.12	2.05	1.04	4.24	1.14	0.0	2.12	1.87	1.91	0.0	3.86	0.61	3.96	3.38	0.0
AC016745.1	1.1	0.0	0.0	0.0	2.71	0.0	4.86	0.0	1.62	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.79	1.3	0.0	0.0	0.0	12.0	21.01	3.29	20.71	20.26	27.25	0.0	14.67	7.69	13.42	8.85	14.67	16.63	18.56	21.78	3.38	9.27	15.34	0.0
AC074389.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.45	5.15	0.49	5.19	2.94	7.82	1.01	5.45	2.41	1.71	1.36	5.54	1.38	0.0	6.41	1.41	4.9	5.82	0.0
ADAD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21	0.0	0.22	0.41	0.0	0.0	18.43	7.57	5.41	18.97	4.31	11.3	2.68	1.39	4.5	6.46	11.73	2.27	6.84	3.69	5.5	2.68	2.58	10.47	0.0
ADAM30	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.51	3.17	3.0	9.34	1.73	5.92	2.41	5.32	1.27	2.2	2.89	2.05	2.39	1.75	7.63	2.43	2.61	6.46	0.0
AL353608.1	1.1	0.0	0.0	0.0	2.71	0.0	4.86	0.0	1.62	0.0	4.9	0.0	0.0	0.0	0.0	0.0	0.0	1.48	0.0	0.0	0.0	0.0	0.79	1.3	0.0	0.0	0.0	12.0	21.01	3.29	20.71	20.26	27.25	0.0	14.67	7.69	13.42	8.85	14.67	16.63	18.56	21.78	3.38	9.27	15.34	0.0
