	TCGA.W5.AA39.01A.11R.A41I.07	TCGA.AZ.4323.01A.21R.1839.07	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.CJ.4882.01A.02R.1426.07	TCGA.DD.A73D.01A.12R.A32O.07	TCGA.FV.A3I0.11A.11R.A22L.07	GTEX.13FLV.0326.SM.5N9DJ	GTEX.13FTZ.0726.SM.5IFFY	GTEX.ZYT6.0626.SM.5E45V	GTEX.145LU.1326.SM.5LU9N	GTEX.147JS.1126.SM.5RQIW	GTEX.11NUK.1226.SM.5P9GM	GTEX.145MF.0826.SM.5QGQA	GTEX.QEG4.1826.SM.4R1JN	GTEX.SJXC.1226.SM.4DM78	GTEX.131YS.1626.SM.5HL6C	GTEX.QESD.2026.SM.447BI	GTEX.T6MN.1226.SM.3NMA5	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13SLX.1226.SM.5S2Q6	GTEX.1212Z.0226.SM.59HLF	GTEX.XOTO.0826.SM.4B65O	GTEX.1399T.0826.SM.5IFES	GTEX.13OW6.2626.SM.5IFF2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07	TCGA.43.7658.01A.11R.2125.07	TCGA.21.5782.01A.01R.1635.07	TCGA.VQ.A8E2.01A.11R.A36D.31	TCGA.CD.A489.01A.11R.A24K.31	TCGA.RD.A7BW.01A.11R.A32D.31	TCGA.MX.A663.01A.11R.A31P.31	TCGA.RD.A8N6.01A.11R.A36D.31	GTEX.14BMV.2226.SM.5RQHX	TCGA.A5.A1OH.01A.21R.A22K.07	TCGA.N8.A56S.01A.11R.A28V.07
AC135178.1	66.65	75.11	46.5	79.45	6.41	1.85	28.86	11.47	17.25	36.79	18.56	28.65	8.06	13.32	17.38	22.26	12.0	25.54	23.42	22.43	12.36	8.99	19.97	18.97	16.63	24.81	0.0	37.85	21.47	105.15	73.03	81.14	60.82	25.54	123.5	62.12	48.52
ACRV1	15.91	12.93	27.25	29.48	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	0.0	0.0	0.0	4.9	0.0	2.51	0.0	0.0	4.66	3.99	6.67	0.0	3.17	0.0	8.25	15.91	24.46	41.22	2.48	3.23	11.3	1.71	26.47	8.0
ACTL6B	29.91	884.29	31.9	10.47	0.0	0.0	0.48	0.43	1.3	1.1	1.03	1.27	0.93	3.66	1.22	0.0	0.0	4.78	1.03	0.29	0.0	2.43	0.0	0.0	0.0	1.0	0.0	8.85	1.89	28.86	7.4	22.1	12.27	4.86	41.52	5.02	0.73
AGAP2-AS1	111.21	450.94	703.28	423.61	11.38	13.83	37.32	8.0	12.64	73.03	29.06	22.92	16.63	20.56	36.79	71.0	6.62	33.06	73.54	40.64	34.26	28.04	43.02	38.4	80.57	18.16	0.0	127.0	503.95	163.28	551.56	164.42	173.85	147.06	336.79	106.63	97.36
AL356356.1	68.55	51.35	103.69	21.16	18.7	9.48	5.19	15.68	12.93	8.71	9.56	11.47	15.22	13.22	12.83	19.53	0.0	16.15	15.0	11.04	11.3	16.51	18.7	0.0	0.0	8.71	0.0	0.0	6.84	9.2	28.65	36.01	47.17	17.51	39.5	20.86	24.11
AP3B2	90.77	414.87	121.79	51.71	0.0	0.0	1.2	7.63	3.08	1.33	0.79	2.48	0.0	0.0	0.0	6.01	4.1	1.03	0.78	0.0	1.62	0.0	0.68	0.0	0.0	0.01	0.0	316.37	48.52	149.12	80.57	39.22	63.89	218.79	119.26	133.36	148.09
APOC1	151608.43	1417.35	2018.8	6935.54	492579.5	589853.66	2748093.15	2310861.52	2310861.52	2654482.97	3178687.03	2691538.19	3430528.88	4526610.31	3576208.94	2924988.47	5809569.18	2511293.86	6719860.18	2294899.22	2748093.15	2599854.48	2904784.09	3702323.71	3968052.37	3626130.97	11664.82	9945.68	3257.52	743.43	2090.03	4769.75	7537.18	2193.99	819.3	1605.83	2224.63
ARHGAP4	1167.14	2485.67	438.59	1977.24	49.21	96.68	366.09	105.89	126.12	361.04	231.32	318.57	120.1	97.36	346.29	348.71	127.0	351.14	320.8	438.59	450.94	267.73	389.72	190.34	199.85	77.79	0.0	1457.23	423.61	450.94	764.36	656.11	733.19	934.76	890.44	1769.57	1159.07
ASPRV1	94.01	31.22	63.0	45.53	17.13	9.78	17.0	41.22	22.59	29.06	15.56	23.42	39.5	44.57	46.5	51.71	22.75	33.54	24.81	13.32	12.0	31.0	31.9	31.67	43.63	47.17	0.0	46.18	31.67	28.24	25.17	18.43	25.17	42.11	57.49	64.8	46.18
ATP1A3	75.11	1519.15	48.52	36.53	0.51	0.0	5.36	4.13	1.5	3.14	6.26	0.85	0.0	0.0	4.17	0.37	0.0	11.04	8.19	5.63	0.88	8.32	2.58	11.82	6.16	1.45	0.0	43.32	17.77	94.67	43.63	120.94	40.36	44.89	71.5	31.9	314.17
