	TCGA.HQ.A5ND.01A.11R.A26T.07	GTEX.TML8.0726.SM.4DXTT	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.S95S.1026.SM.4B64M	GTEX.ZZ64.0126.SM.5GZXA	GTEX.T2IS.2226.SM.4DM65
AGTR2	0.27	387.02	55.49	54.72	0.0	0.0	0.0	0.4	5.06
ARHGAP28	7.28	1073.91	271.48	426.57	0.0	0.31	102.97	37.59	9.78
BMP7	16.88	10440.2	10659.59	16496.96	0.0	0.54	190.34	1350.18	27.84
BMPER	12.09	1104.13	161.02	66.18	0.0	0.39	170.25	6.84	14.56
C11orf87	6.01	34.75	41.81	61.68	0.0	0.0	0.0	0.47	2.18
CACNA1G	1.11	928.3	197.09	112.77	0.0	0.23	2.23	8.58	137.14
CADM1	3325.99	15392.14	2835.7	9409.14	142.01	212.78	373.81	2018.8	511.0
CCDC74B	67.12	4869.99	1617.0	3303.0	0.0	0.0	116.78	108.9	232.94
CDH15	1.66	87.65	1073.91	248.0	0.0	0.19	3.79	0.12	5.11
CDKN1C	114.36	5751.61	981.29	1208.34	0.0	0.23	559.28	339.14	642.59
CERS1	0.3	336.79	137.14	20.41	0.0	0.27	9.7	17.51	46.84
CLU	2645.74	434801.29	2729110.67	343510.77	0.0	1.25	41475.31	186652.11	27745.15
COL20A1	0.0	44.89	10.16	7.88	0.0	0.12	2.66	0.15	2.27
COL21A1	8.13	5791.62	819.3	3018.3	0.0	0.57	134.3	10.24	808.0
COL5A2	218.79	4836.35	909.17	1594.73	0.0	0.96	167.9	226.54	432.53
CPZ	14.14	11035.54	4419.52	3794.3	0.0	0.23	187.71	366.09	518.15
CRISPLD1	236.21	8421.31	432.53	1662.49	0.0	0.13	182.55	514.56	1529.73
DCN	212.78	146444.06	66912.05	34635.37	0.0	1.06	3820.7	26614.89	12329.98
DIO3	5.32	4869.99	381.68	1477.58	0.0	0.39	86.43	64.8	43.32
DOCK10	21.63	1467.37	620.67	389.72	0.0	0.46	108.14	46.18	156.59
FAM101A	3.38	6607.01	1225.22	1733.13	0.0	0.19	35.5	12.83	55.49
FAM181B	25.35	1427.22	511.0	265.87	0.0	0.29	18.03	30.12	74.58
FAM69C	0.56	144.01	256.78	32.36	0.0	0.13	5.54	0.87	4.82
FBLN1	6935.54	422911.59	108699.57	45701.96	0.0	1.01	7180.15	9215.48	11909.94
FCGRT	1313.23	30999.42	13492.72	11664.82	0.0	0.95	3540.14	2645.74	4937.99
GDAP1L1	0.29	72.01	36.01	27.64	0.0	0.14	4.28	5.5	6.84
GPR78	0.89	32.82	53.57	38.95	0.0	0.21	1.01	1.17	1.11
GPSM1	73.03	2502.97	902.89	775.05	0.0	0.77	258.57	149.12	536.45
GRIK2	30.34	543.96	236.21	142.01	0.0	0.18	34.02	29.91	40.36
HAPLN4	0.0	251.48	162.14	258.57	0.0	0.2	8.25	0.0	47.84
IL17D	42.11	1617.0	591.22	647.07	0.0	0.18	100.13	140.04	221.86
KEL	6.94	199.85	23.25	71.0	0.0	0.39	8.99	14.35	2.71
KLF4	336.79	4802.93	1487.87	2682.69	0.0	0.53	1183.45	753.83	1208.34
LRFN5	0.58	2047.0	607.87	743.43	0.0	0.24	40.93	10.39	55.89
LRIG1	314.17	34876.28	4066.71	4239.45	0.0	0.44	1896.65	511.0	4769.75
LRRC17	10.88	11035.54	1909.85	5366.37	0.0	0.11	88.88	30.56	2520.38
LRRN4CL	3.38	1936.53	603.67	438.59	0.0	0.21	84.04	46.5	470.14
LTF	4.78	124.37	4.745313181E7	6956835.58	0.0	0.45	654483.73	226.54	46.18
MMP2	1119.56	67377.47	32540.65	12589.08	1757.34	836.53	1963.57	3190.46	13492.72
MSX1	24.11	239554.43	43236.64	93325.55	0.0	0.29	98.73	38.12	23820.89
MT3	1.97	2061.24	961.07	151.22	0.0	0.28	76.17	7.69	21.63
MUC5B	0.29	191.67	5.923719433E7	3.066309426E7	0.0	0.0	162.14	7.94	89.51
NELL2	44.25	17558.94	1870.53	2664.15	0.0	0.06	98.04	1662.49	61.25
NOG	1.13	791.35	384.34	218.79	0.0	0.19	17.25	17.13	18.7
PAM	1167.14	54349.29	56265.94	74760.09	1628.26	878.17	2303.12	5292.48	3235.01
POLR2M	346.29	775.05	753.83	759.08	0.0	0.18	497.0	457.25	674.59
PRRG3	0.0	848.22	107.38	339.14	0.0	0.0	0.73	50.63	82.29
PRRX1	43.02	11424.74	1781.89	4095.0	0.0	0.61	728.11	674.59	361.04
RASGRF1	1.14	575.03	361.04	166.73	0.0	0.0	9.78	2.61	10.31
RCN3	563.18	10014.87	2287.2	2047.0	0.0	1.11	493.56	136.19	1674.06
RIMS4	1.39	5711.87	651.58	624.99	0.0	0.04	43.94	579.04	909.17
RP11-865B13.1	0.0	1.66	4.86	1.87	0.0	0.0	0.0	0.0	0.0
RRAGC	320.8	547.75	507.46	532.74	0.0	0.54	309.83	450.94	490.14
SDK1	11.82	9344.14	796.86	2303.12	0.0	0.88	88.88	21.01	289.02
SERPIND1	1.38	91.41	9.2	28.86	0.0	0.0	1.81	5.06	9.27
SERPINF1	246.28	167058.21	42054.3	16269.83	0.0	0.8	11992.79	4704.07	4358.66
SYNGR1	100.13	7485.11	2895.31	2163.77	0.0	0.67	642.59	285.03	1508.65
TH	10.39	813.63	24.28	185.11	0.0	0.1	3.59	0.57	13.52
TIMP2	217.27	77396.54	15824.9	18819.27	0.0	0.93	3443.31	2573.36	12943.04
TMEM100	1.14	15607.02	1662.49	3443.31	0.0	0.47	140.04	55.1	129.69
TMEM132C	0.57	1923.14	1331.57	1950.0	0.0	0.18	59.13	12.93	176.29
