	TCGA.CV.7432.01A.11R.2132.07	TCGA.CN.6997.01A.11R.2016.07	TCGA.38.4625.01A.01R.1206.07	TCGA.86.8076.01A.31R.2241.07	TCGA.86.8280.01A.11R.2287.07	TCGA.S2.AA1A.01A.12R.A39D.07	TCGA.85.7697.01A.11R.2125.07	TCGA.43.A56U.01A.11R.A26W.07	TCGA.22.1005.01A.01R.0692.07	GTEX.ZT9W.2126.SM.51MSF	TCGA.FE.A232.01A.11R.A14Y.07
AC006547.14	0.0	6.84	0.0	16.27	13.03	22.43	12.27	19.39	23.42	1.06	7.57
ACMSD	0.0	0.83	0.0	6.21	8.0	5.82	1.51	8.38	52.82	0.0	1.62
ADAMTS10	7.88	41.52	0.0	119.26	239.52	358.54	135.24	339.14	277.2	30.12	305.55
AMPD1	0.0	0.43	0.0	22.26	55.49	269.6	13.12	105.89	57.49	1.71	8.06
ARHGAP4	47.84	698.41	0.0	791.35	1088.92	1832.01	698.41	2627.46	1757.34	61.68	423.61
BANK1	28.04	34.26	0.0	185.11	127.0	197.09	111.21	348.71	301.33	2.84	85.22
BLK	0.6	4.54	0.0	116.78	108.9	242.88	64.34	432.53	371.22	0.3	7.11
C12orf55	9.13	28.24	0.0	34.51	28.65	31.9	15.11	102.25	98.73	0.0	4.46
C4orf50	0.0	0.0	0.0	0.88	2.18	2.86	0.4	10.39	6.06	0.0	0.27
C7orf63	7.0	35.0	0.0	112.77	97.36	90.77	42.11	309.83	229.72	19.39	69.03
CCDC88B	156.59	473.41	0.0	860.08	638.15	1674.06	698.41	1977.24	1350.18	55.1	231.32
CCL25	0.0	1.25	0.0	17.25	18.43	2.34	2.32	43.32	46.18	0.0	2.78
CD180	4.9	28.04	0.0	220.32	123.5	176.29	92.7	277.2	447.82	2.12	26.86
CD27	27.05	52.82	0.0	1259.69	579.04	1331.57	343.89	2303.12	3257.52	13.83	124.37
CD79A	7.06	71.5	0.0	2367.9	1066.48	4450.27	1066.48	6294.04	7230.1	4.06	116.78
CELA3A	0.0	0.0	0.0	24.28	0.0	175.07	0.0	33.06	0.0	0.0	7.384883894E8
CEP128	74.06	76.71	0.0	102.97	74.06	136.19	90.14	460.44	265.87	20.71	68.55
