	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.R53T.1326.SM.48FCQ	GTEX.ZTSS.1226.SM.51MSZ	GTEX.XMK1.1726.SM.4B64Z	GTEX.11ZVC.2126.SM.5EGJ1	GTEX.14A5I.2426.SM.5Q5CP	GTEX.QEL4.1926.SM.4R1JI	TCGA.L5.A4OQ.11A.12R.A260.31	GTEX.1122O.1626.SM.5N9CX	TCGA.AF.2689.11A.01R.A32Z.07
ACTG1	246289.25	67846.12	36610.26	99333.0	68793.23	41475.31	70727.3	40621.74	23330.64	73221.53
ANKRD22	6607.01	629.35	37.59	1268.46	255.0	22.59	395.18	0.0	11.3	108.14
ASPM	218.79	115.97	5.36	127.89	36.53	10.63	90.14	5.19	1.57	38.12
ATP10B	4095.0	1991.0	26.86	3491.39	384.34	96.68	1529.73	0.0	16.15	149.12
BCL2L14	255.0	1359.57	23.42	1225.22	234.57	37.05	1183.45	0.0	0.0	147.06
BRCC3	688.78	665.29	325.29	738.29	366.09	363.56	547.75	226.54	248.0	348.71
CARD16	1044.52	2133.97	412.0	2976.74	995.0	521.76	1457.23	194.36	71.5	587.13
CDCA2	132.44	118.43	14.24	121.79	47.17	14.45	87.65	1.35	0.93	42.41
CDT1	1030.12	540.19	33.06	470.14	158.79	33.54	285.03	9.41	3.72	180.02
CKMT1A	12943.04	5872.48	138.1	8778.97	1540.37	231.32	6164.49	0.0	17.13	642.59
CKMT1B	7433.4	7280.4	271.48	9540.5	1508.65	351.14	7081.29	0.0	10.39	1175.27
CKS2	1991.0	3589.58	708.18	2400.97	1233.75	373.81	2255.7	120.94	57.08	981.29
CLN8	764.36	343.89	170.25	381.68	239.52	156.59	214.27	115.16	137.14	195.72
CLSPN	130.6	163.28	6.78	100.13	29.91	5.02	61.68	3.86	2.81	38.12
DARS2	275.28	647.07	134.3	521.76	248.0	138.1	356.05	92.05	114.36	209.84
DEPDC1	141.02	115.97	12.09	110.43	45.85	8.0	97.36	4.9	1.07	35.0
DOPEY2	1096.5	414.87	115.97	571.05	218.79	135.24	417.77	37.85	77.25	264.03
DUOXA2	1388.16	26.86	0.0	842.36	518.15	11.64	45.53	1.5	2.14	15.11
ERVMER34-1	125.24	38.67	5.11	12.55	22.1	5.96	10.08	5.54	5.11	8.32
FAM83B	25887.07	329.84	9.93	395.18	48.87	17.38	267.73	0.0	0.0	30.56
FERMT1	4972.34	1331.57	29.48	1674.06	503.95	91.41	890.44	0.0	6.62	190.34
FGFBP1	4194303.0	2193.99	19.82	1519.15	444.72	29.48	769.69	0.06	21.32	181.28
GALE	5403.7	3235.01	536.45	4298.64	1277.29	825.0	2682.69	33.06	249.73	1350.18
GINS2	318.57	417.77	19.82	291.04	175.07	39.5	226.54	8.85	6.57	128.79
GJB1	316.37	3820.7	37.32	4836.35	483.38	127.0	2956.17	0.39	0.0	214.27
GLTP	55877.28	1378.57	1023.0	1819.35	1151.06	1088.92	1477.58	934.76	595.34	1059.11
GPRIN2	9808.75	500.46	32.13	688.78	220.32	45.85	318.57	0.0	8.78	211.31
GPX2	1997825.68	19618.49	91.41	50011.46	7433.4	312.0	11745.96	0.0	10.24	2255.7
HIST1H3G	30151.71	143.01	0.0	42.71	70.51	10.0	54.72	1.38	0.0	15.56
HPDL	295.11	242.88	11.64	346.29	129.69	15.22	157.68	4.86	8.99	79.45
IGSF6	150.17	493.56	50.98	769.69	94.67	55.49	161.02	31.45	14.14	80.57
IKBKE	392.44	343.89	51.35	409.15	137.14	89.51	318.57	7.0	37.59	148.09
IL22RA2	1127.35	5.82	0.0	7.63	3.63	0.0	7.75	0.0	0.0	6.36
KIF14	85.22	29.7	3.23	37.85	14.89	3.26	21.63	2.66	1.23	14.24
KIF2C	406.31	287.01	25.91	343.89	137.14	64.34	218.79	14.78	13.42	169.07
KRT6B	9.677103146E8	7.22	1.87	239.52	221.86	0.79	2.84	0.0	0.0	0.0
LAD1	46019.85	6471.02	102.25	6607.01	1628.26	178.77	4481.23	0.0	17.77	738.29
LCN2	565825.41	1183.45	120.1	29124.6	3124.78	318.57	1977.24	21.78	53.19	647.07
LEO1	629.35	599.49	285.03	616.37	490.14	256.78	514.56	262.2	148.09	403.5
LIPM	111.21	11.3	2.61	24.63	6.67	0.0	10.39	0.0	0.0	9.27
MAL2	30999.42	4388.98	124.37	5594.3	1268.46	218.79	4066.71	0.0	16.88	336.79
MAPK13	2777.33	2855.44	224.97	3794.3	808.0	521.76	2997.45	4.1	81.14	1081.39
MT1H	1806.78	19348.38	381.68	1498.22	808.0	915.51	536.45	0.0	12.27	400.71
MYB	295.11	1407.55	44.25	1437.15	305.55	34.02	1183.45	8.06	9.34	176.29
NRG1	258.57	361.04	46.18	255.0	205.5	35.0	100.83	6.57	3.47	68.55
ORC1	189.02	143.01	20.71	182.55	60.39	21.78	87.65	3.96	8.06	53.95
PDX1	19.39	5.87	0.0	10.55	1.97	3.53	29.7	0.0	0.0	2.63
PI4K2B	753.83	532.74	246.28	642.59	332.14	287.01	470.14	93.35	154.42	267.73
PKMYT1	866.07	775.05	20.11	651.58	231.32	68.55	470.14	13.03	18.97	325.29
PKP2	1119.56	2835.7	99.43	2855.44	684.02	246.28	2287.2	8.06	20.56	251.48
PLEK2	7081.29	1870.53	94.67	2104.58	665.29	98.73	1191.69	0.0	0.0	163.28
PLK4	170.25	186.4	20.56	195.72	87.65	55.1	175.07	19.97	10.47	60.39
POLE2	395.18	201.25	35.0	248.0	94.01	53.19	96.68	19.68	18.03	81.71
RDH13	6037.61	748.61	211.31	1066.48	444.72	356.05	698.41	162.14	224.97	503.95
RTKN2	289.02	72.01	4.66	59.55	20.41	4.7	41.52	0.0	0.0	21.01
SDR16C5	741454.2	507.46	7.06	400.71	211.31	24.11	35.25	0.0	6.89	81.71
SKA1	185.11	114.36	10.79	134.3	53.57	8.78	72.01	2.27	2.46	41.81
SKP2	466.88	353.59	71.5	297.17	255.0	159.9	186.4	122.64	107.38	132.44
SLC27A2	1977.24	1378.57	46.5	1639.59	198.47	28.24	665.29	5.54	7.57	49.21
SMAGP	7749.1	3589.58	476.71	3540.14	921.88	500.46	2816.11	38.67	145.02	902.89
STIL	130.6	144.01	11.47	156.59	41.52	31.67	109.66	7.46	7.0	40.64
TACC3	1447.15	866.07	183.82	848.22	297.17	260.38	693.58	205.5	115.97	638.15
TMPRSS2	18431.96	5791.62	44.57	9344.14	1295.13	281.09	8658.09	0.15	12.83	1088.92
TRIM14	1233.75	813.63	139.07	1127.35	447.82	255.0	718.08	228.13	120.94	329.84
XDH	2796.65	454.09	17.38	1733.13	226.54	0.0	583.07	0.0	0.0	60.82
XRCC2	55.89	47.17	3.29	33.06	13.52	4.82	27.64	7.0	2.43	7.46
ZNF138	417.77	140.04	46.84	112.77	152.28	75.11	107.38	50.27	46.5	82.87
ZNF710	638.15	599.49	138.1	567.1	309.83	201.25	307.69	104.42	183.82	291.04
ZWILCH	297.17	190.34	85.82	231.32	157.68	99.43	136.19	99.43	53.57	102.25
