	TCGA.AO.A0JC.01A.11R.A056.07	TCGA.BH.A0BW.11A.12R.A115.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.50.5055.01A.01R.1628.07	TCGA.85.8355.01A.11R.2296.07	TCGA.85.A4PA.01A.11R.A24Z.07	TCGA.85.7710.11A.01R.2125.07	TCGA.DJ.A3V3.01A.11R.A22U.07	TCGA.E3.A3E2.01A.11R.A20F.07	TCGA.IM.A41Y.01A.11R.A23W.07	TCGA.BJ.A45J.01A.11R.A23W.07	TCGA.DJ.A2Q5.01A.11R.A18C.07	TCGA.ET.A3BQ.01B.11R.A206.07	TCGA.BJ.A0Z3.01A.11R.A13Y.07	TCGA.FK.A3SB.01A.11R.A22L.07	TCGA.DJ.A1QH.01A.21R.A14Y.07	TCGA.EL.A3T7.01A.11R.A22L.07	TCGA.FY.A3RA.01A.11R.A220.07	TCGA.DJ.A2Q9.01A.21R.A18C.07	TCGA.DJ.A3V2.01A.11R.A22U.07
ABCB11	13.93	5.19	0.97	2.48	1.66	2.46	3.92	10.24	0.0	2.25	0.0	0.0	0.88	0.0	2.34	0.0	0.0	0.0	0.0	6.11	0.0
ABCB4	256.78	93.35	25.72	12.0	86.43	33.3	264.03	137.14	27.25	31.0	2.89	19.53	55.89	11.91	44.57	14.35	6.78	22.92	2.41	88.26	14.14
ACHE	273.37	111.21	17.51	1.36	251.48	74.06	480.04	193.01	19.39	50.27	8.58	15.8	42.71	14.67	55.1	8.45	5.06	3.0	7.17	86.43	19.68
ADA	665.29	412.0	153.34	193.01	486.75	518.15	1242.34	503.95	183.82	368.65	139.07	105.89	273.37	171.45	305.55	125.24	165.57	91.41	90.14	480.04	199.85
ADAD2	18.56	4.5	62.56	105.15	7.51	16.63	4.7	8.45	3.76	10.0	1.48	15.45	5.23	3.82	14.56	0.92	2.05	2.53	3.11	20.56	2.03
ADAM8	743.43	392.44	111.21	67.59	1417.35	414.87	1397.83	612.11	126.12	118.43	44.89	71.5	218.79	56.68	181.28	37.05	94.01	70.51	52.45	444.72	156.59
ADH1B	1216.75	2224.63	16.75	31.9	1208.34	529.06	688.78	5366.37	17.38	197.09	51.35	13.62	39.5	24.63	148.09	23.76	6.46	13.03	25.91	234.57	55.89
AFF3	511.0	215.77	0.0	0.59	62.12	64.34	202.66	226.54	1.6	57.89	3.03	2.58	49.91	10.79	41.52	9.63	16.51	1.91	27.44	122.64	8.38
AIF1	3716.2	2271.4	348.71	693.58	2777.33	1963.57	2303.12	4328.55	1030.12	1066.48	212.78	563.18	1447.15	674.59	1104.13	373.81	679.29	775.05	307.69	5329.3	2119.22
AL358333.1	110.43	738.29	0.0	0.0	616.37	265.87	567.1	303.44	47.5	211.31	3.53	21.16	55.89	71.5	215.77	31.9	58.3	7.22	0.0	567.1	52.08
ALPK2	132.44	41.22	2.89	6.41	52.82	21.32	154.42	56.68	0.51	21.94	0.0	0.48	7.46	0.23	12.93	0.51	2.61	2.51	0.22	37.85	1.31
AMICA1	1594.73	854.13	135.24	878.17	785.88	688.78	947.83	2047.0	166.73	303.44	98.04	249.73	356.05	115.16	387.02	49.56	147.06	271.48	102.25	1757.34	559.28
ANKRD33B	10.16	15.68	3.96	3.69	4.78	12.0	31.0	27.64	0.36	6.46	0.37	1.0	0.0	1.04	5.41	1.03	0.0	0.67	0.36	9.78	0.69
ANKRD55	129.69	45.21	0.0	4.39	14.67	28.04	48.87	36.27	1.43	17.64	0.53	1.99	5.41	2.39	10.88	1.75	0.21	1.39	0.0	29.7	5.77
ARHGEF6	872.1	708.18	5.73	29.06	301.33	329.84	620.67	753.83	94.67	165.57	23.08	58.3	208.38	96.01	197.09	87.03	65.72	47.17	34.02	343.89	144.01
ARPC2	8963.45	7642.41	15934.98	13872.08	8840.04	6887.62	11827.67	10512.82	4298.64	5183.54	4038.61	4639.29	5517.27	4210.15	5292.48	4450.27	4481.23	4419.52	4419.52	10512.82	5329.3
ASB13	1183.45	559.28	237.86	825.0	620.67	376.41	1378.57	583.07	198.47	395.18	248.0	149.12	283.05	152.28	273.37	144.01	190.34	157.68	134.3	470.14	285.03
ATP8B4	65.72	100.83	12.55	23.08	54.72	58.3	42.11	79.45	39.5	40.36	13.03	16.15	44.25	22.26	39.5	15.34	28.86	19.25	18.56	180.02	64.34
BCL11A	890.44	579.04	3716.2	3235.01	358.54	267.73	941.27	417.77	78.89	161.02	27.25	64.34	83.45	35.25	152.28	30.78	12.55	39.22	7.28	187.71	71.0
BCL2A1	1096.5	674.59	67.59	11.64	1008.9	409.15	1159.07	1628.26	173.85	253.23	28.04	83.45	206.94	38.95	220.32	31.9	27.44	148.09	32.59	403.5	258.57
BCL2L15	16.15	14.14	0.69	7695.57	209.84	7.17	18.84	45.21	3.56	3.59	0.91	3.5	5.11	2.73	9.93	1.81	7.94	12.93	3.92	19.11	9.63
BTG1	11664.82	7180.15	2627.46	8598.28	4903.87	4010.71	8078.22	4095.0	890.44	1745.2	1250.98	728.11	1417.35	1313.23	1508.65	896.64	796.86	872.1	791.35	3372.43	1561.89
BTG4	2.27	0.0	0.0	0.0	6.73	7.63	3.76	8.45	0.0	1.11	0.0	0.0	2.18	0.0	0.0	0.0	0.0	0.0	0.0	4.86	0.0
C14orf182	215.77	68.55	162.14	74.06	54.72	42.11	128.79	105.15	10.47	21.32	6.11	6.84	19.97	4.17	19.11	2.81	7.69	4.28	5.59	37.59	13.22
C15orf41	108.9	132.44	409.15	356.05	76.17	190.34	85.22	69.03	44.89	49.91	25.72	37.32	38.95	39.5	55.1	30.56	51.35	39.5	42.71	105.15	49.91
C9orf84	3.5	1.48	12.45	28.86	6.06	11.82	0.62	3.38	0.58	0.58	0.59	0.0	0.6	0.0	1.13	0.0	0.0	0.57	0.0	2.46	0.58
CAMK4	289.02	112.77	2.58	43.32	68.07	84.63	169.07	131.51	9.34	24.46	1.3	5.36	34.02	6.57	35.0	4.86	9.78	2.18	1.57	49.21	11.13
CAPN14	16.03	6.06	327.56	2004.85	10.71	48.87	28.24	10.08	1.07	3.35	0.0	0.62	2.05	1.08	4.9	0.64	0.64	0.0	0.62	11.21	1.08
CASQ1	107.38	38.67	0.0	2.58	12.09	15.45	65.26	38.95	11.73	11.82	1.16	3.11	6.41	3.23	11.82	2.18	2.18	1.64	2.14	13.72	7.11
CCR6	483.38	228.13	6.06	208.38	248.0	94.67	253.23	384.34	7.88	17.9	1.33	7.57	38.12	5.87	60.39	4.31	13.62	5.92	7.88	127.0	13.22
CD4	3190.46	1806.78	144.01	255.0	2090.03	2047.0	2090.03	2835.7	400.71	616.37	84.04	232.94	961.07	303.44	728.11	218.79	332.14	295.11	131.51	1617.0	941.27
CD69	3325.99	1322.37	23.76	107.38	1001.93	575.03	1639.59	633.73	72.01	412.0	25.72	98.04	239.52	140.04	339.14	43.02	36.27	45.85	43.63	775.05	262.2
CD86	579.04	358.54	23.42	65.26	470.14	457.25	435.55	733.19	59.97	146.03	24.28	38.12	158.79	52.45	123.5	23.42	52.82	62.56	37.05	353.59	176.29
CHRM5	4.28	7.22	1.95	3.59	1.41	2.81	8.65	4.9	0.0	0.66	0.66	1.51	1.62	0.66	1.14	0.66	0.66	1.08	0.65	2.78	1.11
CLNK	59.13	21.94	1.01	6.11	20.26	22.26	31.9	34.51	2.84	12.55	0.47	1.62	10.96	1.38	7.06	1.97	1.38	0.44	1.33	27.64	7.75
CNR2	229.72	75.64	2.23	0.91	70.01	37.59	215.77	136.19	0.83	19.82	0.6	0.8	17.38	0.35	17.9	0.0	0.09	0.09	0.09	21.32	6.01
COCH	145.02	150.17	156.59	1104.13	163.28	444.72	108.14	90.77	23.42	20.26	4.28	7.82	34.51	12.45	37.32	7.94	12.45	6.57	8.58	52.45	25.72
COPS3	1191.69	1242.34	1259.69	1216.75	1628.26	1001.93	1096.5	1167.14	753.83	967.76	708.18	703.28	934.76	748.61	981.29	842.36	860.08	647.07	967.76	1388.16	878.17
COTL1	10296.45	4972.34	400.71	281.09	6607.01	3614.55	10154.69	6121.9	1340.84	2303.12	660.68	896.64	2485.67	1167.14	2319.15	819.3	947.83	791.35	872.1	6294.04	2163.77
CR2	3081.75	743.43	3.11	0.0	1340.84	348.71	3235.01	1685.71	2.97	525.39	0.0	1.22	204.07	0.72	237.86	1.81	0.09	0.53	0.23	563.18	28.45
CSF2RA	267.73	176.29	7.0	48.52	381.68	205.5	258.57	316.37	47.17	90.14	24.81	36.27	96.01	49.21	73.03	21.94	36.53	39.79	28.45	212.78	97.36
CSF2RB	759.08	559.28	62.56	70.51	514.56	432.53	1088.92	1216.75	65.26	195.72	15.22	53.95	171.45	64.8	193.01	43.32	47.5	53.57	24.46	660.68	122.64
CSTA	1617.0	486.75	1.6409999923E8	5.121275984E7	1540.37	7749.1	656.11	1909.85	66.18	414.87	33.78	116.78	260.38	60.39	341.51	27.84	66.65	90.77	41.81	723.08	194.36
CTD-2370N5.3	147.06	65.26	0.0	0.0	82.29	84.63	53.95	249.73	2.81	49.91	0.0	0.0	21.32	1.39	20.41	0.0	3.47	0.0	0.92	55.89	15.91
