	TCGA.KO.8417.01A.11R.2315.07	TCGA.KL.8341.01A.11R.2315.07	TCGA.KN.8427.11A.01R.2315.07	TCGA.KN.8433.11A.01R.2315.07	GTEX.ZYT6.2226.SM.5GIC9	GTEX.ZYFG.1626.SM.5GZYY	GTEX.13112.2126.SM.5GCO4	GTEX.UPIC.1126.SM.4IHLO	GTEX.13OVL.1826.SM.5KLZR	TCGA.CZ.5454.11A.01R.1503.07	TCGA.BC.A10U.11A.11R.A131.07	TCGA.DD.A113.11A.12R.A131.07	GTEX.144GM.1326.SM.5LU5E	GTEX.145MO.2326.SM.5NQ9K	GTEX.RWSA.1426.SM.47JXA	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
ADCK1	325.29	457.25	178.77	108.14	211.31	260.38	403.5	231.32	260.38	154.42	70.01	92.7	73.03	153.34	69.52	0.0	0.19
ANKMY2	728.11	842.36	346.29	463.65	698.41	507.46	703.28	414.87	620.67	460.44	78.34	143.01	49.91	80.01	58.71	0.0	0.4
ARHGAP44	332.14	285.03	111.99	143.01	341.51	147.06	403.5	234.57	353.59	173.85	31.67	28.65	4.58	4.54	12.55	0.0	0.32
ARIH2OS	47.84	106.63	37.05	45.53	73.03	40.36	76.71	50.98	85.22	48.52	6.73	11.73	5.87	11.64	3.14	0.0	0.0
ARL6	1397.83	2090.03	199.85	180.02	299.25	217.27	454.09	232.94	629.35	229.72	27.05	29.27	17.38	43.32	5.06	0.0	0.04
ATG14	202.66	332.14	134.3	155.5	209.84	153.34	164.42	232.94	277.2	173.85	68.07	65.72	49.21	42.71	44.89	0.0	0.18
BACE2	9673.69	7081.29	1331.57	1909.85	5183.54	1250.98	2875.3	6164.49	6121.9	2537.92	212.78	100.13	149.12	249.73	92.05	0.0	0.8
BRI3	8963.45	9540.5	3018.3	4038.61	6337.83	3280.18	4802.93	4038.61	4239.45	2875.3	5112.16	4328.55	1977.24	3419.52	3515.68	0.0	0.72
C2CD5	842.36	1159.07	412.0	441.64	620.67	466.88	791.35	493.56	842.36	551.56	119.26	117.6	70.01	113.56	173.85	0.0	0.26
C5orf60	2.41	8.25	5.63	1.11	2.97	4.24	4.06	2.86	3.63	0.36	0.0	1.28	0.0	0.57	0.82	0.0	0.0
C6orf163	24.81	16.03	7.69	6.67	14.78	4.9	21.94	6.31	37.05	14.67	3.53	4.28	1.58	7.34	0.0	0.0	0.27
CCDC180	246.28	187.71	37.05	48.18	63.89	31.67	66.65	99.43	82.87	37.59	9.85	6.31	3.17	13.52	6.21	0.0	0.31
CDK5	392.44	764.36	256.78	325.29	444.72	356.05	460.44	353.59	397.93	267.73	130.6	202.66	115.16	177.53	162.14	0.0	0.0
COLCA2	1044.52	981.29	165.57	134.3	551.56	145.02	571.05	327.56	575.03	163.28	13.22	9.85	0.0	18.43	4.98	0.0	0.53
DUS4L	249.73	389.72	154.42	221.86	201.25	163.28	195.72	218.79	325.29	186.4	60.39	62.12	34.75	51.71	32.82	0.0	0.28
EPS15L1	813.63	796.86	346.29	403.5	329.84	361.04	463.65	384.34	389.72	389.72	158.79	135.24	102.25	205.5	109.66	0.0	0.83
ERI2	214.27	529.06	202.66	325.29	264.03	320.8	629.35	293.07	480.04	297.17	195.72	158.79	72.52	107.38	68.55	0.0	0.0
FAM186B	44.25	51.71	13.72	20.11	46.18	16.63	29.27	6.11	44.25	12.93	10.71	8.06	0.0	17.25	13.93	0.0	0.09
FASTK	2682.69	3515.68	1697.45	1529.73	2935.74	1322.37	2816.11	2271.4	2018.8	1081.39	1030.12	1304.15	988.12	1427.22	1001.93	0.0	0.74
FBXO24	16.39	33.54	11.3	15.0	31.67	15.11	27.44	4.58	29.91	7.63	7.11	9.93	3.0	11.13	22.75	0.0	0.17
GARNL3	348.71	423.61	77.25	142.01	173.85	118.43	191.67	175.07	336.79	113.56	59.55	40.64	9.93	15.8	23.93	0.0	0.26
GGA1	1427.22	1769.57	909.17	830.75	890.44	679.29	1519.15	1081.39	1242.34	909.17	341.51	417.77	400.71	356.05	316.37	0.0	0.92
GOLGA8I	45.21	71.0	17.0	28.86	39.5	20.71	26.1	35.76	68.55	22.26	9.93	17.25	5.32	19.97	8.99	0.0	0.43
GOLGA8K	4.43	9.48	1.33	1.83	0.0	4.24	1.79	4.06	8.19	2.07	2.01	0.0	0.0	1.23	0.0	0.0	0.27
GOLGA8O	115.97	91.41	20.26	18.56	31.22	29.27	33.78	32.36	27.44	21.01	13.42	8.92	2.07	7.0	2.84	0.0	0.34
GOLGA8R	73.54	126.12	20.26	55.1	22.1	52.82	15.68	75.11	73.54	32.82	6.31	7.82	16.75	3.38	2.25	0.0	0.52
GOLGA8S	13.62	18.03	3.99	9.85	12.0	7.11	8.78	9.85	13.03	5.54	3.32	4.7	0.8	1.95	2.36	0.0	0.32
GORASP1	1051.79	1594.73	1059.11	854.13	909.17	1369.04	1199.98	1104.13	995.0	1008.9	669.92	620.67	551.56	555.41	540.19	0.0	0.82
GTF2IRD2	480.04	429.54	299.25	414.87	583.07	323.03	642.59	363.56	500.46	323.03	366.09	185.11	137.14	265.87	395.18	0.0	0.39
GTF2IRD2B	599.49	860.08	529.06	325.29	638.15	438.59	759.08	633.73	830.75	457.25	312.0	318.57	325.29	395.18	480.04	215.77	211.31
HDAC8	384.34	603.67	363.56	348.71	373.81	361.04	356.05	353.59	444.72	348.71	242.88	265.87	186.4	253.23	149.12	0.0	0.41
HDDC3	1477.58	1175.27	733.19	753.83	1104.13	599.49	785.88	684.02	854.13	759.08	532.74	529.06	473.41	543.96	500.46	0.0	0.08
ISY1-RAB43	228.13	267.73	166.73	135.24	90.77	156.59	165.57	165.57	176.29	177.53	145.02	47.5	172.65	115.16	127.0	0.0	0.51
KANSL2	567.1	909.17	518.15	514.56	647.07	447.82	728.11	571.05	583.07	514.56	218.79	221.86	214.27	236.21	251.48	0.0	0.59
KRIT1	656.11	1088.92	444.72	444.72	348.71	384.34	470.14	559.28	633.73	503.95	215.77	260.38	104.42	186.4	97.36	0.0	0.54
LAMTOR4	5672.41	6983.79	4736.79	5441.3	8134.41	3901.01	5633.22	3372.43	5076.84	2796.65	2573.36	2303.12	1769.57	2555.58	2502.97	0.0	1.08
MCOLN1	638.15	651.58	371.22	423.61	480.04	432.53	587.13	392.44	403.5	316.37	500.46	397.93	426.57	397.93	185.11	0.0	0.39
MTRNR2L4	2.68	6.84	0.0	0.37	1.16	1.23	4.82	0.0	1.5	2.05	0.0	0.0	0.92	0.0	0.0	0.0	0.06
NUMB	934.76	1991.0	808.0	947.83	698.41	819.3	791.35	915.51	1151.06	1015.93	603.67	769.69	262.2	567.1	299.25	0.0	0.66
PARP16	246.28	575.03	120.1	148.09	217.27	172.65	281.09	157.68	258.57	126.12	140.04	211.31	123.5	171.45	121.79	0.0	0.39
PCDHGA1	50.63	17.38	6.84	7.88	5.5	4.62	15.0	8.45	31.9	7.46	0.0	1.68	1.93	4.28	0.0	0.0	0.27
PDZD11	1832.01	1963.57	1096.5	1051.79	1340.84	1159.07	1073.91	941.27	1233.75	1159.07	493.56	642.59	397.93	669.92	373.81	0.0	0.44
PEX1	332.14	733.19	249.73	305.55	316.37	435.55	473.41	397.93	441.64	371.22	191.67	190.34	185.11	152.28	93.35	0.0	0.59
POU5F1B	34.51	69.03	21.01	12.0	58.3	19.53	48.18	40.36	38.4	24.28	3.66	0.77	0.57	1.31	11.73	0.0	0.09
PPIL2	1030.12	1233.75	733.19	624.99	878.17	674.59	1127.35	802.41	1081.39	718.08	381.68	497.0	334.46	373.81	329.84	0.0	0.77
PPP1R3E	395.18	514.56	127.89	249.73	356.05	152.28	358.54	242.88	518.15	152.28	88.26	142.01	45.85	124.37	107.38	0.0	0.58
PPP1R9A	158.79	221.86	94.67	94.67	148.09	199.85	198.47	149.12	267.73	153.34	18.29	11.13	3.82	0.74	3.79	31.0	35.0
PRIMPOL	228.13	320.8	154.42	195.72	334.46	170.25	339.14	189.02	334.46	180.02	92.7	139.07	47.17	166.73	44.89	0.0	0.0
PRKRIP1	651.58	1008.9	457.25	525.39	358.54	334.46	518.15	409.15	514.56	363.56	208.38	214.27	297.17	277.2	236.21	0.0	0.61
REXO2	3955.48	4972.34	2061.24	1806.78	2240.11	1909.85	1757.34	1757.34	1991.0	1883.54	1081.39	830.75	1721.16	1051.79	748.61	0.0	0.97
RINT1	361.04	713.11	206.94	201.25	221.86	223.41	208.38	258.57	325.29	205.5	187.71	161.02	199.85	154.42	158.79	0.0	0.53
SATB1	842.36	693.58	249.73	295.11	348.71	197.09	684.02	212.78	532.74	323.03	172.65	158.79	46.5	35.76	85.82	76.71	173.85
SH3GLB2	3146.52	3235.01	1896.65	2032.85	3303.0	1769.57	4298.64	2367.9	3325.99	2032.85	381.68	525.39	281.09	339.14	435.55	0.0	0.96
SLC25A23	2434.5	4066.71	1286.18	1844.76	2032.85	1519.15	2004.85	2178.83	2178.83	1594.73	429.54	796.86	395.18	703.28	476.71	1709.26	1467.37
SLC6A2	115.16	120.94	3.92	14.67	3.69	11.13	34.26	12.83	3.47	2.05	0.49	7.51	12.64	0.26	0.19	0.0	0.0
SPECC1	915.51	665.29	214.27	157.68	150.17	309.83	237.86	314.17	291.04	237.86	32.36	21.63	13.83	52.82	53.95	0.0	0.65
TAB1	406.31	493.56	267.73	314.17	444.72	361.04	497.0	389.72	441.64	303.44	125.24	226.54	104.42	251.48	125.24	0.0	0.21
TLE2	808.0	1225.22	967.76	381.68	830.75	571.05	780.44	293.07	559.28	511.0	205.5	202.66	395.18	48.18	384.34	0.0	0.97
TMEM60	981.29	1088.92	507.46	521.76	915.51	616.37	836.53	547.75	848.22	571.05	297.17	417.77	183.82	381.68	241.19	0.0	0.02
TYW1	435.55	575.03	260.38	239.52	281.09	295.11	316.37	277.2	336.79	323.03	197.09	191.67	177.53	141.02	221.86	0.0	0.53
UBE3B	909.17	915.51	480.04	567.1	723.08	575.03	743.43	599.49	693.58	579.04	198.47	204.07	123.5	178.77	106.63	0.0	0.32
UMOD	5.54	4.54	602247.76	443937.41	3178687.03	1318073.06	789181.81	1070607.81	1299926.74	636586.81	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UNC45A	1388.16	1605.83	1159.07	1001.93	1183.45	1242.34	1286.18	1191.69	1008.9	1268.46	400.71	470.14	579.04	447.82	323.03	0.0	0.69
ZC3H6	65.26	120.1	55.1	76.71	86.43	60.39	86.43	72.52	120.1	86.43	11.13	18.16	6.06	11.13	11.64	0.0	0.11
ZDHHC24	466.88	743.43	351.14	314.17	301.33	403.5	249.73	379.04	253.23	293.07	98.73	130.6	108.9	120.94	56.68	0.0	0.39
