	TCGA.AZ.6605.11A.01R.1839.07	TCGA.A6.5662.11A.01R.1653.07	TCGA.LN.A9FP.01A.31R.A38D.31	TCGA.L5.A4OQ.11A.12R.A260.31	TCGA.IG.A3I8.11A.11R.A24K.31	TCGA.L5.A4OO.11A.12R.A260.31	TCGA.BP.4338.01A.01R.1289.07	TCGA.BP.5180.01A.01R.1426.07	TCGA.A3.3319.01A.02R.1325.07	TCGA.BP.5196.01A.01R.1426.07	TCGA.4A.A93X.01A.11R.A37K.07	TCGA.38.4625.01A.01R.1206.07	TCGA.AF.2691.11A.01R.A32Z.07
AC022532.1	22.59	19.25	15.45	19.53	11.64	15.68	14.14	8.25	14.78	3.92	5.73	0.0	10.31
ADAM33	1844.76	698.41	1467.37	3419.52	2224.63	3901.01	0.45	0.42	0.45	3.32	0.0	0.0	536.45
ADAMTS9	551.56	258.57	2835.7	1857.6	571.05	1295.13	172.65	128.79	389.72	723.08	447.82	0.0	334.46
ADCY3	860.08	559.28	2739.08	2609.3	1331.57	947.83	429.54	511.0	521.76	1001.93	41.52	0.0	660.68
ADCYAP1R1	723.08	149.12	753.83	1508.65	497.0	769.69	0.0	0.0	0.39	0.71	0.0	0.0	156.59
ANGPT1	194.36	100.13	1242.34	343.89	1313.23	135.24	13.12	11.64	17.51	61.25	2.48	0.0	67.59
ARIH2	1427.22	1073.91	1259.69	1304.15	1467.37	1388.16	341.51	400.71	490.14	567.1	624.99	1096.5	1340.84
ATP2B4	50709.61	10512.82	14663.09	10808.41	20881.4	7911.95	1096.5	842.36	1594.73	1322.37	102.25	902.89	4836.35
BHLHE22	50.98	23.93	71.5	85.22	57.49	44.89	4.62	1.41	2.68	6.26	0.0	0.0	12.0
BOC	2835.7	842.36	1617.0	4210.15	2875.3	1467.37	31.0	175.07	94.67	285.03	7.57	0.0	559.28
C1QTNF2	128.79	69.03	120.94	153.34	327.56	84.63	4.7	1.45	3.86	16.75	0.73	0.0	38.4
C1orf198	1331.57	836.53	1304.15	2178.83	2075.59	1088.92	199.85	358.54	206.94	363.56	172.65	0.0	703.28
C6orf25	4.9	7.57	17.13	14.89	21.32	17.51	1.57	1.43	1.93	1.41	0.0	0.0	6.41
C9orf3	5329.3	1651.0	3665.02	3081.75	4481.23	3039.3	152.28	713.11	348.71	1104.13	147.06	642.59	1225.22
CACNA1H	13492.72	2367.9	17197.56	7382.04	32994.92	11189.6	55.49	40.07	59.55	201.25	58.3	0.0	1651.0
CARNS1	29.7	14.14	17.13	22.43	23.93	67.12	3.2	6.16	9.34	4.98	0.74	0.0	17.0
CCDC3	409.15	229.72	934.76	1044.52	1561.89	1832.01	104.42	57.89	37.59	435.55	14.78	0.0	159.9
CDO1	127.0	71.5	97.36	368.65	255.0	111.21	0.4	3.56	1.57	14.67	0.0	0.0	31.45
CHN1	406.31	251.48	1127.35	961.07	1259.69	878.17	49.21	51.71	72.01	476.71	27.84	0.0	169.07
CNN1	887875.81	88905.42	101420.22	85876.94	373305.21	104996.83	70.51	65.26	43.63	555.41	47.17	0.0	48643.87
CORO6	2075.59	389.72	2018.8	2682.69	3614.55	1216.75	7.88	4.98	7.82	46.84	68.55	0.0	246.28
CRISPLD2	1427.22	1073.91	7280.4	9808.75	6037.61	8022.41	56.68	764.36	111.21	616.37	16.75	447.82	3419.52
CSNK2B-LY6G5B-1181	12.83	51.71	48.18	26.86	45.85	57.89	9.48	14.24	18.56	37.32	45.21	0.0	33.78
CSRP1	1645391.11	128373.58	428815.23	172949.54	938500.81	246289.25	2032.85	1794.29	1378.57	3146.52	780.44	2047.0	79022.82
CTD-2368P22.1	148.09	50.98	75.11	130.6	92.7	116.78	29.91	37.05	27.84	75.64	20.11	0.0	47.84
DHX30	995.0	693.58	890.44	1001.93	981.29	1015.93	273.37	438.59	363.56	493.56	890.44	848.22	915.51
DYNC1I1	1250.98	384.34	212.78	329.84	336.79	339.14	50.98	9.7	88.88	98.73	12.74	0.0	205.5
EGFL8	738.29	470.14	497.0	674.59	532.74	612.11	11.04	28.45	94.01	161.02	127.89	0.0	206.94
EOGT	647.07	291.04	1709.26	2133.97	1733.13	1487.87	102.97	69.03	149.12	206.94	93.35	198.47	260.38
EXOG	155.5	116.78	166.73	242.88	242.88	183.82	32.59	38.67	69.03	48.87	46.5	0.0	113.56
FAM109B	400.71	301.33	264.03	339.14	214.27	242.88	43.32	70.51	194.36	182.55	4.7	0.0	307.69
FAM178B	80.57	26.67	109.66	40.07	97.36	64.8	4.7	1.43	0.39	5.96	0.0	0.0	43.63
FBXO32	16157.44	5479.15	11189.6	15934.98	5751.61	6037.61	57.49	90.77	1617.0	253.23	136.19	0.0	3874.05
FES	318.57	267.73	808.0	890.44	500.46	595.34	140.04	169.07	107.38	291.04	39.5	0.0	271.48
FOXP1	1044.52	642.59	1572.76	1617.0	2061.24	981.29	63.89	96.01	97.36	258.57	43.32	167.9	785.88
GALNT16	389.72	189.02	211.31	417.77	295.11	161.02	12.64	5.11	131.51	41.22	6.16	0.0	154.42
GAP43	587.13	267.73	23.76	112.77	423.61	264.03	1.19	0.73	1.55	3.17	0.0	0.0	153.34
GLI2	295.11	66.18	226.54	125.24	164.42	96.01	6.73	5.06	4.31	41.22	0.39	0.0	48.52
GLT8D2	665.29	441.64	688.78	1259.69	563.18	463.65	11.73	25.72	16.27	89.51	9.63	0.0	236.21
GORASP1	1417.35	1151.06	981.29	1359.57	1340.84	1350.18	232.94	269.6	395.18	417.77	620.67	0.0	1066.48
GRIK2	32.59	24.63	15.45	81.14	45.21	29.7	0.39	0.0	0.0	0.71	3.14	0.0	17.38
HAS1	14.03	108.14	480.04	92.05	351.14	190.34	0.0	0.36	1.16	2.78	0.0	0.0	39.79
HNRNPDL	7180.15	6745.86	9215.48	9215.48	6652.97	8421.31	1721.16	2895.31	2664.15	4704.07	2335.28	0.0	8778.97
HSPB6	66449.85	14262.1	6887.62	33688.23	35363.15	31215.04	37.59	53.19	1437.15	463.65	9.85	0.0	7642.41
HTR2A	19.53	7.82	31.45	63.89	10.55	6.31	0.39	0.0	2.29	0.35	0.35	0.0	5.28
ITGA7	18431.96	4419.52	12764.83	18560.17	25179.16	13872.08	151.22	128.79	251.48	356.05	187.71	0.0	2384.37
KLC1	4358.66	2148.82	3716.2	3768.09	4123.49	3820.7	414.87	406.31	591.22	1008.9	607.87	0.0	1662.49
LMOD1	39237.98	10014.87	35118.87	32540.65	59474.18	28723.62	40.93	26.86	27.44	205.5	11.04	0.0	6337.83
LPPR4	29.7	13.62	98.04	76.71	29.27	22.26	3.44	1.39	3.41	14.67	2.76	0.0	11.73
