	TCGA.CF.A9FH.01A.11R.A38B.07	TCGA.BT.A20Q.01A.11R.A14Y.07	TCGA.E7.A7DU.01A.11R.A32O.07	TCGA.C8.A132.01A.31R.A115.07	TCGA.DM.A288.01A.11R.A16W.07	TCGA.DM.A1DA.01A.11R.A155.07	TCGA.CV.6934.01A.11R.1915.07	TCGA.CN.6019.01A.11R.1686.07	TCGA.CN.4728.01A.01R.1436.07	TCGA.B0.4699.01A.01R.1277.07	GTEX.145ME.1026.SM.5O9B4	GTEX.WHPG.0426.SM.4M1XW
AC112721.1	0.0	0.0	0.0	16.15	0.0	1.16	10.0	4.13	10.08	19.53	0.0	0.0
AKAP6	3.96	30.12	0.35	12.74	0.54	9.34	98.04	52.08	60.82	273.37	37.05	25.35
AMPD3	87.03	120.94	66.65	139.07	49.21	40.93	190.34	232.94	255.0	819.3	80.57	167.9
AMZ1	1.55	2.07	0.67	38.95	0.75	0.74	3.47	35.76	49.56	153.34	2.63	1.97
APCDD1L	0.0	8.92	0.35	32.82	3.03	0.33	264.03	79.45	281.09	536.45	22.59	28.86
ARHGAP22	29.91	48.52	24.28	112.77	12.0	18.43	165.57	128.79	177.53	242.88	37.05	49.21
ARHGAP28	0.95	23.93	6.46	87.65	1.27	4.24	108.9	173.85	83.45	121.79	30.56	54.33
ARL15	204.07	529.06	155.5	607.87	32.36	77.79	713.11	438.59	511.0	1111.82	314.17	277.2
ASB15	0.0	0.0	0.0	2.48	0.0	0.0	7.11	5.41	7.88	6.41	0.87	0.14
ASB5	0.0	36.27	0.34	0.35	0.0	0.0	172.65	71.5	126.12	264.03	4.54	3.5
ATP10D	135.24	221.86	76.71	167.9	13.93	14.67	414.87	299.25	248.0	785.88	251.48	150.17
BDNF	1.83	3.08	1.3	2.46	0.72	1.07	28.86	287.01	38.67	74.06	3.76	22.26
BICD1	80.01	108.14	39.5	199.85	193.01	55.89	356.05	309.83	409.15	521.76	65.72	71.5
BNC2	0.64	45.53	1.64	105.89	6.78	4.62	126.12	127.89	128.79	249.73	53.19	45.21
C5orf46	0.0	5.54	0.0	236.21	34.75	14.56	287.01	406.31	379.04	780.44	0.0	4.17
CCNA1	0.0	0.71	0.66	22.59	0.77	0.0	351.14	64.8	120.94	96.68	5.82	22.75
CD70	0.93	16.88	4.46	40.36	7.34	1.66	500.46	180.02	228.13	1781.89	18.56	43.63
CDH13	84.04	49.21	47.5	384.34	43.94	22.59	1111.82	629.35	1143.1	1088.92	76.71	57.49
CHRNA1	2.14	21.94	4.78	17.77	0.0	0.0	1051.79	476.71	466.88	329.84	1.48	3.06
CLIC4	99.43	1096.5	78.89	2075.59	295.11	379.04	3614.55	2682.69	2796.65	3515.68	981.29	1015.93
CLMP	2.81	141.02	5.23	283.05	7.75	7.46	361.04	460.44	441.64	612.11	175.07	117.6
CNN3	1295.13	3794.3	211.31	3742.05	255.0	808.0	4903.87	4298.64	3589.58	11345.82	1081.39	1467.37
CRYAB	65.26	500.46	125.24	1617.0	371.22	135.24	7966.99	8247.98	6561.36	16496.96	1225.22	1001.93
DACT1	16.75	140.04	11.3	295.11	37.32	40.64	825.0	447.82	551.56	775.05	58.71	164.42
DGKI	0.93	11.21	7.94	16.63	3.89	3.32	107.38	74.58	178.77	86.43	1.71	2.63
DLX1	0.33	7.17	8.0	12.27	3.08	0.0	42.11	40.93	54.33	31.0	2.73	0.21
DOCK4	12.83	63.89	12.55	133.36	32.82	22.43	181.28	167.9	226.54	258.57	54.33	79.45
ELMSAN1	265.87	231.32	158.79	373.81	194.36	149.12	660.68	287.01	429.54	1008.9	540.19	414.87
ELOVL4	1.57	8.92	4.5	24.11	1.39	2.07	91.41	126.12	87.03	154.42	14.45	18.43
ERMN	1.83	2.76	2.89	19.53	11.3	6.62	23.93	17.51	85.82	124.37	15.22	12.18
FAM43B	2.41	3.06	2.53	15.68	1.55	1.07	35.0	3.14	15.56	27.64	1.58	2.92
FGF16	0.0	3.03	0.0	20.11	0.0	0.0	66.18	8.45	70.51	28.65	0.0	0.84
FKBP14	102.25	217.27	90.77	283.05	189.02	90.77	318.57	320.8	336.79	395.18	177.53	133.36
FLG	2.73	0.36	0.0	3.96	0.0	0.0	5.68	4.43	59.55	108.9	5.45	0.96
FSD1	3.11	16.88	3.29	20.71	3.53	7.4	23.08	23.08	37.32	81.71	25.35	13.62
GADD45B	559.28	1030.12	633.73	1467.37	802.41	387.02	3395.89	4575.41	1963.57	3955.48	567.1	1199.98
GAST	0.0	0.0	0.0	0.0	13.12	2.92	384.34	480.04	231.32	0.0	1.598261246E7	2.4225111E7
GPATCH2L	186.4	194.36	79.45	177.53	152.28	132.44	366.09	198.47	260.38	583.07	191.67	221.86
GXYLT2	0.65	66.65	6.78	211.31	3.44	4.54	624.99	325.29	480.04	647.07	7.46	21.94
HEPHL1	0.33	0.0	0.0	13.12	1.91	0.0	197.09	129.69	92.7	98.04	5.15	7.17
HMOX1	133.36	866.07	165.57	1151.06	82.29	72.52	1015.93	1350.18	5791.62	6471.02	127.89	1561.89
HRH1	80.01	79.45	79.45	130.6	94.67	35.5	182.55	159.9	303.44	493.56	28.04	92.05
HSPA12A	3.99	23.59	4.86	71.0	7.69	12.36	124.37	45.85	157.68	124.37	33.06	30.34
INSRR	0.0	0.0	0.0	2.71	0.0	0.0	2.84	0.85	4.1	12.36	0.62	0.0
KLF10	297.17	607.87	138.1	785.88	373.81	346.29	1295.13	1277.29	1259.69	1896.65	656.11	928.3
LITAF	848.22	3372.43	738.29	2573.36	981.29	343.89	3614.55	5255.91	4210.15	8901.53	981.29	3639.7
LOXL2	124.37	441.64	157.68	915.51	420.68	279.14	3928.15	3257.52	2956.17	4066.71	98.04	329.84
LRP12	38.67	108.9	52.45	164.42	17.77	16.39	420.68	518.15	878.17	802.41	59.55	18.56
LUZP1	117.6	155.5	98.73	256.78	153.34	106.63	295.11	186.4	297.17	323.03	176.29	212.78
MFAP5	0.0	384.34	4.58	1127.35	34.75	38.95	2417.67	2271.4	3614.55	1757.34	802.41	612.11
MRAS	12.0	244.57	18.97	409.15	30.12	35.76	463.65	571.05	713.11	808.0	126.12	135.24
MSC	8.0	197.09	22.26	318.57	22.92	17.25	928.3	796.86	1183.45	1674.06	90.14	260.38
NCAM1	0.65	47.5	3.56	12.93	0.0	2.71	476.71	236.21	287.01	511.0	198.47	35.0
NID2	52.45	412.0	43.63	1111.82	470.14	177.53	981.29	1242.34	1529.73	2224.63	74.58	130.6
NMRK2	0.0	0.0	0.0	0.0	0.0	0.0	329.84	279.14	246.28	102.97	5.87	1.22
PCDHGB6	13.93	24.28	12.45	49.21	7.17	3.06	76.71	60.39	70.51	91.41	19.97	25.35
PDCD1LG2	5.5	46.18	3.89	102.25	0.72	1.95	124.37	108.14	218.79	289.02	11.82	92.7
PPAPDC3	1.57	31.9	3.89	41.81	4.66	7.69	130.6	118.43	115.97	120.94	34.51	31.67
PPFIBP1	166.73	373.81	98.73	775.05	267.73	202.66	884.29	656.11	1250.98	915.51	974.5	361.04
PRNP	967.76	1844.76	785.88	1498.22	928.3	1191.69	6337.83	2739.08	3146.52	5006.93	1199.98	1277.29
RP11-383H13.1	1.27	79.45	9.34	130.6	7.17	8.58	301.33	316.37	429.54	379.04	30.56	36.27
RUNX2	58.71	182.55	25.72	371.22	30.78	81.71	450.94	387.02	532.74	878.17	123.5	75.11
SDC2	142.01	438.59	223.41	1242.34	244.57	256.78	1551.09	4038.61	4123.49	6079.61	420.68	279.14
SEC23A	256.78	764.36	127.0	825.0	346.29	289.02	1216.75	866.07	1397.83	1529.73	669.92	802.41
SEMA6B	42.11	104.42	100.83	423.61	50.63	38.12	483.38	406.31	454.09	503.95	41.52	115.16
SRGAP2	260.38	540.19	211.31	693.58	194.36	181.28	1051.79	759.08	1059.11	1001.93	633.73	414.87
