	TCGA.OL.A5D6.01A.21R.A27Q.07	TCGA.A8.A084.01A.21R.A00Z.07	TCGA.A8.A09G.01A.21R.A00Z.07	TCGA.AC.A2FG.01A.11R.A17B.07	TCGA.AR.A24Z.01A.11R.A169.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.AR.A1AS.01A.11R.A12P.07	TCGA.AO.A12D.01A.11R.A115.07	TCGA.AO.A0J2.01A.11R.A034.07	TCGA.A7.A0DB.01A.11R.A00Z.07	TCGA.B6.A0WZ.01A.11R.A109.07	TCGA.A7.A0CG.01A.12R.A056.07	TCGA.BH.A0DG.11A.43R.A12P.07	TCGA.BH.A18Q.11A.34R.A12D.07	TCGA.BH.A0B7.11A.34R.A115.07	TCGA.BH.A0DQ.11A.12R.A089.07	GTEX.WYVS.1726.SM.3NMAY	GTEX.ZF2S.2026.SM.5E461	GTEX.131YS.0626.SM.5EGKL	GTEX.12ZZX.1126.SM.5EGKB	GTEX.13PL6.2926.SM.5L3I2	GTEX.ZVT2.1826.SM.5NQ8W	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13NYC.2626.SM.5K7VN
ABCA5	181.28	73.54	212.78	176.29	81.14	293.07	27.84	125.24	226.54	68.07	72.52	162.14	647.07	791.35	860.08	651.58	1340.84	412.0	412.0	733.19	748.61	329.84	0.0	0.73	368.65
ABCA6	69.03	41.22	43.02	153.34	20.11	5.36	7.69	62.12	14.67	98.73	12.83	111.99	323.03	379.04	295.11	201.25	454.09	346.29	454.09	429.54	389.72	65.26	0.0	0.27	72.52
AC004017.1	20.26	0.0	5.45	12.45	0.0	9.41	0.0	0.0	0.0	5.82	5.32	37.05	38.4	11.73	35.0	19.82	74.58	11.3	16.15	16.88	12.93	20.41	0.0	0.0	1.66
AC008948.1	0.69	0.3	1.0	2.58	4.58	0.0	1.43	3.03	3.89	0.0	1.2	0.36	2.81	3.79	5.32	7.4	17.77	28.86	6.67	21.32	4.35	2.41	0.0	0.0	0.0
APLF	31.0	26.28	10.16	39.22	12.45	1.22	9.63	34.26	45.53	11.47	8.0	49.56	95.34	72.52	65.26	54.72	149.12	137.14	78.34	58.3	105.89	28.86	0.0	0.24	30.56
AQP6	0.0	0.0	2.53	0.74	0.37	2.92	0.66	2.89	1.25	3.08	0.0	0.0	11.04	2.66	4.74	2.71	21.94	2.86	14.14	26.86	14.14	2.1	0.0	0.13	1.6
ARHGAP20	10.47	5.77	5.92	23.93	5.15	1.17	3.35	17.13	2.97	15.22	4.78	28.45	126.12	137.14	88.88	49.91	102.25	237.86	98.04	111.99	46.5	18.84	0.0	0.32	12.09
BACH2	14.45	16.39	7.63	27.84	7.4	0.33	4.24	18.29	7.63	17.38	5.73	38.12	111.21	132.44	100.83	68.07	158.79	81.71	84.04	118.43	67.59	34.26	0.0	0.3	71.5
BCAS3	224.97	133.36	348.71	327.56	358.54	163.28	172.65	287.01	139.07	275.28	145.02	260.38	389.72	366.09	376.41	392.44	571.05	525.39	656.11	450.94	563.18	211.31	0.0	0.41	309.83
BMP5	2.76	0.92	1.33	8.85	0.92	0.0	0.28	0.38	0.56	1.75	0.3	6.67	38.4	99.43	40.07	108.14	195.72	204.07	43.32	111.21	220.32	29.27	0.0	0.23	9.93
C11orf63	97.36	15.0	22.59	54.72	32.59	2.68	11.73	65.26	79.45	38.12	95.34	65.26	158.79	185.11	159.9	159.9	381.68	480.04	137.14	212.78	334.46	88.26	0.0	0.27	11.21
CACHD1	47.5	34.51	47.17	170.25	61.68	7.88	31.0	30.56	9.13	65.26	10.79	180.02	470.14	406.31	420.68	336.79	1313.23	769.69	638.15	1111.82	764.36	152.28	0.0	0.37	607.87
CBLN4	54.33	7.17	9.56	46.18	8.78	5.11	4.31	32.82	1.06	5.73	5.19	29.06	17.13	97.36	13.12	25.91	120.1	54.72	37.05	39.5	42.71	23.08	0.0	0.0	7.06
CDC14B	120.94	83.45	78.34	159.9	37.32	8.19	31.67	175.07	134.3	82.87	66.18	177.53	376.41	435.55	279.14	285.03	457.25	351.14	273.37	356.05	223.41	76.17	144.01	72.01	172.65
CLDN11	111.99	33.54	47.84	447.82	43.94	15.8	16.03	57.89	6.16	186.4	16.88	361.04	723.08	1529.73	1088.92	947.83	2682.69	3349.13	1268.46	2303.12	1340.84	287.01	16.88	162.14	63.89
CLIP4	47.5	33.3	40.36	226.54	29.91	1.36	35.5	98.04	19.39	127.89	50.98	171.45	540.19	620.67	457.25	303.44	1175.27	379.04	555.41	1359.57	813.63	190.34	0.0	0.75	764.36
CRISPLD1	70.01	57.08	36.27	567.1	24.28	3.96	11.55	66.65	8.51	132.44	56.68	346.29	1794.29	1151.06	2163.77	1662.49	4066.71	4239.45	1963.57	2956.17	2209.26	651.58	0.0	0.13	132.44
CUBN	5.19	1.35	3.2	6.84	2.01	1.19	1.57	5.63	0.95	4.86	3.56	8.99	20.86	23.76	14.24	10.63	33.78	48.52	26.67	19.39	24.28	4.43	0.0	0.24	4.74
CX3CL1	620.67	115.97	155.5	1936.53	94.01	161.02	43.63	1427.22	1551.09	267.73	125.24	629.35	4903.87	3349.13	8305.36	1870.53	15180.22	2976.74	6607.01	12764.83	6294.04	1883.54	0.0	0.36	208.38
CYP39A1	21.16	5.63	3.79	66.65	1.95	0.87	2.41	17.0	12.09	31.22	2.84	77.79	295.11	185.11	285.03	277.2	954.43	713.11	236.21	954.43	1023.0	134.3	0.0	0.15	29.91
CYR61	4298.64	974.5	307.69	3982.99	454.09	825.0	1529.73	4239.45	1745.2	1857.6	1794.29	4481.23	4123.49	19892.37	9151.82	1806.78	32092.64	3349.13	10808.41	17927.91	15824.9	4010.71	0.0	0.18	2682.69
DIRAS2	0.69	0.3	0.66	3.26	2.46	0.0	1.14	3.41	1.68	1.06	0.0	2.16	16.27	30.78	14.45	17.13	73.03	12.83	26.1	20.11	13.62	5.11	0.0	0.0	7.17
DLGAP2	3.26	0.95	0.0	1.01	0.0	0.27	0.0	0.39	0.0	0.37	0.95	1.11	10.24	6.46	3.11	4.06	15.8	6.57	3.69	5.68	4.24	1.36	0.0	0.0	6.62
DSCAML1	2.23	1.0	0.74	8.45	14.78	0.0	1.85	4.39	2.68	2.25	12.18	2.29	12.45	13.72	14.56	11.47	53.95	21.01	32.13	25.91	40.93	2.73	0.0	0.11	2.25
EFNA5	87.65	48.52	248.0	112.77	130.6	23.25	169.07	536.45	191.67	84.04	89.51	143.01	285.03	269.6	224.97	182.55	842.36	387.02	361.04	638.15	525.39	44.89	0.0	0.41	353.59
EPHA7	1.39	0.92	1.66	7.63	14.03	0.27	0.87	0.0	0.0	1.41	0.3	10.79	64.8	19.53	33.78	16.27	78.89	7.17	18.29	16.39	19.68	1.83	0.0	0.0	7.82
FAM13C	63.89	10.0	63.45	74.58	18.84	4.03	11.13	72.01	9.13	30.78	22.75	101.54	226.54	281.09	194.36	193.01	329.84	454.09	244.57	231.32	450.94	155.5	0.0	0.0	171.45
FAM53C	417.77	312.0	332.14	486.75	353.59	237.86	376.41	379.04	571.05	356.05	215.77	444.72	723.08	703.28	718.08	595.34	1066.48	728.11	525.39	866.07	575.03	470.14	0.0	0.32	327.56
FAS	159.9	138.1	132.44	293.07	171.45	15.56	122.64	299.25	120.1	138.1	141.02	316.37	339.14	825.0	620.67	323.03	1059.11	595.34	518.15	698.41	941.27	301.33	0.0	0.64	463.65
FMO6P	0.0	0.66	0.37	0.36	0.34	0.0	0.0	1.2	2.61	1.11	0.0	0.77	4.06	7.88	6.21	4.82	10.08	2.53	4.35	5.41	10.71	3.72	0.0	0.17	2.18
GEM	486.75	148.09	145.02	1378.57	133.36	35.0	117.6	507.46	234.57	287.01	127.89	1066.48	934.76	1909.85	1073.91	684.02	3540.14	1331.57	1359.57	3168.41	1896.65	341.51	0.0	0.15	460.44
GRIA4	12.93	0.88	6.16	25.91	0.0	0.24	0.55	17.77	0.53	8.99	0.0	44.89	312.0	164.42	307.69	202.66	511.0	59.55	198.47	279.14	156.59	78.89	0.0	0.0	28.45
GRIK5	19.53	12.64	5.02	26.28	5.92	1.77	4.03	21.63	2.76	16.75	8.71	28.65	40.64	70.51	49.56	59.13	119.26	30.56	63.45	97.36	111.99	37.59	0.0	0.41	42.11
GRIN2A	7.69	5.19	8.99	7.17	3.06	0.79	5.45	1.89	3.08	2.12	3.03	14.67	8.51	6.26	9.7	6.41	44.89	13.42	29.91	6.67	13.12	5.45	0.0	0.0	6.57
GRIN2B	0.0	0.27	1.3	0.61	0.0	0.0	0.0	0.0	0.25	0.32	0.0	1.04	2.43	5.5	2.63	2.1	9.93	4.06	3.53	8.19	7.0	1.89	0.0	0.0	0.0
HLF	98.73	1.97	8.25	205.5	5.11	10.39	3.92	117.6	10.88	55.49	20.56	99.43	366.09	733.19	563.18	473.41	1008.9	674.59	1059.11	607.87	1250.98	139.07	0.0	0.13	26.1
HMGCLL1	0.74	0.0	1.71	12.0	2.2	0.0	3.5	1.19	6.52	4.66	9.7	11.38	127.89	72.52	88.88	119.26	228.13	171.45	73.54	480.04	314.17	16.51	0.0	0.04	0.87
IL1RL2	30.12	9.48	5.23	19.25	2.92	7.75	6.26	32.36	25.35	26.67	1.64	14.35	72.01	65.72	82.87	50.98	157.68	177.53	90.77	118.43	90.77	25.35	0.0	0.37	112.77
ITM2C	1111.82	327.56	988.12	884.29	551.56	100.83	327.56	2209.26	1159.07	521.76	316.37	1216.75	1359.57	1378.57	1259.69	1936.53	4450.27	7695.57	2537.92	1733.13	2240.11	1286.18	0.0	0.57	229.72
JRKL	148.09	55.89	107.38	134.3	62.12	23.59	20.86	234.57	39.22	99.43	88.88	173.85	316.37	281.09	334.46	244.57	629.35	363.56	242.88	780.44	583.07	127.89	0.0	0.0	100.13
