	TCGA.BH.A1ET.01A.11R.A137.07	TCGA.B6.A1KI.01A.11R.A14M.07	TCGA.D8.A1JS.01A.11R.A13Q.07	TCGA.EW.A2FR.01A.11R.A21T.07	TCGA.C8.A1HE.01A.11R.A13Q.07	TCGA.D8.A1JH.01A.11R.A13Q.07	TCGA.D8.A1JN.01A.11R.A13Q.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.AC.A6IV.01A.12R.A33J.07	TCGA.A1.A0SQ.01A.21R.A144.07	TCGA.A1.A0SM.01A.11R.A084.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.12WSB.0726.SM.5N9GD
ACKR4	25.17	34.51	5.19	389.72	23.59	118.43	4.35	12.27	42.71	14.03	41.81	0.04	37.59
ADAMTS14	19.68	44.57	2.34	255.0	21.78	130.6	4.58	3.56	46.5	4.17	87.65	0.22	532.74
ADAMTS7	29.27	68.55	14.03	320.8	27.84	98.04	14.14	23.42	130.6	31.67	107.38	0.53	217.27
ADAMTSL2	61.25	253.23	30.56	285.03	122.64	133.36	25.91	84.04	212.78	37.85	236.21	0.72	473.41
AEBP1	4481.23	6207.38	406.31	29531.18	4543.8	11504.21	785.88	1936.53	21026.65	2224.63	15285.81	1.17	20451.65
AL139147.1	3.66	8.38	0.28	14.45	1.31	3.2	0.0	1.14	6.46	1.68	6.41	0.28	4.7
ANGPTL2	651.58	785.88	58.71	2976.74	223.41	848.22	98.04	563.18	1991.0	260.38	1088.92	0.61	679.29
APBA2	8.13	28.86	3.66	301.33	16.63	56.68	5.11	17.38	74.58	6.46	124.37	0.83	90.14
ARSI	32.36	33.06	2.01	226.54	17.77	85.22	0.0	1.95	53.19	6.36	102.97	0.37	55.49
BCAT1	64.34	82.29	13.03	441.64	51.35	127.0	8.71	36.53	117.6	40.07	187.71	1015.93	171.45
BEND6	19.25	17.51	2.2	144.01	7.63	43.02	3.99	6.67	42.71	5.23	50.63	0.22	117.6
BGN	7331.05	13586.57	1769.57	25179.16	6037.61	18950.18	1662.49	3212.66	19618.49	4123.49	21617.82	4704.07	72213.45
BMP1	191.67	400.71	73.54	1583.71	153.34	651.58	43.02	139.07	674.59	105.89	703.28	0.6	1651.0
BMP8A	21.47	71.5	7.75	229.72	16.51	43.63	0.79	5.73	39.22	27.05	39.22	0.43	41.81
BNC2	81.14	36.53	66.18	244.57	33.78	156.59	8.92	20.56	87.65	15.56	98.73	87.03	145.02
C1QTNF5	503.95	1225.22	312.0	3564.78	444.72	1295.13	170.25	603.67	2485.67	426.57	954.43	0.4	2367.9
C2orf66	0.36	1.07	0.0	0.0	1.33	2.86	0.0	0.0	2.18	0.0	1.81	0.27	4.46
CADM1	403.5	178.77	547.75	1044.52	473.41	599.49	75.64	135.24	297.17	108.9	988.12	212.78	748.61
CALHM2	423.61	460.44	389.72	1250.98	607.87	934.76	150.17	638.15	1388.16	511.0	1023.0	0.62	854.13
CAMTA2	791.35	708.18	954.43	743.43	738.29	934.76	450.94	854.13	1081.39	551.56	1088.92	120.94	1233.75
CD70	4.46	4.7	1.07	70.51	9.13	40.93	3.03	4.03	24.46	3.23	68.07	1950.0	57.89
CDC42EP5	75.11	281.09	103.69	1617.0	82.29	228.13	14.78	154.42	1023.0	195.72	255.0	0.69	1304.15
CERCAM	688.78	941.27	198.47	3614.55	1001.93	1295.13	738.29	884.29	1757.34	607.87	1583.71	0.52	3820.7
CERK	269.6	366.09	420.68	417.77	208.38	373.81	182.55	441.64	395.18	96.68	466.88	0.66	651.58
CETP	12.64	43.63	17.9	39.22	7.88	29.7	7.28	7.34	27.05	38.95	32.82	0.0	47.17
CLIP3	127.89	105.15	22.92	249.73	97.36	244.57	53.95	94.01	346.29	76.17	312.0	0.53	669.92
COL10A1	3847.29	2119.22	76.71	28525.2	2287.2	5329.3	190.34	384.34	3982.99	583.07	11584.24	0.0	7857.29
COL11A1	866.07	1331.57	52.82	14561.8	974.5	1794.29	53.95	150.17	2720.15	164.42	5633.22	0.39	15285.81
COL13A1	15.56	80.01	9.2	226.54	14.45	33.78	7.82	9.41	92.7	19.82	105.89	0.23	53.57
COL1A1	26067.14	26800.01	928.3	159145.95	16383.0	64186.29	2335.28	3372.43	60304.42	5041.77	72715.74	10659.59	254974.66
COL5A1	1923.14	2319.15	78.34	10808.41	1268.46	4038.61	503.95	334.46	4095.0	476.71	4937.99	0.89	14765.09
COL5A3	180.02	417.77	47.5	1397.83	95.34	490.14	11.82	115.97	551.56	95.34	764.36	0.93	190.34
COL6A1	5555.65	6337.83	555.41	25005.23	2104.58	11827.67	660.68	2287.2	12244.81	1331.57	13033.07	262.2	12076.21
COL6A2	4010.71	6207.38	802.41	33455.53	2537.92	11504.21	518.15	2271.4	17558.94	2255.7	15392.14	1.53	19082.0
CPT1C	34.51	70.01	53.57	134.3	56.28	100.83	45.85	48.18	172.65	30.78	293.07	0.51	693.58
CSDC2	19.11	12.93	1.99	146.03	21.16	32.36	3.96	1.83	57.49	5.28	42.11	0.66	80.57
CTHRC1	3018.3	1769.57	159.9	12676.65	1277.29	4152.18	287.01	412.0	4704.07	420.68	7695.57	0.15	6652.97
CTSK	3540.14	2645.74	283.05	20881.4	2163.77	6983.79	400.71	974.5	7589.61	928.3	6607.01	0.45	4066.71
