	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.CV.7183.01A.11R.2016.07	TCGA.BA.5557.01A.01R.1514.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.XV7Q.2426.SM.4BRV8	TCGA.EM.A2P3.01A.11R.A206.07	TCGA.DJ.A3VD.01A.11R.A23N.07	TCGA.E8.A242.01A.21R.A16R.07	GTEX.12WSG.2126.SM.5EGJ7	GTEX.1313W.2826.SM.5P9G1
ACTR5	152.28	149.12	164.42	100.13	0.0	0.58	178.77	133.36	109.66	100.83	211.31	327.56
ADAD1	1.46	1.69	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.03	1.62
ADAMTS13	191.67	156.59	2.89	6.52	0.0	0.59	36.79	96.01	69.52	43.63	223.41	208.38
ADPRM	392.44	329.84	94.67	95.34	0.0	0.37	115.97	285.03	260.38	305.55	547.75	599.49
AKR1E2	14.35	50.63	14.24	8.06	0.0	0.71	6.67	13.83	18.97	5.68	66.18	102.97
ALKBH3	444.72	1268.46	603.67	555.41	0.0	0.23	204.07	497.0	435.55	612.11	1605.83	2816.11
ALKBH7	2796.65	3103.19	1051.79	1477.58	0.0	0.48	1030.12	2104.58	1540.37	2075.59	1015.93	4239.45
AMZ2	2287.2	1583.71	1096.5	1015.93	0.0	0.77	785.88	1350.18	1378.57	1331.57	2287.2	2468.49
APIP	457.25	974.5	183.82	258.57	0.0	0.35	226.54	688.78	460.44	511.0	1208.34	1183.45
ASTE1	163.28	223.41	59.13	54.33	0.0	0.0	47.17	119.26	96.01	88.88	126.12	175.07
BEX4	3742.05	1806.78	129.69	253.23	0.0	0.74	172.65	3235.01	2032.85	1844.76	8901.53	6792.79
BRF2	567.1	457.25	154.42	129.69	0.0	0.35	150.17	267.73	208.38	249.73	575.03	1001.93
CACHD1	1467.37	420.68	26.47	31.22	0.0	0.37	61.25	144.01	141.02	129.69	660.68	1259.69
CCT6B	120.1	100.13	26.86	10.47	0.0	0.0	7.06	36.53	47.17	40.93	159.9	41.81
CDC16	1369.04	1477.58	466.88	540.19	0.0	0.72	285.03	1331.57	1225.22	1208.34	1709.26	2682.69
CDKL3	39.5	147.06	23.59	23.08	0.0	0.24	15.45	78.89	68.07	63.0	190.34	204.07
CDPF1	457.25	450.94	66.65	93.35	0.0	0.15	99.43	265.87	205.5	214.27	514.56	616.37
CFDP1	2148.82	2875.3	718.08	941.27	0.0	0.58	1208.34	2032.85	1870.53	1540.37	2997.45	4152.18
CIZ1	2240.11	2645.74	1199.98	1477.58	0.0	0.85	842.36	1781.89	2018.8	1605.83	2875.3	3018.3
CLK3	1529.73	1628.26	909.17	1096.5	0.0	0.66	890.44	1225.22	1529.73	1199.98	1662.49	2032.85
CLNS1A	2796.65	3349.13	2119.22	1806.78	2119.22	507.46	2875.3	2520.38	2255.7	2193.99	3982.99	3901.01
CLU	2729110.67	343510.77	612.11	759.08	0.0	1.25	9740.98	242898.5	419990.32	221968.2	668235.84	59063.35
COLCA1	251.48	271.48	12.27	7.46	0.0	0.18	167.9	325.29	147.06	29.91	674.59	1199.98
COMMD6	8363.13	7803.01	3280.18	2609.3	3303.0	1685.71	4575.41	6745.86	4639.29	5555.65	11827.67	18689.27
COX11	1051.79	1359.57	466.88	277.2	0.0	0.4	273.37	718.08	748.61	567.1	836.53	1233.75
COX7C	26986.43	28132.47	13123.73	12853.63	0.0	1.23	18950.18	22072.07	16269.83	18560.17	29531.18	39785.74
DHRS12	769.69	791.35	198.47	172.65	0.0	0.3	94.67	620.67	466.88	543.96	1216.75	1697.45
DLG2	44.25	13.12	3.96	2.07	0.0	0.27	33.78	22.43	37.32	15.56	109.66	153.34
EIF1B	1662.49	2090.03	551.56	1304.15	0.0	0.2	1044.52	1819.35	1477.58	1561.89	3039.3	2451.44
EIF4A2	12502.12	12676.65	1037.29	1977.24	6983.79	1781.89	3847.29	13306.94	10659.59	9606.86	18178.19	13681.08
