	GTEX.P4QT.0626.SM.3NMCP	TCGA.DD.AAEI.01A.11R.A41C.07	TCGA.DD.A1EE.01A.11R.A131.07	TCGA.DD.A4NS.01A.11R.A311.07	TCGA.XR.A8TD.01A.12R.A39D.07	TCGA.ED.A97K.01A.21R.A38B.07	TCGA.DD.A3A2.01A.11R.A213.07	TCGA.XR.A8TF.01A.11R.A36F.07	TCGA.CG.4477.01A.01R.1157.13	TCGA.IN.8462.01A.11R.2343.13	TCGA.VQ.A8P5.01A.11R.A39E.31
ABCA12	24.99	0.0	0.39	0.42	0.42	47.84	0.0	0.0	8.32	3.66	54.72
ABHD17C	1199.98	67.12	141.02	93.35	104.42	1313.23	104.42	32.36	1104.13	1806.78	2417.67
ACER2	241.19	6.21	87.65	16.39	34.26	198.47	14.03	12.74	193.01	138.1	92.7
ADAM17	329.84	54.72	65.26	130.6	77.25	503.95	45.53	39.5	293.07	212.78	318.57
AGR3	13681.08	0.0	0.0	214.27	6.26	2367.9	0.0	0.0	2468.49	13123.73	7537.18
AK5	4.03	0.64	0.56	12.93	7.17	131.51	1.81	1.85	14.03	33.3	37.32
ALDH3B2	1259.69	0.0	0.0	2.41	1.13	70.51	0.0	0.0	96.68	693.58	101.54
AQP2	24.63	0.0	0.0	1.19	0.0	12.36	0.0	0.0	30.34	10.88	18.29
AQP5	1832.01	2.07	0.0	11.73	1.1	830.75	0.0	0.0	620.67	178.77	1883.54
ARSH	3.99	0.0	0.0	0.38	0.0	4.21	0.0	0.0	0.58	1.06	5.36
ARX	104.42	0.0	0.0	0.42	0.42	22.59	0.0	0.0	2.07	6.26	2.41
ATP6V1C2	1023.0	8.38	12.83	26.47	23.59	563.18	18.7	20.56	85.22	221.86	162.14
BCAS1	1651.0	2.51	4.62	72.52	2.34	624.99	0.0	11.55	341.51	1008.9	316.37
BCL2L15	447.82	0.0	16.63	82.29	21.78	1286.18	13.12	4.82	242.88	392.44	1073.91
C3orf72	0.15	0.0	0.0	0.0	0.0	63.89	0.0	0.0	2.03	2.71	4.74
C6orf222	1936.53	0.0	0.0	3.23	0.44	156.59	0.0	0.0	72.01	159.9	167.9
C9orf169	9279.58	6.26	31.67	78.89	27.44	500.46	41.22	28.65	325.29	4010.71	111.99
C9orf50	1.53	0.0	0.0	3.38	0.47	26.28	0.0	1.66	3.59	6.57	5.32
CABP4	92.05	2.63	5.96	25.17	31.0	264.03	9.85	6.84	17.38	76.71	100.13
CD55	2434.5	38.95	1286.18	476.71	507.46	8658.09	748.61	1639.59	4607.24	6840.04	2193.99
CDC42EP2	255.0	96.68	65.72	185.11	91.41	503.95	29.06	50.98	229.72	493.56	301.33
CDH3	392.44	0.0	0.78	13.83	1.6	497.0	0.0	0.47	633.73	878.17	450.94
CEACAM6	6294.04	0.0	0.0	866.07	9.78	7695.57	0.55	0.0	1561.89	3665.02	1923.14
CLDN18	5383077.38	2.78	1.17	1.28	1.27	277.2	0.0	0.0	3515.68	11992.79	6250.56
COL17A1	2758.13	2.34	0.0	9.7	6.16	595.34	0.95	0.8	417.77	693.58	208.38
CRABP2	7537.18	15.45	11.13	180.02	40.93	1427.22	12.64	10.71	1008.9	4388.98	1015.93
CREG2	29.48	0.59	1.91	2.89	1.73	45.21	0.0	1.31	25.54	57.08	87.65
DAW1	2.29	0.0	0.0	0.0	1.57	11.91	0.0	1.53	43.94	31.22	15.91
DLX3	68.55	0.0	0.77	0.0	0.0	86.43	0.0	0.0	40.07	13.22	11.3
DMRTA2	38.67	0.0	0.0	0.0	0.0	23.76	0.0	0.0	5.11	71.0	2.2
DNAH17	26.86	3.5	4.66	16.15	14.78	111.99	4.78	9.56	25.72	40.64	34.02
ERN2	22380.2	0.0	0.0	163.28	1.55	2209.26	0.0	0.41	447.82	1286.18	2758.13
FAM177B	287.01	0.0	0.0	16.27	0.0	571.05	0.0	0.0	316.37	34.75	118.43
FAM3C	1183.45	476.71	759.08	941.27	848.22	4358.66	836.53	403.5	1447.15	607.87	1721.16
FAM83A	1427.22	2.12	0.0	3.29	3.23	215.77	0.0	2.34	187.71	483.38	40.07
FAM83E	1923.14	0.0	0.0	88.26	10.31	1167.14	2.07	0.49	214.27	1216.75	698.41
FBXO41	45.53	1.83	2.39	19.53	21.16	171.45	4.35	5.87	34.51	59.55	108.9
FGF20	74.06	0.0	0.0	1.25	0.0	42.11	0.56	0.0	1.1	39.5	28.04
FGFBP1	7857.29	0.0	0.0	3.66	3.99	285.03	0.0	0.0	713.11	1721.16	75.11
FOXD1	0.06	0.0	0.0	0.0	0.0	20.11	0.0	0.0	5.82	30.78	12.0
FOXH1	6.84	3.63	3.5	5.87	2.89	80.01	1.68	0.0	3.23	4.35	10.55
FOXL2	1.35	0.0	0.35	0.0	0.0	21.78	0.0	0.38	0.38	1.16	2.86
GALNT3	934.76	1.97	1.71	189.02	18.43	2400.97	13.72	9.06	1143.1	2739.08	890.44
GALNT5	217.27	0.44	0.38	15.68	2.16	476.71	0.0	0.0	122.64	406.31	412.0
GFPT1	320.8	181.28	379.04	314.17	244.57	1427.22	169.07	108.14	738.29	450.94	878.17
GJB5	1447.15	2.61	2.2	3.79	10.47	186.4	8.51	0.0	122.64	305.55	13.93
GPR110	521.76	0.0	32.82	55.89	2.23	607.87	0.55	0.0	147.06	718.08	145.02
GPR87	728.11	0.0	0.0	0.0	0.39	90.14	0.0	0.0	72.52	112.77	1.2
GPRC5A	1819.35	0.0	1.46	49.56	13.62	4450.27	1.57	1.22	2875.3	4639.29	11504.21
GRAMD2	24.81	0.64	0.56	2.71	1.01	61.68	2.86	0.0	47.5	15.91	78.89
HIST2H3PS2	1.85	0.0	0.0	0.0	0.0	58.3	0.0	0.0	10.71	124.37	26.47
HOXC4	158.79	0.0	0.0	0.43	0.43	19.25	0.0	0.0	108.9	102.97	118.43
HS3ST5	0.4	0.0	0.0	0.4	0.0	8.25	0.0	0.0	13.93	39.22	4.9
