	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.KN.8425.01A.11R.2315.07	TCGA.KO.8410.01A.11R.2315.07	TCGA.KN.8423.01A.11R.2315.07	TCGA.B0.4699.01A.01R.1277.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.BR.8678.01A.11R.2402.13	TCGA.D7.A4YY.01A.11R.A251.31
AC003102.1	0.0	2335.28	12943.04	4268.94	733.19	0.0	0.0	5.23	0.34
ACER1	423.61	0.82	182.55	0.38	1.03	0.0	0.13	0.01	0.27
ACR	4.78	4.94	9.34	8.19	2.46	0.0	0.35	3.53	0.61
ADM	4512.4	2796.65	18052.61	5995.9	4903.87	0.0	1.16	323.03	71.5
ANKRD29	99.43	1447.15	1467.37	2119.22	309.83	0.0	0.44	34.75	281.09
ANKRD33B	3.96	50.63	82.87	191.67	21.78	0.0	0.06	2.16	4.24
ANO4	52.82	1407.55	988.12	1397.83	567.1	0.0	0.0	3.03	0.23
AP000322.53	0.0	642.59	2555.58	1015.93	305.55	0.0	0.11	0.0	0.0
AP1B1	2417.67	2997.45	2351.53	3103.19	1295.13	0.0	0.54	759.08	1427.22
ARHGAP6	6.16	961.07	1781.89	563.18	633.73	0.0	0.49	22.26	176.29
ARSJ	183.82	1295.13	3146.52	3039.3	551.56	376.41	82.29	201.25	256.78
ASB11	0.82	100.83	20.86	120.1	57.08	0.0	0.06	1.77	0.0
ATP5G3	10440.2	13681.08	33922.56	14867.79	7331.05	5292.48	642.59	3794.3	7695.57
ATP6AP1	5403.7	9279.58	10659.59	10084.54	5041.77	0.0	0.78	2664.15	2287.2
ATP6V0D2	0.0	20030.74	31870.96	22380.2	4671.57	38.4	139.07	5.23	29.06
ATP6V1B1	0.0	17317.18	32092.64	16157.44	4210.15	0.0	0.3	42.11	1.43
ATP6V1C2	7803.01	4239.45	4512.4	30.12	2061.24	0.0	0.91	147.06	22.92
ATP7A	199.85	521.76	684.02	514.56	339.14	42.71	45.85	67.59	131.51
