	TCGA.BT.A20N.01A.11R.A14Y.07	TCGA.EK.A2PM.01A.11R.A18M.07	TCGA.JY.A6FA.01A.11R.A336.31	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.43.6143.01A.11R.1820.07	TCGA.63.A5MY.01A.11R.A26W.07	TCGA.22.4591.01A.01R.1201.07	TCGA.77.7140.01A.41R.2045.07	TCGA.BR.4257.01A.01R.1131.13	TCGA.VQ.AA6I.01A.11R.A414.31	TCGA.D7.6521.01A.11R.1802.13	TCGA.BR.8588.01A.11R.2402.13	TCGA.CG.4301.01A.01R.1157.13	TCGA.CG.4460.01A.01R.1157.13	TCGA.BR.6564.11A.01R.1884.13	TCGA.BR.6458.11A.01R.1802.13	TCGA.BR.6453.11A.01R.1802.13	TCGA.BR.7715.11A.01R.2055.13	TCGA.CG.5733.11A.01R.1602.13	TCGA.CG.5721.11A.01R.1602.13	TCGA.BR.7717.11A.01R.2055.13
AMER3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.83	4.46	1.79	1.71	0.92	13.83	11.04	10.16	3.11	13.72	11.82	3.03
AMICA1	25.17	6.11	24.81	0.0	0.4	85.82	31.45	129.69	28.45	131.51	155.5	265.87	258.57	198.47	138.1	571.05	343.89	551.56	934.76	400.71	748.61	579.04
ARHGAP10	214.27	141.02	60.82	0.0	0.55	114.36	6.41	117.6	119.26	204.07	175.07	177.53	253.23	232.94	141.02	343.89	271.48	190.34	287.01	223.41	211.31	356.05
C19orf77	0.0	20.26	0.0	0.0	0.0	4.9	33.06	9.34	4.7	909.17	1794.29	30785.28	3443.31	5791.62	2018.8	40621.74	15607.02	32767.0	9540.5	26614.89	9606.86	7485.11
C6orf222	0.0	0.0	0.0	0.0	0.13	4.17	0.42	2.63	0.0	46.5	178.77	327.56	323.03	363.56	31.9	343.89	147.06	197.09	177.53	170.25	159.9	100.83
CCR7	5.59	0.59	12.64	0.0	0.25	24.28	10.71	37.32	13.32	32.13	28.24	229.72	138.1	78.34	25.35	115.97	158.79	187.71	860.08	202.66	100.13	587.13
CD2	14.56	7.88	21.32	0.0	0.27	57.08	7.69	107.38	52.08	356.05	256.78	579.04	435.55	351.14	194.36	571.05	532.74	368.65	1340.84	642.59	607.87	928.3
CD40LG	0.61	0.19	1.23	0.0	0.11	2.41	0.4	9.34	1.41	11.55	34.26	38.12	28.04	39.5	6.94	81.71	40.64	70.01	130.6	63.45	50.98	109.66
CLEC9A	0.61	0.0	0.07	0.0	0.02	0.87	0.85	6.78	0.34	2.78	1.3	8.65	5.19	8.85	4.54	15.34	10.16	12.83	37.32	25.35	8.38	40.64
CLNK	0.0	0.0	0.02	0.0	0.03	2.01	0.88	1.45	0.66	5.87	2.63	4.58	9.63	6.52	1.48	7.57	10.47	10.96	29.91	20.56	10.47	19.82
CSRNP1	84.04	59.55	72.01	325.29	148.09	301.33	52.82	182.55	105.15	295.11	417.77	384.34	733.19	559.28	223.41	2351.53	1104.13	1508.65	954.43	329.84	214.27	2502.97
ESRRB	0.61	0.39	0.0	0.0	0.14	0.75	0.44	0.75	0.0	1.99	12.74	56.68	48.18	59.97	42.71	4.74	269.6	19.82	339.14	102.25	384.34	97.36
EXOC3L4	11.91	1.07	9.27	0.0	0.54	17.51	2.89	1.75	9.27	19.25	100.83	87.65	151.22	241.19	43.63	277.2	258.57	194.36	356.05	220.32	154.42	312.0
FAM135B	0.0	0.0	0.0	0.0	0.0	0.26	0.0	0.0	0.0	1.07	1.38	3.5	2.03	3.03	1.2	35.76	15.11	16.27	2.27	9.56	8.78	5.36
FBXW5	1111.82	1617.0	1477.58	0.0	0.97	860.08	587.13	1127.35	1242.34	1594.73	1674.06	2193.99	2303.12	1096.5	1313.23	3212.66	2520.38	2485.67	2777.33	2400.97	2319.15	2104.58
HLA-DMA	432.53	123.5	353.59	0.0	0.74	723.08	145.02	1304.15	426.57	2193.99	1304.15	2976.74	1540.37	2119.22	2133.97	4095.0	3018.3	3614.55	6250.56	4575.41	4419.52	6164.49
HSH2D	25.72	1.22	4.62	0.0	0.58	51.71	28.65	54.33	23.08	87.03	223.41	339.14	429.54	277.2	314.17	1167.14	785.88	748.61	2997.45	1685.71	743.43	2004.85
KDM6B	178.77	117.6	249.73	149.12	73.03	189.02	209.84	120.1	156.59	260.38	547.75	389.72	500.46	299.25	255.0	1030.12	426.57	703.28	265.87	293.07	206.94	269.6
LIPF	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.85	0.0	325.29	299043.36	1229805.58	1131651.83	4136558.78	405683.88	561916.97	3268052.11	746611.43	1645391.11	1299926.74	3806410.22	2884719.27
NFKBID	77.25	80.01	66.65	0.0	0.46	63.89	69.03	103.69	18.97	70.51	96.68	100.83	177.53	139.07	198.47	211.31	98.73	239.52	583.07	269.6	176.29	339.14
P2RY13	1.53	0.16	3.56	0.0	0.04	14.45	4.86	21.94	4.24	32.13	28.65	58.3	40.07	47.5	40.36	59.13	47.84	59.97	163.28	65.72	65.26	90.77
PHF11	307.69	371.22	400.71	0.0	0.83	438.59	327.56	444.72	165.57	688.78	518.15	555.41	1397.83	1104.13	896.64	909.17	769.69	915.51	1583.71	884.29	928.3	1388.16
PRDM1	92.7	102.97	67.59	87.03	412.0	115.97	171.45	81.14	175.07	409.15	180.02	249.73	223.41	426.57	195.72	503.95	547.75	435.55	620.67	629.35	525.39	493.56
PRKCQ	13.32	0.83	3.79	0.0	0.18	38.95	6.84	11.04	4.62	16.39	19.39	34.75	26.1	33.3	10.55	51.35	49.91	35.76	70.01	41.52	26.47	64.34
PSMB10	1151.06	890.44	647.07	0.0	0.62	1369.04	693.58	988.12	1088.92	1340.84	3564.78	1769.57	1909.85	825.0	669.92	2997.45	1721.16	3039.3	2796.65	3103.19	3955.48	3515.68
PYHIN1	2.43	0.75	3.99	0.0	0.22	13.32	1.57	20.41	4.7	38.12	39.5	59.55	74.58	51.71	31.22	65.72	65.26	67.12	248.0	80.57	73.54	176.29
SELPLG	35.25	16.03	49.21	0.0	0.34	147.06	47.84	119.26	84.04	336.79	195.72	595.34	387.02	339.14	157.68	532.74	463.65	361.04	866.07	591.22	497.0	698.41
SIGLEC6	0.64	0.47	2.03	0.0	0.0	3.23	0.27	2.97	1.81	3.69	10.31	33.54	20.11	28.65	4.43	117.6	61.25	57.89	101.54	78.34	46.5	74.58
SLAMF1	2.16	0.93	4.82	0.0	0.21	12.64	3.06	15.68	4.43	25.91	30.34	58.3	46.84	27.44	21.16	111.21	98.04	115.16	271.48	149.12	103.69	239.52
SMAP2	490.14	295.11	406.31	0.0	0.42	587.13	414.87	543.96	368.65	647.07	660.68	967.76	890.44	651.58	713.11	1015.93	1757.34	1001.93	2537.92	1437.15	1135.2	2537.92
TESPA1	2.16	1.39	3.59	0.0	0.22	13.93	5.41	13.72	4.66	17.51	27.64	70.51	58.3	63.45	16.51	110.43	78.89	73.03	258.57	110.43	95.34	202.66
TJP3	111.21	77.79	33.3	0.0	0.44	19.11	98.04	173.85	85.22	429.54	1159.07	2209.26	1250.98	1191.69	307.69	2895.31	3614.55	3768.09	2384.37	5147.73	4639.29	1191.69
