	TCGA.CV.A6JO.01B.11R.A34R.07	TCGA.UF.A7JV.01A.11R.A34R.07	TCGA.A3.A6NL.01A.11R.A33J.07	TCGA.BP.4983.01A.01R.1334.07	TCGA.B0.4845.01A.01R.1277.07	TCGA.CW.5583.01A.02R.1541.07	TCGA.B0.4706.01A.01R.1503.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.43.6771.01A.11R.1820.07	TCGA.BR.6458.11A.01R.1802.13	TCGA.CG.5721.11A.01R.1602.13
AC006449.1	96.68	214.27	563.18	409.15	633.73	753.83	293.07	0.0	0.48	283.05	0.0	497.0
ACADL	0.71	1.53	551.56	18.84	1119.56	941.27	674.59	0.0	0.1	0.87	85.22	60.82
AL589739.1	0.0	2.12	14.78	9.06	2.16	18.56	20.11	0.0	0.13	0.0	0.0	0.0
ANKRD42	53.57	81.14	231.32	75.11	217.27	323.03	178.77	0.0	0.39	59.13	141.02	80.01
AQR	332.14	291.04	339.14	262.2	493.56	358.54	412.0	0.0	0.55	307.69	395.18	366.09
ARMCX5	77.79	84.63	159.9	145.02	175.07	195.72	138.1	0.0	0.32	137.14	239.52	163.28
AS3MT	0.0	25.17	285.03	38.95	358.54	251.48	215.77	89.51	146.03	85.22	29.48	60.39
ASB9	25.17	17.9	198.47	39.79	214.27	163.28	75.11	0.0	0.12	21.78	49.21	73.54
BCL2L2-PABPN1	438.59	180.02	241.19	40.64	351.14	256.78	201.25	0.0	0.27	218.79	133.36	371.22
C11orf71	63.0	29.27	185.11	9.93	172.65	55.49	151.22	0.0	0.32	19.25	31.22	88.88
C14orf180	0.0	0.47	17.51	0.0	76.71	49.21	31.9	0.0	0.0	0.0	14.03	3.79
C16orf86	12.27	24.63	156.59	33.06	149.12	76.71	117.6	0.0	0.31	13.72	23.25	49.21
C6orf57	130.6	141.02	236.21	134.3	373.81	244.57	236.21	0.0	0.14	99.43	209.84	163.28
C9orf72	76.17	108.14	178.77	120.94	148.09	209.84	185.11	0.0	0.61	165.57	183.82	117.6
CAPS2	24.28	18.7	95.34	66.18	105.15	92.05	85.82	0.0	0.1	10.88	77.25	90.77
CCDC148	2.46	5.06	50.98	38.12	51.35	76.17	39.22	0.0	0.0	5.68	4.7	13.93
CCDC28A	215.77	264.03	915.51	412.0	718.08	967.76	1008.9	0.0	0.18	223.41	642.59	480.04
CCDC65	2.66	13.72	54.33	24.99	26.86	27.84	50.98	0.0	0.0	8.32	13.12	18.03
CDH16	49.21	16.03	1397.83	211.31	4298.64	4869.99	2451.44	0.0	0.0	10.16	0.32	0.0
CENPV	32.36	18.84	246.28	53.95	336.79	435.55	336.79	0.0	0.88	35.5	1427.22	1594.73
CES3	17.64	39.22	909.17	23.08	4239.45	819.3	2061.24	0.0	0.03	7.34	293.07	237.86
CLUAP1	127.89	269.6	450.94	395.18	559.28	651.58	466.88	429.54	255.0	202.66	305.55	153.34
COLCA1	4.62	14.35	94.01	2.41	244.57	289.02	255.0	0.0	0.18	8.71	775.05	1208.34
COQ6	363.56	409.15	651.58	444.72	1250.98	583.07	1023.0	0.0	0.14	547.75	466.88	400.71
COQ7	155.5	271.48	460.44	400.71	400.71	532.74	379.04	0.0	0.26	171.45	299.25	241.19
COX11	389.72	426.57	902.89	521.76	1242.34	1191.69	796.86	0.0	0.4	327.56	684.02	583.07
CTDSP1	988.12	1540.37	4066.71	2417.67	3372.43	4450.27	4512.4	0.0	0.47	1733.13	3564.78	3168.41
CYB5RL	14.24	52.08	57.49	30.12	79.45	73.03	70.51	0.0	0.0	26.67	108.14	58.71
DMTN	289.02	164.42	1639.59	791.35	1208.34	2417.67	1242.34	0.0	0.57	53.57	915.51	1044.52
DNM1	19.39	105.89	351.14	119.26	275.28	470.14	579.04	0.0	0.58	231.32	69.52	46.18
EML5	25.72	20.26	49.56	23.93	94.01	69.52	48.18	0.0	0.16	12.18	33.54	29.7
EVA1C	183.82	329.84	607.87	45.53	1066.48	753.83	708.18	0.0	0.78	336.79	403.5	329.84
FBXW12	0.77	0.4	1.43	0.0	2.94	0.72	0.77	0.0	0.05	0.44	1.45	0.0
FCGRT	921.88	974.5	7280.4	2915.45	7032.37	5872.48	5555.65	0.0	0.95	890.44	4769.75	3901.01
FXYD2	46.84	104.42	30572.63	1721.16	49666.0	33922.56	30361.44	0.0	0.32	0.0	8.38	98.04
GALNT14	167.9	525.39	5403.7	2609.3	5872.48	5329.3	5517.27	0.0	0.72	15.22	17.25	21.32
GPANK1	406.31	214.27	595.34	348.71	532.74	718.08	612.11	0.0	0.55	241.19	420.68	441.64
HAAO	15.91	45.85	1781.89	974.5	1745.2	1572.76	1991.0	0.0	0.35	31.67	229.72	334.46
HEXIM1	363.56	460.44	376.41	371.22	567.1	511.0	575.03	339.14	318.57	366.09	289.02	273.37
HIST1H2BN	22.92	1.28	43.32	38.12	43.94	55.1	46.5	0.0	0.33	22.1	45.21	63.0
HKR1	132.44	305.55	708.18	387.02	836.53	703.28	743.43	0.0	0.88	214.27	444.72	336.79
HOXC10	58.3	132.44	1628.26	70.51	1427.22	1685.71	1551.09	0.0	0.4	0.87	4.43	0.0
HPCAL1	493.56	432.53	3820.7	3665.02	8305.36	5441.3	6887.62	0.0	0.67	656.11	3168.41	3372.43
IQCD	5.87	11.47	43.32	17.51	36.27	35.76	44.57	0.0	0.0	13.42	9.34	4.17
IRX3	353.59	271.48	1733.13	389.72	2209.26	2609.3	3515.68	0.0	0.03	373.81	629.35	896.64
L3MBTL2	356.05	320.8	432.53	358.54	503.95	460.44	463.65	0.0	0.04	264.03	457.25	366.09
