	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.IG.A50L.01A.11R.A260.31	TCGA.L5.A88W.01A.11R.A354.31	TCGA.LN.A4A2.01A.31R.A260.31	TCGA.IG.A4P3.01A.11R.A260.31	TCGA.LN.A5U7.01A.11R.A31P.31.1	TCGA.VR.A8Q7.01A.11R.A37I.31	TCGA.LN.A9FO.01A.11R.A38D.31	TCGA.38.4625.01A.01R.1206.07	TCGA.VQ.A8P5.01A.11R.A39E.31	TCGA.BR.8296.01A.11R.2343.13
AC005477.1	0.0	1.45	0.0	0.0	1.58	0.18	1.57	3.96	0.0	5.41	3.53
AC016745.1	0.0	3.23	0.0	1.23	10.0	0.47	5.54	20.11	0.0	14.67	21.78
ACSM4	0.0	1.43	0.0	0.39	3.35	0.0	2.92	5.82	0.0	8.38	6.46
AGXT2	1.01	1.95	0.0	0.85	3.63	0.0	9.48	11.64	0.0	4.46	16.03
AL353608.1	0.0	3.23	0.0	1.23	10.0	0.47	5.54	20.11	0.0	14.67	21.78
ANGPTL5	0.0	3.47	0.0	0.0	5.28	0.0	3.59	55.49	0.0	2.18	2.03
ASZ1	0.0	0.3	0.0	0.0	0.0	0.0	0.0	1.79	0.0	0.66	1.04
BRS3	0.0	0.58	0.0	0.37	0.84	0.0	1.33	3.79	0.0	3.29	3.56
C15orf43	0.0	0.79	0.0	0.48	1.64	0.0	2.92	6.73	0.0	2.34	8.65
CCDC27	0.0	0.72	0.0	0.21	0.24	0.0	1.48	4.21	0.0	1.69	3.59
CCL16	0.91	7.4	0.0	0.0	7.17	0.0	9.56	26.47	0.0	3.79	8.32
CCT8L2	0.0	1.45	0.0	0.45	3.41	0.0	5.36	14.14	0.0	4.54	7.88
CLEC19A	0.0	0.66	0.0	0.16	0.0	0.0	0.75	2.73	0.0	4.7	4.03
CLRN1	0.0	2.23	0.0	0.0	2.27	0.0	1.95	5.5	0.0	6.21	3.41
CNTN2	1.36	16.03	0.43	1.23	8.85	0.8	7.63	63.45	0.0	23.08	36.79
COL20A1	2.03	4.24	0.0	0.0	0.83	0.0	2.81	29.27	0.0	11.73	3.17
CRYGB	0.0	0.85	0.0	0.42	0.62	0.0	1.23	4.35	0.0	2.39	4.35
CTAGE1	0.0	1.01	0.28	0.27	1.11	0.27	2.48	3.5	0.0	6.31	3.38
DEFB118	0.0	1.33	0.0	0.87	3.76	0.0	6.62	23.25	0.0	4.62	12.36
DEFB127	0.0	0.69	0.0	0.0	1.28	0.0	2.56	5.41	0.0	4.86	1.62
EFCAB3	0.0	1.58	0.62	0.0	2.32	0.0	5.45	34.75	0.0	2.05	3.66
EVX1	4.17	3.17	0.0	1.13	1.16	0.0	2.41	6.73	0.0	10.0	4.28
FAM186A	0.88	1.2	0.0	1.79	4.9	0.64	12.83	28.04	0.0	14.78	24.99
FAM71C	0.0	0.6	0.0	0.29	4.9	0.0	5.41	15.8	0.0	5.63	10.0
FBXW12	2.16	11.04	0.8	2.32	7.4	1.27	9.63	46.84	0.0	5.41	17.25
FGF23	0.0	1.35	0.0	0.53	3.17	0.0	2.86	7.17	0.0	3.35	10.08
FNDC7	0.0	1.68	0.0	0.51	2.29	0.49	1.71	6.73	0.0	2.94	2.76
GALNTL5	2.66	2.2	0.0	0.47	5.02	0.0	4.74	15.68	0.0	2.97	28.24
GJA8	0.0	0.72	0.0	0.52	0.78	0.0	1.81	4.24	0.0	1.89	4.86
GOLGA6A	1.5	4.94	1.1	3.86	15.0	1.07	7.4	51.71	0.0	28.24	40.93
GPX5	0.0	0.85	0.0	0.3	2.32	0.0	3.92	4.21	0.0	2.2	3.96
GRIN2B	1.08	0.1	0.0	0.0	0.3	0.0	0.56	1.62	0.0	3.56	1.89
HSFY1	0.0	4.62	0.0	1.2	2.46	0.0	6.21	30.78	0.0	0.48	0.0
IL12A	22.26	36.53	3.69	3.56	38.67	8.78	28.04	121.79	0.0	9.48	15.56
KIF2B	0.0	2.84	0.0	0.87	5.41	0.0	6.46	19.11	0.0	2.71	12.93
LENEP	2.48	4.39	0.34	3.82	9.41	1.43	14.03	36.27	0.0	15.11	21.63
LRRC10	0.0	0.3	0.0	0.0	0.54	0.0	4.86	7.46	0.0	3.76	6.84
MAS1L	0.0	5.36	0.0	0.0	0.0	0.0	3.79	7.94	0.0	6.52	1.99
MC2R	0.0	0.26	0.0	0.0	0.06	0.0	1.99	2.46	0.0	4.78	5.5
MCCD1	0.0	0.37	0.0	0.13	0.41	0.0	0.6	4.86	0.0	3.82	3.86
MOGAT3	0.0	3.96	0.0	2.36	3.53	0.0	4.58	11.55	0.0	5.77	17.13
NPIPB6	2.07	27.44	3.76	6.41	35.0	8.13	22.75	50.27	0.0	205.5	11.38
OPRM1	0.0	1.23	0.0	0.0	5.5	0.0	7.06	15.68	0.0	10.16	11.82
OR10A5	0.73	1.75	0.0	0.26	3.29	0.0	2.66	4.03	0.0	4.24	6.16
OR10G3	0.0	0.67	0.0	0.49	3.86	0.0	2.94	10.47	0.0	1.45	14.67
OR10J3	0.0	1.36	0.0	0.39	4.58	0.0	3.23	7.0	0.0	0.0	6.31
OR10J5	0.0	0.73	0.0	0.24	2.53	0.0	2.84	8.45	0.0	4.94	7.06
OR10K2	0.0	1.73	0.0	0.75	2.41	0.0	2.97	5.5	0.0	5.5	8.71
OR10P1	0.0	0.47	0.0	0.27	1.1	0.0	2.05	5.45	0.0	4.7	8.58
OR10W1	0.0	2.63	0.0	0.33	3.96	0.0	3.53	8.13	0.0	4.1	5.41
OR12D3	0.0	0.54	0.0	0.4	3.5	0.25	2.14	5.5	0.0	2.92	9.34
OR13D1	0.0	1.2	0.0	0.58	5.41	0.35	4.13	8.38	0.0	6.62	16.39
OR1A1	0.0	0.69	0.0	0.29	2.01	0.0	3.56	8.78	0.0	1.81	5.96
OR1A2	0.0	1.48	0.0	0.0	2.66	0.0	5.82	7.34	0.0	3.59	6.52
OR1E2	0.0	0.58	0.0	0.0	1.99	0.0	12.93	10.79	0.0	5.96	7.22
OR2C3	0.0	0.3	0.0	0.0	0.57	0.0	1.46	2.73	0.0	3.35	2.48
OR2G2	0.0	2.1	0.0	0.31	4.58	0.0	3.11	15.91	0.0	2.81	3.79
OR2G6	0.0	0.83	0.0	0.48	2.48	0.0	4.13	7.22	0.0	4.9	5.77
OR2H1	0.0	1.97	0.0	0.91	3.86	0.0	6.62	12.18	0.0	7.4	8.0
OR4C5	0.0	1.11	0.0	0.39	2.92	0.0	2.94	5.02	0.0	4.13	10.47
OR4D11	0.0	0.99	0.0	0.0	1.85	0.0	4.5	8.92	0.0	6.26	11.64
OR4D5	0.0	0.8	0.0	0.64	3.89	0.0	3.06	5.96	0.0	3.03	10.88
OR4K5	0.0	1.46	0.0	0.53	6.26	0.0	2.32	7.51	0.0	2.94	7.34
OR51I2	0.0	0.83	0.0	0.0	3.63	0.0	2.68	5.11	0.0	5.45	4.86
OR52A1	0.0	0.6	0.0	0.0	2.2	0.0	2.39	3.11	0.0	5.45	6.89
OR52A5	0.0	0.53	0.0	0.0	1.1	0.0	1.87	1.83	0.0	4.24	0.66
OR52B2	0.0	1.41	0.0	0.0	4.7	0.0	4.5	8.45	0.0	4.58	13.22
OR52E2	0.0	0.43	0.0	0.0	0.47	0.0	0.6	1.73	0.0	2.76	1.58
OR5A1	0.0	2.1	0.0	0.56	3.2	0.32	3.76	6.57	0.0	7.11	8.71
OR5AC2	0.0	1.71	0.0	0.0	4.66	0.0	2.61	5.5	0.0	4.28	12.83
OR5AP2	0.0	1.45	0.0	0.24	3.79	0.0	5.15	7.0	0.0	2.1	8.78
OR5AS1	0.0	0.57	0.0	0.28	1.25	0.0	0.88	9.48	0.0	8.25	0.0
OR5B12	0.0	2.66	0.0	1.0	7.46	0.0	5.36	17.9	0.0	5.73	6.21
OR5J2	0.0	1.2	0.0	0.27	4.62	0.0	2.97	5.23	0.0	4.9	7.22
OR5M8	0.0	0.77	0.0	0.0	3.41	0.0	0.44	1.53	0.0	4.7	1.31
OR5T3	0.0	0.66	0.0	0.27	2.68	0.0	1.83	4.31	0.0	4.39	13.52
OR6C65	0.0	0.97	0.0	0.27	2.78	0.0	2.56	5.92	0.0	1.46	4.06
OR7G3	0.0	0.62	0.0	0.28	1.83	0.0	2.05	8.78	0.0	4.17	13.83
OR8D4	0.0	0.49	0.0	0.16	0.55	0.0	2.76	5.28	0.0	6.01	4.46
OR8K5	0.0	1.45	0.25	0.24	3.82	0.0	1.58	3.96	0.0	3.63	5.87
OR9Q1	0.0	1.41	0.0	0.64	2.2	0.0	3.92	4.7	0.0	3.86	7.57
PNLIPRP1	6.52	60.39	0.0	17.13	102.25	0.0	127.0	796.86	0.0	21.32	47.5
PPEF2	0.01	4.13	0.0	1.19	7.28	0.0	9.27	73.03	0.0	14.89	23.42
PRAMEF19	0.0	1.41	0.0	0.53	2.23	0.0	2.51	10.39	0.0	2.68	8.99
RADIL	1.57	151.22	6.01	47.17	57.89	12.0	21.63	77.25	0.0	27.05	12.83
RAG2	4.13	13.52	0.83	0.0	35.25	1.81	9.63	41.52	0.0	4.82	23.08
RBFOX3	0.49	48.87	6.89	11.3	85.22	13.52	44.89	181.28	0.0	24.11	14.45
RD3	0.0	9.63	1.38	1.33	5.41	1.3	1.36	44.89	0.0	11.13	8.51
RGR	0.0	7.94	0.0	4.24	8.92	2.03	21.94	156.59	0.0	20.41	19.11
RP11-113D6.10	0.0	0.82	0.0	0.2	2.01	0.0	2.78	5.54	0.0	5.41	10.47
RP11-382J12.1	2.97	5.63	0.29	3.79	13.62	0.71	20.26	41.52	0.0	28.65	33.3
RP11-410N8.4	0.0	0.77	0.0	0.0	0.0	0.0	0.0	4.1	0.0	3.79	10.08
RP11-455G16.1	0.85	2.86	0.0	0.28	4.31	0.28	2.97	9.48	0.0	6.06	5.19
RP11-770J1.4	0.0	3.2	0.6	1.07	2.97	0.58	17.9	45.85	0.0	3.92	14.45
S100A2	3.15251512E7	375901.76	1679964.3	373305.21	138544.47	253213.41	34876.28	101420.22	0.0	198.47	51.35
SHISA9	0.0	65.72	1.62	2.07	13.72	1.08	9.63	27.44	0.0	12.0	11.3
SLC13A1	0.0	0.95	0.0	0.0	1.85	0.29	1.73	5.23	0.0	1.89	4.35
SLC17A1	0.0	0.39	0.0	0.0	0.42	0.0	0.39	1.16	0.0	2.12	0.38
SLC22A10	0.0	4.31	0.0	0.0	23.42	0.0	33.78	85.82	0.0	6.84	12.64
SLC25A31	0.0	2.86	0.0	1.16	10.16	0.0	4.28	20.11	0.0	1.77	11.3
SMIM9	0.0	3.86	0.0	0.69	2.43	0.0	0.0	149.12	0.0	8.0	6.06
SPAG11A	0.0	3.63	0.0	2.16	5.19	0.0	4.24	29.27	0.0	6.16	5.45
SUN5	0.0	3.69	0.0	1.51	0.0	0.0	2.1	28.86	0.0	0.68	3.86
SYCP1	0.0	4.28	0.0	0.0	3.76	0.0	20.11	63.0	0.0	5.96	4.39
TAAR5	0.0	1.2	0.0	0.27	2.2	0.0	2.41	5.5	0.0	3.92	12.45
TAF1L	0.0	0.49	0.0	0.3	0.92	0.0	1.31	2.71	0.0	2.05	3.92
TAS2R39	0.0	0.57	0.0	0.0	1.91	0.0	3.23	5.92	0.0	4.74	5.92
TAS2R9	0.0	1.04	0.0	0.0	3.47	0.0	1.48	8.99	0.0	5.15	0.0
