	TCGA.XF.A8HC.01A.11R.A36F.07	TCGA.55.6986.11A.01R.1949.07	TCGA.44.3396.11A.01R.1758.07	GTEX.ZT9X.0326.SM.51MTE	GTEX.144GM.0126.SM.5Q5AX	GTEX.XBED.0826.SM.47JYC	TCGA.22.5472.01A.01R.1635.07	TCGA.22.5481.11A.01R.1949.07	TCGA.VN.A943.01A.11R.A41O.07	TCGA.EJ.A7NG.01A.31R.A33R.07	TCGA.G9.6371.01A.11R.1789.07	TCGA.HC.8256.01A.11R.2263.07	TCGA.HC.A76W.01A.11R.A33R.07
AC008964.1	3.08	164.42	223.41	1651.0	1175.27	420.68	175.07	231.32	4.62	43.02	24.28	40.64	43.32
AC079210.1	2.41	43.32	24.28	127.0	201.25	123.5	6.89	32.59	2.81	3.14	1.2	3.92	5.63
ACP5	525.39	4066.71	10014.87	11909.94	2915.45	21026.65	2855.44	8191.0	39.22	860.08	215.77	409.15	612.11
ADAP2	45.85	183.82	253.23	1721.16	638.15	616.37	189.02	231.32	16.15	48.52	30.12	22.26	98.73
AGRP	1.19	32.59	102.97	4736.79	34.75	151.22	20.26	131.51	0.0	0.0	0.0	1.2	7.34
AIF1	54.72	1936.53	3190.46	46019.85	17317.18	7911.95	1909.85	2502.97	31.0	651.58	190.34	307.69	848.22
ALOX5	447.82	1639.59	3665.02	4543.8	15180.22	5913.33	796.86	2739.08	86.43	258.57	107.38	149.12	267.73
ALOX5AP	12.0	2816.11	8247.98	59887.86	68318.04	26431.04	1191.69	7280.4	24.11	256.78	116.78	67.59	397.93
ATP10A	2.46	226.54	314.17	529.06	63.45	173.85	48.52	293.07	24.81	71.0	57.08	47.17	66.65
ATP6V0D1	1331.57	3146.52	3847.29	12502.12	5594.3	7589.61	3515.68	4419.52	2645.74	2758.13	2400.97	2319.15	2163.77
ATP6V1B2	409.15	1757.34	2520.38	6840.04	3614.55	4328.55	1685.71	2335.28	988.12	921.88	708.18	753.83	947.83
AZU1	1.51	116.78	44.57	22.75	106.63	26.86	17.13	53.19	0.0	3.2	3.08	1.19	8.71
C11orf45	0.0	39.5	61.25	143.01	29.06	232.94	75.64	42.11	0.51	28.04	6.78	12.45	46.84
C19orf59	2.73	974.5	3443.31	40341.14	29531.18	3690.52	297.17	2502.97	0.0	4.06	0.56	2.2	8.51
C1QA	138.1	8305.36	19618.49	17317.18	12853.63	55877.28	5479.15	16611.71	71.5	1127.35	703.28	753.83	1794.29
C1QB	107.38	10440.2	25887.07	48643.87	23986.58	93974.69	7537.18	15824.9	89.51	1378.57	718.08	921.88	2018.8
C1QC	78.34	5183.54	12502.12	38430.46	11992.79	47313.67	4736.79	6792.79	55.49	1159.07	571.05	674.59	1794.29
C1orf162	25.91	1295.13	2997.45	18431.96	2720.15	7911.95	748.61	2997.45	18.43	117.6	55.89	64.8	199.85
C3AR1	2.51	392.44	896.64	3060.45	2502.97	2367.9	209.84	299.25	6.06	72.52	37.05	46.18	156.59
C5AR1	17.0	995.0	1977.24	2537.92	2573.36	2645.74	381.68	1051.79	17.13	110.43	29.7	27.84	262.2
CCL13	9.06	88.26	211.31	2004.85	2645.74	693.58	543.96	195.72	0.0	1.68	1.23	2.76	31.0
