	TCGA.XF.A9SJ.01A.11R.A39I.07	TCGA.R3.A69X.01A.22R.A30C.07	TCGA.UY.A8OC.01A.11R.A36F.07	TCGA.DK.A3IQ.01A.31R.A32Y.07	TCGA.DD.AAD1.01A.11R.A41C.07	TCGA.BD.A2L6.11A.21R.A213.07	TCGA.BC.A10Z.11A.11R.A131.07	GTEX.147JS.1126.SM.5RQIW	GTEX.QEG4.1826.SM.4R1JN	GTEX.QESD.2026.SM.447BI	GTEX.14DAQ.1726.SM.5S2R2	GTEX.13112.1426.SM.5EGH8	GTEX.13VXU.0926.SM.5IFFH	TCGA.38.4625.01A.01R.1206.07.1
A1CF	0.0	0.0	0.0	0.0	995.0	884.29	1407.55	3212.66	4836.35	3060.45	1896.65	4010.71	3564.78	0.0
ABCA6	29.06	197.09	20.11	149.12	295.11	1030.12	1059.11	2351.53	2664.15	1806.78	2777.33	3874.05	1794.29	0.27
ABCC6	4.78	6.11	4.9	11.13	1066.48	1498.22	1096.5	2555.58	5555.65	4903.87	2720.15	3955.48	4419.52	0.26
ABCG8	0.3	0.0	0.0	0.0	825.0	642.59	457.25	842.36	3419.52	1844.76	5479.15	3491.39	733.19	0.0
ACAA1	1175.27	3018.3	884.29	1304.15	2956.17	7433.4	10368.08	18819.27	10368.08	21617.82	22850.48	26067.14	22072.07	0.89
ACADSB	55.49	420.68	29.7	106.63	603.67	2468.49	3060.45	5255.91	13492.72	9215.48	10585.95	8134.41	9474.59	0.33
ACBD4	708.18	368.65	89.51	215.77	718.08	1030.12	1313.23	2178.83	1832.01	2335.28	2664.15	2502.97	3419.52	0.48
ACOT12	0.0	0.3	0.0	1.69	299.25	1572.76	928.3	2255.7	703.28	1950.0	2209.26	7130.55	2915.45	0.08
ACOX2	32.59	61.25	38.67	181.28	954.43	4607.24	4543.8	8778.97	10585.95	19892.37	13872.08	21919.61	20030.74	0.45
ACSL1	480.04	2351.53	236.21	2555.58	8778.97	9215.48	11745.96	25005.23	26986.43	8363.13	34635.37	18560.17	15499.21	0.31
ACSM2A	0.0	0.0	0.99	0.0	3614.55	5672.41	4123.49	15180.22	12676.65	8134.41	34158.52	37121.34	38164.99	0.0
ACSM2B	2.36	0.0	0.34	0.43	4769.75	8191.0	7032.37	23986.58	17927.91	10440.2	20310.37	49666.0	45072.75	0.0
ACSM5	4.74	9.06	3.29	10.63	275.28	2701.35	3039.3	4769.75	9279.58	6250.56	19892.37	7485.11	10440.2	0.14
ADH1A	0.0	0.93	0.0	0.87	5329.3	12764.83	8778.97	114103.8	26986.43	149521.18	223512.12	96616.71	190574.09	0.03
ADH6	0.0	2.78	2.66	0.0	1806.78	2537.92	1936.53	15934.98	13215.02	17681.08	21320.18	21768.19	24832.5	0.16
ADI1	1508.65	1313.23	1378.57	1359.57	2609.3	10959.3	9344.14	17681.08	15934.98	23169.48	26614.89	23169.48	19082.0	0.4
ADRA1A	0.59	1.51	0.0	0.43	32.13	214.27	111.21	1757.34	555.41	57.89	848.22	2367.9	909.17	0.31
AGMO	1.22	115.97	228.13	0.45	748.61	928.3	808.0	3491.39	1250.98	4095.0	2209.26	2935.74	3372.43	0.3
AGXT	0.0	0.32	0.0	0.0	14065.74	35118.87	57847.82	58250.19	35363.15	161367.56	411347.03	98646.85	98646.85	0.0
AIG1	890.44	3168.41	2520.38	830.75	2400.97	4010.71	3955.48	8022.41	5292.48	7803.01	8538.88	6207.38	7803.01	0.59
AKR1C4	0.0	58.71	0.0	7.17	1498.22	5872.48	8022.41	27938.14	9025.81	22380.2	23009.42	20593.91	13681.08	0.0
AKR1CL1	0.0	0.31	0.0	2.56	2.46	128.79	156.59	262.2	61.68	281.09	665.29	406.31	246.28	0.0
ALDH1L1	37.59	1662.49	1.07	363.56	1037.29	3794.3	5183.54	5403.7	47974.16	38966.94	20451.65	14765.09	11745.96	0.45
ALDH5A1	158.79	432.53	36.53	96.68	728.11	848.22	802.41	2417.67	2090.03	2400.97	1883.54	2956.17	2502.97	0.0
APOA5	0.0	0.31	0.0	0.0	2367.9	4869.99	6887.62	23492.92	3614.55	20170.07	249727.34	6792.79	12329.98	0.0
APOC1	7280.4	3443.31	1883.54	1135.2	400098.69	721179.07	741454.2	3178687.03	4526610.31	5809569.18	6719860.18	3968052.37	3626130.97	1208.34
APOC4	4.98	2.71	0.0	1.71	4298.64	16960.78	17317.18	73221.53	63302.6	133825.1	292889.12	100023.92	62865.33	0.0
APOC4-APOC2	231.32	0.0	57.49	18.84	29943.43	42346.82	47642.77	180294.02	71714.63	614902.29	1929772.37	161367.56	79022.82	0.0
APOM	301.33	73.03	69.52	88.88	9740.98	13586.57	16843.62	23820.89	74760.09	97965.44	96616.71	38430.46	36357.37	0.17
ARID3C	1.48	0.61	0.0	0.43	17.64	29.7	23.93	141.02	32.13	140.04	142.01	190.34	152.28	0.07
ARMC6	575.03	607.87	785.88	583.07	547.75	802.41	2133.97	1175.27	4358.66	2895.31	1781.89	2520.38	2835.7	0.0
ART4	10.55	7.88	1.97	0.44	132.44	444.72	163.28	629.35	660.68	363.56	595.34	591.22	743.43	0.03
ASGR1	47.5	34.02	41.52	34.02	8134.41	16843.62	23492.92	14361.31	7589.61	11267.44	41188.81	18689.27	16496.96	0.34
ASL	2895.31	775.05	2032.85	688.78	3257.52	6426.31	7485.11	5791.62	10368.08	26067.14	6037.61	7280.4	3540.14	0.41
ASS1	5255.91	3820.7	199.85	2104.58	6079.61	59887.86	65990.84	34876.28	105727.15	475800.4	185362.8	80683.28	58250.19	0.99
BAAT	0.0	0.0	0.34	0.43	2537.92	6471.02	4152.18	11189.6	29943.43	23820.89	12943.04	21320.18	23986.58	0.0
BCO2	6.26	14.35	11.13	29.48	92.05	1151.06	708.18	371.22	351.14	346.29	6745.86	647.07	3124.78	0.4
BDH1	1331.57	698.41	144.01	248.0	4181.07	4903.87	5913.33	10808.41	14461.21	14867.79	19754.96	18304.63	15934.98	115.97
C19orf66	583.07	647.07	748.61	723.08	1769.57	2720.15	3665.02	2502.97	1551.09	1135.2	4038.61	2537.92	2555.58	1096.5
C5orf27	2.39	1.23	0.99	2.58	12.64	1529.73	718.08	255.0	10296.45	264.03	40.93	1745.2	3540.14	0.39
CAT	480.04	1350.18	343.89	651.58	4639.29	5791.62	6079.61	20593.91	16960.78	20310.37	14262.1	28723.62	33922.56	0.21
CBS	1119.56	4388.98	67.59	237.86	420.68	4181.07	5255.91	4639.29	4543.8	10440.2	16843.62	18819.27	5711.87	0.77
CDO1	24.99	48.52	44.57	84.63	1259.69	3639.7	4736.79	12160.22	4152.18	6250.56	80683.28	13492.72	15285.81	0.28
CES5A	0.0	0.61	0.0	0.0	3.14	85.22	62.12	202.66	253.23	271.48	187.71	348.71	397.93	0.0
CLDN14	48.18	17.51	59.97	14.45	175.07	579.04	130.6	698.41	1447.15	1051.79	1340.84	2209.26	2485.67	0.06
CLYBL	178.77	61.68	63.45	111.21	540.19	1104.13	1572.76	2537.92	2835.7	3794.3	2032.85	1819.35	2434.5	0.45
CNDP1	5.87	1.23	1.64	2.14	1.14	521.76	540.19	1407.55	1709.26	6561.36	3018.3	3847.29	4869.99	0.31
COL18A1	2855.44	1477.58	9808.75	5594.3	7331.05	6164.49	8901.53	12853.63	14971.21	14262.1	21172.91	14163.58	15285.81	1.07
CYB5A	2104.58	3349.13	848.22	1540.37	14361.31	24660.96	37639.55	41763.8	30572.63	81809.59	31215.04	20170.07	45386.27	0.62
CYP2J2	1088.92	743.43	60.39	204.07	595.34	1617.0	1857.6	3716.2	2537.92	4239.45	5292.48	3349.13	3901.01	0.0
CYP3A5	215.77	42.41	4.74	688.78	3280.18	5041.77	5672.41	5633.22	6121.9	7130.55	14663.09	10225.32	10084.54	178.77
CYP4A11	0.0	0.0	0.34	0.43	1259.69	16269.83	13123.73	32540.65	40341.14	36357.37	97288.74	69271.73	34876.28	0.06
CYP4A22	0.0	0.0	0.0	0.43	599.49	2520.38	3639.7	14971.21	7485.11	15715.58	16045.82	12764.83	19482.97	0.0
CYP4V2	127.89	208.38	61.25	131.51	1295.13	1340.84	1794.29	3955.48	2104.58	2664.15	3928.15	2061.24	3303.0	674.59
DAO	0.0	0.0	0.0	0.0	728.11	854.13	961.07	9409.14	16496.96	14867.79	5041.77	12160.22	13215.02	0.0
DCXR	4358.66	3349.13	1794.29	4358.66	2104.58	23492.92	36864.92	110216.97	221968.2	434801.29	110983.6	193234.41	140478.49	0.13
DDT	5006.93	2701.35	3716.2	2287.2	11112.3	17804.06	24321.43	33922.56	29327.18	52135.28	39510.91	22225.61	29943.43	0.8
DDTL	66.18	37.59	78.34	39.5	281.09	395.18	334.46	334.46	525.39	223.41	426.57	629.35	490.14	0.58
DECR1	1594.73	2855.44	5517.27	1551.09	7803.01	7280.4	9088.59	9409.14	16383.0	11424.74	17078.76	15934.98	15934.98	0.66
DEPDC7	144.01	18.03	21.94	305.55	381.68	872.1	954.43	555.41	733.19	1369.04	3235.01	1437.15	1159.07	0.52
