	GTEX.PWOO.1326.SM.48TCJ	TCGA.V1.A8WW.01A.11R.A37L.07	TCGA.YL.A9WH.01A.11R.A37L.07	TCGA.YL.A8HL.01A.11R.A36G.07	TCGA.VP.A872.01A.11R.A352.07	TCGA.HC.7232.01A.11R.2118.07	TCGA.G9.6342.01A.11R.1965.07	TCGA.CH.5791.01A.11R.1580.07	TCGA.EJ.5521.01A.01R.1580.07	TCGA.HU.8608.01A.11R.2402.13	TCGA.D7.A6EZ.01A.11R.A31P.31	TCGA.BR.8589.01A.11R.2402.13	TCGA.VQ.A91W.01A.11R.A414.31	GTEX.131XG.2026.SM.5GCN5
ANLN	262.2	51.71	135.24	35.76	42.41	20.71	20.41	39.22	28.86	447.82	518.15	329.84	450.94	52.08
AP001885.1	0.39	0.92	0.95	0.96	2.14	0.0	0.0	0.0	0.0	7.94	6.62	4.7	7.94	0.0
APOBEC3A	75.11	12.18	4.28	0.74	10.63	0.0	1.73	4.86	2.16	43.63	37.05	13.83	16.51	5.11
APOBEC3B	769.69	43.94	111.21	27.25	96.01	12.36	21.47	40.36	40.93	237.86	389.72	283.05	242.88	40.07
AQR	429.54	327.56	575.03	460.44	536.45	265.87	403.5	397.93	363.56	579.04	808.0	713.11	830.75	387.02
ARHGAP11A	334.46	40.07	101.54	30.12	20.71	23.25	17.9	90.14	18.16	616.37	555.41	339.14	295.11	39.79
ARHGAP11B	185.11	41.22	60.82	20.41	28.45	14.89	10.39	31.67	12.64	356.05	228.13	108.14	153.34	19.82
ASF1B	1151.06	123.5	289.02	61.25	112.77	35.5	67.12	104.42	60.39	769.69	1044.52	1066.48	444.72	12.74
ASPM	157.68	26.86	32.13	12.0	12.09	5.73	5.87	20.11	9.63	540.19	173.85	177.53	127.0	6.52
ATAD2	297.17	155.5	237.86	134.3	74.06	175.07	92.7	108.14	104.42	591.22	591.22	591.22	591.22	39.22
ATP2A1	26.47	42.11	47.17	35.5	58.3	24.81	14.67	20.41	26.1	150.17	120.94	61.68	93.35	7.46
ATR	486.75	638.15	825.0	529.06	808.0	480.04	587.13	620.67	497.0	842.36	2004.85	1001.93	1059.11	376.41
ATXN2L	2645.74	1991.0	2537.92	2384.37	2434.5	1963.57	1757.34	1639.59	1487.87	3665.02	4010.71	2855.44	3372.43	1572.76
AUNIP	70.01	27.64	27.64	12.55	16.27	10.96	12.45	12.93	10.16	85.82	82.29	111.21	65.26	6.84
AURKA	693.58	81.71	176.29	57.08	61.25	20.56	36.01	64.34	39.5	1008.9	819.3	551.56	447.82	43.02
AURKB	1498.22	158.79	133.36	38.12	78.34	21.63	26.1	55.49	37.32	748.61	1508.65	941.27	214.27	25.35
