	TCGA.B6.A0RO.01A.22R.A084.07	TCGA.D8.A1X7.01A.11R.A14M.07	TCGA.D8.A73W.01A.22R.A352.07	TCGA.E9.A3Q9.01A.11R.A21T.07	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1
AC006547.14	17.9	3.26	19.53	6.21	0.0	0.38
AC011551.3	9.06	1.5	7.63	16.15	0.0	0.0
AC103801.2	141.02	18.7	241.19	0.0	0.0	0.0
AC106876.2	0.97	0.0	1.43	0.0	0.0	0.0
ACAD9	791.35	540.19	665.29	587.13	0.0	0.56
AP2A1	2520.38	884.29	1594.73	947.83	0.0	1.13
ATG13	1127.35	836.53	1350.18	723.08	791.35	178.77
ATP5S	638.15	201.25	334.46	327.56	0.0	0.34
ATP6V0C	6337.83	3742.05	4671.57	4704.07	0.0	0.87
ATP6V1D	2956.17	2224.63	2287.2	1757.34	0.0	0.18
B9D2	400.71	138.1	237.86	138.1	0.0	0.0
BCAS4	1977.24	199.85	878.17	392.44	0.0	0.28
C10orf91	4.78	3.2	3.96	2.27	0.0	0.04
C12orf49	555.41	435.55	785.88	226.54	0.0	0.01
C12orf55	32.59	4.21	14.24	8.38	0.0	0.04
C14orf166	5219.6	4010.71	2997.45	4152.18	0.0	1.07
C22orf39	703.28	334.46	532.74	525.39	0.0	0.55
C6orf106	1322.37	902.89	1008.9	884.29	0.0	0.65
CACNA1H	995.0	38.4	1540.37	37.32	0.0	0.95
CBLN1	13.42	2.97	4.78	10.16	0.0	0.0
CCDC85B	412.0	99.43	543.96	361.04	0.0	0.6
CCDC85C	463.65	283.05	466.88	92.05	0.0	0.32
CD2BP2	2739.08	1697.45	2163.77	1369.04	1794.29	1208.34
CHPF	2032.85	1250.98	2468.49	1135.2	0.0	0.95
CHRNE	12.83	3.08	51.71	16.39	0.0	0.19
CHST7	82.87	26.47	57.08	56.28	0.0	0.39
CHURC1-FNTB	7.17	4.74	15.56	0.0	0.0	0.01
CLCNKB	6.11	1.25	3.53	0.74	0.0	0.0
CRB3	743.43	497.0	1199.98	435.55	0.0	0.0
CRYAA	2.25	0.0	1.41	0.0	0.0	0.05
CSF3	0.89	0.0	1.66	0.0	0.0	0.0
CTC-260F20.3	14.67	6.94	20.86	14.45	0.0	0.4
CYB5A	19214.73	6121.9	14765.09	7081.29	0.0	0.62
CYBA	6516.03	1151.06	4181.07	4769.75	0.0	0.96
DCAF10	2240.11	536.45	759.08	314.17	381.68	194.36
DDAH2	4481.23	1359.57	5076.84	2163.77	0.0	0.82
DDN	1.58	1.99	2.05	0.0	0.0	0.32
DDRGK1	3060.45	988.12	2520.38	1977.24	0.0	0.88
DDX23	1950.0	1417.35	1950.0	1135.2	0.0	0.83
DDX41	1721.16	1167.14	1685.71	1331.57	0.0	0.78
DHDH	19.11	13.03	26.1	8.0	0.0	0.0
DNMT3A	414.87	281.09	346.29	237.86	0.0	0.68
DNPH1	2875.3	713.11	1745.2	1322.37	0.0	0.27
ECHDC3	500.46	303.44	379.04	406.31	0.0	0.54
EDEM2	587.13	575.03	884.29	629.35	0.0	0.49
ELP2	13968.57	3349.13	10154.69	2133.97	0.0	0.8
EPS8L1	1936.53	884.29	2537.92	1427.22	0.0	0.93
EVL	10084.54	2133.97	9808.75	9025.81	0.0	0.48
EXOSC3	1259.69	470.14	808.0	473.41	0.0	0.28
F2RL3	81.14	31.0	43.32	43.94	0.0	0.12
FAM134A	3443.31	2104.58	2875.3	2367.9	0.0	0.64
FBXL15	283.05	115.16	289.02	236.21	0.0	0.57
FTSJ1	884.29	708.18	1159.07	575.03	0.0	0.77
GAL3ST2	187.71	5.19	202.66	0.0	0.0	0.14
