	TCGA.AO.A12H.01A.11R.A115.07	TCGA.D8.A1XU.01A.11R.A14M.07	TCGA.PL.A8LX.01A.11R.A41B.07	TCGA.C8.A133.01A.32R.A12D.07	TCGA.BH.A0HO.01A.11R.A034.07	TCGA.BH.A0B3.11B.21R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07	TCGA.A7.A0DC.11A.41R.A089.07.1	GTEX.WYVS.1726.SM.3NMAY	GTEX.13FTY.2226.SM.5J1ND
ABCB1	43.02	39.22	16.03	13.62	52.08	295.11	66.18	66.18	444.72	473.41
ABCC6	5.45	173.85	4.43	33.3	9.27	125.24	381.68	381.68	143.01	1104.13
AC015989.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.29
ADAM29	0.0	0.0	0.0	0.0	3.63	10.24	0.0	0.0	6.16	182.55
AFP	5.63	5.41	0.0	0.0	0.0	2193.99	76.71	76.71	2018.8	3257.52
AKR1B15	0.91	13.12	0.54	0.0	0.27	13.93	51.71	51.71	20.56	144.01
AL354993.1	6.01	45.85	26.28	6.36	15.56	191.67	169.07	169.07	307.69	412.0
ALK	0.35	0.39	0.96	0.31	1.06	3.86	7.57	7.57	12.27	34.26
ALX4	0.38	11.3	0.35	0.35	2.84	88.88	43.02	43.02	172.65	97.36
AMBRA1	334.46	356.05	400.71	283.05	353.59	417.77	373.81	373.81	463.65	503.95
AMIGO2	35.25	616.37	24.46	387.02	61.25	1936.53	638.15	638.15	4736.79	6207.38
AREGB	3.35	1.33	0.0	0.0	0.83	2.34	2.92	2.92	30.78	217.27
ARHGAP36	0.0	0.62	1.07	0.0	0.87	42.11	5.77	5.77	503.95	2468.49
ARHGAP40	0.0	5.73	1.71	0.38	0.0	791.35	249.73	249.73	1745.2	2720.15
ARL4C	100.13	265.87	78.89	21.94	114.36	830.75	529.06	529.06	1487.87	1617.0
ATF3	120.94	92.7	57.49	82.29	107.38	2032.85	3491.39	3491.39	8191.0	11424.74
AVP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56	0.66
B3GALT1	0.34	1.14	0.0	0.0	1.03	29.7	4.58	4.58	78.34	39.22
BMP5	0.0	0.38	0.61	0.0	0.34	63.45	25.91	25.91	195.72	81.14
BNC1	1.03	6.06	0.0	0.0	0.69	16.27	5.32	5.32	121.79	43.02
BPI	0.0	7.0	0.0	0.0	1.79	105.15	16.51	16.51	183.82	198.47
C10orf90	0.36	1.17	0.0	1.25	3.79	96.68	46.84	46.84	269.6	164.42
