	TCGA.GC.A3WC.11A.11R.A22U.07	TCGA.BT.A20R.11A.11R.A16R.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	GTEX.13OVI.2126.SM.5KM3U	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	GTEX.13OVI.2426.SM.5KM4J	GTEX.13N11.1126.SM.5KM41
AARSD1	1088.92	854.13	1059.11	1286.18	587.13	909.17	559.28	497.0	1397.83
ABCC10	368.65	108.9	529.06	400.71	251.48	0.0	0.35	193.01	514.56
AC114546.1	493.56	368.65	693.58	420.68	18.56	0.0	0.56	96.01	579.04
AC226150.4	34.26	19.68	69.03	224.97	24.63	0.0	0.0	3.96	133.36
AL591479.1	51.71	11.91	138.1	156.59	34.02	0.0	0.01	73.54	68.55
ARHGAP22	130.6	90.14	273.37	103.69	17.38	0.0	0.31	56.68	95.34
ARHGEF19	150.17	38.4	638.15	591.22	89.51	0.0	0.23	143.01	253.23
ARL4D	1572.76	371.22	2875.3	1806.78	551.56	0.0	0.71	532.74	1467.37
ATPAF2	409.15	204.07	366.09	444.72	289.02	0.0	0.55	205.5	497.0
BCS1L	723.08	473.41	1167.14	1030.12	454.09	0.0	0.0	460.44	1066.48
C11orf84	397.93	195.72	271.48	241.19	271.48	0.0	0.58	202.66	500.46
C8orf47	74.06	0.92	8901.53	3443.31	7.63	0.0	0.0	6.94	339.14
C9orf114	974.5	466.88	1208.34	791.35	423.61	0.0	0.2	236.21	591.22
CBX1	1135.2	866.07	1628.26	1844.76	896.64	0.0	0.82	848.22	2502.97
CCDC148	14.56	7.88	161.02	239.52	1.95	0.0	0.0	6.89	20.86
CCDC22	392.44	260.38	334.46	571.05	239.52	0.0	0.42	234.57	397.93
CCDC81	36.79	27.84	76.17	543.96	11.82	0.0	0.0	14.45	67.59
CLUAP1	660.68	507.46	775.05	2591.27	384.34	429.54	255.0	356.05	1059.11
CRYBB3	4.31	0.0	45.21	28.24	2.16	0.0	0.19	1.64	9.27
CYTL1	134.3	57.89	248.0	813.63	15.11	0.0	0.0	52.82	470.14
DHX16	647.07	432.53	974.5	775.05	540.19	0.0	0.78	432.53	872.1
DNAJC30	218.79	126.12	283.05	351.14	178.77	0.0	0.0	201.25	309.83
DNALI1	267.73	297.17	6652.97	49322.93	140.04	0.0	0.39	31.45	4481.23
EFNA4	173.85	15.34	457.25	454.09	158.79	0.0	0.55	102.97	314.17
ENPP2	571.05	595.34	6079.61	6471.02	194.36	0.0	0.21	114.36	2701.35
EPO	0.8	0.0	26.1	52.45	1.95	0.0	0.14	0.52	31.0
FAM218A	17.0	10.47	63.45	37.32	7.22	0.0	0.04	17.77	57.89
FAM27A	34.02	23.25	70.01	93.35	13.83	0.0	0.22	33.78	86.43
FDCSP	1037.29	4.03	8479.89	0.0	84.63	0.0	0.0	27.05	638.15
FGFBP3	25.72	31.9	60.82	62.56	22.92	0.0	0.13	25.72	66.65
FKBP3	1250.98	1250.98	1487.87	1427.22	688.78	0.0	0.71	669.92	1340.84
GEMIN2	253.23	124.37	400.71	301.33	182.55	0.0	0.41	199.85	363.56
GJA1	1322.37	6699.25	20881.4	15392.14	802.41	0.0	0.58	1896.65	6516.03
GLT1D1	5.11	5.23	121.79	67.59	11.91	0.0	0.33	4.66	102.97
GOLGA8J	2.39	0.44	4.1	5.02	1.71	0.0	0.19	1.35	3.0
ICAM4	31.67	1.79	3.82	82.29	9.56	0.0	0.0	1.85	65.26
INHBE	4.74	1.31	38.67	26.67	1.53	0.0	0.3	5.23	21.16
ITGA2B	66.65	13.93	87.65	100.13	4.78	0.0	0.52	23.76	100.83
ITGB4	3564.78	473.41	40621.74	16611.71	1457.23	0.0	0.79	2075.59	3955.48
JMJD4	237.86	211.31	299.25	323.03	267.73	0.0	0.0	197.09	551.56
L3MBTL3	131.51	73.54	325.29	305.55	142.01	0.0	0.41	183.82	273.37
LRRC45	180.02	76.17	507.46	638.15	149.12	0.0	0.19	82.29	109.66
MAGEF1	830.75	423.61	2047.0	3235.01	934.76	0.0	0.84	733.19	2609.3
MED7	373.81	178.77	305.55	256.78	202.66	0.0	0.27	215.77	426.57
MIER2	339.14	187.71	450.94	351.14	212.78	0.0	0.52	314.17	532.74
MITD1	624.99	414.87	1037.29	1183.45	395.18	0.0	0.54	441.64	842.36
MRPL53	1199.98	1096.5	2520.38	1819.35	738.29	0.0	0.6	633.73	1832.01
MSLN	4.39	0.47	2645.74	9474.59	75.64	0.0	0.44	12.93	115.16
MUC5B	3.56	0.0	5.923719433E7	3.066309426E7	15.45	0.0	0.0	7.75	1.1
N6AMT2	361.04	297.17	423.61	693.58	228.13	0.0	0.08	348.71	457.25
