	GTEX.U3ZN.1626.SM.4DXTZ	TCGA.CM.4744.01A.01R.A32Z.07	TCGA.L5.A88T.01A.11R.A354.31	TCGA.L5.A8NW.01A.11R.A37I.31	TCGA.L5.A8NQ.01A.11R.A36D.31	TCGA.L5.A8NK.01A.21R.A37I.31	TCGA.KH.A6WC.01A.11R.A336.31	TCGA.R6.A6Y0.01B.11R.A336.31	TCGA.Q9.A6FW.01A.31R.A31P.31	TCGA.IC.A6RE.11A.12R.A336.31	TCGA.CV.7183.11A.01R.2016.07	TCGA.KL.8339.01A.11R.2315.07	TCGA.KL.8330.01A.11R.2315.07	TCGA.KO.8414.01A.11R.2315.07	TCGA.AK.3427.01A.01R.0864.07	TCGA.AK.3447.01A.01R.1766.07	TCGA.38.4625.01A.01R.1206.07	TCGA.05.4395.01A.01R.1206.07	TCGA.49.4486.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.37.4133.01A.01R.1100.07	TCGA.37.4133.01A.01R.1100.07.1	GTEX.11ZTS.3026.SM.5EQM7	GTEX.XV7Q.2426.SM.4BRV8	GTEX.WFJO.2026.SM.4LVM3	GTEX.ZC5H.2726.SM.5KLZW	GTEX.ZPU1.2326.SM.57WEP	GTEX.ZP4G.1926.SM.57WDZ	GTEX.ZT9W.2126.SM.51MSF
ADAM33	4.03	12.18	743.43	237.86	348.71	229.72	241.19	57.08	193.01	432.53	15.0	0.0	0.77	1.58	1.2	2.05	0.0	1.97	3.26	0.84	7.34	7.34	162.14	126.12	47.17	473.41	26.47	39.79	43.63
ADAMTSL4	224.97	46.18	2287.2	1199.98	1721.16	1208.34	2240.11	1044.52	1277.29	2434.5	684.02	55.89	74.58	205.5	178.77	11.64	0.0	316.37	48.87	0.77	30.78	30.78	1745.2	1936.53	1277.29	3901.01	221.86	1594.73	1268.46
ADCY4	64.34	49.21	447.82	521.76	371.22	327.56	332.14	423.61	314.17	299.25	24.28	20.56	23.93	42.71	19.25	16.15	0.0	36.01	38.67	0.82	26.1	26.1	104.42	100.83	92.05	381.68	51.71	56.28	69.03
ANXA1	1970321.01	2875.3	721179.07	509950.32	682276.92	517068.97	1355129.16	711250.37	453265.5	1364554.84	437825.58	420.68	273.37	2367.9	1477.58	591.22	12076.21	6426.31	2855.44	400.71	8421.31	8421.31	958220.73	834179.46	422911.59	51417.5	863596.77	554180.87	789181.81
AQPEP	0.47	0.0	54.33	5.54	6.11	19.25	4.1	7.88	9.34	5.96	2.07	0.67	0.0	0.77	0.39	0.0	0.0	2.36	0.0	0.34	0.73	0.73	10.47	8.71	4.1	35.76	7.06	5.28	4.9
ARHGAP20	8.25	0.91	85.82	23.93	35.76	48.87	53.95	10.31	19.53	35.0	10.63	1.3	1.38	1.11	1.48	0.39	0.0	4.06	9.56	0.32	6.06	6.06	98.04	172.65	29.27	123.5	82.29	24.28	32.13
ATG9A	988.12	447.82	1286.18	1208.34	1340.84	1313.23	1388.16	1286.18	1151.06	1467.37	423.61	426.57	563.18	612.11	389.72	94.01	0.0	791.35	423.61	0.82	371.22	371.22	1127.35	819.3	1037.29	2739.08	1359.57	1313.23	1250.98
ATP6V0A1	656.11	470.14	1388.16	1498.22	1066.48	1088.92	1477.58	1081.39	1159.07	1388.16	381.68	555.41	493.56	368.65	195.72	297.17	0.0	426.57	638.15	0.85	283.05	283.05	902.89	1457.23	878.17	2384.37	854.13	921.88	1030.12
C11orf89	6.94	3.41	50.63	14.45	20.11	23.59	35.76	11.38	9.85	37.59	2.07	0.68	0.38	1.89	0.0	0.0	0.0	3.86	1.6	0.57	1.45	1.45	58.3	17.77	5.63	120.94	6.57	11.91	5.63
CPT1C	45.21	25.72	212.78	180.02	197.09	224.97	220.32	130.6	81.14	105.89	100.13	4.03	15.45	16.63	8.32	15.34	0.0	24.11	20.41	0.51	56.28	56.28	262.2	387.02	73.03	366.09	206.94	128.79	105.89
