	TCGA.GI.A2C8.11A.22R.A16F.07	GTEX.U3ZN.1626.SM.4DXTZ	GTEX.T5JW.0726.SM.4DM6D	TCGA.IG.A4P3.01A.11R.A260.31	GTEX.WRHK.0426.SM.4MVOG	GTEX.11DXX.1026.SM.5H11E	TCGA.QK.A8ZB.01A.11R.A39I.07	TCGA.38.4625.01A.01R.1206.07	TCGA.IN.8462.01A.11R.2343.13
AC005606.1	0.0	947.83	0.0	2.25	0.0	0.0	19.68	0.0	4.98
AC064874.1	0.0	4.39	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AC129492.6	0.0	400.71	143.01	21.01	0.0	1.41	78.34	0.0	6.62
AK7	5.54	988.12	163.28	23.59	17.0	24.63	29.48	0.0	74.06
AK8	3.92	406.31	72.01	38.67	11.47	17.0	20.26	0.0	20.56
AL591684.1	0.0	6561.36	559.28	0.0	0.0	0.0	1.25	0.0	2.1
ALDOC	42.11	30361.44	3768.09	1159.07	293.07	361.04	1388.16	0.0	454.09
ANKRD62	0.0	46.5	1.03	11.82	0.33	0.0	10.0	0.0	0.92
ARC	8.13	3768.09	571.05	2.29	4.35	17.38	145.02	0.0	15.34
ARSH	0.0	264.03	0.0	1.22	0.0	0.0	1.43	0.0	1.06
AVPI1	122.64	29943.43	2682.69	1167.14	514.56	848.22	1447.15	0.0	547.75
BST2	718.08	71219.26	1268.46	6037.61	688.78	447.82	2816.11	0.0	3039.3
C10orf40	0.0	15.8	0.0	4.39	0.0	0.0	0.0	0.0	0.77
C12orf36	0.0	10808.41	454.09	3.44	2.89	0.0	31.9	0.0	297.17
C2orf78	0.0	1.46	0.0	0.0	0.0	0.0	0.0	0.0	0.41
C6orf25	2.86	366.09	66.65	28.04	10.79	29.27	16.88	0.0	14.78
C8orf74	0.55	154.42	26.28	2.32	0.0	0.0	0.3	0.0	1.04
CALB2	10.24	18304.63	127.0	23.25	16.51	25.54	497.0	0.0	53.95
CALML3	0.0	4.76556459417E9	1.14285878012E9	32540.65	6.78	8.38	16045.82	0.0	3589.58
CARD17	0.0	1397.83	244.57	25.72	0.0	0.0	36.27	0.0	8.38
CARD18	0.0	12943.04	466.88	10.96	0.0	0.0	480.04	0.0	5.02
CCDC15	4.9	113.56	36.01	40.64	5.92	6.31	31.9	0.0	42.71
CCL22	2.58	5147.73	195.72	269.6	0.91	0.0	76.17	0.0	32.36
CD70	10.47	733.19	65.72	63.0	3.92	5.54	71.0	669.92	253.23
CEACAM6	0.0	5420519.65	307450.64	5219.6	70.01	88.26	1561.89	0.0	3665.02
CLCA2	0.52	3.801327429E7	3.15251512E7	4450.27	0.83	1.16	11112.3	0.0	595.34
CLPSL1	0.0	135.24	0.0	1.57	0.0	0.0	0.0	0.0	3.63
CMPK2	64.8	2855.44	26.28	346.29	42.11	94.67	79.45	0.0	127.89
CNGB1	0.0	115.97	2.84	22.26	0.0	0.16	22.75	0.0	3.5
CPA4	3.96	52135.28	3639.7	87.65	7.0	0.0	343.89	158.79	209.84
CTD-2105E13.6	0.0	928.3	62.56	7.69	0.0	0.0	23.42	0.0	1.62
CTD-2600O9.1	0.0	2816.11	10.31	4.1	0.0	2.01	13.62	0.0	21.78
CXCL11	1.93	14262.1	31.0	140.04	0.0	1.31	58.71	0.0	59.55
CXCL9	22.59	7911.95	43.63	616.37	0.0	4.82	264.03	0.0	371.22
CYP4F3	0.57	25354.3	1359.57	67.12	11.21	43.94	21.32	0.0	87.65
DNM3	27.44	503.95	171.45	40.93	31.9	74.06	33.06	0.0	49.56
DUSP9	0.57	866.07	38.12	142.01	0.0	0.27	58.71	0.0	4.39
ELOVL4	7.69	37639.55	1051.79	144.01	23.42	49.21	555.41	0.0	54.72
ERVV-1	1.06	293.07	33.54	3.26	0.0	0.0	65.72	0.0	6.57
ETV4	9.13	8247.98	698.41	460.44	31.22	6.57	231.32	0.0	336.79
FAM131C	0.62	483.38	7.06	34.26	0.0	1.23	85.82	0.0	48.87
