	GTEX.1399R.2226.SM.5P9JB	GTEX.139TS.1926.SM.5IJFO	GTEX.QDVN.1326.SM.48TZ3	GTEX.WEY5.1026.SM.4LMK9	GTEX.131XF.0926.SM.5BC69	GTEX.WHWD.1026.SM.4OORZ	GTEX.WRHK.0426.SM.4MVOG	TCGA.38.4625.01A.01R.1206.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.FE.A232.01A.11R.A14Y.07
AC010547.9	0.65	1.25	2.89	26.86	38.95	19.82	29.91	0.0	0.16	6.46
ADSS	466.88	679.29	708.18	967.76	1044.52	674.59	1304.15	0.0	0.67	1001.93
AL353791.1	2.76	11.82	12.74	281.09	470.14	143.01	285.03	0.0	0.22	1.62
AL807752.1	3.56	10.63	19.82	82.87	74.58	21.01	90.14	0.0	0.16	46.5
AL953854.2	1.3	13.42	15.68	323.03	457.25	253.23	575.03	0.0	0.35	2.27
AMOTL2	55.49	144.01	307.69	3103.19	1073.91	1143.1	4095.0	0.0	0.28	674.59
AMY2A	0.0	4.66	6.26	36.27	51.71	29.27	38.4	0.0	0.4	8901.53
APC	37.32	69.03	75.64	426.57	429.54	176.29	595.34	0.0	0.24	57.08
ARHGEF26	23.93	100.83	137.14	2591.27	2468.49	974.5	2739.08	0.0	0.43	157.68
ASAH2	7.0	9.7	10.39	26.28	26.1	26.1	50.98	0.0	0.06	13.12
ATP10A	5.11	35.5	29.27	318.57	387.02	237.86	441.64	0.0	0.38	58.71
BACH2	4.1	5.45	5.06	22.26	41.22	30.56	61.68	0.0	0.3	23.42
BBIP1	195.72	244.57	376.41	651.58	775.05	647.07	890.44	0.0	0.66	432.53
BCL2L2-PABPN1	63.0	53.19	118.43	309.83	353.59	163.28	514.56	0.0	0.27	366.09
BHMT	0.0	5.63	2.36	107.38	314.17	55.1	603.67	0.0	0.0	2.29
C12orf61	7.46	2.36	9.56	16.63	10.24	10.47	15.11	0.0	0.0	22.1
C14orf28	52.45	72.52	61.68	133.36	201.25	224.97	316.37	0.0	0.06	47.84
CCDC82	85.22	189.02	251.48	583.07	866.07	633.73	718.08	0.0	0.68	334.46
CCDC88A	9.13	54.72	94.01	366.09	432.53	258.57	490.14	0.0	0.58	81.14
