	TCGA.G2.A2EJ.01A.11R.A180.07	TCGA.BH.A0DH.01A.11R.A084.07	GTEX.T6MO.1426.SM.4DM73	GTEX.S341.1326.SM.4AD72	TCGA.C5.A2LV.01A.11R.A18M.07	TCGA.CV.7183.01A.11R.2016.07	TCGA.CR.6492.01A.12R.2081.07	TCGA.38.4625.01A.01R.1206.07	TCGA.93.A4JP.01A.11R.A24X.07	TCGA.38.4625.01A.01R.1206.07.1	TCGA.86.7711.01A.11R.2066.07	TCGA.33.4589.01A.01R.1443.07	TCGA.92.8065.01A.11R.2247.07	TCGA.52.7622.01A.11R.2125.07	GTEX.RWS6.1326.SM.47JXB	GTEX.P4PP.2026.SM.3P61N	GTEX.131XG.2026.SM.5GCN5	GTEX.13VXT.1626.SM.5IJES
ABCA2	140.04	599.49	3018.3	2255.7	87.03	81.14	186.4	0.0	607.87	0.84	379.04	22.75	2976.74	400.71	500.46	1923.14	406.31	830.75
ABCD4	327.56	329.84	1487.87	1216.75	718.08	291.04	521.76	381.68	1286.18	262.2	356.05	447.82	1191.69	808.0	1051.79	1651.0	1037.29	1806.78
AC139426.2	0.32	1.06	10.96	7.51	0.0	0.0	2.32	0.0	11.82	0.21	0.61	0.0	5.82	3.32	4.5	17.9	6.94	7.46
AMER2	0.0	0.0	5.32	3.59	0.0	0.0	0.39	0.0	0.83	0.04	0.41	0.0	0.45	0.41	1.97	11.13	2.03	12.83
AP000275.65	0.0	57.89	5.36	13.32	3.82	43.02	13.62	0.0	64.34	0.0	61.25	0.0	145.02	20.86	107.38	60.82	139.07	66.65
APBB3	277.2	144.01	836.53	884.29	167.9	101.54	327.56	0.0	813.63	1.14	128.79	65.26	1104.13	316.37	563.18	1304.15	269.6	1340.84
ARL14EP	271.48	713.11	543.96	660.68	182.55	161.02	258.57	0.0	314.17	0.31	234.57	320.8	423.61	339.14	988.12	583.07	470.14	503.95
ASCL1	6.11	0.0	6.46	9.41	0.17	0.0	0.37	0.0	0.61	0.0	0.3	0.0	15.56	3.26	52.45	3.79	15.0	7.51
BRSK2	1.23	3.82	12.27	6.41	2.61	0.78	1.51	0.0	7.69	0.58	1.04	0.0	120.1	10.55	11.91	57.89	65.26	154.42
CAPS2	28.45	100.83	172.65	265.87	9.06	10.79	55.1	0.0	74.06	0.1	47.5	36.79	144.01	75.64	112.77	607.87	135.24	180.02
CBY3	0.0	17.77	37.85	29.27	1.11	0.0	0.95	0.0	4.78	0.0	3.11	0.0	26.1	4.58	41.81	35.25	18.84	28.24
CD97	301.33	476.71	759.08	1250.98	909.17	172.65	547.75	0.0	1674.06	0.73	490.14	314.17	2119.22	1088.92	2935.74	1529.73	6983.79	4512.4
COX15	387.02	532.74	579.04	733.19	320.8	289.02	417.77	476.71	480.04	327.56	575.03	329.84	813.63	336.79	669.92	1008.9	470.14	728.11
CPEB1	1.81	6.01	435.55	551.56	0.96	1.68	3.72	0.0	27.44	0.18	3.72	0.53	105.89	4.74	132.44	759.08	73.03	205.5
CRY2	158.79	454.09	579.04	796.86	122.64	133.36	167.9	0.0	567.1	0.41	86.43	49.21	307.69	297.17	656.11	854.13	314.17	1088.92
CRYZL1	228.13	454.09	723.08	785.88	256.78	273.37	320.8	0.0	624.99	0.53	279.14	221.86	559.28	371.22	656.11	1159.07	607.87	1191.69
CTD-2535L24.2	0.0	0.0	1.45	3.99	0.0	0.0	0.0	0.0	3.99	0.0	0.0	0.0	2.29	0.0	1.58	3.35	3.86	3.69
DMGDH	1.2	8.99	34.75	111.21	4.03	13.32	6.62	0.0	14.45	0.31	3.72	17.25	66.65	10.96	260.38	197.09	119.26	234.57
GALNT9	0.0	0.0	38.95	76.71	2.73	0.0	1.2	0.0	1.51	0.25	1.07	0.0	16.03	5.54	16.75	77.25	86.43	57.89
GOLGA8A	226.54	12.74	1561.89	2032.85	198.47	18.84	201.25	0.0	947.83	1.73	59.55	9.56	1508.65	785.88	1447.15	5147.73	1397.83	2720.15
GOLGA8I	1.22	8.38	101.54	178.77	4.46	2.29	6.31	0.0	44.25	0.43	4.94	2.03	18.97	17.13	38.95	59.97	22.26	75.11
GOLGA8J	0.0	1.73	4.1	5.02	0.0	1.71	0.97	0.0	1.91	0.19	0.0	0.0	2.05	0.0	2.84	7.17	3.99	5.59
GOLGA8N	1.23	44.25	132.44	305.55	1.31	7.34	32.59	0.0	63.89	0.66	18.84	2.03	73.03	44.89	90.77	153.34	35.25	159.9
GOLGA8O	1.51	7.63	5.45	13.03	1.5	0.0	7.46	0.0	36.01	0.34	0.0	0.0	19.68	4.82	1.03	151.22	35.5	39.22
GOLGA8R	1.22	8.92	87.65	55.49	0.0	1.33	6.11	0.0	56.68	0.52	6.06	0.0	16.27	21.32	31.45	66.18	24.63	29.48
GOLGA8S	0.6	2.71	25.35	19.97	1.23	0.0	1.81	0.0	13.42	0.32	1.91	0.71	4.58	4.13	14.35	21.01	9.13	16.27
GOLGA8T	0.0	0.0	2.41	5.92	0.0	0.0	0.0	0.0	16.27	0.21	0.0	0.0	2.92	2.23	0.66	10.31	4.66	2.78
GPR123	0.3	0.0	142.01	107.38	0.0	0.0	0.0	0.0	1.53	0.0	0.0	0.0	17.38	0.18	1.07	1.07	1.11	0.0
GPRASP1	1.83	13.32	371.22	514.56	4.82	3.06	19.53	0.0	83.45	0.31	17.0	0.71	45.21	25.72	409.15	1519.15	244.57	934.76
GPRASP2	30.34	126.12	543.96	753.83	41.52	32.59	63.89	0.0	106.63	0.28	49.56	6.11	120.1	91.41	1216.75	2018.8	423.61	483.38
GRK1	0.0	0.0	0.59	0.59	0.0	0.0	0.0	0.0	0.99	0.0	0.0	0.0	20.71	0.65	63.0	3.06	0.61	1.89
HOXA6	2.14	4.54	6.31	12.45	5.96	12.18	7.57	0.0	73.03	0.3	24.63	0.0	183.82	22.75	309.83	1242.34	392.44	395.18
IFT172	122.64	417.77	1030.12	1594.73	120.1	96.01	301.33	0.0	518.15	0.37	332.14	85.82	665.29	497.0	595.34	2209.26	486.75	1397.83
KATNAL2	0.0	37.85	312.0	466.88	7.75	9.56	15.34	0.0	83.45	0.35	50.63	0.74	323.03	36.27	20.26	55.1	25.72	226.54
KIAA1456	1.51	10.79	1883.54	339.14	8.78	0.72	15.22	0.0	33.3	0.46	5.28	0.87	56.28	16.51	500.46	43.02	135.24	120.1
KLHDC1	1.83	31.67	113.56	112.77	6.73	8.85	20.56	0.0	70.51	0.3	13.03	4.7	43.02	19.68	118.43	191.67	84.04	172.65
KLHDC9	27.84	551.56	1540.37	2287.2	9.63	7.51	69.03	0.0	476.71	0.22	13.52	17.38	336.79	55.49	1662.49	3372.43	173.85	2004.85
KLK4	2.97	46.84	1268.46	1175.27	0.0	26.67	11.73	0.0	15.56	0.04	0.0	5.36	221.86	7.94	2303.12	423.61	450.94	68.55
KLRG1	1.23	10.08	29.91	105.15	9.7	5.82	14.35	0.0	41.22	0.01	15.45	8.25	141.02	21.94	50.27	7.88	125.24	80.57
LAMA2	24.11	52.82	703.28	616.37	16.15	33.3	35.76	0.0	187.71	0.71	88.88	5.45	379.04	125.24	127.89	166.73	117.6	88.26
