	TCGA.W5.AA2X.01A.11R.A41I.07	GTEX.14C38.2626.SM.5RQI4	TCGA.YA.A8S7.01A.11R.A37K.07	TCGA.CC.A3MA.01A.11R.A213.07	GTEX.U3ZN.0226.SM.3DB8D	GTEX.ZAB5.0426.SM.5CVMI	GTEX.14AS3.0126.SM.5Q5F4	GTEX.1399R.1226.SM.5P9GF	GTEX.11DXZ.0126.SM.5EGGY	TCGA.63.5128.01A.01R.1443.07	TCGA.BG.A0MK.01A.51R.A19W.07	TCGA.EO.A3AV.01A.12R.A19W.07
A2M	896.64	8598.28	29327.18	6381.92	50359.33	197294.7	70238.75	63302.6	46019.85	2319.15	3124.78	2255.7
ABCB4	140.04	27.44	603.67	181.28	2119.22	1733.13	1397.83	3716.2	320.8	4.17	6.46	11.91
ABCG5	33.78	0.0	57.49	52.08	551.56	1233.75	2796.65	896.64	1551.09	1.95	1.06	10.47
ABCG8	7.28	2.48	53.19	51.35	1519.15	2777.33	4358.66	5183.54	5711.87	3.17	0.0	5.32
AC106876.2	34.02	0.0	45.53	25.91	28.04	187.71	267.73	105.89	56.28	0.0	2.81	0.0
AC137056.1	3.53	0.0	29.7	3.56	21.94	66.65	54.72	70.51	35.5	0.0	0.0	0.0
ACMSD	8.13	0.0	954.43	146.03	3212.66	7537.18	12329.98	8718.32	7130.55	0.55	0.45	190.34
ACSM2A	91.41	0.84	444.72	466.88	7695.57	9808.75	5441.3	14971.21	7589.61	0.0	2.39	0.0
ACSM2B	130.6	1.38	2664.15	547.75	14461.21	8538.88	19214.73	18052.61	8247.98	0.42	0.0	0.0
ACSM5	26.86	4.46	1268.46	205.5	4095.0	8022.41	13033.07	18560.17	17804.06	0.0	7.88	3.23
ADH1A	67.12	6.89	679.29	890.44	130165.62	122293.5	154794.07	307450.64	165904.25	0.0	2.94	0.0
ADH1B	181.28	38.4	1883.54	3081.75	212926.09	506427.83	513497.31	589853.66	581732.96	6.67	82.87	0.0
ADH4	195.72	0.0	759.08	2240.11	221968.2	38164.99	107948.72	375901.76	318292.9	0.0	14.35	0.0
AFM	65.72	0.0	173.85	297.17	19082.0	29124.6	35856.82	23330.64	24321.43	0.0	0.0	0.0
AGT	332.14	177.53	17927.91	10959.3	60304.42	83528.61	31650.8	82951.62	38164.99	9.27	22.1	12.74
AGTR1	34.26	68.55	264.03	83.45	2075.59	842.36	796.86	612.11	1304.15	4.74	3.92	40.36
AGXT	256.78	5.19	1923.14	1350.18	5147.73	136637.07	331809.5	76861.91	50011.46	2.27	0.45	0.0
AGXT2	6.46	0.0	77.25	58.3	7230.1	4512.4	6164.49	7230.1	12764.83	0.0	0.0	0.0
AHSG	220.32	0.68	1844.76	4038.61	123144.13	189257.69	162489.97	1187913.85	299043.36	8.25	9.7	2.34
AKR1CL1	2.78	1.2	111.99	6.21	241.19	669.92	555.41	111.99	493.56	0.0	0.0	4.98
AKR1D1	4.24	0.0	34.75	69.52	14262.1	9409.14	12764.83	30151.71	15075.35	0.0	0.0	0.0
AL590714.1	295.11	0.0	361.04	620.67	1769.57	4543.8	2434.5	3146.52	3794.3	0.0	0.0	0.0
ALB	5479.15	16.03	186652.11	195931.88	5.228884881E7	7.343680617E7	3.286389077E7	2.669377385E7	2.596383117E7	0.0	11.21	25.91
ALDOB	348.71	11.13	5555.65	4736.79	16727.26	402881.61	220434.95	327241.36	520665.48	1.11	4.24	0.0
ANGPTL3	31.9	0.32	397.93	327.56	65082.31	77934.88	29736.59	26614.89	30999.42	0.64	0.84	1.14
AOX1	94.01	16.03	769.69	1001.93	212926.09	39785.74	34876.28	118127.7	69753.56	25.17	30.34	7.22
APCS	529.06	0.0	10084.54	6337.83	89523.81	262143.0	100719.65	137587.47	286861.53	0.0	0.0	3.99
APOA1	3081.75	34.75	15075.35	26614.89	41763.8	2825352.59	1019901.63	1482909.4	1212874.47	1.36	76.71	0.0
APOA2	6516.03	18.56	23820.89	45072.75	92680.9	546551.29	265802.39	794671.01	614902.29	0.0	0.0	0.0
APOA4	15.68	0.0	255.0	11.38	2384.37	1359.57	1295.13	642.59	16.27	0.0	0.0	0.0
APOA5	43.94	0.0	366.09	624.99	15180.22	102125.66	64186.29	118949.35	1051.79	0.0	0.33	0.0
APOB	76.17	0.13	785.88	669.92	139508.13	99333.0	38164.99	102125.66	76861.91	0.48	0.6	0.0
APOC2	1286.18	22.59	8134.41	10808.41	117311.73	263966.36	137587.47	226632.25	131982.68	83.45	25.91	112.77
APOC3	4152.18	3.14	20030.74	33224.42	97965.44	641014.63	2546350.23	1514068.5	731246.37	0.0	0.0	0.0
APOC4	84.63	0.0	718.08	1417.35	3039.3	12329.98	14971.21	143430.26	38966.94	0.0	2.81	0.0
APOC4-APOC2	511.0	0.0	4388.98	2875.3	8191.0	70238.75	65082.31	70238.75	34635.37	0.0	34.51	43.94
APOE	2485.67	6887.62	171754.88	9808.75	34396.12	520665.48	33922.56	828417.36	783730.52	1304.15	2609.3	3665.02
APOF	9.2	0.0	167.9	198.47	39785.74	89523.81	36357.37	53973.86	97288.74	0.0	0.0	1.31
APOH	536.45	8.45	9740.98	13033.07	7456151.83	3359929.59	1055868.42	2904784.09	2039804.27	0.0	12.74	0.0
ASGR2	281.09	69.03	1030.12	1388.16	22225.61	29531.18	14361.31	59887.86	12853.63	11.3	7.94	20.71
BAAT	39.22	1.07	928.3	624.99	6337.83	39510.91	22850.48	16045.82	34396.12	1.55	0.34	0.0
BHMT	14.89	1.69	199.85	262.2	4903.87	34396.12	25530.66	151608.43	80125.95	4.03	5.92	0.41
BHMT2	301.33	39.79	1551.09	708.18	7966.99	17317.18	16727.26	23330.64	30785.28	4.1	24.81	22.92
BPY2B	0.0	0.0	0.38	0.38	0.0	1.48	0.0	3.14	1.0	0.0	0.0	0.0
BPY2C	0.0	0.0	0.36	0.35	0.0	1.73	0.0	3.72	1.16	0.0	0.0	0.0
C4A	1397.83	559.28	77396.54	21768.19	75280.1	237899.7	62865.33	149521.18	104271.56	921.88	1674.06	17317.18
C4B	1397.83	466.88	76330.98	20451.65	61146.25	209994.66	75803.72	100719.65	81809.59	1023.0	1923.14	16727.26
C5orf27	13.52	32.59	149.12	6.06	563.18	20.11	423.61	6079.61	1135.2	2.46	0.55	2.43
C8A	66.18	0.0	392.44	371.22	42346.82	19082.0	16157.44	57847.82	43537.38	0.0	0.56	0.0
C8B	33.06	1.13	2148.82	1617.0	36106.23	57448.23	37379.55	85876.94	51775.15	0.0	4.46	0.0
C8G	281.09	37.32	2075.59	909.17	6699.25	7485.11	5041.77	11504.21	4095.0	13.72	7.46	50.27
C9	43.63	5.5	660.68	536.45	696613.03	320506.81	8538.88	286861.53	311742.51	0.0	0.0	1.22
CA5A	4.21	0.0	63.89	48.52	341.51	1519.15	480.04	193.01	555.41	0.0	0.0	0.0
CCL16	14.14	1.93	68.07	111.21	1322.37	3928.15	2855.44	2835.7	27174.14	0.0	0.0	0.0
CD5L	0.14	1.53	72.52	10.24	1870.53	7485.11	269.6	12076.21	18819.27	0.12	0.0	0.89
CFHR1	205.5	2.29	3395.89	1639.59	170568.48	136637.07	100023.92	130165.62	133825.1	21.16	0.0	0.0
CFHR2	162.14	0.0	1331.57	1151.06	228208.61	116501.39	85283.74	146444.06	156954.93	1.53	0.0	0.0
CFHR3	102.97	12.45	381.68	285.03	15715.58	21768.19	17078.76	7857.29	16960.78	13.12	0.88	5.96
CFHR4	13.72	0.0	48.18	38.4	17317.18	21320.18	7537.18	8421.31	17804.06	0.0	0.0	0.0
CFHR5	11.47	0.0	85.82	73.54	38697.77	1819.35	2434.5	30151.71	9540.5	0.0	0.0	0.0
CLEC1B	16.39	8.13	32.82	8.25	1685.71	2591.27	1216.75	3794.3	4512.4	1.55	0.0	1.13
CPB2	59.97	0.92	1709.26	633.73	109455.64	57448.23	40904.3	74760.09	68793.23	0.0	41.22	0.0
CPN2	20.71	13.32	529.06	241.19	16843.62	15285.81	4481.23	11909.94	11424.74	1.85	0.29	0.0
