	TCGA.K4.A4AC.01A.21R.A26T.07	TCGA.VS.A8QH.01A.11R.A37O.07	TCGA.G4.6586.01A.11R.1774.07	TCGA.AA.3663.11A.01R.1723.07	GTEX.117XS.2226.SM.5GIE1	GTEX.13FH7.1526.SM.5J2N6	GTEX.T2IS.0526.SM.32QP9	GTEX.ZE7O.3026.SM.51MS4	GTEX.13QJ3.2726.SM.5SI6L	GTEX.UPK5.2126.SM.4JBJK	GTEX.11EI6.2426.SM.5PNVS
ABHD14A	426.57	96.01	493.56	486.75	713.11	264.03	890.44	1819.35	1467.37	1721.16	2163.77
AC138655.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.79	0.0	3.53	1.83
ADAMTSL2	23.93	13.03	22.92	57.89	170.25	21.94	647.07	432.53	145.02	153.34	145.02
ADC	56.28	32.59	72.52	100.13	146.03	25.17	176.29	323.03	209.84	166.73	166.73
AMOT	3.0	140.04	60.82	96.68	177.53	327.56	120.94	679.29	633.73	381.68	397.93
ANAPC13	819.3	961.07	1529.73	1001.93	1331.57	1135.2	1844.76	2537.92	2061.24	1583.71	2163.77
ARHGAP39	127.89	264.03	70.51	92.7	89.51	48.18	58.3	563.18	166.73	141.02	329.84
ARL13B	42.11	23.93	88.88	59.55	74.06	80.57	255.0	223.41	141.02	135.24	135.24
ARL3	103.69	133.36	94.01	221.86	244.57	204.07	341.51	384.34	273.37	314.17	329.84
ARNT2	11.38	6.01	5.77	87.03	134.3	143.01	267.73	587.13	265.87	144.01	543.96
ASAP1	373.81	95.34	122.64	231.32	211.31	190.34	343.89	642.59	708.18	470.14	358.54
ATP6V0C	2915.45	7331.05	5711.87	5711.87	4358.66	4268.94	5872.48	10585.95	8247.98	10883.59	6745.86
B4GALNT4	145.02	232.94	8.32	136.19	299.25	29.7	15.91	4298.64	825.0	1167.14	1896.65
BATF3	40.93	18.03	43.32	48.52	34.02	63.0	228.13	158.79	85.82	164.42	55.1
C21orf91	41.81	57.49	42.71	80.57	83.45	83.45	234.57	361.04	275.28	258.57	264.03
C2orf76	189.02	164.42	173.85	283.05	346.29	309.83	435.55	974.5	587.13	728.11	684.02
C4orf17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.18	0.85	0.0	1.38
C6orf195	0.29	0.34	0.0	1.48	1.95	1.17	0.0	5.28	2.14	6.31	4.54
C8orf37	12.83	6.52	18.16	18.84	21.63	23.25	50.98	65.26	64.34	71.0	59.55
C8orf48	1.19	0.46	2.58	7.94	10.0	11.38	53.95	21.47	14.67	44.57	14.56
CALN1	0.0	0.27	0.0	0.2	1.93	0.65	12.36	14.56	7.63	0.29	17.0
CDH15	0.0	3.66	1.79	3.14	1.03	1.79	4.35	16.75	8.32	13.12	9.41
CDK14	78.89	13.52	12.83	120.1	218.79	77.79	620.67	490.14	279.14	151.22	206.94
CHADL	70.01	15.68	31.9	162.14	289.02	120.1	253.23	1015.93	669.92	507.46	1721.16
CHN1	53.57	29.06	42.41	143.01	353.59	128.79	1286.18	785.88	417.77	384.34	656.11
CHRFAM7A	0.32	0.0	36.27	17.9	37.59	6.11	63.89	93.35	47.84	18.43	21.47
CNN3	698.41	728.11	967.76	3491.39	3794.3	3491.39	2816.11	10368.08	6079.61	5255.91	5555.65
CNOT7	575.03	511.0	353.59	748.61	748.61	441.64	1111.82	1685.71	1151.06	808.0	1295.13
CNP	1397.83	629.35	1135.2	1119.56	1417.35	1340.84	669.92	2609.3	1819.35	2178.83	2935.74
